.id,chemical,ID,min,max,POD,POD_value_mg_L,POD_low_conf,POD_high_conf,confidence,confident_logical,species,origin
Behaviour,Clofibric-acid,Behaviour,0.001,10,BMD,3.22390651912259,0.0302580504976988,6.66383245469536,0.333,FALSE,Zebrafish,Experimental
Metabolic Rate,Clofibric-acid,Metabolic,0.001,10,BMD,8.60602319943393,5.85006716374749,8.81147718930479,0.337,FALSE,Zebrafish,Experimental
Acute LC50,Clofibric-acid,Acute LC50,0.001,10,LC50,526.5,NA,NA,1,TRUE,Other Fish,Literature
LOEC,Clofibric-acid,Behaviour,0.001,10,LOEC,0.001,NA,NA,1,TRUE,Zebrafish,Experimental
LOEC,Clofibric-acid,Metabolic,0.001,10,LOEC,10,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,Clofibric-acid,Chronic POD,0.001,10,NOEC/LOEC/EC10,70,NA,NA,1,TRUE,Zebrafish,Literature
Chronic POD,Clofibric-acid,Chronic POD,0.001,10,NOEC/LOEC/EC10,10.75,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,DES,Behaviour,0.00001,0.1,BMD,0.0637404887800956,7.90600918401362E-05,0.0637404887800956,0.119,FALSE,Zebrafish,Experimental
Metabolic Rate,DES,Metabolic,0.00001,0.1,BMD,0.00061438894595746,3.47203989818714E-06,0.033153123276033,0.579,TRUE,Zebrafish,Experimental
Overt Toxicity,DES,Overt Toxicity,0.00001,0.1,BMD,0.00107292833615878,5.086319480851E-05,0.0409908230456327,0.671,TRUE,Zebrafish,Experimental
LOEC,DES,Behaviour,0.00001,0.1,LOEC,0.1,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,DES,Chronic POD,0.00001,0.1,NOEC/LOEC/EC10,0.00001,NA,NA,1,TRUE,Zebrafish,Literature
Behaviour,DMSO,Behaviour,0.001,10,BMD,6.4093550683813,0.0449950147044837,6.4093550683813,0.1,FALSE,Zebrafish,Experimental
Metabolic Rate,DMSO,Metabolic,0.001,10,BMD,0.0352545322612073,0.00655416040125892,0.0848682366961677,0.022,FALSE,Zebrafish,Experimental
Acute LC50,DMSO,Acute LC50,0.001,10,LC50,20964,NA,NA,1,TRUE,Zebrafish,Literature
Acute LC50,DMSO,Acute LC50,0.001,10,LC50,34000,NA,NA,1,TRUE,Other Fish,Literature
LOEC,DMSO,Behaviour,0.001,10,LOEC,10,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,DMSO,Chronic POD,0.001,10,NOEC/LOEC/EC10,0.006,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,EE2,Behaviour,0.0000001,0.001,BMD,0.00047399943307267,6.44549147089149E-06,0.00047399943307267,0.109,FALSE,Zebrafish,Experimental
Overt Toxicity,EE2,Overt Toxicity,0.0000001,0.001,BMD,0.00050297750612144,0.00010989494363837,0.001,0.182,FALSE,Zebrafish,Experimental
Acute LC50,EE2,Acute LC50,0.0000001,0.001,LC50,1.7,NA,NA,1,TRUE,Zebrafish,Literature
LOEC,EE2,Behaviour,0.0000001,0.001,LOEC,0.000001,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,EE2,Chronic POD,0.0000001,0.001,NOEC/LOEC/EC10,0.00000005,NA,NA,1,TRUE,Zebrafish,Literature
Chronic POD,EE2,Chronic POD,0.0000001,0.001,NOEC/LOEC/EC10,0.00000004,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,Fadrozole,Behaviour,0.0001,1,BMD,0.258646080334071,0.00423309290067572,0.484700294364936,0.245,FALSE,Zebrafish,Experimental
Metabolic Rate,Fadrozole,Metabolic,0.0001,1,BMD,0.284346568024011,7.39722564521352E-05,0.284346568024011,0.126,FALSE,Zebrafish,Experimental
LOEC,Fadrozole,Behaviour,0.0001,1,LOEC,1,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,Fadrozole,Chronic POD,0.0001,1,NOEC/LOEC/EC10,0.1,NA,NA,1,TRUE,Zebrafish,Literature
Chronic POD,Fadrozole,Chronic POD,0.0001,1,NOEC/LOEC/EC10,0.0955,NA,NA,1,TRUE,Other Fish,Literature
Metabolic Rate,Fenitrothion,Metabolic,0.0001,1,BMD,0.00821479393346251,0.00088083624508792,0.415880396063487,0.314,FALSE,Zebrafish,Experimental
Acute LC50,Fenitrothion,Acute LC50,0.0001,1,LC50,0.2,NA,NA,1,TRUE,Other Fish,Literature
LOEC,Fenitrothion,Behaviour,0.0001,1,LOEC,0.001,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,Fenitrothion,Chronic POD,0.0001,1,NOEC/LOEC/EC10,0.046,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,Fluoxetine,Behaviour,0.00001,0.1,BMD,0.0382574055786114,0.0111881809155565,0.1,0.914,TRUE,Zebrafish,Experimental
Metabolic Rate,Fluoxetine,Metabolic,0.00001,0.1,BMD,0.0675596182524359,0.00713582073525877,0.0832940218776687,0.444,FALSE,Zebrafish,Experimental
Acute LC50,Fluoxetine,Acute LC50,0.00001,0.1,LC50,0.25,NA,NA,1,TRUE,Zebrafish,Literature
LOEC,Fluoxetine,Behaviour,0.00001,0.1,LOEC,0.0001,NA,NA,1,TRUE,Zebrafish,Experimental
LOEC,Fluoxetine,Metabolic,0.00001,0.1,LOEC,0.1,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,Fluoxetine,Chronic POD,0.00001,0.1,NOEC/LOEC/EC10,0.0032,NA,NA,1,TRUE,Zebrafish,Literature
Chronic POD,Fluoxetine,Chronic POD,0.00001,0.1,NOEC/LOEC/EC10,0.00054,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,Flutamide,Behaviour,0.0001,1,BMD,0.436229732478961,0.061587002608234,0.519501263476581,0.316,FALSE,Zebrafish,Experimental
Metabolic Rate,Flutamide,Metabolic,0.0001,1,BMD,0.00370182282583755,0.00028625192667979,0.282350106590471,0.874,TRUE,Zebrafish,Experimental
Acute LC50,Flutamide,Acute LC50,0.0001,1,LC50,1.92,NA,NA,1,TRUE,Other Fish,Literature
LOEC,Flutamide,Behaviour,0.0001,1,LOEC,0.001,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,Flutamide,Chronic POD,0.0001,1,NOEC/LOEC/EC10,0.101,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,Glyphosate,Behaviour,0.0001,1,BMD,0.463836760535539,0.00466849137660619,0.767232169192006,0.237,FALSE,Zebrafish,Experimental
Metabolic Rate,Glyphosate,Metabolic,0.0001,1,BMD,0.0993435860570052,0.00484112543480919,0.288584604360694,0.173,FALSE,Zebrafish,Experimental
Acute LC50,Glyphosate,Acute LC50,0.0001,1,LC50,53.75,NA,NA,1,TRUE,Zebrafish,Literature
Acute LC50,Glyphosate,Acute LC50,0.0001,1,LC50,36.3,NA,NA,1,TRUE,Other Fish,Literature
LOEC,Glyphosate,Behaviour,0.0001,1,LOEC,0.1,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,Glyphosate,Chronic POD,0.0001,1,NOEC/LOEC/EC10,13.9,NA,NA,1,TRUE,Zebrafish,Literature
Chronic POD,Glyphosate,Chronic POD,0.0001,1,NOEC/LOEC/EC10,0.1,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,Malathion,Behaviour,0.0001,1,BMD,0.304923470843838,0.304923470843838,0.304923470843838,0.114,FALSE,Zebrafish,Experimental
Metabolic Rate,Malathion,Metabolic,0.0001,1,BMD,0.92818244277984,0.92818244277984,0.92818244277984,0.106,FALSE,Zebrafish,Experimental
Overt Toxicity,Malathion,Overt Toxicity,0.0001,1,BMD,0.791049376954302,0.0791049376954302,0.791049376954302,0.346,FALSE,Zebrafish,Experimental
Acute LC50,Malathion,Acute LC50,0.0001,1,LC50,0.105,NA,NA,1,TRUE,Zebrafish,Literature
LOEC,Malathion,Behaviour,0.0001,1,LOEC,0.001,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,Malathion,Chronic POD,0.0001,1,NOEC/LOEC/EC10,1,NA,NA,1,TRUE,Zebrafish,Literature
Chronic POD,Malathion,Chronic POD,0.0001,1,NOEC/LOEC/EC10,0.021,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,NN-Dimethylformamide,Behaviour,0.1,1000,BMD,314.170529084848,3.36751906714335,878.968072518823,0.229,FALSE,Zebrafish,Experimental
Metabolic Rate,NN-Dimethylformamide,Metabolic,0.1,1000,BMD,0.163369989348342,0.018057806664079,187.619084639725,0.252,FALSE,Zebrafish,Experimental
Acute LC50,NN-Dimethylformamide,Acute LC50,0.1,1000,LC50,6300,NA,NA,1,TRUE,Other Fish,Literature
LOEC,NN-Dimethylformamide,Behaviour,0.1,1000,LOEC,1000,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,NN-Dimethylformamide,Chronic POD,0.1,1000,NOEC/LOEC/EC10,0.1,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,Prochloraz,Behaviour,0.0001,1,BMD,0.365040784157072,0.025710685769084,0.381210089726597,0.358,FALSE,Zebrafish,Experimental
Metabolic Rate,Prochloraz,Metabolic,0.0001,1,BMD,0.761556487972011,0.761556487972011,0.761556487972011,0.107,FALSE,Zebrafish,Experimental
Acute LC50,Prochloraz,Acute LC50,0.0001,1,LC50,5.6,NA,NA,1,TRUE,Zebrafish,Literature
LOEC,Prochloraz,Behaviour,0.0001,1,LOEC,1,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,Prochloraz,Chronic POD,0.0001,1,NOEC/LOEC/EC10,0.03,NA,NA,1,TRUE,Zebrafish,Literature
Chronic POD,Prochloraz,Chronic POD,0.0001,1,NOEC/LOEC/EC10,0.063,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,SDS,Behaviour,0.00001,0.1,BMD,0.00645462959132253,5.42631156579137E-06,0.0348144034323757,0.137,FALSE,Zebrafish,Experimental
Acute LC50,SDS,Acute LC50,0.00001,0.1,LC50,3.6,NA,NA,1,TRUE,Zebrafish,Literature
Acute LC50,SDS,Acute LC50,0.00001,0.1,LC50,1.39,NA,NA,1,TRUE,Other Fish,Literature
Chronic POD,SDS,Chronic POD,0.00001,0.1,NOEC/LOEC/EC10,1.357,NA,NA,1,TRUE,Other Fish,Literature
Metabolic Rate,TEG,Metabolic,0.1,1000,BMD,342.476632198464,0.0453718560796472,342.476632198464,0.112,FALSE,Zebrafish,Experimental
Acute LC50,TEG,Acute LC50,0.1,1000,LC50,54800,NA,NA,1,TRUE,Zebrafish,Literature
Acute LC50,TEG,Acute LC50,0.1,1000,LC50,5000,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,TGSH,Behaviour,0.0001,1,BMD,0.456835133151302,0.00029851025671244,0.456835133151302,0.137,FALSE,Zebrafish,Experimental
LOEC,TGSH,Behaviour,0.0001,1,LOEC,1,NA,NA,1,TRUE,Zebrafish,Experimental
Behaviour,Trenbolone,Behaviour,0.00001,0.1,BMD,0.0633003802844531,0.00383025650031222,0.0669040022795083,0.429,FALSE,Zebrafish,Experimental
Metabolic Rate,Trenbolone,Metabolic,0.00001,0.1,BMD,8.28076548525995E-06,3.81824075062366E-06,0.00074586225690472,0.075,FALSE,Zebrafish,Experimental
Overt Toxicity,Trenbolone,Overt Toxicity,0.00001,0.1,BMD,0.00033887172678387,4.40328528605307E-06,0.00033887172678387,0.115,FALSE,Zebrafish,Experimental
LOEC,Trenbolone,Behaviour,0.00001,0.1,LOEC,0.001,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,Trenbolone,Chronic POD,0.00001,0.1,NOEC/LOEC/EC10,0.00000919,NA,NA,1,TRUE,Zebrafish,Literature
Chronic POD,Trenbolone,Chronic POD,0.00001,0.1,NOEC/LOEC/EC10,0.0000015,NA,NA,1,TRUE,Other Fish,Literature
Behaviour,Vinclozolin,Behaviour,0.0001,1,BMD,0.272220003348074,0.00054080745529845,0.736046862782508,0.362,FALSE,Zebrafish,Experimental
Metabolic Rate,Vinclozolin,Metabolic,0.0001,1,BMD,0.517035109703171,0.137544185007871,1,0.319,FALSE,Zebrafish,Experimental
Overt Toxicity,Vinclozolin,Overt Toxicity,0.0001,1,BMD,0.66019484840819,6.60194848408189E-05,0.66019484840819,0.316,FALSE,Zebrafish,Experimental
Acute LC50,Vinclozolin,Acute LC50,0.0001,1,LC50,4.86,NA,NA,1,TRUE,Zebrafish,Literature
Acute LC50,Vinclozolin,Acute LC50,0.0001,1,LC50,13.6,NA,NA,1,TRUE,Other Fish,Literature
LOEC,Vinclozolin,Behaviour,0.0001,1,LOEC,1,NA,NA,1,TRUE,Zebrafish,Experimental
Chronic POD,Vinclozolin,Chronic POD,0.0001,1,NOEC/LOEC/EC10,0.05,NA,NA,1,TRUE,Other Fish,Literature
