R-DRE-1280218	Adaptive Immune System	186	364	2	0	0	0	0	0	2	0	0	11	364	4517	0.4268	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-162582	Signal Transduction	756	1352	16	11	8	10	10	10	16	6	6	5	1346	3535	0.98653	0.054208	0.082576	0.44	561679;561082;559297;497403;386967;30369	col11a2;cavin1b;ankle2;cenpf;stam;fzd7a	ENSDARG00000012422;ENSDARG00000059362;ENSDARG00000035607;ENSDARG00000055133;ENSDARG00000002127;ENSDARG00000060004		0.44199341666666664	0.495177	0.0135395	0.22804433100132454	0.4137488041843319	0.22788869260145633	0.23369017333333333	0.2737775	0.00272404	0.11545753414787739	0.22287256791107538	0.12036881746147121	0.8465727666666667	0.8962185	0.0672966	0.46183799524500674	0.7775252983683361	0.4379535089788637					0.412555;0.522871;0.467483;0.675227;0.0135395;0.560285	0.246333;0.281995;0.26556;0.314066;0.00272404;0.291463	0.690943;0.969497;0.82294;1.45171;0.0672966;1.07705	4	2	4	561679;561082;559297;30369	ENSDARG00000012422;ENSDARG00000059362;ENSDARG00000035607;ENSDARG00000060004	0.4907985	0.495177	0.06460824707677246	0.27133775000000004	0.2737775	0.019809278825421998	0.8901075	0.8962185	0.16874849345796616	0.412555;0.522871;0.467483;0.560285	0.246333;0.281995;0.26556;0.291463	0.690943;0.969497;0.82294;1.07705	2	497403;386967	ENSDARG00000055133;ENSDARG00000002127	0.34438325000000003	0.34438325000000003	0.46788371827637365	0.15839502	0.15839502	0.22015201118391084	0.7595033	0.7595033	0.9789281031055246	0.675227;0.0135395	0.314066;0.00272404	1.45171;0.0672966	0						Exp 5,1(0.17);Linear,5(0.84)	2.0568973537149455	12.5249742269516	1.6202893257141113	2.76253080368042	0.4021127271820669	2.0042759776115417	0.2595199484353852	0.6244668848979481	0.14130490509672705	0.3260754415699396	0.4770254054878046	1.2161201278455285	UP	0.6666666666666666	0.3333333333333333	0.0	
R-DRE-1640170	Cell Cycle	212	392	3	3	2	3	3	2	3	2	2	9	390	4491	0.94809	0.21856	0.21856	0.51	559297;497403	ankle2;cenpf	ENSDARG00000035607;ENSDARG00000055133		0.5713550000000001	0.5713550000000001	0.467483	0.1468971911508178	0.5102360240171366	0.11877595008086615	0.289813	0.289813	0.26556	0.03429892152823513	0.27554237341620086	0.027732912789887976	1.1373250000000001	1.1373250000000001	0.82294	0.4446075308066651	0.9523387740259888	0.3594941569063176					0.467483;0.675227	0.26556;0.314066	0.82294;1.45171	1	1	1	559297	ENSDARG00000035607	0.467483	0.467483		0.26556	0.26556		0.82294	0.82294		0.467483	0.26556	0.82294	1	497403	ENSDARG00000055133	0.675227	0.675227		0.314066	0.314066		1.45171	1.45171		0.675227	0.314066	1.45171	0						Linear,2(1)	1.7915429076344505	3.601186156272888	1.6202893257141113	1.9808968305587769	0.25498801202242377	1.800593078136444	0.3677658800000001	0.77494412	0.24227712	0.33734887999999996	0.5211304000000002	1.7535196000000002	CONFLICT	0.5	0.5	0.0	
R-DRE-198323	AKT phosphorylates targets in the cytosol	7	8	1	0	0	0	0	0	1	0	0	11	8	4873	0.98214	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-199991	Membrane Trafficking	202	314	5	4	2	4	4	4	5	2	2	9	312	4569	0.97062	0.15413	0.15413	0.64	58108;386967	fth1a;stam	ENSDARG00000015551;ENSDARG00000002127		0.26433125	0.26433125	0.0135395	0.3546730941812826	0.20941396619615468	0.3460652938613475	0.14126002	0.14126002	0.00272404	0.19591946179264783	0.11092401520437238	0.19116456035363905	0.5078368	0.5078368	0.0672966	0.6230179256105559	0.41136922803879	0.607897483751905					0.515123;0.0135395	0.279796;0.00272404	0.948377;0.0672966	1	1	1	58108	ENSDARG00000015551	0.515123	0.515123		0.279796	0.279796		0.948377	0.948377		0.515123	0.279796	0.948377	1	386967	ENSDARG00000002127	0.0135395	0.0135395		0.00272404	0.00272404		0.0672966	0.0672966		0.0135395	0.00272404	0.0672966	0						Exp 5,1(0.5);Linear,1(0.5)	2.05297545248171	4.2882000207901	1.5256692171096802	2.76253080368042	0.8745932152533221	2.14410001039505	-0.2272205799999999	0.7558830799999999	-0.13027050079999997	0.41279054079999994	-0.3556219919999999	1.3712955919999998	CONFLICT	0.5	0.5	0.0	
R-DRE-212436	Generic Transcription Pathway	284	488	4	4	3	2	2	1	4	1	1	10	487	4394	0.6984	0.68564	1.0	0.2	449949	ssrp1b	ENSDARG00000016994		0.461335	0.461335	0.461335		0.461335		0.263635	0.263635	0.263635		0.263635		0.807293	0.807293	0.807293		0.807293						0.461335	0.263635	0.807293	1	0	1	449949	ENSDARG00000016994	0.461335	0.461335		0.263635	0.263635		0.807293	0.807293		0.461335	0.263635	0.807293	0															0						Linear,1(1)	1.7943323850631714	1.7943323850631714	1.7943323850631714	1.7943323850631714	0.0	1.7943323850631714	0.461335	0.461335	0.263635	0.263635	0.807293	0.807293	UP	1.0	0.0	0.0	
R-DRE-3700989	Transcriptional Regulation by TP53	117	210	4	4	3	2	2	1	4	1	1	10	209	4672	0.92183	0.38316	0.38316	0.48	449949	ssrp1b	ENSDARG00000016994		0.461335	0.461335	0.461335		0.461335		0.263635	0.263635	0.263635		0.263635		0.807293	0.807293	0.807293		0.807293						0.461335	0.263635	0.807293	1	0	1	449949	ENSDARG00000016994	0.461335	0.461335		0.263635	0.263635		0.807293	0.807293		0.461335	0.263635	0.807293	0															0						Linear,1(1)	1.7943323850631714	1.7943323850631714	1.7943323850631714	1.7943323850631714	0.0	1.7943323850631714	0.461335	0.461335	0.263635	0.263635	0.807293	0.807293	UP	1.0	0.0	0.0	
R-DRE-372790	Signaling by GPCR	123	374	1	1	0	1	1	1	1	0	0	11	374	4507	0.41654	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-388396	GPCR downstream signalling	117	360	1	1	0	1	1	1	1	0	0	11	360	4521	0.43097	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5633007	Regulation of TP53 Activity	71	107	3	3	3	1	1	1	3	1	1	10	106	4775	0.97708	0.21614	0.21614	0.93	449949	ssrp1b	ENSDARG00000016994		0.461335	0.461335	0.461335		0.461335		0.263635	0.263635	0.263635		0.263635		0.807293	0.807293	0.807293		0.807293						0.461335	0.263635	0.807293	1	0	1	449949	ENSDARG00000016994	0.461335	0.461335		0.263635	0.263635		0.807293	0.807293		0.461335	0.263635	0.807293	0															0						Linear,1(1)	1.7943323850631714	1.7943323850631714	1.7943323850631714	1.7943323850631714	0.0	1.7943323850631714	0.461335	0.461335	0.263635	0.263635	0.807293	0.807293	UP	1.0	0.0	0.0	
R-DRE-5653656	Vesicle-mediated transport	212	337	5	4	2	4	4	4	5	2	2	9	335	4546	0.96469	0.17266	0.17266	0.59	58108;386967	fth1a;stam	ENSDARG00000015551;ENSDARG00000002127		0.26433125	0.26433125	0.0135395	0.3546730941812826	0.20941396619615468	0.3460652938613475	0.14126002	0.14126002	0.00272404	0.19591946179264783	0.11092401520437238	0.19116456035363905	0.5078368	0.5078368	0.0672966	0.6230179256105559	0.41136922803879	0.607897483751905					0.515123;0.0135395	0.279796;0.00272404	0.948377;0.0672966	1	1	1	58108	ENSDARG00000015551	0.515123	0.515123		0.279796	0.279796		0.948377	0.948377		0.515123	0.279796	0.948377	1	386967	ENSDARG00000002127	0.0135395	0.0135395		0.00272404	0.00272404		0.0672966	0.0672966		0.0135395	0.00272404	0.0672966	0						Exp 5,1(0.5);Linear,1(0.5)	2.05297545248171	4.2882000207901	1.5256692171096802	2.76253080368042	0.8745932152533221	2.14410001039505	-0.2272205799999999	0.7558830799999999	-0.13027050079999997	0.41279054079999994	-0.3556219919999999	1.3712955919999998	CONFLICT	0.5	0.5	0.0	
R-DRE-6804757	Regulation of TP53 Degradation	20	25	1	1	1	0	0	0	1	0	0	11	25	4856	0.94515	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6806003	Regulation of TP53 Expression and Degradation	20	25	1	1	1	0	0	0	1	0	0	11	25	4856	0.94515	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69242	S Phase	54	101	1	1	0	1	1	0	1	0	0	11	101	4780	0.79476	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69278	Cell Cycle, Mitotic	182	331	3	3	2	3	3	2	3	2	2	9	329	4552	0.9663	0.16778	0.16778	0.6	559297;497403	ankle2;cenpf	ENSDARG00000035607;ENSDARG00000055133		0.5713550000000001	0.5713550000000001	0.467483	0.1468971911508178	0.5102360240171366	0.11877595008086615	0.289813	0.289813	0.26556	0.03429892152823513	0.27554237341620086	0.027732912789887976	1.1373250000000001	1.1373250000000001	0.82294	0.4446075308066651	0.9523387740259888	0.3594941569063176					0.467483;0.675227	0.26556;0.314066	0.82294;1.45171	1	1	1	559297	ENSDARG00000035607	0.467483	0.467483		0.26556	0.26556		0.82294	0.82294		0.467483	0.26556	0.82294	1	497403	ENSDARG00000055133	0.675227	0.675227		0.314066	0.314066		1.45171	1.45171		0.675227	0.314066	1.45171	0						Linear,2(1)	1.7915429076344505	3.601186156272888	1.6202893257141113	1.9808968305587769	0.25498801202242377	1.800593078136444	0.3677658800000001	0.77494412	0.24227712	0.33734887999999996	0.5211304000000002	1.7535196000000002	CONFLICT	0.5	0.5	0.0	
R-DRE-73857	RNA Polymerase II Transcription	305	524	5	4	3	3	3	2	5	1	1	10	523	4358	0.66704	0.71281	1.0	0.19	449949	ssrp1b	ENSDARG00000016994		0.461335	0.461335	0.461335		0.461335		0.263635	0.263635	0.263635		0.263635		0.807293	0.807293	0.807293		0.807293						0.461335	0.263635	0.807293	1	0	1	449949	ENSDARG00000016994	0.461335	0.461335		0.263635	0.263635		0.807293	0.807293		0.461335	0.263635	0.807293	0															0						Linear,1(1)	1.7943323850631714	1.7943323850631714	1.7943323850631714	1.7943323850631714	0.0	1.7943323850631714	0.461335	0.461335	0.263635	0.263635	0.807293	0.807293	UP	1.0	0.0	0.0	
R-DRE-74160	Gene expression (Transcription)	346	586	8	6	4	5	5	4	8	2	2	9	584	4297	0.86411	0.38649	0.63185	0.34	561082;449949	cavin1b;ssrp1b	ENSDARG00000059362;ENSDARG00000016994		0.49210299999999996	0.49210299999999996	0.461335	0.043512522887095804	0.4965252445777751	0.04306073796149493	0.27281500000000003	0.27281500000000003	0.263635	0.012982480502584074	0.2741344294469571	0.012847685078216188	0.888395	0.888395	0.807293	0.11469554833558272	0.9000516848591626	0.11350467921714985					0.522871;0.461335	0.281995;0.263635	0.969497;0.807293	2	0	2	561082;449949	ENSDARG00000059362;ENSDARG00000016994	0.49210299999999996	0.49210299999999996	0.043512522887095804	0.27281500000000003	0.27281500000000003	0.012982480502584074	0.888395	0.888395	0.11469554833558272	0.522871;0.461335	0.281995;0.263635	0.969497;0.807293	0															0						Linear,2(1)	1.9074294891094843	3.821987509727478	1.7943323850631714	2.0276551246643066	0.16498409137698575	1.910993754863739	0.43179772	0.55240828	0.25482220000000005	0.2908078	0.72943508	1.04735492	UP	1.0	0.0	0.0	
R-DRE-9006925	Intracellular signaling by second messengers	110	175	1	0	0	0	0	0	1	0	0	11	175	4706	0.66956	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9006934	Signaling by Receptor Tyrosine Kinases	165	254	4	4	4	2	2	2	4	2	2	9	252	4629	0.98327	0.10845	0.10845	0.79	561679;386967	col11a2;stam	ENSDARG00000012422;ENSDARG00000002127		0.21304725	0.21304725	0.0135395	0.2821465658485408	0.11087305592412743	0.24233768330578892	0.12452852	0.12452852	0.00272404	0.17225754757380238	0.06214861456359094	0.14795322737821615	0.3791198	0.3791198	0.0672966	0.44098459850257804	0.2194253312179119	0.3787647942949468					0.412555;0.0135395	0.246333;0.00272404	0.690943;0.0672966	1	1	1	561679	ENSDARG00000012422	0.412555	0.412555		0.246333	0.246333		0.690943	0.690943		0.412555	0.246333	0.690943	1	386967	ENSDARG00000002127	0.0135395	0.0135395		0.00272404	0.00272404		0.0672966	0.0672966		0.0135395	0.00272404	0.0672966	0						Exp 5,1(0.5);Linear,1(0.5)	2.2442250362689435	4.5856945514678955	1.8231637477874756	2.76253080368042	0.6642328152451435	2.2928472757339478	-0.17798794000000004	0.60408244	-0.11420826079999999	0.36326530079999997	-0.23205367199999993	0.990293272	CONFLICT	0.5	0.5	0.0	
R-DRE-373076	Class A/1 (Rhodopsin-like receptors)	25	219	1	1	0	1	1	1	1	0	0	11	219	4662	0.60391	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-418594	G alpha (i) signalling events	62	166	1	1	0	1	1	1	1	0	0	11	166	4715	0.68377	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-500792	GPCR ligand binding	41	264	1	1	0	1	1	1	1	0	0	11	264	4617	0.54287	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-983168	Antigen processing: Ubiquitination & Proteasome degradation	101	193	1	0	0	0	0	0	1	0	0	11	193	4688	0.64196	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-983169	Class I MHC mediated antigen processing & presentation	116	231	2	0	0	0	0	0	2	0	0	11	231	4650	0.58705	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-397014	Muscle contraction	55	92	1	0	0	0	0	0	1	0	0	11	92	4789	0.81135	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5576891	Cardiac conduction	34	61	1	0	0	0	0	0	1	0	0	11	61	4820	0.87095	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1236974	ER-Phagosome pathway	8	21	1	0	0	0	0	0	1	0	0	11	21	4860	0.95373	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1236975	Antigen processing-Cross presentation	30	65	1	0	0	0	0	0	1	0	0	11	65	4816	0.86305	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-382551	Transport of small molecules	211	372	5	2	2	3	3	2	5	1	1	10	371	4510	0.79835	0.58143	0.58143	0.27	58108	fth1a	ENSDARG00000015551		0.515123	0.515123	0.515123		0.515123		0.279796	0.279796	0.279796		0.279796		0.948377	0.948377	0.948377		0.948377						0.515123	0.279796	0.948377	1	0	1	58108	ENSDARG00000015551	0.515123	0.515123		0.279796	0.279796		0.948377	0.948377		0.515123	0.279796	0.948377	0															0						Linear,1(1)	1.5256692171096802	1.5256692171096802	1.5256692171096802	1.5256692171096802	0.0	1.5256692171096802	0.515123	0.515123	0.279796	0.279796	0.948377	0.948377	UP	1.0	0.0	0.0	
R-DRE-917937	Iron uptake and transport	26	45	1	1	1	1	1	1	1	1	1	10	44	4837	0.99568	0.096752	0.096752	2.22	58108	fth1a	ENSDARG00000015551		0.515123	0.515123	0.515123		0.515123		0.279796	0.279796	0.279796		0.279796		0.948377	0.948377	0.948377		0.948377						0.515123	0.279796	0.948377	1	0	1	58108	ENSDARG00000015551	0.515123	0.515123		0.279796	0.279796		0.948377	0.948377		0.515123	0.279796	0.948377	0															0						Linear,1(1)	1.5256692171096802	1.5256692171096802	1.5256692171096802	1.5256692171096802	0.0	1.5256692171096802	0.515123	0.515123	0.279796	0.279796	0.948377	0.948377	UP	1.0	0.0	0.0	
R-DRE-141424	Amplification of signal from the kinetochores	33	61	1	1	1	1	1	1	1	1	1	10	60	4821	0.99217	0.12905	0.12905	1.64	497403	cenpf	ENSDARG00000055133		0.675227	0.675227	0.675227		0.675227		0.314066	0.314066	0.314066		0.314066		1.45171	1.45171	1.45171		1.45171						0.675227	0.314066	1.45171	0	1	0															1	497403	ENSDARG00000055133	0.675227	0.675227		0.314066	0.314066		1.45171	1.45171		0.675227	0.314066	1.45171	0						Linear,1(1)	1.6202893257141113	1.6202893257141113	1.6202893257141113	1.6202893257141113	0.0	1.6202893257141113	0.675227	0.675227	0.314066	0.314066	1.45171	1.45171	DOWN	0.0	1.0	0.0	
R-DRE-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	33	61	1	1	1	1	1	1	1	1	1	10	60	4821	0.99217	0.12905	0.12905	1.64	497403	cenpf	ENSDARG00000055133		0.675227	0.675227	0.675227		0.675227		0.314066	0.314066	0.314066		0.314066		1.45171	1.45171	1.45171		1.45171						0.675227	0.314066	1.45171	0	1	0															1	497403	ENSDARG00000055133	0.675227	0.675227		0.314066	0.314066		1.45171	1.45171		0.675227	0.314066	1.45171	0						Linear,1(1)	1.6202893257141113	1.6202893257141113	1.6202893257141113	1.6202893257141113	0.0	1.6202893257141113	0.675227	0.675227	0.314066	0.314066	1.45171	1.45171	DOWN	0.0	1.0	0.0	
R-DRE-194315	Signaling by Rho GTPases	277	394	8	5	4	5	5	5	8	4	4	7	390	4491	0.99898	0.0086625	0.0086625	1.02	561082;559297;497403;386967	cavin1b;ankle2;cenpf;stam	ENSDARG00000059362;ENSDARG00000035607;ENSDARG00000055133;ENSDARG00000002127		0.419780125	0.495177	0.0135395	0.2847149710026898	0.3966381513311978	0.2550977302186792	0.21608625999999997	0.2737775	0.00272404	0.14366057140794442	0.21305312212829997	0.13520841186952123	0.8278609000000001	0.8962185	0.0672966	0.5737975119282992	0.7488923272882582	0.48816511835687776					0.522871;0.467483;0.675227;0.0135395	0.281995;0.26556;0.314066;0.00272404	0.969497;0.82294;1.45171;0.0672966	2	2	2	561082;559297	ENSDARG00000059362;ENSDARG00000035607	0.495177	0.495177	0.039165230396360176	0.2737775	0.2737775	0.011621299948801704	0.8962185	0.8962185	0.10363144853035666	0.522871;0.467483	0.281995;0.26556	0.969497;0.82294	2	497403;386967	ENSDARG00000055133;ENSDARG00000002127	0.34438325000000003	0.34438325000000003	0.46788371827637365	0.15839502	0.15839502	0.22015201118391084	0.7595033	0.7595033	0.9789281031055246	0.675227;0.0135395	0.314066;0.00272404	1.45171;0.0672966	0						Exp 5,1(0.25);Linear,3(0.75)	2.059154397819361	8.391372084617615	1.6202893257141113	2.76253080368042	0.47905119161963106	2.0042759776115417	0.140759453417364	0.6988007965826362	0.07529890002021455	0.3568736199797854	0.26553933831026677	1.3901824616897334	CONFLICT	0.5	0.5	0.0	
R-DRE-195258	RHO GTPase Effectors	115	179	2	2	1	2	2	2	2	1	1	10	178	4703	0.94106	0.33666	0.33666	0.56	497403	cenpf	ENSDARG00000055133		0.675227	0.675227	0.675227		0.675227		0.314066	0.314066	0.314066		0.314066		1.45171	1.45171	1.45171		1.45171						0.675227	0.314066	1.45171	0	1	0															1	497403	ENSDARG00000055133	0.675227	0.675227		0.314066	0.314066		1.45171	1.45171		0.675227	0.314066	1.45171	0						Linear,1(1)	1.6202893257141113	1.6202893257141113	1.6202893257141113	1.6202893257141113	0.0	1.6202893257141113	0.675227	0.675227	0.314066	0.314066	1.45171	1.45171	DOWN	0.0	1.0	0.0	
R-DRE-2467813	Separation of Sister Chromatids	75	129	1	1	1	1	1	1	1	1	1	10	128	4753	0.96752	0.25492	0.25492	0.78	497403	cenpf	ENSDARG00000055133		0.675227	0.675227	0.675227		0.675227		0.314066	0.314066	0.314066		0.314066		1.45171	1.45171	1.45171		1.45171						0.675227	0.314066	1.45171	0	1	0															1	497403	ENSDARG00000055133	0.675227	0.675227		0.314066	0.314066		1.45171	1.45171		0.675227	0.314066	1.45171	0						Linear,1(1)	1.6202893257141113	1.6202893257141113	1.6202893257141113	1.6202893257141113	0.0	1.6202893257141113	0.675227	0.675227	0.314066	0.314066	1.45171	1.45171	DOWN	0.0	1.0	0.0	
