.id,term,df,sumsq,meansq,statistic,p.value,adj.p.value
BPA,as.factor(Dose),5,0.009444444444444451,0.0018888888888888903,1.2830188679245291,0.34377617231420954,0.9137523007491007
BPA,as.factor(Replicate),2,0.006944444444444446,0.003472222222222223,2.358490566037736,0.1448459426749802,0.9137523007491007
BPA,Residuals,10,0.014722222222222225,0.0014722222222222224,NA,NA,NA
BPAF,as.factor(Dose),5,0.009027777777777779,0.0018055555555555557,0.9154929577464789,0.508772786762556,0.9137523007491007
BPAF,as.factor(Replicate),2,0.00027777777777777713,1.3888888888888856e-4,0.07042253521126743,0.9324579616007139,0.9697562800647425
BPAF,Residuals,10,0.019722222222222224,0.0019722222222222224,NA,NA,NA
Clofibric-acid,as.factor(Dose),5,0.0011111111111111107,2.2222222222222212e-4,0.7272727272727275,0.6186904345576472,0.9137523007491007
Clofibric-acid,as.factor(Replicate),2,2.777777777777778e-4,1.388888888888889e-4,0.45454545454545486,0.6472278485082303,0.9137523007491007
Clofibric-acid,Residuals,10,0.003055555555555553,3.0555555555555533e-4,NA,NA,NA
DES,as.factor(Dose),5,0.019444444444444438,0.0038888888888888875,1.3084112149532705,0.33460779971815535,0.9137523007491007
DES,as.factor(Replicate),2,0.0019444444444444483,9.722222222222241e-4,0.3271028037383184,0.7284414190692063,0.9137523007491007
DES,Residuals,10,0.029722222222222223,0.0029722222222222225,NA,NA,NA
DMSO,as.factor(Dose),5,0,0,NA,NA,NA
DMSO,as.factor(Replicate),2,0,0,NA,NA,NA
DMSO,Residuals,10,0,0,NA,NA,NA
EE2,as.factor(Dose),5,0.005694444444444443,0.0011388888888888885,0.5774647887323944,0.7169926514136097,0.9137523007491007
EE2,as.factor(Replicate),2,0.005277777777777775,0.0026388888888888877,1.3380281690140843,0.3055478248573221,0.9137523007491007
EE2,Residuals,10,0.019722222222222217,0.0019722222222222216,NA,NA,NA
Fadrozole,as.factor(Dose),5,0.0012499999999999996,2.499999999999999e-4,0.49999999999999967,0.770024880650102,0.9137523007491007
Fadrozole,as.factor(Replicate),2,1.2037062152420224e-35,6.018531076210112e-36,1.2037062152420221e-32,1,1
Fadrozole,Residuals,10,0.005000000000000001,5.000000000000001e-4,NA,NA,NA
Fenitrothione,as.factor(Dose),5,0,0,NA,NA,NA
Fenitrothione,as.factor(Replicate),2,0,0,NA,NA,NA
Fenitrothione,Residuals,10,0,0,NA,NA,NA
Fluoxetine,as.factor(Dose),5,0.0011111111111111107,2.2222222222222212e-4,0.3478260869565216,0.8723341748641125,0.9450286894361217
Fluoxetine,as.factor(Replicate),2,2.777777777777784e-4,1.388888888888892e-4,0.21739130434782658,0.8083193429703571,0.9137523007491007
Fluoxetine,Residuals,10,0.006388888888888888,6.388888888888888e-4,NA,NA,NA
Flutamide,as.factor(Dose),5,6.944444444444446e-4,1.3888888888888892e-4,1,0.46511942653780036,0.9137523007491007
Flutamide,as.factor(Replicate),2,2.777777777777778e-4,1.388888888888889e-4,0.9999999999999998,0.4018775720164609,0.9137523007491007
Flutamide,Residuals,10,0.0013888888888888892,1.3888888888888892e-4,NA,NA,NA
Glyphosate,as.factor(Dose),5,6.944444444444406e-4,1.388888888888881e-4,0.9999999999999961,0.46511942653780236,0.9137523007491007
Glyphosate,as.factor(Replicate),2,2.7777777777777767e-4,1.3888888888888883e-4,1.0000000000000013,0.4018775720164605,0.9137523007491007
Glyphosate,Residuals,10,0.0013888888888888866,1.3888888888888864e-4,NA,NA,NA
Malathion,as.factor(Dose),5,0.0190277777777778,0.00380555555555556,2.914893617021279,0.07051762862384871,0.9137523007491007
Malathion,as.factor(Replicate),2,2.7777777777777664e-4,1.3888888888888832e-4,0.1063829787234038,0.9000841266333816,0.9551913180599152
Malathion,Residuals,10,0.013055555555555558,0.001305555555555556,NA,NA,NA
NN-Dimethylformamide,as.factor(Dose),5,0.0027777777777777796,5.555555555555559e-4,1.0000000000000002,0.4651194265378003,0.9137523007491007
NN-Dimethylformamide,as.factor(Replicate),2,0.0011111111111111122,5.555555555555561e-4,1.0000000000000007,0.4018775720164606,0.9137523007491007
NN-Dimethylformamide,Residuals,10,0.0055555555555555575,5.555555555555558e-4,NA,NA,NA
Prochloraz,as.factor(Dose),5,0.0012499999999999996,2.499999999999999e-4,0.5999999999999995,0.701752410680739,0.9137523007491007
Prochloraz,as.factor(Replicate),2,8.333333333333333e-4,4.1666666666666664e-4,0.9999999999999994,0.4018775720164609,0.9137523007491007
Prochloraz,Residuals,10,0.004166666666666668,4.1666666666666686e-4,NA,NA,NA
SDS,as.factor(Dose),5,0.0011111111111111113,2.2222222222222226e-4,0.7272727272727273,0.6186904345576474,0.9137523007491007
SDS,as.factor(Replicate),2,2.7777777777777767e-4,1.3888888888888883e-4,0.4545454545454543,0.6472278485082306,0.9137523007491007
SDS,Residuals,10,0.003055555555555556,3.055555555555556e-4,NA,NA,NA
TEG,as.factor(Dose),5,0.006111111111111129,0.0012222222222222257,1.9130434782608743,0.17899622687410702,0.9137523007491007
TEG,as.factor(Replicate),2,2.777777777777763e-4,1.3888888888888816e-4,0.21739130434782486,0.8083193429703585,0.9137523007491007
TEG,Residuals,10,0.006388888888888891,6.388888888888891e-4,NA,NA,NA
TGSH,as.factor(Dose),5,6.944444444444452e-4,1.3888888888888905e-4,1.0000000000000009,0.46511942653780025,0.9137523007491007
TGSH,as.factor(Replicate),2,2.777777777777779e-4,1.3888888888888894e-4,1,0.40187757201646085,0.9137523007491007
TGSH,Residuals,10,0.0013888888888888894,1.3888888888888894e-4,NA,NA,NA
Trenbolone,as.factor(Dose),5,0.007361111111111108,0.0014722222222222216,1.292682926829268,0.3402560788983057,0.9137523007491007
Trenbolone,as.factor(Replicate),2,0.013611111111111115,0.006805555555555558,5.9756097560975645,0.019620349370861455,0.5101290836423978
Trenbolone,Residuals,10,0.011388888888888884,0.0011388888888888885,NA,NA,NA
Vinclozolin,as.factor(Dose),5,0.002916666666666666,5.833333333333332e-4,0.7777777777777776,0.5875363497346637,0.9137523007491007
Vinclozolin,as.factor(Replicate),2,8.333333333333334e-4,4.166666666666667e-4,0.5555555555555556,0.5904900000000002,0.9137523007491007
Vinclozolin,Residuals,10,0.007500000000000001,7.5e-4,NA,NA,NA
