Chemical,Species,Effect,Min POD
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Channa orientalis,Mortality,11.8
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Channa orientalis,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",11.8
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Chasmichthys dolichognathus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",0.91
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Corydoras paleatus,Mortality,3.51
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Cyprinodon variegatus,Mortality/Growth,1
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Cyprinus carpio,Mortality,12
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Cyprinus carpio,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",2.3
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Galaxias auratus,Biomass: Productivity measurement equivalent to yield and standing crop. Total mass or weight of a living organism per area or volume measure either directly through dry weight or indirectly.,2.8
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Galaxias auratus,Population,2.8
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Gasterosteus aculeatus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",15.7
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Girella punctata,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",0.52
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Heteropneustes fossilis,Mortality,12.5
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Heteropneustes fossilis,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",12.5
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Ictalurus punctatus,Mortality,1.4
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Ictalurus punctatus,Mortality/Growth,1.4
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Ictalurus punctatus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",4.3
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Labeo rohita,Mortality,2.8
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Labeo rohita,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",2.8
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Lepomis cyanellus,Mortality,4.1
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Lepomis cyanellus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",4.1
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Lepomis macrochirus,Mortality,0.8
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Lepomis macrochirus,Mortality/Growth,1.3
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Lepomis macrochirus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",0.8
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Mugil cephalus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",0.24
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Mystus cavasius,Mortality,3.3
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Mystus cavasius,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",3.3
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Oncorhynchus clarkii,Mortality,2.57
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Oncorhynchus clarkii,Mortality/Growth,2.8
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Oncorhynchus clarkii,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",2.57
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Oncorhynchus kisutch,Mortality,1.1
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Oncorhynchus kisutch,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",5
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Oncorhynchus mykiss,Mortality,0.78
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Oncorhynchus mykiss,Mortality/Growth,0.78
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Oncorhynchus mykiss,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",0.7
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Oncorhynchus salar,Mortality,1.4
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Oreochromis mossambicus,Mortality,5.05
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Oreochromis niloticus,Mortality,5.96
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Oryzias latipes,Mortality,2.36
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Oryzias latipes,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",4.5
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Pagrus major,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",0.34
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Paralichthys olivaceus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",0.26
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Perca flavescens,Mortality,2
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Perca flavescens,Mortality/Growth,2
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Pimephales promelas,Mortality,3.2
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Pimephales promelas,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",3.2
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Poecilia reticulata,Mortality,3.28
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Poecilia reticulata,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",2.4
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Salmo salar,Mortality,0.33
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Salmo salar,Mortality/Growth,0.33
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Salmo salar,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",1.25
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Salmo trutta,Mortality,1.4
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Salmo trutta,Mortality/Growth,1.5
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Salmo trutta,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",2.2
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Salvelinus fontinalis,Mortality,1.4
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Salvelinus fontinalis,Mortality/Growth,1.72
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Salvelinus fontinalis,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",1.4
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Tilapia mossambica,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",0.342
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Tilapia nilotica,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",5.96
Fluoxetine,Danio rerio,Mortality,0.25
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Cyprinus carpio,Mortality,0.138
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Danio rerio,Mortality,0.105
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Lepomis cyanellus,Mortality,0.146
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Lepomis macrochirus,Mortality,0.103
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Menidia menidia,Mortality,0.125
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Morone saxatilis,Mortality,0.1
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Oncorhynchus clarkii,Mortality,0.15
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Oncorhynchus kisutch,Mortality,0.101
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Oncorhynchus mykiss,Mortality,0.1
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Oncorhynchus tshawytscha,Mortality,0.12
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Oreochromis niloticus,Mortality,0.14
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Salmo trutta,Mortality,0.101
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Salvelinus fontinalis,Mortality,0.12
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Salvelinus namaycush,Mortality,0.142
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Tilapia mossambica,Mortality,0.14
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Atherinops affinis,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",1.88
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Carassius auratus,Mortality,28.4
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Carassius auratus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",28.4
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Channa punctata,Mortality,19.5
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Channa punctatus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",19.5
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Cichlasoma nigrofasciatum,Mortality,16.1
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Cichlasoma nigrofasciatum,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",16.1
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Cynopoecilus melanotaenia,Intoxication,15
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Cyprinodon variegatus,Mortality/Growth,60
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Cyprinodon variegatus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",4.1
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Cyprinus carpio,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",1.31
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Danio rerio,Mortality,3.6
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Danio rerio,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",7.97
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Fundulus heteroclitus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",2.244994432
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Gasterosteus aculeatus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",5.7
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Heteropneustes fossilis,Mortality,11.2
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Heteropneustes fossilis,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",11.2
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Jordanella floridae,Mortality,8.1
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Jordanella floridae,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",8.1
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Lepomis macrochirus,Mortality,4.5
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Lepomis macrochirus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",4.5
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Menidia beryllina,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",1.48
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Menidia menidia,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",2.8
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Mystus vittatus,Mortality,1.39
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Mystus vittatus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",1.39
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Oncorhynchus mykiss,Mortality,4.2
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Oncorhynchus mykiss,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",4.62
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Pagrus auratus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",6.1
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Pimephales promelas,Mortality,6.6
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Pimephales promelas,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",6.6
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Poecilia reticulata,Mortality,13.5
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Poecilia reticulata,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",13.5
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Poecilia vivipara,Mortality,2.71
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Rasbora daniconia,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",6.3
Sodium dodecyl sulfate;Sodium dodecyl sulfate,Rasbora daniconius,Mortality,6.3
"Triethylene glycol;2,2'-[Ethane-1,2-diylbis(oxy)]di(ethan-1-ol)",Carassius auratus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",5000
"Triethylene glycol;2,2'-[Ethane-1,2-diylbis(oxy)]di(ethan-1-ol)",Cyprinodon variegatus,Mortality/Growth,48000
"Triethylene glycol;2,2'-[Ethane-1,2-diylbis(oxy)]di(ethan-1-ol)",Danio rerio,Mortality,54800
"Triethylene glycol;2,2'-[Ethane-1,2-diylbis(oxy)]di(ethan-1-ol)",Lepomis macrochirus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",60157
"Triethylene glycol;2,2'-[Ethane-1,2-diylbis(oxy)]di(ethan-1-ol)",Menidia beryllina,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",10000
"Triethylene glycol;2,2'-[Ethane-1,2-diylbis(oxy)]di(ethan-1-ol)",Pimephales promelas,Mortality,59900
"Triethylene glycol;2,2'-[Ethane-1,2-diylbis(oxy)]di(ethan-1-ol)",Pimephales promelas,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",59900
Vinclozilin,Danio rerio,Mortality,4.8639448
