Chemical,Species,Effect,Minimum POD
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Rutilus rutilus,Population,0.00000004
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Salmo trutta,Growth,0.00000208
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Salmo trutta,"Morphology, Length",0.01925
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Salvelinus namaycush,Growth,0.000373
"17beta-Estradiol;(17beta)-Estra-1(10),2,4-triene-3,17-diol",Danio rerio,Development,0.0000048
"17beta-Estradiol;(17beta)-Estra-1(10),2,4-triene-3,17-diol",Danio rerio,Growth,0.0000092
"17beta-Estradiol;(17beta)-Estra-1(10),2,4-triene-3,17-diol",Danio rerio,Mortality,0.00025
"17beta-Estradiol;(17beta)-Estra-1(10),2,4-triene-3,17-diol",Danio rerio,Population,0.000022
"17beta-Estradiol;(17beta)-Estra-1(10),2,4-triene-3,17-diol",Gambusia holbrooki,Population,0.0001
"17beta-Estradiol;(17beta)-Estra-1(10),2,4-triene-3,17-diol",Gambusia holbrooki,Reproduction,0.00002
"17beta-Estradiol;(17beta)-Estra-1(10),2,4-triene-3,17-diol",Oncorhynchus mykiss,Reproduction,0.00000042
"17beta-Estradiol;(17beta)-Estra-1(10),2,4-triene-3,17-diol",Oryzias latipes,Development,0.00000866
"17beta-Estradiol;(17beta)-Estra-1(10),2,4-triene-3,17-diol",Oryzias latipes,Mortality,0.0000924
"17beta-Estradiol;(17beta)-Estra-1(10),2,4-triene-3,17-diol",Oryzias latipes,Reproduction,0.00000286
"17beta-Estradiol;(17beta)-Estra-1(10),2,4-triene-3,17-diol",Pimephales promelas,Development,0.00003
"17beta-Estradiol;(17beta)-Estra-1(10),2,4-triene-3,17-diol",Pimephales promelas,Growth,0.000219
"17beta-Estradiol;(17beta)-Estra-1(10),2,4-triene-3,17-diol",Pimephales promelas,Reproduction,0.000015
"17beta-Estradiol;(17beta)-Estra-1(10),2,4-triene-3,17-diol",Poecilia reticulata,Development,0.00005
"17beta-Estradiol;(17beta)-Estra-1(10),2,4-triene-3,17-diol",Poecilia reticulata,Growth,0.001
"17beta-Estradiol;(17beta)-Estra-1(10),2,4-triene-3,17-diol",Salmo salar,Growth,0.000008
"17beta-Trenbolone;(17beta)-17-Hydroxyestra-4,9,11-trien-3-one",Danio rerio,Development,0.0000261
"17beta-Trenbolone;(17beta)-17-Hydroxyestra-4,9,11-trien-3-one",Danio rerio,Growth,0.00000919
"17beta-Trenbolone;(17beta)-17-Hydroxyestra-4,9,11-trien-3-one",Danio rerio,Mortality,0.0000256
"17beta-Trenbolone;(17beta)-17-Hydroxyestra-4,9,11-trien-3-one",Danio rerio,Population,0.00001
"17beta-Trenbolone;(17beta)-17-Hydroxyestra-4,9,11-trien-3-one",Gambusia affinis,Growth,0.01
"17beta-Trenbolone;(17beta)-17-Hydroxyestra-4,9,11-trien-3-one",Oncorhynchus mykiss,Mortality,0.000035
"17beta-Trenbolone;(17beta)-17-Hydroxyestra-4,9,11-trien-3-one",Oryzias latipes,Population,0.00005
"17beta-Trenbolone;(17beta)-17-Hydroxyestra-4,9,11-trien-3-one",Pimephales promelas,Development,0.0000015
"17beta-Trenbolone;(17beta)-17-Hydroxyestra-4,9,11-trien-3-one",Pimephales promelas,Growth,0.000026
"2,4-Dimethylphenol;2,4-Dimethylphenol",Menidia beryllina,Mortality,0.131
"2,4-Dimethylphenol;2,4-Dimethylphenol",Pimephales promelas,Growth,0.398
"2,4-Dimethylphenol;2,4-Dimethylphenol",Pimephales promelas,Mortality,2.58
"2,4-Dinitrophenol;2,4-Dinitrophenol",Pimephales promelas,Growth,0.208
"3,4-Dichloroaniline;3,4-Dichloroaniline",Danio rerio,Growth,0.002
"3,4-Dichloroaniline;3,4-Dichloroaniline",Danio rerio,Mortality,0.0128
"3,4-Dichloroaniline;3,4-Dichloroaniline",Danio rerio,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",0.016434111
"3,4-Dichloroaniline;3,4-Dichloroaniline",Oncorhynchus mykiss,Growth,0.0194
"3,4-Dichloroaniline;3,4-Dichloroaniline",Oryzias latipes,Mortality,0.23
"3,4-Dichloroaniline;3,4-Dichloroaniline",Pimephales promelas,Growth,0.0014
"3,4-Dichloroaniline;3,4-Dichloroaniline",Pimephales promelas,Mortality,0.0011
"3,4-Dichloroaniline;3,4-Dichloroaniline",Pimephales promelas,Population,0.0148
"3,4-Dichloroaniline;3,4-Dichloroaniline",Pleuronectes platessa,"mortality, growth, malfunction",0.032
"3,4-Dichloroaniline;3,4-Dichloroaniline",Tinca tinca,Growth,0.045
"4,4'-[2,2,2-Trifluoro-1-(trifluoromethyl)ethylidene]bis[phenol]",Danio rerio,"Growth, Length",0.05
"4,4'-[2,2,2-Trifluoro-1-(trifluoromethyl)ethylidene]bis[phenol]",Danio rerio,"Growth, Weight",1
"4,4'-[2,2,2-Trifluoro-1-(trifluoromethyl)ethylidene]bis[phenol]",Danio rerio,"Mortality, Survival",1.5
"4,4'-[2,2,2-Trifluoro-1-(trifluoromethyl)ethylidene]bis[phenol]",Danio rerio,"Reproduction, Fecundity",0.125
"4,4'-[2,2,2-Trifluoro-1-(trifluoromethyl)ethylidene]bis[phenol]",Oryzias melastigma,Growth,0.07335
"4,4'-[2,2,2-Trifluoro-1-(trifluoromethyl)ethylidene]bis[phenol]",Oryzias melastigma,Reproduction,0.07335
4-TOP,Danio rerio,Population,0.035
4-TOP,Danio rerio,Reproduction,0.012
4-TOP,Pimephales promelas,Reproduction,0.0046
4-TOP,Salmo salar,Growth,0.01
4-TPP,Pimephales promelas,Development,0.0566
4-TPP,Pimephales promelas,Population,0.188
Aniline;Aniline,Danio rerio,Reproduction,5.6
Aniline;Aniline,Danio rerio,"Reproduction: Change in male and/or female reproductive ability, fertilization and fertilization rate. Includes vegetative reproductive processes.",5.6
Aniline;Aniline,Oncorhynchus mykiss,Growth,2
Aniline;Aniline,Oncorhynchus mykiss,Mortality,7.8
Aniline;Aniline,Oryzias latipes,Mortality,1.9
Aniline;Aniline,Pimephales promelas,Growth,0.422
Aniline;Aniline,Pimephales promelas,Mortality,2.1
Aniline;Aniline,Pimephales promelas,wet weight and total length,0.39
"Bisphenol A;4,4'-(Propane-2,2-diyl)diphenol",Danio rerio,Growth,0.2
"Bisphenol A;4,4'-(Propane-2,2-diyl)diphenol",Oryzias latipes,Growth,0.05
"Bisphenol A;4,4'-(Propane-2,2-diyl)diphenol",Oryzias latipes,growth and sexual differentiation,0.355
"Bisphenol A;4,4'-(Propane-2,2-diyl)diphenol",Pimephales promelas,Development,0.1
"Bisphenol A;4,4'-(Propane-2,2-diyl)diphenol",Pimephales promelas,Growth,1
"Bisphenol A;4,4'-(Propane-2,2-diyl)diphenol",Pimephales promelas,Mortality,1
Clofibric Acid,Danio rerio,Mortality,70
Clofibric Acid,Gambusia holbrooki,"Growth, Weight",16.12
Clofibric Acid,Pimephales promelas,Growth,108.91
Clofibric Acid,Pimephales promelas,Reproduction,10.75
Diethylstilbestrol,Danio rerio,Development,0.00001
Dimethyl sulfoxide;(Methanesulfinyl)methane,Poecilia reticulata,Mortality,0.006
"Fadrozole;4-(5,6,7,8-Tetrahydroimidazo[1,5-a]pyridin-5-yl)benzonitrile",Danio rerio,Growth,0.1
"Fadrozole;4-(5,6,7,8-Tetrahydroimidazo[1,5-a]pyridin-5-yl)benzonitrile",Danio rerio,Mortality,0.1
"Fadrozole;4-(5,6,7,8-Tetrahydroimidazo[1,5-a]pyridin-5-yl)benzonitrile",Danio rerio,Population,0.1
"Fadrozole;4-(5,6,7,8-Tetrahydroimidazo[1,5-a]pyridin-5-yl)benzonitrile",Pimephales promelas,Development,0.0955
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Oncorhynchus mykiss,Growth,0.046
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Oncorhynchus mykiss,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",0.088
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Pimephales promelas,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",0.3
Fluoxetine,Carassius auratus,Growth,0.00054
Fluoxetine,Carassius auratus,Reproduction,0.0032
Flutamide,Oryzias latipes,Growth,3.2
Flutamide,Oryzias latipes,Morphology,1.56
Flutamide,Oryzias latipes,Reproduction,0.202
Flutamide,Pimephales promelas,Development,0.3204
Flutamide,Pimephales promelas,Growth,0.412
Flutamide,Pimephales promelas,Morphology,0.412
Flutamide;2-Methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,Oryzias latipes,Growth,3.2
Flutamide;2-Methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,Oryzias latipes,Reproduction,0.101
Flutamide;2-Methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,Pimephales promelas,Development,0.32
Flutamide;2-Methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,Pimephales promelas,Growth,0.412
Glyphosate,Danio rerio,Growth,13.9
Glyphosate,Danio rerio,Morphology,13.9
Glyphosate,Danio rerio,Mortality,13.9
Glyphosate,Danio rerio,Reproduction,13.9
Glyphosate,Gasterosteus aculeatus,Growth,0.1
Glyphosate,Jenynsia multidentata,Reproduction,0.5
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Barbus ticto,Mortality,4
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Channa punctata,Growth,0.5
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Cyprinus carpio,Mortality,1.4
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Danio rerio,Growth,1
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Gila elegans,Growth,2
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Gila elegans,Mortality,2
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Hypophthalmichthys molitrix,Mortality,1.5
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Oncorhynchus mykiss,Growth,0.021
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Oncorhynchus mykiss,Mortality,0.021
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Oreochromis niloticus,Growth,2
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Oryzias latipes,Mortality,0.2
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Ptychocheilus lucius,Growth,1.68
Malathion;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,Ptychocheilus lucius,Mortality,1.68
"N,N-Dimethylformamide",Oncorhynchus mykiss,Growth,0.1
"N,N-Dimethylformamide",Oncorhynchus mykiss,Mortality,0.1
"N,N-Dimethylformamide",Pimephales promelas,Growth,1000
"N,N-Dimethylformamide",Pimephales promelas,Mortality,1000
"Prochloraz;N-Propyl-N-[2-(2,4,6-trichlorophenoxy)ethyl]-1H-imidazole-1-carboxamide",Danio rerio,Development,0.202
"Prochloraz;N-Propyl-N-[2-(2,4,6-trichlorophenoxy)ethyl]-1H-imidazole-1-carboxamide",Danio rerio,Population,0.03
"Prochloraz;N-Propyl-N-[2-(2,4,6-trichlorophenoxy)ethyl]-1H-imidazole-1-carboxamide",Oncorhynchus mykiss,Growth,0.0625272034
"Prochloraz;N-Propyl-N-[2-(2,4,6-trichlorophenoxy)ethyl]-1H-imidazole-1-carboxamide",Oryzias latipes,Reproduction,0.3
"Prochloraz;N-Propyl-N-[2-(2,4,6-trichlorophenoxy)ethyl]-1H-imidazole-1-carboxamide",Pimephales promelas,Population,0.0962
"Vinclozolin;3-(3,5-Dichlorophenyl)-5-ethenyl-5-methyl-1,3-oxazolidine-2,4-dione",Oryzias latipes,Development,1
"Vinclozolin;3-(3,5-Dichlorophenyl)-5-ethenyl-5-methyl-1,3-oxazolidine-2,4-dione",Oryzias latipes,Growth,5
"Vinclozolin;3-(3,5-Dichlorophenyl)-5-ethenyl-5-methyl-1,3-oxazolidine-2,4-dione",Pimephales promelas,Development,0.06
"Vinclozolin;3-(3,5-Dichlorophenyl)-5-ethenyl-5-methyl-1,3-oxazolidine-2,4-dione",Pimephales promelas,Growth,0.05
sodium dodceyl sulfate,Pimephales promelas,Growth,1.357
