Identifier,BPA-1ug/L-B
ENSDARG00000099359,0
ENSDARG00000092361,0
ENSDARG00000103767,0
ENSDARG00000075791,0
ENSDARG00000107486,0
ENSDARG00000029720,0
ENSDARG00000100166,1
ENSDARG00000074212,0
ENSDARG00000062929,0
ENSDARG00000022668,0
ENSDARG00000099708,0
ENSDARG00000025034,2
ENSDARG00000078474,0
ENSDARG00000096583,0
ENSDARG00000063003,0
ENSDARG00000002377,0
ENSDARG00000015803,0
ENSDARG00000037739,0
ENSDARG00000076176,0
ENSDARG00000096526,0
ENSDARG00000113858,0
ENSDARG00000096599,0
ENSDARG00000100771,0
ENSDARG00000079873,0
ENSDARG00000079332,0
ENSDARG00000007443,0
ENSDARG00000037746,90
ENSDARG00000037747,3
ENSDARG00000079361,0
ENSDARG00000012458,5
ENSDARG00000070543,2
ENSDARG00000094298,0
ENSDARG00000089873,0
ENSDARG00000093438,0
ENSDARG00000094206,1
ENSDARG00000037758,0
ENSDARG00000008723,0
ENSDARG00000110570,0
ENSDARG00000058460,0
ENSDARG00000088975,1
ENSDARG00000100949,0
ENSDARG00000093053,0
ENSDARG00000058463,8
ENSDARG00000076716,0
ENSDARG00000058464,0
ENSDARG00000058471,1
ENSDARG00000096584,0
ENSDARG00000058475,0
ENSDARG00000080404,0
ENSDARG00000058480,1
ENSDARG00000024740,0
ENSDARG00000101597,2
ENSDARG00000058445,4
ENSDARG00000063169,0
ENSDARG00000092791,0
ENSDARG00000037760,1
ENSDARG00000117314,0
ENSDARG00000017834,0
ENSDARG00000074282,1
ENSDARG00000074372,2
ENSDARG00000104203,1
ENSDARG00000101495,0
ENSDARG00000091916,6
ENSDARG00000099276,3
ENSDARG00000104995,0
ENSDARG00000033852,1
ENSDARG00000037654,0
ENSDARG00000037652,0
ENSDARG00000037646,0
ENSDARG00000032795,0
ENSDARG00000018263,5
ENSDARG00000077542,0
ENSDARG00000070490,0
ENSDARG00000015678,0
ENSDARG00000079043,0
ENSDARG00000076174,1
ENSDARG00000037647,2
ENSDARG00000008969,6
ENSDARG00000020741,3
ENSDARG00000104660,0
ENSDARG00000096594,0
ENSDARG00000077652,1
ENSDARG00000079452,0
ENSDARG00000089943,0
ENSDARG00000096536,0
ENSDARG00000077533,28
ENSDARG00000030563,0
ENSDARG00000026387,0
ENSDARG00000070495,0
ENSDARG00000084766,0
ENSDARG00000034785,0
ENSDARG00000070512,0
ENSDARG00000070504,0
ENSDARG00000062057,0
ENSDARG00000067992,0
ENSDARG00000103508,0
ENSDARG00000070502,0
ENSDARG00000037679,0
ENSDARG00000076833,7
ENSDARG00000012297,0
ENSDARG00000087107,0
ENSDARG00000099342,0
ENSDARG00000008487,3
ENSDARG00000084839,0
ENSDARG00000100507,0
ENSDARG00000070239,0
ENSDARG00000074379,0
ENSDARG00000062854,0
ENSDARG00000112849,0
ENSDARG00000113410,0
ENSDARG00000092242,0
ENSDARG00000092200,0
ENSDARG00000093636,0
ENSDARG00000095482,0
ENSDARG00000094981,0
ENSDARG00000037619,0
ENSDARG00000062585,0
ENSDARG00000074213,0
ENSDARG00000062606,0
ENSDARG00000077198,0
ENSDARG00000007678,5
ENSDARG00000089930,0
ENSDARG00000078057,3
ENSDARG00000070448,3
ENSDARG00000070449,0
ENSDARG00000042988,6
ENSDARG00000096506,0
ENSDARG00000070452,1
ENSDARG00000070454,0
ENSDARG00000096515,0
ENSDARG00000038114,0
ENSDARG00000008637,9
ENSDARG00000091609,13
ENSDARG00000002634,0
ENSDARG00000062467,0
ENSDARG00000032808,0
ENSDARG00000078318,1
ENSDARG00000018997,4
ENSDARG00000099771,0
ENSDARG00000045620,1
ENSDARG00000045618,7
ENSDARG00000057248,0
ENSDARG00000017985,4
ENSDARG00000113585,0
ENSDARG00000106508,0
ENSDARG00000117227,0
ENSDARG00000104707,0
ENSDARG00000102049,0
ENSDARG00000116228,0
ENSDARG00000099729,2
ENSDARG00000105122,0
ENSDARG00000098668,0
ENSDARG00000098053,0
ENSDARG00000102604,0
ENSDARG00000102339,0
ENSDARG00000089805,1
ENSDARG00000117726,0
ENSDARG00000117541,1
ENSDARG00000112668,0
ENSDARG00000110084,0
ENSDARG00000078525,0
ENSDARG00000079626,5
ENSDARG00000057114,0
ENSDARG00000009026,3
ENSDARG00000085400,0
ENSDARG00000014273,0
ENSDARG00000104795,0
ENSDARG00000056806,0
ENSDARG00000056797,1
ENSDARG00000062341,0
ENSDARG00000107022,0
ENSDARG00000056742,0
ENSDARG00000037576,0
ENSDARG00000070431,1
ENSDARG00000022690,0
ENSDARG00000056677,0
ENSDARG00000012903,1
ENSDARG00000003398,1
ENSDARG00000074867,1
ENSDARG00000109597,1
ENSDARG00000111274,0
ENSDARG00000110922,1
ENSDARG00000116310,0
ENSDARG00000109592,0
ENSDARG00000117482,0
ENSDARG00000103921,0
ENSDARG00000114198,0
ENSDARG00000106947,0
ENSDARG00000039063,0
ENSDARG00000113383,0
ENSDARG00000109748,0
ENSDARG00000116279,0
ENSDARG00000109910,0
ENSDARG00000116174,0
ENSDARG00000116266,0
ENSDARG00000111171,0
ENSDARG00000111710,0
ENSDARG00000111723,0
ENSDARG00000115042,0
ENSDARG00000114262,0
ENSDARG00000078898,5
ENSDARG00000007534,0
ENSDARG00000077804,1
ENSDARG00000013881,0
ENSDARG00000079317,0
ENSDARG00000117428,1
ENSDARG00000106258,0
ENSDARG00000078854,4
ENSDARG00000108223,0
ENSDARG00000007356,0
ENSDARG00000078599,0
ENSDARG00000115704,0
ENSDARG00000109375,0
ENSDARG00000017119,1
ENSDARG00000070412,0
ENSDARG00000034105,1
ENSDARG00000062198,1
ENSDARG00000034817,0
ENSDARG00000056504,1
ENSDARG00000108673,0
ENSDARG00000110937,0
ENSDARG00000117129,0
ENSDARG00000116147,0
ENSDARG00000116406,0
ENSDARG00000111254,0
ENSDARG00000113731,0
ENSDARG00000115569,0
ENSDARG00000113149,0
ENSDARG00000116958,0
ENSDARG00000092109,0
ENSDARG00000017591,10
ENSDARG00000092708,0
ENSDARG00000017905,4
ENSDARG00000030514,4
ENSDARG00000056400,0
ENSDARG00000042937,0
ENSDARG00000092600,0
ENSDARG00000027355,28
ENSDARG00000092022,0
ENSDARG00000056381,0
ENSDARG00000056376,0
ENSDARG00000056369,2
ENSDARG00000011023,0
ENSDARG00000003046,0
ENSDARG00000095697,0
ENSDARG00000016065,0
ENSDARG00000062132,4
ENSDARG00000117687,0
ENSDARG00000117295,0
ENSDARG00000094943,0
ENSDARG00000115616,0
ENSDARG00000037545,0
ENSDARG00000062122,0
ENSDARG00000095111,0
ENSDARG00000008287,1
ENSDARG00000015495,3
ENSDARG00000062081,0
ENSDARG00000018178,0
ENSDARG00000093886,0
ENSDARG00000056163,0
ENSDARG00000079488,0
ENSDARG00000062055,0
ENSDARG00000074275,1
ENSDARG00000075330,0
ENSDARG00000006392,0
ENSDARG00000073902,0
ENSDARG00000019945,1
ENSDARG00000086957,2
ENSDARG00000056151,11
ENSDARG00000061985,4
ENSDARG00000061981,0
ENSDARG00000003631,1
ENSDARG00000056133,0
ENSDARG00000070321,0
ENSDARG00000017744,1
ENSDARG00000070320,0
ENSDARG00000061952,0
ENSDARG00000061936,0
ENSDARG00000006434,0
ENSDARG00000037484,0
ENSDARG00000094729,0
ENSDARG00000095388,1
ENSDARG00000085360,0
ENSDARG00000037487,0
ENSDARG00000008068,1
ENSDARG00000077648,0
ENSDARG00000096580,0
ENSDARG00000079250,0
ENSDARG00000019986,7
ENSDARG00000080019,0
ENSDARG00000099995,1
ENSDARG00000070278,0
ENSDARG00000061830,1
ENSDARG00000041776,0
ENSDARG00000095632,0
ENSDARG00000037455,1
ENSDARG00000093816,0
ENSDARG00000070266,5
ENSDARG00000037429,1
ENSDARG00000055874,14
ENSDARG00000055876,3
ENSDARG00000092321,0
ENSDARG00000061786,0
ENSDARG00000094202,5
ENSDARG00000109806,0
ENSDARG00000112850,0
ENSDARG00000110242,0
ENSDARG00000115895,0
ENSDARG00000061459,0
ENSDARG00000037411,0
ENSDARG00000084908,0
ENSDARG00000037410,0
ENSDARG00000037409,0
ENSDARG00000070173,0
ENSDARG00000052782,1
ENSDARG00000037406,0
ENSDARG00000034773,1
ENSDARG00000033273,0
ENSDARG00000055439,0
ENSDARG00000055443,1
ENSDARG00000112783,0
ENSDARG00000095593,0
ENSDARG00000037383,0
ENSDARG00000030759,1
ENSDARG00000079074,0
ENSDARG00000061504,1
ENSDARG00000000606,0
ENSDARG00000107258,0
ENSDARG00000087224,0
ENSDARG00000052764,0
ENSDARG00000092275,0
ENSDARG00000055559,1
ENSDARG00000114954,0
ENSDARG00000115778,0
ENSDARG00000026871,1
ENSDARG00000016470,3
ENSDARG00000103166,0
ENSDARG00000091660,0
ENSDARG00000038056,0
ENSDARG00000002406,0
ENSDARG00000034007,2
ENSDARG00000061143,0
ENSDARG00000034896,2
ENSDARG00000116099,0
ENSDARG00000037378,2
ENSDARG00000012672,6
ENSDARG00000093064,1
ENSDARG00000061121,0
ENSDARG00000094677,2
ENSDARG00000054799,0
ENSDARG00000116939,0
ENSDARG00000037350,235
ENSDARG00000022845,2
ENSDARG00000019838,2
ENSDARG00000005799,0
ENSDARG00000013505,3
ENSDARG00000055022,2
ENSDARG00000061451,1
ENSDARG00000070121,0
ENSDARG00000054680,0
ENSDARG00000092290,0
ENSDARG00000055099,1
ENSDARG00000070109,1
ENSDARG00000070098,0
ENSDARG00000094046,0
ENSDARG00000114096,0
ENSDARG00000004246,4
ENSDARG00000083023,0
ENSDARG00000031108,5
ENSDARG00000015266,10
ENSDARG00000100600,0
ENSDARG00000092542,0
ENSDARG00000035692,229
ENSDARG00000094885,0
ENSDARG00000090822,0
ENSDARG00000088202,0
ENSDARG00000086859,0
ENSDARG00000090118,0
ENSDARG00000061021,2
ENSDARG00000037309,1
ENSDARG00000054334,0
ENSDARG00000116715,0
ENSDARG00000060994,0
ENSDARG00000106456,0
ENSDARG00000074776,0
ENSDARG00000074451,0
ENSDARG00000079434,6
ENSDARG00000031817,0
ENSDARG00000074812,0
ENSDARG00000070055,0
ENSDARG00000070050,0
ENSDARG00000095408,0
ENSDARG00000037286,0
ENSDARG00000037283,0
ENSDARG00000037281,15
ENSDARG00000037278,0
ENSDARG00000070039,0
ENSDARG00000091184,0
ENSDARG00000094763,0
ENSDARG00000037276,1
ENSDARG00000013787,0
ENSDARG00000086790,0
ENSDARG00000006427,54
ENSDARG00000104824,0
ENSDARG00000076499,0
ENSDARG00000037266,1
ENSDARG00000077157,0
ENSDARG00000037256,0
ENSDARG00000116236,0
ENSDARG00000069998,0
ENSDARG00000053995,1
ENSDARG00000021702,3
ENSDARG00000054031,1
ENSDARG00000037259,9
ENSDARG00000037260,1
ENSDARG00000037261,0
ENSDARG00000037262,0
ENSDARG00000104309,0
ENSDARG00000077817,2
ENSDARG00000107180,0
ENSDARG00000076928,2
ENSDARG00000009685,0
ENSDARG00000079377,0
ENSDARG00000091678,1
ENSDARG00000014790,1
ENSDARG00000019581,4
ENSDARG00000096665,0
ENSDARG00000079925,0
ENSDARG00000053731,0
ENSDARG00000094127,0
ENSDARG00000005210,1
ENSDARG00000023330,8
ENSDARG00000096667,0
ENSDARG00000037245,0
ENSDARG00000096554,0
ENSDARG00000079266,0
ENSDARG00000023600,2
ENSDARG00000033345,1
ENSDARG00000069989,5
ENSDARG00000095189,0
ENSDARG00000104096,0
ENSDARG00000102639,1
ENSDARG00000006621,2
ENSDARG00000069996,1
ENSDARG00000100083,4
ENSDARG00000031632,2
ENSDARG00000101474,0
ENSDARG00000104710,0
ENSDARG00000095954,0
ENSDARG00000095895,0
ENSDARG00000089138,1
ENSDARG00000112052,0
ENSDARG00000089334,0
ENSDARG00000053456,1
ENSDARG00000053466,2
ENSDARG00000053463,3
ENSDARG00000037109,0
ENSDARG00000096538,0
ENSDARG00000005739,1
ENSDARG00000053496,0
ENSDARG00000053500,2
ENSDARG00000053502,2
ENSDARG00000035080,0
ENSDARG00000037100,0
ENSDARG00000096627,0
ENSDARG00000096648,0
ENSDARG00000075193,0
ENSDARG00000069804,0
ENSDARG00000078546,1
ENSDARG00000037099,0
ENSDARG00000060620,0
ENSDARG00000075858,0
ENSDARG00000096592,0
ENSDARG00000096643,0
ENSDARG00000093663,0
ENSDARG00000096555,0
ENSDARG00000096544,0
ENSDARG00000069799,0
ENSDARG00000074117,0
ENSDARG00000092653,0
ENSDARG00000061732,3
ENSDARG00000095590,0
ENSDARG00000031202,0
ENSDARG00000037144,0
ENSDARG00000037177,1
ENSDARG00000003866,5
ENSDARG00000037178,1
ENSDARG00000028982,1
ENSDARG00000055839,0
ENSDARG00000060477,0
ENSDARG00000082429,0
ENSDARG00000113839,0
ENSDARG00000110947,0
ENSDARG00000096572,0
ENSDARG00000091513,0
ENSDARG00000026771,1
ENSDARG00000096632,5
ENSDARG00000099758,1
ENSDARG00000093065,0
ENSDARG00000074302,0
ENSDARG00000003142,1
ENSDARG00000096668,2
ENSDARG00000042688,0
ENSDARG00000060559,0
ENSDARG00000114316,0
ENSDARG00000114817,0
ENSDARG00000096527,1
ENSDARG00000092278,0
ENSDARG00000019715,0
ENSDARG00000017174,2
ENSDARG00000069946,2
ENSDARG00000074575,6
ENSDARG00000069951,0
ENSDARG00000069953,0
ENSDARG00000093358,0
ENSDARG00000094957,0
ENSDARG00000078902,1
ENSDARG00000039616,0
ENSDARG00000095941,0
ENSDARG00000018611,0
ENSDARG00000053269,0
ENSDARG00000039615,0
ENSDARG00000060501,0
ENSDARG00000039613,0
ENSDARG00000029751,1
ENSDARG00000027572,2
ENSDARG00000078733,0
ENSDARG00000058231,1
ENSDARG00000053248,0
ENSDARG00000012896,1
ENSDARG00000100996,0
ENSDARG00000096540,0
ENSDARG00000053241,0
ENSDARG00000069834,0
ENSDARG00000096548,0
ENSDARG00000027826,0
ENSDARG00000107292,0
ENSDARG00000079455,2
ENSDARG00000089053,0
ENSDARG00000078810,0
ENSDARG00000115601,0
ENSDARG00000094318,0
ENSDARG00000060716,2
ENSDARG00000074815,2
ENSDARG00000033380,0
ENSDARG00000051975,2
ENSDARG00000079280,3
ENSDARG00000053586,2
ENSDARG00000002190,4
ENSDARG00000053580,0
ENSDARG00000003701,0
ENSDARG00000079350,2
ENSDARG00000012763,2
ENSDARG00000013023,0
ENSDARG00000106311,0
ENSDARG00000115905,0
ENSDARG00000022971,2
ENSDARG00000081597,0
ENSDARG00000032056,2
ENSDARG00000074860,2
ENSDARG00000053542,2
ENSDARG00000094556,0
ENSDARG00000053535,0
ENSDARG00000111052,0
ENSDARG00000015312,0
ENSDARG00000015506,1
ENSDARG00000013006,1
ENSDARG00000108956,0
ENSDARG00000058287,3
ENSDARG00000069910,2
ENSDARG00000109513,0
ENSDARG00000092693,134
ENSDARG00000084532,0
ENSDARG00000085301,0
ENSDARG00000081849,0
ENSDARG00000082811,0
ENSDARG00000095892,0
ENSDARG00000095934,0
ENSDARG00000079191,0
ENSDARG00000105033,0
ENSDARG00000102858,0
ENSDARG00000093282,0
ENSDARG00000101520,0
ENSDARG00000075798,0
ENSDARG00000037018,2
ENSDARG00000074677,0
ENSDARG00000094485,0
ENSDARG00000060397,2
ENSDARG00000094648,0
ENSDARG00000027199,1
ENSDARG00000115856,0
ENSDARG00000060383,2
ENSDARG00000037002,0
ENSDARG00000076171,5
ENSDARG00000112614,0
ENSDARG00000113986,0
ENSDARG00000036995,6
ENSDARG00000069737,1
ENSDARG00000095555,0
ENSDARG00000011876,0
ENSDARG00000078789,0
ENSDARG00000036755,1
ENSDARG00000078326,2
ENSDARG00000102082,0
ENSDARG00000081340,0
ENSDARG00000034093,1
ENSDARG00000102787,1
ENSDARG00000082897,0
ENSDARG00000074501,0
ENSDARG00000090416,0
ENSDARG00000074989,4
ENSDARG00000076343,0
ENSDARG00000077519,0
ENSDARG00000040048,1
ENSDARG00000082660,0
ENSDARG00000057303,0
ENSDARG00000113575,0
ENSDARG00000029722,15
ENSDARG00000008305,2
ENSDARG00000117649,0
ENSDARG00000007477,0
ENSDARG00000053106,0
ENSDARG00000012016,2
ENSDARG00000011066,1
ENSDARG00000004621,22
ENSDARG00000095811,0
ENSDARG00000075098,0
ENSDARG00000053222,1
ENSDARG00000089976,6
ENSDARG00000069640,0
ENSDARG00000104657,0
ENSDARG00000117532,0
ENSDARG00000085733,0
ENSDARG00000005479,4
ENSDARG00000110757,0
ENSDARG00000085080,0
ENSDARG00000093919,0
ENSDARG00000036990,0
ENSDARG00000085746,0
ENSDARG00000007387,0
ENSDARG00000024828,3
ENSDARG00000070162,5
ENSDARG00000104907,2
ENSDARG00000080987,0
ENSDARG00000079183,0
ENSDARG00000104437,2
ENSDARG00000103145,0
ENSDARG00000069701,0
ENSDARG00000020857,0
ENSDARG00000093120,1
ENSDARG00000074662,0
ENSDARG00000076585,1
ENSDARG00000079631,2
ENSDARG00000018587,0
ENSDARG00000078182,0
ENSDARG00000095065,0
ENSDARG00000109438,0
ENSDARG00000074610,0
ENSDARG00000069707,0
ENSDARG00000078251,0
ENSDARG00000008457,1
ENSDARG00000031435,36
ENSDARG00000077874,1
ENSDARG00000069710,0
ENSDARG00000079552,1
ENSDARG00000087333,2
ENSDARG00000009315,4
ENSDARG00000030368,2
ENSDARG00000117231,0
ENSDARG00000117450,2
ENSDARG00000117485,1
ENSDARG00000117707,3
ENSDARG00000052899,0
ENSDARG00000052900,0
ENSDARG00000052895,1
ENSDARG00000074600,0
ENSDARG00000075521,0
ENSDARG00000095566,0
ENSDARG00000007941,4
ENSDARG00000095651,2
ENSDARG00000069669,0
ENSDARG00000108025,0
ENSDARG00000033604,3
ENSDARG00000060236,0
ENSDARG00000036774,2
ENSDARG00000109727,0
ENSDARG00000052866,1
ENSDARG00000108028,0
ENSDARG00000091911,0
ENSDARG00000093237,0
ENSDARG00000008706,8
ENSDARG00000078108,0
ENSDARG00000075639,0
ENSDARG00000078016,1
ENSDARG00000092551,0
ENSDARG00000075194,2
ENSDARG00000098598,0
ENSDARG00000060252,0
ENSDARG00000078908,3
ENSDARG00000036965,1
ENSDARG00000036967,8
ENSDARG00000060264,0
ENSDARG00000024101,0
ENSDARG00000107253,0
ENSDARG00000024785,4
ENSDARG00000084202,0
ENSDARG00000087061,0
ENSDARG00000052713,1
ENSDARG00000107073,0
ENSDARG00000113563,0
ENSDARG00000081405,0
ENSDARG00000052712,16
ENSDARG00000052703,0
ENSDARG00000052700,0
ENSDARG00000052696,2
ENSDARG00000075112,0
ENSDARG00000029898,1
ENSDARG00000092730,1
ENSDARG00000078622,0
ENSDARG00000074132,0
ENSDARG00000075598,0
ENSDARG00000117264,0
ENSDARG00000094910,0
ENSDARG00000117756,0
ENSDARG00000074476,0
ENSDARG00000087178,0
ENSDARG00000095949,0
ENSDARG00000076277,0
ENSDARG00000075916,0
ENSDARG00000078558,0
ENSDARG00000052019,1
ENSDARG00000101106,1
ENSDARG00000103871,1
ENSDARG00000089345,0
ENSDARG00000099025,0
ENSDARG00000098805,1
ENSDARG00000052016,2
ENSDARG00000059682,0
ENSDARG00000078233,3
ENSDARG00000104759,0
ENSDARG00000075179,0
ENSDARG00000104249,0
ENSDARG00000111029,0
ENSDARG00000105108,0
ENSDARG00000112081,0
ENSDARG00000109574,0
ENSDARG00000115729,0
ENSDARG00000116661,0
ENSDARG00000111422,0
ENSDARG00000111051,0
ENSDARG00000112750,0
ENSDARG00000113452,0
ENSDARG00000069116,1
ENSDARG00000069114,0
ENSDARG00000014803,6
ENSDARG00000016793,87
ENSDARG00000052012,0
ENSDARG00000083573,0
ENSDARG00000016263,2
ENSDARG00000095781,0
ENSDARG00000007786,0
ENSDARG00000009472,1
ENSDARG00000111774,0
ENSDARG00000037748,1
ENSDARG00000002840,0
ENSDARG00000079632,5
ENSDARG00000016994,2
ENSDARG00000029718,2
ENSDARG00000051993,0
ENSDARG00000092459,0
ENSDARG00000094678,0
ENSDARG00000051989,0
ENSDARG00000095407,0
ENSDARG00000051986,8
ENSDARG00000051981,1
ENSDARG00000059653,1
ENSDARG00000016835,0
ENSDARG00000094133,4
ENSDARG00000093997,0
ENSDARG00000093289,0
ENSDARG00000078659,1
ENSDARG00000093954,0
ENSDARG00000031836,0
ENSDARG00000117392,0
ENSDARG00000098263,0
ENSDARG00000105005,0
ENSDARG00000030972,0
ENSDARG00000051970,0
ENSDARG00000019778,299
ENSDARG00000051965,0
ENSDARG00000087426,3
ENSDARG00000069559,1
ENSDARG00000093347,0
ENSDARG00000069566,0
ENSDARG00000095108,0
ENSDARG00000006588,5
ENSDARG00000006225,1
ENSDARG00000052766,0
ENSDARG00000117778,0
ENSDARG00000095463,0
ENSDARG00000069632,0
ENSDARG00000025518,0
ENSDARG00000105481,0
ENSDARG00000092240,0
ENSDARG00000030376,1
ENSDARG00000069619,4
ENSDARG00000030656,1
ENSDARG00000114294,0
ENSDARG00000032340,0
ENSDARG00000026068,3
ENSDARG00000002285,1
ENSDARG00000069595,1
ENSDARG00000060187,0
ENSDARG00000060184,0
ENSDARG00000113491,0
ENSDARG00000008279,0
ENSDARG00000010773,0
ENSDARG00000025233,0
ENSDARG00000016548,5
ENSDARG00000073848,1
ENSDARG00000052677,0
ENSDARG00000117377,0
ENSDARG00000008131,1
ENSDARG00000053340,0
ENSDARG00000095834,0
ENSDARG00000008413,0
ENSDARG00000095860,0
ENSDARG00000029133,2
ENSDARG00000075859,0
ENSDARG00000070858,0
ENSDARG00000036658,10
ENSDARG00000036650,0
ENSDARG00000036645,0
ENSDARG00000036637,0
ENSDARG00000036636,0
ENSDARG00000052641,5
ENSDARG00000052624,1
ENSDARG00000081252,0
ENSDARG00000080168,0
ENSDARG00000092950,1
ENSDARG00000095507,0
ENSDARG00000094160,0
ENSDARG00000036549,6
ENSDARG00000036546,0
ENSDARG00000116185,0
ENSDARG00000036545,0
ENSDARG00000036542,0
ENSDARG00000089853,1
ENSDARG00000000086,1
ENSDARG00000026902,0
ENSDARG00000036592,0
ENSDARG00000001470,1
ENSDARG00000086877,1
ENSDARG00000069471,1
ENSDARG00000036588,2
ENSDARG00000036587,0
ENSDARG00000043271,0
ENSDARG00000036687,1
ENSDARG00000069450,0
ENSDARG00000015076,0
ENSDARG00000015559,0
ENSDARG00000076773,0
ENSDARG00000007734,0
ENSDARG00000060148,5
ENSDARG00000069438,2
ENSDARG00000083014,0
ENSDARG00000069435,0
ENSDARG00000108154,0
ENSDARG00000114522,0
ENSDARG00000103535,0
ENSDARG00000112034,0
ENSDARG00000096191,0
ENSDARG00000096053,0
ENSDARG00000096589,0
ENSDARG00000075045,0
ENSDARG00000096031,0
ENSDARG00000036008,0
ENSDARG00000008886,1
ENSDARG00000094465,0
ENSDARG00000052468,0
ENSDARG00000018325,3
ENSDARG00000096003,19
ENSDARG00000052480,7
ENSDARG00000022891,3
ENSDARG00000005314,0
ENSDARG00000036479,0
ENSDARG00000092919,0
ENSDARG00000074052,0
ENSDARG00000074136,0
ENSDARG00000075389,0
ENSDARG00000069415,9
ENSDARG00000082615,0
ENSDARG00000012574,0
ENSDARG00000052512,0
ENSDARG00000079501,0
ENSDARG00000094063,0
ENSDARG00000031894,0
ENSDARG00000030765,1
ENSDARG00000026548,0
ENSDARG00000052520,0
ENSDARG00000036494,0
ENSDARG00000018721,1
ENSDARG00000114696,0
ENSDARG00000013667,0
ENSDARG00000060036,10
ENSDARG00000076420,0
ENSDARG00000057099,0
ENSDARG00000014098,0
ENSDARG00000016818,0
ENSDARG00000010655,3
ENSDARG00000075785,0
ENSDARG00000075887,1
ENSDARG00000075564,2
ENSDARG00000117385,0
ENSDARG00000116732,0
ENSDARG00000100792,4
ENSDARG00000075043,3
ENSDARG00000115918,0
ENSDARG00000030703,0
ENSDARG00000017772,42
ENSDARG00000005578,2
ENSDARG00000024933,1
ENSDARG00000004427,4
ENSDARG00000015540,1
ENSDARG00000043587,3
