R-DRE-109581	Apoptosis	56	71	1	1	1	1	1	1	1	1	1	8	70	4823	0.99303	0.12315	0.12315	1.41	335722	gsdmeb	ENSDARG00000040485		0.384984	0.384984	0.384984		0.384984		0.219839	0.219839	0.219839		0.219839		0.674188	0.674188	0.674188		0.674188										0.384984	0.219839	0.674188	1	0	1	335722	ENSDARG00000040485	0.384984	0.384984		0.219839	0.219839		0.674188	0.674188		0.384984	0.219839	0.674188	0															0						Linear,1(1)	2.0227725505828857	2.0227725505828857	2.0227725505828857	2.0227725505828857	0.0	2.0227725505828857	0.384984	0.384984	0.219839	0.219839	0.674188	0.674188	UP	1.0	0.0	0.0	
R-DRE-109606	Intrinsic Pathway for Apoptosis	26	28	1	1	1	1	1	1	1	1	1	8	27	4866	0.99889	0.050289	0.050289	3.57	335722	gsdmeb	ENSDARG00000040485		0.384984	0.384984	0.384984		0.384984		0.219839	0.219839	0.219839		0.219839		0.674188	0.674188	0.674188		0.674188										0.384984	0.219839	0.674188	1	0	1	335722	ENSDARG00000040485	0.384984	0.384984		0.219839	0.219839		0.674188	0.674188		0.384984	0.219839	0.674188	0															0						Linear,1(1)	2.0227725505828857	2.0227725505828857	2.0227725505828857	2.0227725505828857	0.0	2.0227725505828857	0.384984	0.384984	0.219839	0.219839	0.674188	0.674188	UP	1.0	0.0	0.0	
R-DRE-1227986	Signaling by ERBB2	27	27	1	1	1	1	1	1	1	1	1	8	26	4867	0.99897	0.048532	0.048532	3.7	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-1257604	PIP3 activates AKT signaling	144	159	2	2	0	2	2	2	2	0	0	9	159	4734	0.74304	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1280215	Cytokine Signaling in Immune system	169	206	2	0	0	0	0	0	2	0	0	9	206	4687	0.67929	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1280218	Adaptive Immune System	313	362	1	1	0	1	1	1	1	0	0	9	362	4531	0.50106	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-162582	Signal Transduction	1204	1356	26	19	3	22	22	20	26	3	3	6	1353	3540	0.78134	0.47365	0.71429	0.22	751785;569550;565155	aldh1a3;edn2;hsp90aa1.2	ENSDARG00000076933;ENSDARG00000070578;ENSDARG00000024746		0.20316919999999997	0.126955	0.0558636	0.1968103720145867	0.17650381409726817	0.18740459452521638	0.09425016666666668	0.0266279	0.0234166	0.11991701901708253	0.0801012514622632	0.11207439469585392	0.5292903333333333	0.688297	0.117198	0.3599691416695788	0.47450372498551324	0.3733713874529872									0.126955;0.0558636;0.426689	0.0234166;0.0266279;0.232706	0.688297;0.117198;0.782376	0	3	0															3	751785;569550;565155	ENSDARG00000076933;ENSDARG00000070578;ENSDARG00000024746	0.20316919999999997	0.126955	0.1968103720145867	0.09425016666666668	0.0266279	0.11991701901708253	0.5292903333333333	0.688297	0.3599691416695788	0.126955;0.0558636;0.426689	0.0234166;0.0266279;0.232706	0.688297;0.117198;0.782376	0						Linear,1(0.34);Poly 2,2(0.67)	1.9577532960659974	6.0377891063690186	1.6121469736099243	2.7048754692077637	0.601986149273804	1.7207666635513306	-0.019542701673386703	0.42588110167338666	-0.041448714824796284	0.2299490481581296	0.12194690288126919	0.9366337637853974	DOWN	0.0	1.0	0.0	
R-DRE-1640170	Cell Cycle	371	392	3	2	2	3	3	3	3	2	2	7	390	4503	0.97037	0.1581	0.1581	0.51	565155;560212	hsp90aa1.2;top3a	ENSDARG00000024746;ENSDARG00000052827		0.554098	0.554098	0.426689	0.18018353576839366	0.561603103328395	0.17987065744601047	0.254581	0.254581	0.232706	0.030935921676911293	0.25586955995501603	0.03088220323235733	1.231198	1.231198	0.782376	0.6347301594914174	1.2576361282802382	0.6336279871612955									0.426689;0.681507	0.232706;0.276456	0.782376;1.68002	0	2	0															2	565155;560212	ENSDARG00000024746;ENSDARG00000052827	0.554098	0.554098	0.18018353576839366	0.254581	0.254581	0.030935921676911293	1.231198	1.231198	0.6347301594914174	0.426689;0.681507	0.232706;0.276456	0.782376;1.68002	0						Linear,2(1)	1.6272720768303355	3.2596240043640137	1.538857340812683	1.7207666635513306	0.12862931566954985	1.6298120021820068	0.30437636	0.80381964	0.21170600000000003	0.297456	0.3515068800000001	2.11088912	DOWN	0.0	1.0	0.0	
R-DRE-194138	Signaling by VEGF	60	62	3	2	1	2	2	2	3	1	1	8	61	4832	0.99465	0.10832	0.10832	1.61	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-199418	Negative regulation of the PI3K/AKT network	61	69	2	2	0	2	2	2	2	0	0	9	69	4824	0.88013	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-199991	Membrane Trafficking	308	315	5	4	0	4	4	4	5	0	0	9	315	4578	0.54977	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-212436	Generic Transcription Pathway	455	490	8	5	1	8	8	6	8	1	1	8	489	4404	0.77505	0.61274	1.0	0.2	560212	top3a	ENSDARG00000052827		0.681507	0.681507	0.681507		0.681507		0.276456	0.276456	0.276456		0.276456		1.68002	1.68002	1.68002		1.68002										0.681507	0.276456	1.68002	0	1	0															1	560212	ENSDARG00000052827	0.681507	0.681507		0.276456	0.276456		1.68002	1.68002		0.681507	0.276456	1.68002	0						Linear,1(1)	1.538857340812683	1.538857340812683	1.538857340812683	1.538857340812683	0.0	1.538857340812683	0.681507	0.681507	0.276456	0.276456	1.68002	1.68002	DOWN	0.0	1.0	0.0	
R-DRE-2262752	Cellular responses to stress	315	351	3	3	2	3	3	3	3	2	2	7	349	4544	0.9779	0.13181	0.13181	0.57	565155;335865	hsp90aa1.2;hspa4a	ENSDARG00000024746;ENSDARG00000004754		0.50726	0.50726	0.426689	0.11394460093396244	0.5057118281527399	0.11392356389203498	0.24956250000000002	0.24956250000000002	0.232706	0.023838690914141522	0.2492386023352901	0.02383428969165242	1.039688	1.039688	0.782376	0.36389412016134576	1.0347437496572933	0.3638269361456033									0.426689;0.587831	0.232706;0.266419	0.782376;1.297	0	2	0															2	565155;335865	ENSDARG00000024746;ENSDARG00000004754	0.50726	0.50726	0.11394460093396244	0.24956250000000002	0.24956250000000002	0.023838690914141522	1.039688	1.039688	0.36389412016134576	0.426689;0.587831	0.232706;0.266419	0.782376;1.297	0						Linear,2(1)	1.6765395684220499	3.3542158603668213	1.6334491968154907	1.7207666635513306	0.061742772844943145	1.6771079301834106	0.34934084000000004	0.6651791600000001	0.21652376	0.28260124000000003	0.53535648	1.54401952	DOWN	0.0	1.0	0.0	
R-DRE-3700989	Transcriptional Regulation by TP53	203	211	3	2	1	3	3	2	3	1	1	8	210	4683	0.94563	0.3272	0.3272	0.47	560212	top3a	ENSDARG00000052827		0.681507	0.681507	0.681507		0.681507		0.276456	0.276456	0.276456		0.276456		1.68002	1.68002	1.68002		1.68002										0.681507	0.276456	1.68002	0	1	0															1	560212	ENSDARG00000052827	0.681507	0.681507		0.276456	0.276456		1.68002	1.68002		0.681507	0.276456	1.68002	0						Linear,1(1)	1.538857340812683	1.538857340812683	1.538857340812683	1.538857340812683	0.0	1.538857340812683	0.681507	0.681507	0.276456	0.276456	1.68002	1.68002	DOWN	0.0	1.0	0.0	
R-DRE-372790	Signaling by GPCR	281	378	9	7	1	8	8	7	9	1	1	8	377	4516	0.85102	0.51463	0.51463	0.26	569550	edn2	ENSDARG00000070578		0.0558636	0.0558636	0.0558636		0.0558636		0.0266279	0.0266279	0.0266279		0.0266279		0.117198	0.117198	0.117198		0.11719800000000001										0.0558636	0.0266279	0.117198	0	1	0															1	569550	ENSDARG00000070578	0.0558636	0.0558636		0.0266279	0.0266279		0.117198	0.117198		0.0558636	0.0266279	0.117198	0						Poly 2,1(1)	2.7048754692077637	2.7048754692077637	2.7048754692077637	2.7048754692077637	0.0	2.7048754692077637	0.0558636	0.0558636	0.0266279	0.0266279	0.117198	0.117198	DOWN	0.0	1.0	0.0	
R-DRE-388396	GPCR downstream signalling	269	364	7	6	1	7	7	6	7	1	1	8	363	4530	0.85999	0.50093	0.50093	0.27	569550	edn2	ENSDARG00000070578		0.0558636	0.0558636	0.0558636		0.0558636		0.0266279	0.0266279	0.0266279		0.0266279		0.117198	0.117198	0.117198		0.11719800000000001										0.0558636	0.0266279	0.117198	0	1	0															1	569550	ENSDARG00000070578	0.0558636	0.0558636		0.0266279	0.0266279		0.117198	0.117198		0.0558636	0.0266279	0.117198	0						Poly 2,1(1)	2.7048754692077637	2.7048754692077637	2.7048754692077637	2.7048754692077637	0.0	2.7048754692077637	0.0558636	0.0558636	0.0266279	0.0266279	0.117198	0.117198	DOWN	0.0	1.0	0.0	
R-DRE-4420097	VEGFA-VEGFR2 Pathway	57	58	3	2	1	2	2	2	3	1	1	8	57	4836	0.9953	0.10166	0.10166	1.72	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-5218920	VEGFR2 mediated vascular permeability	13	13	1	1	1	1	1	1	1	1	1	8	12	4881	0.99977	0.023635	0.023635	7.69	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001		0.0	0.426689			0.232706		0.782376		0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-5357801	Programmed Cell Death	62	77	2	2	2	2	2	2	2	2	2	7	75	4818	0.99971	0.0081635	0.0081635	2.6	565155;335722	hsp90aa1.2;gsdmeb	ENSDARG00000024746;ENSDARG00000040485		0.4058365	0.4058365	0.384984	0.02948988830938518	0.3956742002082	0.025750899758709263	0.2262725	0.2262725	0.219839	0.00909834295352822	0.22313718501567942	0.007944774659999897	0.728282	0.728282	0.674188	0.07650046844301096	0.7019197199406484	0.06680106325609371									0.426689;0.384984	0.232706;0.219839	0.782376;0.674188	1	1	1	335722	ENSDARG00000040485	0.384984	0.384984		0.219839	0.219839		0.674188	0.674188		0.384984	0.219839	0.674188	1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,2(1)	1.8656686664543969	3.7435392141342163	1.7207666635513306	2.0227725505828857	0.21355041067827107	1.8717696070671082	0.3649656	0.4467074	0.21366284	0.23888215999999998	0.62225776	0.83430624	CONFLICT	0.5	0.5	0.0	
R-DRE-5633007	Regulation of TP53 Activity	101	107	1	1	1	1	1	1	1	1	1	8	106	4787	0.98463	0.18028	0.18028	0.93	560212	top3a	ENSDARG00000052827		0.681507	0.681507	0.681507		0.681507		0.276456	0.276456	0.276456		0.276456		1.68002	1.68002	1.68002		1.68002										0.681507	0.276456	1.68002	0	1	0															1	560212	ENSDARG00000052827	0.681507	0.681507		0.276456	0.276456		1.68002	1.68002		0.681507	0.276456	1.68002	0						Linear,1(1)	1.538857340812683	1.538857340812683	1.538857340812683	1.538857340812683	0.0	1.538857340812683	0.681507	0.681507	0.276456	0.276456	1.68002	1.68002	DOWN	0.0	1.0	0.0	
R-DRE-5653656	Vesicle-mediated transport	327	338	5	4	0	4	4	4	5	0	0	9	338	4555	0.52543	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-69278	Cell Cycle, Mitotic	311	331	2	1	1	2	2	2	2	1	1	8	330	4563	0.88053	0.46727	0.46727	0.3	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-73857	RNA Polymerase II Transcription	528	563	10	6	1	10	10	7	10	1	1	8	562	4331	0.72307	0.66678	1.0	0.18	560212	top3a	ENSDARG00000052827		0.681507	0.681507	0.681507		0.681507		0.276456	0.276456	0.276456		0.276456		1.68002	1.68002	1.68002		1.68002										0.681507	0.276456	1.68002	0	1	0															1	560212	ENSDARG00000052827	0.681507	0.681507		0.276456	0.276456		1.68002	1.68002		0.681507	0.276456	1.68002	0						Linear,1(1)	1.538857340812683	1.538857340812683	1.538857340812683	1.538857340812683	0.0	1.538857340812683	0.681507	0.681507	0.276456	0.276456	1.68002	1.68002	DOWN	0.0	1.0	0.0	
R-DRE-74160	Gene expression (Transcription)	589	624	13	9	3	12	12	9	13	2	2	7	622	4271	0.90419	0.3209	0.3209	0.32	563394;560212	gtf3c2;top3a	ENSDARG00000004574;ENSDARG00000052827		0.37083495	0.37083495	0.0601629	0.43935662656025226	0.16892490475378083	0.3339145288239858	0.15199284999999998	0.15199284999999998	0.0275297	0.17601747474567686	0.07110253415733903	0.1337746800466893	0.9057495	0.9057495	0.131479	1.0949838420453974	0.4025404353679781	0.8321964244604944									0.0601629;0.681507	0.0275297;0.276456	0.131479;1.68002	1	1	1	563394	ENSDARG00000004574	0.0601629	0.0601629		0.0275297	0.0275297		0.131479	0.131479		0.0601629	0.0275297	0.131479	1	560212	ENSDARG00000052827	0.681507	0.681507		0.276456	0.276456		1.68002	1.68002		0.681507	0.276456	1.68002	0						Linear,1(0.5);Poly 2,1(0.5)	1.566654266823375	3.1338106393814087	1.538857340812683	1.5949532985687256	0.03966583212645174	1.5669053196907043	-0.23808226799999987	0.9797521679999999	-0.09195492400000002	0.39594062399999996	-0.6118206800000002	2.4233196800000005	CONFLICT	0.5	0.5	0.0	
R-DRE-8863795	Downregulation of ERBB2 signaling	12	12	1	1	1	1	1	1	1	1	1	8	11	4882	0.9998	0.021835	0.021835	8.33	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001		0.0	0.426689			0.232706		0.782376		0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-8939211	ESR-mediated signaling	101	118	5	4	1	5	5	4	5	1	1	8	117	4776	0.98148	0.19706	0.19706	0.85	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
