Chemical,model,term,df,sumsq,meansq,statistic,p.value,adj_p.value,is.significant
34-DCA,,as.factor(Group),2,436.28817559259255,218.14408779629628,3.5500434251382083,0.03683323010832099,0.07366646021664199,FALSE
34-DCA,,Residuals,46,2826.6212090740737,61.448287153784214,NA,NA,NA,NA
4-TPP,,as.factor(`Dose(mg/L)`),5,742.7903389419942,148.55806778839883,7.812338785114231,2.6617962054715622e-5,5.3235924109431245e-5,TRUE
4-TPP,,as.factor(Group),2,90.3439387399663,45.17196936998315,2.3754935262874355,0.10506333933127583,0.10506333933127583,FALSE
4-TPP,,Residuals,43,817.6804783572562,19.015825078075725,NA,NA,NA,NA
4C3MP,,as.factor(`Dose(mg/L)`),5,226.04715281481498,45.20943056296299,5.44939133000681,5.097497011603746e-4,0.0010194994023207493,TRUE
4C3MP,,as.factor(Group),2,18.719743259259328,9.359871629629664,1.1282071610578086,0.3324022919359867,0.3324022919359867,FALSE
4C3MP,,Residuals,46,381.6268056296296,8.296234904991948,NA,NA,NA,NA
4TOP,,as.factor(`Dose(mg/L)`),5,894.70408584936,178.940817169872,5.559659419512649,4.711981992494126e-4,9.423963984988252e-4,TRUE
4TOP,,as.factor(Group),2,218.77382906916878,109.38691453458439,3.3986320135461034,0.042410345342009735,0.042410345342009735,TRUE
4TOP,,Residuals,44,1416.1651571391646,32.18557175316283,NA,NA,NA,NA
Aniline,,as.factor(`Dose(mg/L)`),5,292.3606495263894,58.47212990527788,5.594509509038383,5.332851917078518e-4,0.0010665703834157037,TRUE
Aniline,,as.factor(Group),2,52.461947134017194,26.230973567008597,2.509732949521273,0.09401411455566257,0.09401411455566257,FALSE
Aniline,,Residuals,40,418.0679633187604,10.45169908296901,NA,NA,NA,NA
BPA,,as.factor(`Dose(mg/L)`),5,2190.037530166669,438.0075060333338,4.554385498879391,0.0018614801769608154,0.0037229603539216307,TRUE
BPA,,as.factor(Group),2,570.5499901111106,285.2749950555553,2.9662786202915745,0.06142099308103597,0.06142099308103597,FALSE
BPA,,Residuals,46,4423.943753222222,96.17269028743961,NA,NA,NA,NA
BPAF,,as.factor(`Dose(mg/L)`),5,8.863000493972763,1.7726000987945525,0.6814652975118818,0.6397986459972513,0.6397986459972513,FALSE
BPAF,,as.factor(Group),2,18.95884895229468,9.47942447614734,3.6443069281515794,0.034128810818014,0.068257621636028,FALSE
BPAF,,Residuals,45,117.0521884782608,2.601159743961351,NA,NA,NA,NA
Clofibric-acid,,as.factor(`Dose(mg/L)`),5,227.26144837960354,45.45228967592071,8.287744706073042,1.623637395567785e-5,3.24727479113557e-5,TRUE
Clofibric-acid,,as.factor(Group),2,6.832234052115164,3.416117026057582,0.6228928399405481,0.5412718896001099,0.5412718896001099,FALSE
Clofibric-acid,,Residuals,42,230.33964414828168,5.484277241625755,NA,NA,NA,NA
DES,,as.factor(`Dose(mg/L)`),5,93.39076103703721,18.678152207407443,0.9333052216279356,0.468368295564485,0.468368295564485,FALSE
DES,,as.factor(Group),2,1890.8222080370379,945.4111040185189,47.24006476484258,7.051596468523998e-12,1.4103192937047996e-11,TRUE
DES,,Residuals,46,920.5938010740741,20.01290871900161,NA,NA,NA,NA
DMSO,,as.factor(`Dose(mg/L)`),5,609.9285970555555,121.9857194111111,5.444902234249104,5.130000690447219e-4,0.0010260001380894437,TRUE
DMSO,,as.factor(Group),2,18.728858111111066,9.364429055555533,0.4179866375606033,0.6608463410611525,0.6608463410611525,FALSE
DMSO,,Residuals,46,1030.568199666667,22.40365651449276,NA,NA,NA,NA
EE2,,as.factor(`Dose(mg/L)`),5,43.717875653301874,8.743575130660375,1.2664967520140253,0.2949430891952576,0.5618679412826213,FALSE
EE2,,as.factor(Group),2,8.062711579106281,4.031355789553141,0.5839372267504461,0.5618679412826213,0.5618679412826213,FALSE
EE2,,Residuals,45,310.6686852958938,6.903748562130973,NA,NA,NA,NA
Fadrozole,,as.factor(`Dose(mg/L)`),5,258.33268539727436,51.66653707945487,3.300064250693576,0.012687083207995066,0.012687083207995066,TRUE
Fadrozole,,as.factor(Group),2,584.5819227415451,292.29096137077255,18.669316872101867,1.2479560493665693e-6,2.4959120987331385e-6,TRUE
Fadrozole,,Residuals,45,704.5299703140096,15.656221562533545,NA,NA,NA,NA
Fenitrothione,,as.factor(`Dose(mg/L)`),5,163.12879459643594,32.625758919287186,3.0058500169301974,0.020033370056342724,0.020033370056342724,TRUE
Fenitrothione,,as.factor(Group),2,257.584375751208,128.792187875604,11.865777622647238,7.265536834712965e-5,1.453107366942593e-4,TRUE
Fenitrothione,,Residuals,45,488.4339348599033,10.854087441331185,NA,NA,NA,NA
Fluoxetine,,as.factor(`Dose(mg/L)`),5,208.97147548148155,41.79429509629631,9.970694213446858,1.6547558745485055e-6,3.309511749097011e-6,TRUE
Fluoxetine,,as.factor(Group),2,16.381014925925893,8.190507462962946,1.9539758997728587,0.15329427938358123,0.15329427938358123,FALSE
Fluoxetine,,Residuals,46,192.8188281851852,4.191713656199679,NA,NA,NA,NA
Flutamide,,as.factor(`Dose(mg/L)`),5,263.9702290314465,52.7940458062893,5.170753310623567,7.841525146631611e-4,0.0015683050293263223,TRUE
Flutamide,,as.factor(Group),2,61.78602464613529,30.893012323067644,3.0257227553794905,0.05849255337308584,0.05849255337308584,FALSE
Flutamide,,Residuals,45,459.45569602053143,10.210126578234032,NA,NA,NA,NA
Glyphosate,,as.factor(`Dose(mg/L)`),5,282.70369369392057,56.540738738784114,2.439213265649413,0.04867271776793682,0.09734543553587365,FALSE
Glyphosate,,as.factor(Group),2,70.22194425966191,35.110972129830955,1.5147157766119457,0.2308681436077942,0.2308681436077942,FALSE
Glyphosate,,Residuals,45,1043.0958535181157,23.179907855958128,NA,NA,NA,NA
Malathion,,as.factor(`Dose(mg/L)`),5,532.9590085379976,106.59180170759953,2.349614944370471,0.056027735145045256,0.056027735145045256,FALSE
Malathion,,as.factor(Group),2,559.3362452795891,279.66812263979455,6.164755543030151,0.004302998586557281,0.008605997173114562,TRUE
Malathion,,Residuals,45,2041.4541064843002,45.36564681076223,NA,NA,NA,NA
NN-Dimethylformamide,,as.factor(`Dose(mg/L)`),5,112.66397990356391,22.532795980712784,2.005017607070454,0.09612092765516493,0.19224185531032986,FALSE
NN-Dimethylformamide,,as.factor(Group),2,31.226157338164313,15.613078669082157,1.3892859838113882,0.25973791113417555,0.25973791113417555,FALSE
NN-Dimethylformamide,,Residuals,45,505.7191595507247,11.238203545571661,NA,NA,NA,NA
Prochloraz,,as.factor(`Dose(mg/L)`),5,47.84770000000004,9.569540000000007,1.3398900749485851,0.26544291111575974,0.26544291111575974,FALSE
Prochloraz,,as.factor(Group),2,83.67115323484848,41.83557661742424,5.8576560513293,0.005552881352172427,0.011105762704344853,TRUE
Prochloraz,,Residuals,44,314.2494805151515,7.142033648071625,NA,NA,NA,NA
SDS,,as.factor(`Dose(mg/L)`),5,14.155187793650766,2.831037558730153,0.658971041699235,0.6563534368844984,0.6563534368844984,FALSE
SDS,,as.factor(Group),2,21.1803901025711,10.59019505128555,2.4650438999735313,0.09666894778567171,0.19333789557134343,FALSE
SDS,,Residuals,44,189.03054110377812,4.296148661449503,NA,NA,NA,NA
TEG,,as.factor(`Dose(mg/L)`),5,287.8109011862744,57.56218023725488,3.959402276333909,0.004839575353805115,0.00967915070761023,TRUE
TEG,,as.factor(Group),2,10.739887621332006,5.369943810666003,0.36937043836945055,0.6933409420429283,0.6933409420429283,FALSE
TEG,,Residuals,43,625.138234878668,14.538098485550417,NA,NA,NA,NA
TGSH,,as.factor(`Dose(mg/L)`),5,40.92502570499999,8.185005140999998,2.0320949607948933,0.09363754119099454,0.09363754119099454,FALSE
TGSH,,as.factor(Group),2,25.945932790805358,12.972966395402679,3.220804285950452,0.04996264490798287,0.09363754119099454,FALSE
TGSH,,Residuals,42,169.17035008419464,4.02786547819511,NA,NA,NA,NA
Trenbolone,,as.factor(`Dose(mg/L)`),5,1092.8884316679766,218.57768633359532,3.6971250864346006,0.006896329576800691,0.013792659153601382,TRUE
Trenbolone,,as.factor(Group),2,486.6406303484299,243.32031517421495,4.115633468170249,0.022831187342458172,0.022831187342458172,TRUE
Trenbolone,,Residuals,45,2660.444441304348,59.12098758454106,NA,NA,NA,NA
Vinclozolin,,as.factor(`Dose(mg/L)`),5,213.1498603148146,42.62997206296292,1.4881695144504516,0.21213411337305488,0.23516905522867151,FALSE
Vinclozolin,,as.factor(Group),2,85.59210681481468,42.79605340740734,1.493967247401252,0.23516905522867151,0.23516905522867151,FALSE
Vinclozolin,,Residuals,46,1317.7119245185188,28.645911402576495,NA,NA,NA,NA
