Chemical,model,term,df,sumsq,meansq,statistic,p.value,adj_p.value,is.significant
BPA,,Residuals,36,9.691308378632778,0.26920301051757717,NA,NA,NA,NA
BPAF,,Dose,5,1.2687654949147076,0.2537530989829415,0.6209168102780607,0.684715693412826,0.684715693412826,FALSE
BPAF,,Group,2,0.5990055759123131,0.29950278795615654,0.7328632300944811,0.4877592937955946,0.684715693412826,FALSE
BPAF,,Dose:Group,10,5.7368395422202525,0.5736839542220252,1.4037661506044938,0.2192425274344374,0.6577275823033122,FALSE
BPAF,,Residuals,35,14.303620577490369,0.408674873642582,NA,NA,NA,NA
Clofibric-acid,,Dose,5,20.01544588794807,4.003089177589613,7.477513984365276,9.612190030108417e-5,2.883657009032525e-4,TRUE
Clofibric-acid,,Group,2,6.489482623353072,3.244741311676536,6.0609687811947035,0.005860388962402569,0.008790583443603854,TRUE
Clofibric-acid,,Dose:Group,10,4.970877220933039,0.4970877220933039,0.9285280013789429,0.5205947283606138,0.5205947283606138,FALSE
Clofibric-acid,,Residuals,32,17.1312088416965,0.5353502763030156,NA,NA,NA,NA
DES,,Dose,5,35.12316779552619,7.024633559105238,0.4316304595438788,0.8224979376808262,0.8224979376808262,FALSE
DES,,Group,2,134.02654268240872,67.01327134120436,4.117648110918258,0.027492156176597716,0.08247646852979315,FALSE
DES,,Dose:Group,9,127.68640986176719,14.187378873529688,0.8717472322762333,0.5611128702171906,0.8224979376808262,FALSE
DES,,Residuals,27,439.41548123426725,16.27464745312101,NA,NA,NA,NA
DMSO,,Dose,5,53.229450962213534,10.645890192442707,7.109068555711226,1.0289689186690432e-4,3.0869067560071293e-4,TRUE
DMSO,,Group,2,2.017547093471024,1.008773546735512,0.6736346300116425,0.5161615666579976,0.5161615666579976,FALSE
DMSO,,Dose:Group,10,14.585556123286938,1.4585556123286938,0.9739882389283674,0.48219493459464513,0.5161615666579976,FALSE
DMSO,,Residuals,36,53.910303990533826,1.4975084441814952,NA,NA,NA,NA
EE2,,Dose,5,19.815244193157447,3.9630488386314893,2.067135729558059,0.09310520295992582,0.13965780443988873,FALSE
EE2,,Group,2,16.44734699124715,8.223673495623576,4.289487715950864,0.021569645367672426,0.06470893610301728,FALSE
EE2,,Dose:Group,10,18.270027964072526,1.8270027964072526,0.9529690176011224,0.4994794539278088,0.4994794539278088,FALSE
EE2,,Residuals,35,67.10092006476846,1.9171691447076702,NA,NA,NA,NA
Fadrozole,,Dose,5,63.11105894896164,12.622211789792328,12.633811617465517,1.1920131097310072e-6,1.788019664596511e-6,TRUE
Fadrozole,,Group,2,64.94622763462188,32.47311381731094,32.502956647598204,3.09427752442603e-8,9.28283257327809e-8,TRUE
Fadrozole,,Dose:Group,10,23.919792777580806,2.3919792777580806,2.3941775095641953,0.031560240955532295,0.031560240955532295,TRUE
Fadrozole,,Residuals,30,29.9724552778898,0.9990818425963267,NA,NA,NA,NA
Fenitrothione,,Dose,5,17.517247276595565,3.503449455319113,1.9959079187076203,0.10276599255093033,0.1541489888263955,FALSE
Fenitrothione,,Group,2,9.49999024050884,4.74999512025442,2.7060624094189514,0.0803803246272517,0.1541489888263955,FALSE
Fenitrothione,,Dose:Group,10,19.476983989462674,1.9476983989462675,1.1095997551238888,0.38170560041292134,0.38170560041292134,FALSE
Fenitrothione,,Residuals,36,63.19138233248522,1.7553161759023672,NA,NA,NA,NA
Fluoxetine,,Dose,5,19.90550715660912,3.981101431321824,4.470217140169693,0.0033509519482371733,0.010052855844711519,TRUE
Fluoxetine,,Group,2,3.2199244256806066,1.6099622128403033,1.807761194488006,0.18037259504741662,0.2705588925711249,FALSE
Fluoxetine,,Dose:Group,10,5.1911091999764,0.51911091999764,0.5828885729877605,0.815587371106669,0.815587371106669,FALSE
Fluoxetine,,Residuals,32,28.49867060316053,0.8905834563487666,NA,NA,NA,NA
Flutamide,,Dose,5,12.359051168567207,2.4718102337134416,4.359034383173283,0.004041724918634067,0.012125174755902201,TRUE
Flutamide,,Group,2,1.289718518681053,0.6448592593405265,1.1372085305877444,0.3337291868506507,0.5005937802759761,FALSE
Flutamide,,Dose:Group,10,1.860675067127461,0.1860675067127461,0.3281298249719174,0.9668762721954214,0.9668762721954214,FALSE
Flutamide,,Residuals,31,17.578690716666138,0.5670545392472948,NA,NA,NA,NA
Glyphosate,,Dose,5,7.089402201081213,1.4178804402162426,3.3915475634999392,0.013958637506730437,0.020937956260095654,TRUE
Glyphosate,,Group,2,2.684712967131763,1.3423564835658814,3.2108954549735373,0.05319002942238447,0.05319002942238447,FALSE
Glyphosate,,Dose:Group,10,17.726810658408848,1.7726810658408847,4.2402250423866565,7.769990628599994e-4,0.0023309971885799984,TRUE
Glyphosate,,Residuals,33,13.796077941142176,0.41806296791339925,NA,NA,NA,NA
Malathion,,Dose,5,9.263711267012912,1.8527422534025824,1.5812030135010364,0.19453202144196116,0.29179803216294176,FALSE
Malathion,,Group,2,0.1926213199173842,0.0963106599586921,0.08219530022553395,0.9212921071456552,0.9212921071456552,FALSE
Malathion,,Dose:Group,9,20.89104237106598,2.321226930118442,1.9810262383677144,0.07636646339531485,0.22909939018594455,FALSE
Malathion,,Residuals,31,36.32361522528961,1.1717295233964389,NA,NA,NA,NA
NN-Dimethylformamide,,Dose,5,41.21082415468095,8.24216483093619,1.7329000734790738,0.15860236996879773,0.2379035549531966,FALSE
NN-Dimethylformamide,,Group,2,37.21291818059989,18.606459090299946,3.9119739760292815,0.031324267417245956,0.09397280225173787,FALSE
NN-Dimethylformamide,,Dose:Group,10,50.93066613936501,5.093066613936501,1.0708079358468618,0.4146297722256093,0.4146297722256093,FALSE
NN-Dimethylformamide,,Residuals,29,137.9322349599034,4.7562839641346,NA,NA,NA,NA
Prochloraz,,Dose,5,7.277821695101366,1.4555643390202733,1.1693418675638716,0.3449632981105819,0.5246996680893938,FALSE
Prochloraz,,Group,2,2.7000341832877512,1.3500170916438756,1.0845494526532287,0.34979977872626256,0.5246996680893938,FALSE
Prochloraz,,Dose:Group,10,10.671715784516785,1.0671715784516784,0.8573227394384452,0.5798968622372414,0.5798968622372414,FALSE
Prochloraz,,Residuals,33,41.07748513934513,1.2447722769498524,NA,NA,NA,NA
SDS,,Dose,5,9.430880619884551,1.8861761239769101,1.381465139912255,0.25428211818654517,0.3911738534534176,FALSE
SDS,,Group,2,3.8107373606826025,1.9053686803413012,1.3955220708775906,0.2607825689689451,0.3911738534534176,FALSE
SDS,,Dose:Group,10,13.084940673535295,1.3084940673535295,0.9583616910702809,0.49470613247327033,0.49470613247327033,FALSE
SDS,,Residuals,36,49.152409642042535,1.3653447122789593,NA,NA,NA,NA
TEG,,Dose,5,2.210961844283941,0.44219236885678825,0.5585172282210963,0.7307851004407957,0.9024734563052472,FALSE
TEG,,Group,2,1.9508842584451205,0.9754421292225602,1.2320457625986578,0.3055843747851384,0.9024734563052472,FALSE
TEG,,Dose:Group,10,3.6468277302330403,0.36468277302330404,0.4606176540213538,0.9024734563052472,0.9024734563052472,FALSE
TEG,,Residuals,31,24.543492558360192,0.7917255663987158,NA,NA,NA,NA
TGSH,,Dose,5,32.113782988674615,6.422756597734923,2.7819546602291743,0.0338961661177332,0.1016884983531996,FALSE
TGSH,,Group,2,4.259547863746492,2.129773931873246,0.9224909001064904,0.4078411988931727,0.5018190045899729,FALSE
TGSH,,Dose:Group,10,21.97381700713794,2.1973817007137937,0.9517745487597786,0.5018190045899729,0.5018190045899729,FALSE
TGSH,,Residuals,32,73.87906570360364,2.308720803237614,NA,NA,NA,NA
Trenbolone,,Dose,5,15.63007784836334,3.126015569672668,5.763246985522977,6.265793696367864e-4,0.0018797381089103592,TRUE
Trenbolone,,Group,2,1.1223550107543663,0.5611775053771831,1.0346092315039286,0.3666059964599995,0.3666059964599995,FALSE
Trenbolone,,Dose:Group,10,8.108614294166715,0.8108614294166715,1.4949364725178975,0.18529925993507096,0.27794888990260647,FALSE
Trenbolone,,Residuals,33,17.8993740955971,0.5424052756241545,NA,NA,NA,NA
Vinclozolin,,Dose,5,1.9270365960269067,0.38540731920538135,1.860837328427924,0.13219427907090023,0.19829141860635036,FALSE
Vinclozolin,,Group,2,1.1273495523978112,0.5636747761989056,2.7215546056747897,0.08256327529740179,0.19829141860635036,FALSE
Vinclozolin,,Dose:Group,9,2.0647966098238206,0.22942184553598008,1.1077027156888932,0.38826816883173293,0.38826816883173293,FALSE
Vinclozolin,,Residuals,29,6.006334936540893,0.2071149978117549,NA,NA,NA,NA
