Identifier,EE2-100ng/L-B
ENSDARG00000114316,0
ENSDARG00000114817,0
ENSDARG00000096527,27
ENSDARG00000092278,0
ENSDARG00000019715,1
ENSDARG00000017174,0
ENSDARG00000069946,10
ENSDARG00000074575,8
ENSDARG00000069951,5
ENSDARG00000069953,0
ENSDARG00000093358,0
ENSDARG00000094957,0
ENSDARG00000078902,3
ENSDARG00000039616,3
ENSDARG00000095941,0
ENSDARG00000018611,0
ENSDARG00000053269,7
ENSDARG00000039615,2
ENSDARG00000060501,1
ENSDARG00000039613,1
ENSDARG00000029751,0
ENSDARG00000027572,6
ENSDARG00000078733,5
ENSDARG00000058231,7
ENSDARG00000053248,8
ENSDARG00000012896,9
ENSDARG00000100996,0
ENSDARG00000096540,1
ENSDARG00000053241,0
ENSDARG00000069834,0
ENSDARG00000096548,0
ENSDARG00000027826,3
ENSDARG00000107292,0
ENSDARG00000079455,9
ENSDARG00000089053,0
ENSDARG00000078810,0
ENSDARG00000115601,0
ENSDARG00000094318,0
ENSDARG00000060716,2
ENSDARG00000074815,4
ENSDARG00000033380,0
ENSDARG00000051975,15
ENSDARG00000079280,4
ENSDARG00000053586,16
ENSDARG00000002190,10
ENSDARG00000053580,0
ENSDARG00000003701,0
ENSDARG00000079350,13
ENSDARG00000012763,9
ENSDARG00000013023,0
ENSDARG00000106311,0
ENSDARG00000115905,0
ENSDARG00000022971,0
ENSDARG00000081597,0
ENSDARG00000032056,7
ENSDARG00000074860,8
ENSDARG00000053542,12
ENSDARG00000094556,0
ENSDARG00000053535,1
ENSDARG00000111052,0
ENSDARG00000015312,3
ENSDARG00000015506,4
ENSDARG00000013006,0
ENSDARG00000108956,0
ENSDARG00000058287,3
ENSDARG00000069910,14
ENSDARG00000109513,0
ENSDARG00000092693,446
ENSDARG00000084532,0
ENSDARG00000085301,0
ENSDARG00000081849,0
ENSDARG00000082811,0
ENSDARG00000095892,0
ENSDARG00000095934,0
ENSDARG00000079191,0
ENSDARG00000105033,0
ENSDARG00000102858,2
ENSDARG00000093282,0
ENSDARG00000101520,0
ENSDARG00000075798,2
ENSDARG00000037018,12
ENSDARG00000074677,1
ENSDARG00000094485,0
ENSDARG00000060397,7
ENSDARG00000094648,0
ENSDARG00000027199,4
ENSDARG00000115856,1
ENSDARG00000060383,7
ENSDARG00000037002,1
ENSDARG00000076171,15
ENSDARG00000112614,0
ENSDARG00000113986,0
ENSDARG00000036995,24
ENSDARG00000069737,8
ENSDARG00000095555,0
ENSDARG00000011876,10
ENSDARG00000078789,9
ENSDARG00000036755,0
ENSDARG00000078326,6
ENSDARG00000102082,0
ENSDARG00000081340,0
ENSDARG00000034093,6
ENSDARG00000102787,16
ENSDARG00000082897,0
ENSDARG00000074501,0
ENSDARG00000090416,5
ENSDARG00000074989,12
ENSDARG00000076343,0
ENSDARG00000077519,0
ENSDARG00000040048,8
ENSDARG00000082660,0
ENSDARG00000057303,6
ENSDARG00000113575,0
ENSDARG00000029722,124
ENSDARG00000008305,1
ENSDARG00000117649,0
ENSDARG00000007477,5
ENSDARG00000053106,3
ENSDARG00000012016,3
ENSDARG00000011066,4
ENSDARG00000004621,172
ENSDARG00000095811,0
ENSDARG00000075098,0
ENSDARG00000053222,4
ENSDARG00000089976,16
ENSDARG00000069640,1
ENSDARG00000104657,0
ENSDARG00000117532,0
ENSDARG00000085733,0
ENSDARG00000005479,46
ENSDARG00000110757,0
ENSDARG00000085080,0
ENSDARG00000093919,0
ENSDARG00000036990,3
ENSDARG00000085746,0
ENSDARG00000007387,10
ENSDARG00000024828,4
ENSDARG00000070162,37
ENSDARG00000104907,9
ENSDARG00000080987,0
ENSDARG00000079183,2
ENSDARG00000104437,13
ENSDARG00000103145,2
ENSDARG00000069701,2
ENSDARG00000020857,2
ENSDARG00000093120,4
ENSDARG00000074662,1
ENSDARG00000076585,7
ENSDARG00000079631,12
ENSDARG00000018587,0
ENSDARG00000078182,0
ENSDARG00000095065,0
ENSDARG00000109438,0
ENSDARG00000074610,0
ENSDARG00000069707,0
ENSDARG00000078251,0
ENSDARG00000008457,2
ENSDARG00000031435,131
ENSDARG00000077874,1
ENSDARG00000069710,0
ENSDARG00000079552,2
ENSDARG00000087333,10
ENSDARG00000009315,15
ENSDARG00000030368,8
ENSDARG00000117231,3
ENSDARG00000117450,0
ENSDARG00000117485,4
ENSDARG00000117707,3
ENSDARG00000052899,0
ENSDARG00000052900,0
ENSDARG00000052895,0
ENSDARG00000074600,3
ENSDARG00000075521,2
ENSDARG00000095566,0
ENSDARG00000007941,4
ENSDARG00000095651,1
ENSDARG00000069669,1
ENSDARG00000108025,0
ENSDARG00000033604,13
ENSDARG00000060236,0
ENSDARG00000036774,8
ENSDARG00000109727,0
ENSDARG00000052866,17
ENSDARG00000108028,0
ENSDARG00000091911,0
ENSDARG00000093237,1
ENSDARG00000008706,65
ENSDARG00000078108,0
ENSDARG00000075639,1
ENSDARG00000078016,1
ENSDARG00000092551,0
ENSDARG00000075194,4
ENSDARG00000098598,0
ENSDARG00000060252,5
ENSDARG00000078908,5
ENSDARG00000036965,9
ENSDARG00000036967,20
ENSDARG00000060264,0
ENSDARG00000024101,0
ENSDARG00000107253,0
ENSDARG00000024785,20
ENSDARG00000084202,0
ENSDARG00000087061,0
ENSDARG00000052713,14
ENSDARG00000107073,0
ENSDARG00000113563,0
ENSDARG00000081405,0
ENSDARG00000052712,83
ENSDARG00000052703,5
ENSDARG00000052700,1
ENSDARG00000052696,1
ENSDARG00000075112,0
ENSDARG00000029898,4
ENSDARG00000092730,4
ENSDARG00000078622,2
ENSDARG00000074132,0
ENSDARG00000075598,0
ENSDARG00000117264,0
ENSDARG00000094910,0
ENSDARG00000117756,0
ENSDARG00000074476,0
ENSDARG00000087178,1
ENSDARG00000095949,0
ENSDARG00000076277,0
ENSDARG00000075916,4
ENSDARG00000078558,0
ENSDARG00000052019,1
ENSDARG00000101106,10
ENSDARG00000103871,2
ENSDARG00000089345,0
ENSDARG00000099025,0
ENSDARG00000098805,0
ENSDARG00000052016,8
ENSDARG00000059682,1
ENSDARG00000078233,15
ENSDARG00000104759,0
ENSDARG00000075179,0
ENSDARG00000104249,0
ENSDARG00000111029,0
ENSDARG00000105108,0
ENSDARG00000112081,0
ENSDARG00000109574,0
ENSDARG00000115729,0
ENSDARG00000116661,0
ENSDARG00000111422,0
ENSDARG00000111051,0
ENSDARG00000112750,0
ENSDARG00000113452,0
ENSDARG00000069116,8
ENSDARG00000069114,0
ENSDARG00000014803,15
ENSDARG00000016793,286
ENSDARG00000052012,3
ENSDARG00000083573,0
ENSDARG00000016263,11
ENSDARG00000095781,0
ENSDARG00000007786,9
ENSDARG00000009472,7
ENSDARG00000111774,0
ENSDARG00000037748,8
ENSDARG00000002840,15
ENSDARG00000079632,10
ENSDARG00000016994,6
ENSDARG00000029718,2
ENSDARG00000051993,1
ENSDARG00000092459,0
ENSDARG00000094678,2
ENSDARG00000051989,0
ENSDARG00000095407,0
ENSDARG00000051986,29
ENSDARG00000051981,1
ENSDARG00000059653,8
ENSDARG00000016835,3
ENSDARG00000094133,27
ENSDARG00000093997,3
ENSDARG00000093289,0
ENSDARG00000078659,12
ENSDARG00000093954,0
ENSDARG00000031836,7
ENSDARG00000117392,0
ENSDARG00000098263,1
ENSDARG00000105005,0
ENSDARG00000030972,4
ENSDARG00000051970,0
ENSDARG00000019778,611
ENSDARG00000051965,1
ENSDARG00000087426,13
ENSDARG00000069559,8
ENSDARG00000093347,1
ENSDARG00000069566,3
ENSDARG00000095108,0
ENSDARG00000006588,40
ENSDARG00000006225,25
ENSDARG00000052766,2
ENSDARG00000117778,0
ENSDARG00000095463,0
ENSDARG00000069632,0
ENSDARG00000025518,5
ENSDARG00000105481,0
ENSDARG00000092240,6
ENSDARG00000030376,4
ENSDARG00000069619,33
ENSDARG00000030656,17
ENSDARG00000114294,0
ENSDARG00000032340,0
ENSDARG00000026068,11
ENSDARG00000002285,6
ENSDARG00000069595,1
ENSDARG00000060187,0
ENSDARG00000060184,5
ENSDARG00000113491,0
ENSDARG00000008279,3
ENSDARG00000010773,2
ENSDARG00000025233,0
ENSDARG00000016548,53
ENSDARG00000073848,7
ENSDARG00000052677,0
ENSDARG00000117377,0
ENSDARG00000008131,7
ENSDARG00000053340,0
ENSDARG00000095834,0
ENSDARG00000008413,8
ENSDARG00000095860,0
ENSDARG00000029133,9
ENSDARG00000075859,1
ENSDARG00000070858,1
ENSDARG00000036658,27
ENSDARG00000036650,1
ENSDARG00000036645,1
ENSDARG00000036637,1
ENSDARG00000036636,3
ENSDARG00000052641,31
ENSDARG00000052624,4
ENSDARG00000081252,0
ENSDARG00000080168,0
ENSDARG00000092950,0
ENSDARG00000095507,0
ENSDARG00000094160,1
ENSDARG00000036549,24
ENSDARG00000036546,1
ENSDARG00000116185,0
ENSDARG00000036545,0
ENSDARG00000036542,0
ENSDARG00000089853,1
ENSDARG00000000086,4
ENSDARG00000026902,4
ENSDARG00000036592,2
ENSDARG00000001470,3
ENSDARG00000086877,0
ENSDARG00000069471,4
ENSDARG00000036588,3
ENSDARG00000036587,6
ENSDARG00000043271,0
ENSDARG00000036687,16
ENSDARG00000069450,0
ENSDARG00000015076,0
ENSDARG00000015559,3
ENSDARG00000076773,0
ENSDARG00000007734,1
ENSDARG00000060148,9
ENSDARG00000069438,11
ENSDARG00000083014,0
ENSDARG00000069435,0
ENSDARG00000108154,0
ENSDARG00000114522,0
ENSDARG00000103535,0
ENSDARG00000112034,2
ENSDARG00000096191,0
ENSDARG00000096053,0
ENSDARG00000096589,0
ENSDARG00000075045,0
ENSDARG00000096031,10
ENSDARG00000036008,5
ENSDARG00000008886,2
ENSDARG00000094465,0
ENSDARG00000052468,0
ENSDARG00000018325,4
ENSDARG00000096003,57
ENSDARG00000052480,21
ENSDARG00000022891,3
ENSDARG00000005314,0
ENSDARG00000036479,0
ENSDARG00000092919,0
ENSDARG00000074052,0
ENSDARG00000074136,0
ENSDARG00000075389,0
ENSDARG00000069415,21
ENSDARG00000082615,0
ENSDARG00000012574,10
ENSDARG00000052512,0
ENSDARG00000079501,0
ENSDARG00000094063,0
ENSDARG00000031894,5
ENSDARG00000030765,34
ENSDARG00000026548,1
ENSDARG00000052520,1
ENSDARG00000036494,0
ENSDARG00000018721,0
ENSDARG00000114696,0
ENSDARG00000013667,2
ENSDARG00000060036,17
ENSDARG00000076420,0
ENSDARG00000057099,0
ENSDARG00000014098,0
ENSDARG00000016818,0
ENSDARG00000010655,10
ENSDARG00000075785,0
ENSDARG00000075887,0
ENSDARG00000075564,13
ENSDARG00000117385,1
ENSDARG00000116732,0
ENSDARG00000100792,14
ENSDARG00000075043,8
ENSDARG00000115918,0
ENSDARG00000030703,2
ENSDARG00000017772,181
ENSDARG00000005578,14
ENSDARG00000024933,1
ENSDARG00000004427,11
ENSDARG00000015540,6
ENSDARG00000043587,7
