Identifier,EE2-10ng/L-A
ENSDARG00000008068,7
ENSDARG00000077648,0
ENSDARG00000096580,0
ENSDARG00000079250,0
ENSDARG00000019986,114
ENSDARG00000080019,5
ENSDARG00000099995,7
ENSDARG00000070278,3
ENSDARG00000061830,6
ENSDARG00000041776,0
ENSDARG00000095632,0
ENSDARG00000037455,33
ENSDARG00000093816,0
ENSDARG00000070266,63
ENSDARG00000037429,1
ENSDARG00000055874,76
ENSDARG00000055876,28
ENSDARG00000092321,0
ENSDARG00000061786,0
ENSDARG00000094202,31
ENSDARG00000109806,0
ENSDARG00000112850,0
ENSDARG00000110242,0
ENSDARG00000115895,1
ENSDARG00000061459,18
ENSDARG00000037411,0
ENSDARG00000084908,0
ENSDARG00000037410,14
ENSDARG00000037409,1
ENSDARG00000070173,2
ENSDARG00000052782,2
ENSDARG00000037406,2
ENSDARG00000034773,6
ENSDARG00000033273,7
ENSDARG00000055439,3
ENSDARG00000055443,6
ENSDARG00000112783,0
ENSDARG00000095593,1
ENSDARG00000037383,0
ENSDARG00000030759,0
ENSDARG00000079074,0
ENSDARG00000061504,4
ENSDARG00000000606,1
ENSDARG00000107258,0
ENSDARG00000087224,1
ENSDARG00000052764,2
ENSDARG00000092275,0
ENSDARG00000055559,1
ENSDARG00000114954,0
ENSDARG00000115778,1
ENSDARG00000026871,9
ENSDARG00000016470,57
ENSDARG00000103166,0
ENSDARG00000091660,0
ENSDARG00000038056,16
ENSDARG00000002406,0
ENSDARG00000034007,6
ENSDARG00000061143,12
ENSDARG00000034896,19
ENSDARG00000116099,1
ENSDARG00000037378,9
ENSDARG00000012672,27
ENSDARG00000093064,11
ENSDARG00000061121,10
ENSDARG00000094677,2
ENSDARG00000054799,10
ENSDARG00000116939,0
ENSDARG00000037350,1015
ENSDARG00000022845,5
ENSDARG00000019838,21
ENSDARG00000005799,7
ENSDARG00000013505,13
ENSDARG00000055022,16
ENSDARG00000061451,7
ENSDARG00000070121,0
ENSDARG00000054680,1
ENSDARG00000092290,5
ENSDARG00000055099,14
ENSDARG00000070109,18
ENSDARG00000070098,26
ENSDARG00000094046,0
ENSDARG00000114096,0
ENSDARG00000004246,29
ENSDARG00000083023,0
ENSDARG00000031108,76
ENSDARG00000015266,40
ENSDARG00000100600,0
ENSDARG00000092542,0
ENSDARG00000035692,866
ENSDARG00000094885,0
ENSDARG00000090822,0
ENSDARG00000088202,5
ENSDARG00000086859,0
ENSDARG00000090118,0
ENSDARG00000061021,12
ENSDARG00000037309,2
ENSDARG00000054334,7
ENSDARG00000116715,0
ENSDARG00000060994,2
ENSDARG00000106456,0
ENSDARG00000074776,1
ENSDARG00000074451,3
ENSDARG00000079434,36
ENSDARG00000031817,0
ENSDARG00000074812,3
ENSDARG00000070055,9
ENSDARG00000070050,12
ENSDARG00000095408,0
ENSDARG00000037286,0
ENSDARG00000037283,8
ENSDARG00000037281,109
ENSDARG00000037278,3
ENSDARG00000070039,0
ENSDARG00000091184,0
ENSDARG00000094763,0
ENSDARG00000037276,9
ENSDARG00000013787,7
ENSDARG00000086790,1
ENSDARG00000006427,570
ENSDARG00000104824,0
ENSDARG00000076499,0
ENSDARG00000037266,11
ENSDARG00000077157,11
ENSDARG00000037256,2
ENSDARG00000116236,0
ENSDARG00000069998,1
ENSDARG00000053995,12
ENSDARG00000021702,53
ENSDARG00000054031,15
ENSDARG00000037259,81
ENSDARG00000037260,2
ENSDARG00000037261,20
ENSDARG00000037262,0
ENSDARG00000104309,0
ENSDARG00000077817,4
ENSDARG00000107180,0
ENSDARG00000076928,23
ENSDARG00000009685,10
ENSDARG00000079377,4
ENSDARG00000091678,5
ENSDARG00000014790,28
ENSDARG00000019581,24
ENSDARG00000096665,0
ENSDARG00000079925,0
ENSDARG00000053731,0
ENSDARG00000094127,0
ENSDARG00000005210,14
ENSDARG00000023330,76
ENSDARG00000096667,6
ENSDARG00000037245,2
ENSDARG00000096554,5
ENSDARG00000079266,1
ENSDARG00000023600,27
ENSDARG00000033345,2
ENSDARG00000069989,30
ENSDARG00000095189,0
ENSDARG00000104096,0
ENSDARG00000102639,0
ENSDARG00000006621,13
ENSDARG00000069996,7
ENSDARG00000100083,21
ENSDARG00000031632,7
ENSDARG00000101474,8
ENSDARG00000104710,6
ENSDARG00000095954,0
ENSDARG00000095895,0
ENSDARG00000089138,17
ENSDARG00000112052,2
ENSDARG00000089334,2
ENSDARG00000053456,14
ENSDARG00000053466,25
ENSDARG00000053463,2
ENSDARG00000037109,9
ENSDARG00000096538,0
ENSDARG00000005739,15
ENSDARG00000053496,12
ENSDARG00000053500,15
ENSDARG00000053502,4
ENSDARG00000035080,0
ENSDARG00000037100,1
ENSDARG00000096627,0
ENSDARG00000096648,0
ENSDARG00000075193,0
ENSDARG00000069804,0
ENSDARG00000078546,3
ENSDARG00000037099,11
ENSDARG00000060620,2
ENSDARG00000075858,1
ENSDARG00000096592,0
ENSDARG00000096643,0
ENSDARG00000093663,0
ENSDARG00000096555,0
ENSDARG00000096544,0
ENSDARG00000069799,0
ENSDARG00000074117,0
ENSDARG00000092653,0
ENSDARG00000061732,10
ENSDARG00000095590,0
ENSDARG00000031202,4
ENSDARG00000037144,13
ENSDARG00000037177,43
ENSDARG00000003866,37
ENSDARG00000037178,7
ENSDARG00000028982,21
ENSDARG00000055839,0
ENSDARG00000060477,9
ENSDARG00000082429,0
ENSDARG00000113839,0
ENSDARG00000110947,0
ENSDARG00000096572,0
ENSDARG00000091513,12
ENSDARG00000026771,4
ENSDARG00000096632,37
ENSDARG00000099758,31
ENSDARG00000093065,6
ENSDARG00000074302,0
ENSDARG00000003142,6
ENSDARG00000096668,23
ENSDARG00000042688,4
ENSDARG00000060559,5
ENSDARG00000114316,0
ENSDARG00000114817,0
ENSDARG00000096527,47
ENSDARG00000092278,0
ENSDARG00000019715,3
ENSDARG00000017174,0
ENSDARG00000069946,33
ENSDARG00000074575,25
ENSDARG00000069951,10
ENSDARG00000069953,0
ENSDARG00000093358,0
ENSDARG00000094957,0
ENSDARG00000078902,3
ENSDARG00000039616,5
ENSDARG00000095941,0
ENSDARG00000018611,2
ENSDARG00000053269,4
ENSDARG00000039615,4
ENSDARG00000060501,5
ENSDARG00000039613,4
ENSDARG00000029751,0
ENSDARG00000027572,4
ENSDARG00000078733,3
ENSDARG00000058231,25
ENSDARG00000053248,5
ENSDARG00000012896,9
ENSDARG00000100996,0
ENSDARG00000096540,1
ENSDARG00000053241,4
ENSDARG00000069834,0
ENSDARG00000096548,0
ENSDARG00000027826,5
ENSDARG00000107292,0
ENSDARG00000079455,9
ENSDARG00000089053,0
ENSDARG00000078810,0
ENSDARG00000115601,0
ENSDARG00000094318,0
ENSDARG00000060716,14
ENSDARG00000074815,11
ENSDARG00000033380,1
ENSDARG00000051975,44
ENSDARG00000079280,5
ENSDARG00000053586,17
ENSDARG00000002190,51
ENSDARG00000053580,0
ENSDARG00000003701,0
ENSDARG00000079350,24
ENSDARG00000012763,17
ENSDARG00000013023,0
ENSDARG00000106311,0
ENSDARG00000115905,0
ENSDARG00000022971,3
ENSDARG00000081597,0
ENSDARG00000032056,14
ENSDARG00000074860,5
ENSDARG00000053542,19
ENSDARG00000094556,0
ENSDARG00000053535,3
ENSDARG00000111052,0
ENSDARG00000015312,7
ENSDARG00000015506,18
ENSDARG00000013006,1
ENSDARG00000108956,0
ENSDARG00000058287,13
ENSDARG00000069910,14
ENSDARG00000109513,0
ENSDARG00000092693,1032
ENSDARG00000084532,0
ENSDARG00000085301,0
ENSDARG00000081849,0
ENSDARG00000082811,0
ENSDARG00000095892,0
ENSDARG00000095934,0
ENSDARG00000079191,0
ENSDARG00000105033,0
ENSDARG00000102858,3
ENSDARG00000093282,0
ENSDARG00000101520,0
ENSDARG00000075798,1
ENSDARG00000037018,22
ENSDARG00000074677,4
ENSDARG00000094485,0
ENSDARG00000060397,17
ENSDARG00000094648,0
ENSDARG00000027199,21
ENSDARG00000115856,2
ENSDARG00000060383,3
ENSDARG00000037002,0
ENSDARG00000076171,28
ENSDARG00000112614,0
ENSDARG00000113986,0
ENSDARG00000036995,50
ENSDARG00000069737,12
ENSDARG00000095555,0
ENSDARG00000011876,24
ENSDARG00000078789,14
ENSDARG00000036755,4
ENSDARG00000078326,12
ENSDARG00000102082,3
ENSDARG00000081340,0
ENSDARG00000034093,3
ENSDARG00000102787,16
ENSDARG00000082897,0
ENSDARG00000074501,0
ENSDARG00000090416,4
ENSDARG00000074989,6
ENSDARG00000076343,0
ENSDARG00000077519,0
ENSDARG00000040048,7
ENSDARG00000082660,0
ENSDARG00000057303,32
ENSDARG00000113575,0
ENSDARG00000029722,316
ENSDARG00000008305,9
ENSDARG00000117649,1
ENSDARG00000007477,2
ENSDARG00000053106,2
ENSDARG00000012016,13
ENSDARG00000011066,1
ENSDARG00000004621,121
ENSDARG00000095811,0
ENSDARG00000075098,0
ENSDARG00000053222,11
ENSDARG00000089976,31
ENSDARG00000069640,0
ENSDARG00000104657,1
ENSDARG00000117532,0
ENSDARG00000085733,0
ENSDARG00000005479,38
ENSDARG00000110757,0
ENSDARG00000085080,0
ENSDARG00000093919,0
ENSDARG00000036990,8
ENSDARG00000085746,0
ENSDARG00000007387,10
ENSDARG00000024828,11
ENSDARG00000070162,24
ENSDARG00000104907,10
ENSDARG00000080987,0
ENSDARG00000079183,2
ENSDARG00000104437,29
ENSDARG00000103145,8
ENSDARG00000069701,0
ENSDARG00000020857,3
ENSDARG00000093120,1
ENSDARG00000074662,0
ENSDARG00000076585,4
ENSDARG00000079631,8
ENSDARG00000018587,2
ENSDARG00000078182,1
ENSDARG00000095065,0
ENSDARG00000109438,0
ENSDARG00000074610,0
ENSDARG00000069707,0
ENSDARG00000078251,0
ENSDARG00000008457,2
ENSDARG00000031435,283
ENSDARG00000077874,0
ENSDARG00000069710,0
ENSDARG00000079552,3
ENSDARG00000087333,8
ENSDARG00000009315,18
ENSDARG00000030368,14
ENSDARG00000117231,15
ENSDARG00000117450,10
ENSDARG00000117485,25
ENSDARG00000117707,17
ENSDARG00000052899,0
ENSDARG00000052900,0
ENSDARG00000052895,0
ENSDARG00000074600,0
ENSDARG00000075521,1
ENSDARG00000095566,0
ENSDARG00000007941,11
ENSDARG00000095651,3
ENSDARG00000069669,0
ENSDARG00000108025,0
ENSDARG00000033604,22
ENSDARG00000060236,0
ENSDARG00000036774,11
ENSDARG00000109727,0
ENSDARG00000052866,13
ENSDARG00000108028,0
ENSDARG00000091911,0
ENSDARG00000093237,2
ENSDARG00000008706,141
ENSDARG00000078108,0
ENSDARG00000075639,5
ENSDARG00000078016,2
ENSDARG00000092551,6
ENSDARG00000075194,8
ENSDARG00000098598,0
ENSDARG00000060252,21
ENSDARG00000078908,10
ENSDARG00000036965,7
ENSDARG00000036967,28
ENSDARG00000060264,9
ENSDARG00000024101,2
ENSDARG00000107253,0
ENSDARG00000024785,15
ENSDARG00000084202,0
ENSDARG00000087061,3
ENSDARG00000052713,8
ENSDARG00000107073,0
ENSDARG00000113563,0
ENSDARG00000081405,0
ENSDARG00000052712,177
ENSDARG00000052703,10
ENSDARG00000052700,6
ENSDARG00000052696,23
ENSDARG00000075112,0
ENSDARG00000029898,2
ENSDARG00000092730,8
ENSDARG00000078622,1
ENSDARG00000074132,0
ENSDARG00000075598,0
ENSDARG00000117264,1
ENSDARG00000094910,2
ENSDARG00000117756,1
ENSDARG00000074476,0
ENSDARG00000087178,1
ENSDARG00000095949,1
ENSDARG00000076277,0
ENSDARG00000075916,2
ENSDARG00000078558,0
ENSDARG00000052019,8
ENSDARG00000101106,10
ENSDARG00000103871,3
ENSDARG00000089345,0
ENSDARG00000099025,0
ENSDARG00000098805,1
ENSDARG00000052016,7
ENSDARG00000059682,1
ENSDARG00000078233,61
ENSDARG00000104759,0
ENSDARG00000075179,0
ENSDARG00000104249,0
ENSDARG00000111029,0
ENSDARG00000105108,0
ENSDARG00000112081,0
ENSDARG00000109574,0
ENSDARG00000115729,0
ENSDARG00000116661,0
ENSDARG00000111422,0
ENSDARG00000111051,0
ENSDARG00000112750,0
ENSDARG00000113452,0
ENSDARG00000069116,15
ENSDARG00000069114,0
ENSDARG00000014803,4
ENSDARG00000016793,158
ENSDARG00000052012,0
ENSDARG00000083573,0
ENSDARG00000016263,17
ENSDARG00000095781,0
ENSDARG00000007786,16
ENSDARG00000009472,20
ENSDARG00000111774,0
ENSDARG00000037748,32
ENSDARG00000002840,14
ENSDARG00000079632,25
ENSDARG00000016994,8
ENSDARG00000029718,3
ENSDARG00000051993,0
ENSDARG00000092459,0
ENSDARG00000094678,1
ENSDARG00000051989,0
ENSDARG00000095407,0
ENSDARG00000051986,45
ENSDARG00000051981,1
ENSDARG00000059653,5
ENSDARG00000016835,3
ENSDARG00000094133,44
ENSDARG00000093997,9
ENSDARG00000093289,1
ENSDARG00000078659,21
ENSDARG00000093954,0
ENSDARG00000031836,12
ENSDARG00000117392,0
ENSDARG00000098263,2
ENSDARG00000105005,0
ENSDARG00000030972,5
ENSDARG00000051970,0
ENSDARG00000019778,959
ENSDARG00000051965,2
ENSDARG00000087426,13
ENSDARG00000069559,26
ENSDARG00000093347,11
ENSDARG00000069566,28
ENSDARG00000095108,0
ENSDARG00000006588,165
ENSDARG00000006225,28
ENSDARG00000052766,4
ENSDARG00000117778,0
ENSDARG00000095463,0
ENSDARG00000069632,1
ENSDARG00000025518,6
ENSDARG00000105481,0
ENSDARG00000092240,11
ENSDARG00000030376,4
ENSDARG00000069619,58
ENSDARG00000030656,18
ENSDARG00000114294,0
ENSDARG00000032340,5
ENSDARG00000026068,16
ENSDARG00000002285,11
ENSDARG00000069595,1
ENSDARG00000060187,0
ENSDARG00000060184,5
ENSDARG00000113491,0
ENSDARG00000008279,3
ENSDARG00000010773,13
ENSDARG00000025233,6
ENSDARG00000016548,75
ENSDARG00000073848,10
ENSDARG00000052677,0
ENSDARG00000117377,0
ENSDARG00000008131,6
ENSDARG00000053340,0
ENSDARG00000095834,0
ENSDARG00000008413,14
ENSDARG00000095860,0
ENSDARG00000029133,18
ENSDARG00000075859,4
ENSDARG00000070858,5
ENSDARG00000036658,30
ENSDARG00000036650,7
ENSDARG00000036645,2
ENSDARG00000036637,1
ENSDARG00000036636,5
ENSDARG00000052641,57
ENSDARG00000052624,5
ENSDARG00000081252,0
ENSDARG00000080168,0
ENSDARG00000092950,4
ENSDARG00000095507,0
ENSDARG00000094160,2
ENSDARG00000036549,64
ENSDARG00000036546,3
ENSDARG00000116185,0
ENSDARG00000036545,0
ENSDARG00000036542,3
ENSDARG00000089853,4
ENSDARG00000000086,10
ENSDARG00000026902,5
ENSDARG00000036592,1
ENSDARG00000001470,8
ENSDARG00000086877,11
ENSDARG00000069471,20
ENSDARG00000036588,32
ENSDARG00000036587,2
ENSDARG00000043271,0
ENSDARG00000036687,26
ENSDARG00000069450,1
ENSDARG00000015076,0
ENSDARG00000015559,9
ENSDARG00000076773,2
ENSDARG00000007734,4
ENSDARG00000060148,18
ENSDARG00000069438,14
ENSDARG00000083014,0
ENSDARG00000069435,5
ENSDARG00000108154,0
ENSDARG00000114522,0
ENSDARG00000103535,3
ENSDARG00000112034,3
ENSDARG00000096191,0
ENSDARG00000096053,3
ENSDARG00000096589,0
ENSDARG00000075045,0
ENSDARG00000096031,12
ENSDARG00000036008,15
ENSDARG00000008886,7
ENSDARG00000094465,0
ENSDARG00000052468,1
ENSDARG00000018325,5
ENSDARG00000096003,156
ENSDARG00000052480,41
ENSDARG00000022891,19
ENSDARG00000005314,0
ENSDARG00000036479,0
ENSDARG00000092919,0
ENSDARG00000074052,0
ENSDARG00000074136,1
ENSDARG00000075389,0
ENSDARG00000069415,123
ENSDARG00000082615,0
ENSDARG00000012574,12
ENSDARG00000052512,3
ENSDARG00000079501,1
ENSDARG00000094063,1
ENSDARG00000031894,9
ENSDARG00000030765,63
ENSDARG00000026548,0
ENSDARG00000052520,0
ENSDARG00000036494,6
ENSDARG00000018721,2
ENSDARG00000114696,0
ENSDARG00000013667,8
ENSDARG00000060036,25
ENSDARG00000076420,0
ENSDARG00000057099,1
ENSDARG00000014098,1
ENSDARG00000016818,0
ENSDARG00000010655,28
ENSDARG00000075785,7
ENSDARG00000075887,2
ENSDARG00000075564,4
ENSDARG00000117385,1
ENSDARG00000116732,0
ENSDARG00000100792,39
ENSDARG00000075043,5
ENSDARG00000115918,0
ENSDARG00000030703,1
ENSDARG00000017772,302
ENSDARG00000005578,12
ENSDARG00000024933,9
ENSDARG00000004427,43
ENSDARG00000015540,7
ENSDARG00000043587,24
