Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 10/06/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: Analine_R-ODAF_DESeq2_Norm_Data_renamed_4_Tylers_WF
Work Source: Analine_R-ODAF_DESeq2_Norm_Data_renamed_4_Tylers_WF_williams_0.05_NOMTC_foldfilter1.5_BMD_1
BMDExpress3 Version: BMDExpress 3.00.0045 BETA
Timestamp (Start Time): 07/14/2023 21:06.40
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 275
Total Run Time: 9 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMDL at 5th Percentile of Total Genes	BMDL at 10th Percentile of Total Genes	BMDU at 5th Percentile of Total Genes	BMDU at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-1266738	Developmental Biology	198	204	1	1	1	1	1	1	1	1	1	22	203	4676	0.75199	0.62465	1.0	0.49	553211	st8sia4	ENSDARG00000103600		0.565326	0.565326	0.565326		0.565326		0.231341	0.231341	0.231341		0.23134100000000002		1.38148	1.38148	1.38148		1.38148										0.565326	0.231341	1.38148	0	1	0															1	553211	ENSDARG00000103600	0.565326	0.565326		0.231341	0.231341		1.38148	1.38148		0.565326	0.231341	1.38148	0						Poly 2,1(1)	1.9992272853851318	1.9992272853851318	1.9992272853851318	1.9992272853851318	0.0	1.9992272853851318	0.565326	0.565326	0.231341	0.231341	1.38148	1.38148	DOWN	0.0	1.0	0.0	
R-DRE-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	62	73	2	1	1	1	1	1	2	1	1	22	72	4807	0.95476	0.2924	0.2924	1.37	557352	fstl3	ENSDARG00000025670		3.08118	3.08118	3.08118		3.08118		1.96843	1.96843	1.96843		1.9684299999999997		4.82295	4.82295	4.82295		4.82295										3.08118	1.96843	4.82295	1	0	1	557352	ENSDARG00000025670	3.08118	3.08118		1.96843	1.96843		4.82295	4.82295		3.08118	1.96843	4.82295	0															0						Linear,1(1)	2.071403980255127	2.071403980255127	2.071403980255127	2.071403980255127	0.0	2.071403980255127	3.08118	3.08118	1.96843	1.96843	4.82295	4.82295	UP	1.0	0.0	0.0	
R-DRE-392499	Metabolism of proteins	912	977	13	11	7	11	11	11	13	7	7	16	970	3909	0.93018	0.15719	0.19736	0.72	797513;570968;565875;565874;557352;553211;402987	b3gnt2l;rnf144aa;nr1i2;znf692;fstl3;st8sia4;cga	ENSDARG00000068219;ENSDARG00000020600;ENSDARG00000029766;ENSDARG00000078434;ENSDARG00000025670;ENSDARG00000103600;ENSDARG00000040479		1.5556705714285712	0.939821	0.451288	1.347265952856606	1.1946970890491795	1.1463310333126875	0.8749828571428572	0.235701	0.216157	0.9056984308420818	0.6543778891993186	0.7653500103442975	3.0685484285714284	2.0101	0.940139	2.045048481841923	2.470751987688624	1.9078685924367362									0.939821;0.451288;0.688319;3.83195;3.08118;0.565326;1.33181	0.216157;0.216629;0.235701;2.29938;1.96843;0.231341;0.957242	4.08621;0.940139;2.0101;6.386;4.82295;1.38148;1.85296	2	5	2	557352;402987	ENSDARG00000025670;ENSDARG00000040479	2.206495	2.206495	1.2369913898043097	1.462836	1.462836	0.7150178918544627	3.337955	3.337955	2.1001000690562335	3.08118;1.33181	1.96843;0.957242	4.82295;1.85296	5	797513;570968;565875;565874;553211	ENSDARG00000068219;ENSDARG00000020600;ENSDARG00000029766;ENSDARG00000078434;ENSDARG00000103600	1.2953408	0.688319	1.4295631120029992	0.6398416000000001	0.231341	0.9277509917697745	2.9607858	2.0101	2.262724891387197	0.939821;0.451288;0.688319;3.83195;0.565326	0.216157;0.216629;0.235701;2.29938;0.231341	4.08621;0.940139;2.0101;6.386;1.38148	0						Linear,3(0.43);Poly 2,4(0.58)	3.3091672514089137	32.91856610774994	1.846980333328247	12.35396957397461	4.6088602409460595	2.071403980255127	0.5576019863141172	2.553739156543026	0.20403207011057456	1.5459336441751397	1.5535553120047316	4.583541545138125	DOWN	0.2857142857142857	0.7142857142857143	0.0	
R-DRE-597592	Post-translational protein modification	703	752	11	10	7	10	10	10	11	7	7	16	745	4134	0.98294	0.051013	0.072513	0.93	797513;570968;565875;565874;557352;553211;402987	b3gnt2l;rnf144aa;nr1i2;znf692;fstl3;st8sia4;cga	ENSDARG00000068219;ENSDARG00000020600;ENSDARG00000029766;ENSDARG00000078434;ENSDARG00000025670;ENSDARG00000103600;ENSDARG00000040479		1.5556705714285712	0.939821	0.451288	1.347265952856606	1.1946970890491795	1.1463310333126875	0.8749828571428572	0.235701	0.216157	0.9056984308420818	0.6543778891993186	0.7653500103442975	3.0685484285714284	2.0101	0.940139	2.045048481841923	2.470751987688624	1.9078685924367362									0.939821;0.451288;0.688319;3.83195;3.08118;0.565326;1.33181	0.216157;0.216629;0.235701;2.29938;1.96843;0.231341;0.957242	4.08621;0.940139;2.0101;6.386;4.82295;1.38148;1.85296	2	5	2	557352;402987	ENSDARG00000025670;ENSDARG00000040479	2.206495	2.206495	1.2369913898043097	1.462836	1.462836	0.7150178918544627	3.337955	3.337955	2.1001000690562335	3.08118;1.33181	1.96843;0.957242	4.82295;1.85296	5	797513;570968;565875;565874;553211	ENSDARG00000068219;ENSDARG00000020600;ENSDARG00000029766;ENSDARG00000078434;ENSDARG00000103600	1.2953408	0.688319	1.4295631120029992	0.6398416000000001	0.231341	0.9277509917697745	2.9607858	2.0101	2.262724891387197	0.939821;0.451288;0.688319;3.83195;0.565326	0.216157;0.216629;0.235701;2.29938;0.231341	4.08621;0.940139;2.0101;6.386;1.38148	0						Linear,3(0.43);Poly 2,4(0.58)	3.3091672514089137	32.91856610774994	1.846980333328247	12.35396957397461	4.6088602409460595	2.071403980255127	0.5576019863141172	2.553739156543026	0.20403207011057456	1.5459336441751397	1.5535553120047316	4.583541545138125	DOWN	0.2857142857142857	0.7142857142857143	0.0	
R-DRE-8957275	Post-translational protein phosphorylation	54	60	2	1	1	1	1	1	2	1	1	22	59	4820	0.96839	0.24716	0.24716	1.67	557352	fstl3	ENSDARG00000025670		3.08118	3.08118	3.08118		3.08118		1.96843	1.96843	1.96843		1.9684299999999997		4.82295	4.82295	4.82295		4.82295										3.08118	1.96843	4.82295	1	0	1	557352	ENSDARG00000025670	3.08118	3.08118		1.96843	1.96843		4.82295	4.82295		3.08118	1.96843	4.82295	0															0						Linear,1(1)	2.071403980255127	2.071403980255127	2.071403980255127	2.071403980255127	0.0	2.071403980255127	3.08118	3.08118	1.96843	1.96843	4.82295	4.82295	UP	1.0	0.0	0.0	
R-DRE-1280215	Cytokine Signaling in Immune system	157	206	1	1	0	0	0	0	1	0	0	23	206	4673	0.37168	1.0	0.62323	0.0																																		0	0	0															0															0																							
R-DRE-1280218	Adaptive Immune System	295	362	2	2	1	2	2	2	2	1	1	22	361	4518	0.48491	0.82943	1.0	0.28	474346	mag	ENSDARG00000104023		0.44683	0.44683	0.44683		0.44683		0.215944	0.215944	0.215944		0.215944		0.924576	0.924576	0.924576		0.924576										0.44683	0.215944	0.924576	0	1	0															1	474346	ENSDARG00000104023	0.44683	0.44683		0.215944	0.215944		0.924576	0.924576		0.44683	0.215944	0.924576	0						Poly 2,1(1)	2.344782590866089	2.344782590866089	2.344782590866089	2.344782590866089	0.0	2.344782590866089	0.44683	0.44683	0.215944	0.215944	0.924576	0.924576	DOWN	0.0	1.0	0.0	
R-DRE-162582	Signal Transduction	1139	1356	16	14	8	15	15	15	16	8	8	15	1348	3531	0.84149	0.28932	0.48399	0.59	799085;795372;557352;554230;554036;474346;402987;100151026	abhd6a;gpr45;fstl3;kdr;cyp26c1;mag;cga;arhgef40	ENSDARG00000060756;ENSDARG00000063357;ENSDARG00000025670;ENSDARG00000017321;ENSDARG00000056029;ENSDARG00000104023;ENSDARG00000040479;ENSDARG00000078979		1.380913125	0.768222	0.347031	1.3045307170264535	1.0305898405970386	1.0218484797561265	0.784975	0.232017	0.192514	0.8639967810694005	0.5721374419336722	0.6832121652980949	2.6666741249999997	1.70553	0.625567	2.061217862700485	2.1149300979944425	1.7883486664619785									3.74626;0.55775;3.08118;0.933474;0.347031;0.44683;1.33181;0.60297	2.26387;0.23069;1.96843;0.217766;0.192514;0.215944;0.957242;0.233344	6.19932;1.3485;4.82295;4.00142;0.625567;0.924576;1.85296;1.5581	3	5	3	557352;554036;402987	ENSDARG00000025670;ENSDARG00000056029;ENSDARG00000040479	1.5866736666666668	1.33181	1.384777709594696	1.0393953333333332	0.957242	0.8908037311312373	2.4338256666666664	1.85296	2.1581380178770617	3.08118;0.347031;1.33181	1.96843;0.192514;0.957242	4.82295;0.625567;1.85296	5	799085;795372;554230;474346;100151026	ENSDARG00000060756;ENSDARG00000063357;ENSDARG00000017321;ENSDARG00000104023;ENSDARG00000078979	1.2574568	0.60297	1.4030470955428402	0.6323228	0.23069	0.9120948278864429	2.8063832	1.5581	2.24527090750564	3.74626;0.55775;0.933474;0.44683;0.60297	2.26387;0.23069;0.217766;0.215944;0.233344	6.19932;1.3485;4.00142;0.924576;1.5581	0						Linear,3(0.38);Poly 2,5(0.63)	2.454450753833251	24.618147373199463	1.5749021768569946	10.44390869140625	2.997513083056447	1.9736865162849426	0.4769194590499565	2.284906790950043	0.18625577683882855	1.3836942231611715	1.2383230193460122	4.095025230653987	DOWN	0.375	0.625	0.0	
R-DRE-1640170	Cell Cycle	366	392	4	3	1	4	4	3	4	1	1	22	391	4488	0.44048	0.85361	1.0	0.26	503536	rbbp8	ENSDARG00000043480		3.96311	3.96311	3.96311		3.96311		2.34987	2.34987	2.34987		2.34987		6.6839	6.6839	6.6839		6.6838999999999995										3.96311	2.34987	6.6839	0	1	0															1	503536	ENSDARG00000043480	3.96311	3.96311		2.34987	2.34987		6.6839	6.6839		3.96311	2.34987	6.6839	0						Linear,1(1)	1.8061717748641968	1.8061717748641968	1.8061717748641968	1.8061717748641968	0.0	1.8061717748641968	3.96311	3.96311	2.34987	2.34987	6.6839	6.6839	DOWN	0.0	1.0	0.0	
R-DRE-194138	Signaling by VEGF	59	62	1	1	1	1	1	1	1	1	1	22	61	4818	0.96642	0.25429	0.25429	1.61	554230	kdr	ENSDARG00000017321		0.933474	0.933474	0.933474		0.933474		0.217766	0.217766	0.217766		0.217766		4.00142	4.00142	4.00142		4.00142										0.933474	0.217766	4.00142	0	1	0															1	554230	ENSDARG00000017321	0.933474	0.933474		0.217766	0.217766		4.00142	4.00142		0.933474	0.217766	4.00142	0						Poly 2,1(1)	1.7781490087509155	1.7781490087509155	1.7781490087509155	1.7781490087509155	0.0	1.7781490087509155	0.933474	0.933474	0.217766	0.217766	4.00142	4.00142	DOWN	0.0	1.0	0.0	
R-DRE-199991	Membrane Trafficking	304	315	3	3	0	3	3	3	3	0	0	23	315	4564	0.21629	1.0	0.39707	0.0																																		0	0	0															0															0																							
