ENSDARG00000076257	Linear		556924	si:ch211-285c6.1	5.09352	0.777215	33.3807	0.035715200175095	-22.74542200192991	51.49084400385982	1	6.553553392561904	true	6.57496	0.542477		
ENSDARG00000099026	Linear		101885702	si:dkey-185m8.2	1.07451	0.657011	1.75732	0.905886108646383	-45.970722001929914	97.94144400385983	1	1.6354520700566657	true	75.8732	12.0957		
ENSDARG00000039100	Linear		797049	jac7	1.47447	0.799217	2.72023	0.5962308094278205	-25.15722200192991	56.31444400385982	1	1.8448931892089382	true	8.16393	2.20087		
ENSDARG00000039099	Linear		503710	aep1	1.11871	0.675492	1.85273	0.45110919280695727	-79.46282200192991	164.92564400385982	1	1.6561410053709003	true	598.295	108.348		
ENSDARG00000087318	Linear		795020	jac10	0.756031	0.503318	1.13563	0.8591988512519114	-32.15592200192991	70.31184400385982	1	1.5020941035289817	true	17.1128	6.84421		
ENSDARG00000092521	Linear				1.16853	0.695215	1.9641	0.2667820931721645	-44.82352200192991	95.64704400385982	1	1.6808181641650426	true	44.4674	10.3035		
ENSDARG00000006474	Linear		641580	saxo2	1.40436	0.777171	2.53769	0.2586274817825004	-28.651822001929908	63.303644003859816	1	1.8070154444774704	true	21.4784	2.91696		
ENSDARG00000105558	Linear		793570	btr07	0.865362	0.56052	1.33599	0.826586002491076	-41.13042200192991	88.26084400385982	-1	1.543855705416399	true	79.3021	-10.8769		
ENSDARG00000077557	Linear		100216319	nitr5	1.18615	0.703927	1.99872	0.4818322345710221	-18.16942200192991	42.33884400385982	1	1.6850468869641313	true	3.44334	1.717		
ENSDARG00000007366	Linear		402826	amdhd1	1.19649	0.706072	2.02754	0.49605915630036523	-54.86322200192991	115.72644400385983	-1	1.6945722249289024	true	138.518	-19.6516		
ENSDARG00000098410	Linear		569048	si:dkey-19b23.10	2.63623	0.967347	7.18427	0.16738453213680793	-23.64222200192991	53.28444400385982	1	2.72521649418461	true	7.24394	1.11271		
ENSDARG00000055185	Linear		436645	tm4sf5	0.608151	0.419026	0.882636	0.8983526403641069	-58.761122001929905	123.52224400385981	-1	1.451344307990435	true	363.994	-50.1362		
ENSDARG00000022532	Linear		100005295	chrnb1l	1.82129	0.882651	3.75812	0.016684397783676364	-26.267522001929912	58.535044003859824	1	2.0634316394588574	true	6.83066	1.91864		
ENSDARG00000012640	Linear		553467	cideb	0.858875	0.557322	1.32359	0.1455180961319621	-49.30152200192991	104.60304400385982	-1	1.541074997936561	true	124.513	-18.8951		
ENSDARG00000054786	Linear		768298	faah2b	1.16452	0.693853	1.95447	0.7090075712894788	-60.129522001929914	126.25904400385983	-1	1.6783382070842094	true	210.558	-28.6836		
ENSDARG00000056781	Linear		100147904	zanl	1.24927	0.725689	2.1506	0.6320538194478169	-111.58792200192991	229.17584400385982	-1	1.7214950205942217	true	6917.82	-826.061		
ENSDARG00000053405	Linear		570613	sord	0.993222	0.621516	1.58723	0.25832827157555605	-64.3446220019299	134.6892440038598	-1	1.5980634448670672	true	363.677	-44.5426		
ENSDARG00000039730	Linear		550419	zgc:112160	1.27041	0.733251	2.20108	0.6762826751580768	-102.60292200192991	211.20584400385982	-1	1.732571793287701	true	3534.95	-446.244		
ENSDARG00000093844	Linear		692313	zgc:136461	1.26561	0.731538	2.18958	0.6776620931895035	-92.4529220019299	190.9058440038598	-1	1.7300673375819162	true	1192.86	-227.681		
ENSDARG00000105586	Linear				2.26167	0.941417	5.43348	0.02416037470668886	-25.28372200192991	56.56744400385982	1	2.402410408989853	true	8.46389	1.44698		
ENSDARG00000052578	Linear		574001	c6ast4	1.27589	0.735123	2.21445	0.7840790041521538	-78.2641220019299	162.5282440038598	-1	1.7356143121627265	true	637.956	-87.7039		
ENSDARG00000036041	Linear		325881	f2	0.932236	0.593239	1.46495	0.035528437243734445	-85.81182200192991	177.62364400385982	-1	1.571434110029853	true	1506.11	-198.533		
ENSDARG00000090618	Linear		100148465	malrd1	0.915836	0.585395	1.4328	0.7140417112889219	-63.23722200192991	132.47444400385982	-1	1.5644752688355725	true	351.396	-44.8684		
ENSDARG00000103659	Linear		393580	bco1l	0.836697	0.546067	1.28201	0.07638150208716321	-70.47352200192991	146.94704400385982	-1	1.5322240677426031	true	597.96	-79.5615		
ENSDARG00000104256	Linear		84039	bco1	0.733123	0.490961	1.09473	0.3800552572094199	-71.36242200192991	148.72484400385983	-1	1.493240807314634	true	726.577	-96.3448		
ENSDARG00000102556	Linear		555802	nfat5b	1.16144	0.692524	1.94787	0.28062299318660777	-44.98942200192991	95.97884400385982	-1	1.6771115513686168	true	86.2402	-10.4817		
ENSDARG00000087767	Hill				0.00251032	8.52038E-8	73.9602	0.6666323443995199	-41.35582200192991	92.71164400385982	1	29462.535708501262	0	31.6497	21.8843	11.191	0.00256816	true	
ENSDARG00000098989	Linear		101885160	cu459012.1	1.13447	0.681952	1.88726	0.5698784141612324	-50.63522200192992	107.27044400385984	1	1.6635628314016238	true	85.0331	15.6351		
ENSDARG00000117518	Power				2.85078	0.00221731	3665.23	0.00949948786763477	-32.412922001929914	72.82584400385983	-1	1285.6930244305036	25.981	-3.73452E-8	17.9115	true		
ENSDARG00000088625	Linear		794295	si:ch211-142d6.2	0.78584	0.519506	1.18871	0.1748092156752301	-49.21482200192991	104.42964400385982	-1	1.5126678036442311	true	106.529	-20.5322		
ENSDARG00000018351	Linear		394142	hpda	1.11423	0.673682	1.84286	0.5237231272215407	-101.86592200192992	209.73184400385983	-1	1.653940583242539	true	3178.49	-484.406		
ENSDARG00000046091	Linear		569007	si:ch211-283g2.1	1.29345	0.741457	2.2564	0.17908499767128716	-46.34412200192991	98.68824400385982	-1	1.7444706840720365	true	59.5873	-10.3015		
ENSDARG00000035652	Linear		565700	sat1a.1	0.708074	0.47702	1.05104	0.022857423442904645	-78.8737220019299	163.7474440038598	-1	1.484369628107836	true	1459.11	-164.589		
ENSDARG00000093043	Linear		100384898	ugt2a7	0.765381	0.508612	1.15178	0.16209129905994324	-53.63892200192991	113.27784400385983	-1	1.504842591209016	true	153.593	-28.3127		
ENSDARG00000116986	Linear				1.20035	0.707833	2.03558	0.5500134214284929	-45.75392200192991	97.50784400385982	-1	1.6958096048079137	true	64.1846	-10.6722		
ENSDARG00000005320	Linear		30231	nipsnap1	1.22133	0.7155	2.08476	0.6512548869933854	-43.73552200192991	93.47104400385982	-1	1.7069601677148847	true	86.02	-9.1684		
ENSDARG00000059729	Linear		558964	sec14l8	0.934505	0.594324	1.4694	0.4912934465802111	-67.12852200192991	140.25704400385982	-1	1.5723830772440623	true	439.319	-56.9957		
ENSDARG00000061968	Linear		556606	myo1ha	1.46751	0.796605	2.70347	0.0923507148081748	-39.46832200192991	84.93664400385983	1	1.8422053589922234	true	33.0759	5.74109		
ENSDARG00000061921	Linear		558007	gltpa	0.676478	0.459129	0.99672	0.7451487401469508	-47.93472200192991	101.86944400385983	-1	1.47339418769017	true	162.806	-21.9004		
ENSDARG00000002479	Linear		100005291	ercc6l	1.32994	0.753811	2.34639	0.7001523703215609	-59.504722001929906	125.00944400385981	1	1.7642883958976452	true	182.04	24.0912		
ENSDARG00000029039	Linear		100150190	zdhhc23a	0.722295	0.484957	1.07579	0.9498900854029799	-40.14832200192991	86.29664400385983	1	1.4894000911421013	true	56.4477	12.2054		
ENSDARG00000019207	Linear		563897	abo	1.42419	0.784748	2.58469	0.21681195875495896	-35.83532200192991	77.67064400385982	-1	1.814837374545714	true	24.6508	-4.64324		
ENSDARG00000002986	Exp 3		553701	gda	2.60851	9.41954E-6	722364.0	0.34880606042753926	-73.3253220019299	154.6506440038598	-1	276925.4124936037	true	-1.0	887.397	0.316278	12.2314		
ENSDARG00000016319	Linear		554141	c9	0.988156	0.619248	1.57684	0.6598433913012358	-97.0419220019299	200.0838440038598	-1	1.5957354727023745	true	2393.56	-395.994		
ENSDARG00000094643	Linear		100000754	ms4a17c.1	1.74264	0.872622	3.48007	0.2765291069882658	-13.003322001929911	32.00664400385982	-1	1.9970158900417363	true	5.84863	-0.828192		
ENSDARG00000020364	Linear		282672	fbp1b	0.7577	0.504417	1.13817	0.2083990058180597	-97.83892200192992	201.67784400385983	-1	1.5021301819724553	true	3988.41	-544.595		
ENSDARG00000092018	Linear				0.81276	0.53354	1.23811	0.6831014573931864	-33.89252200192991	73.78504400385982	1	1.5233347078007273	true	43.9946	7.1479		
ENSDARG00000003635	Linear		494083	mogat3b	0.788532	0.520935	1.19359	0.6838868665820624	-52.52772200192992	111.05544400385983	-1	1.513685968498949	true	222.338	-25.5192		
ENSDARG00000035257	Linear		445326	akr1a1a	1.46851	0.797077	2.70554	0.6053640766051603	-37.902222001929914	81.80444400385983	-1	1.8423690559381338	true	51.6761	-5.1684		
ENSDARG00000095304	Linear				1.10486	0.670049	1.82182	0.521662253328482	-29.88882200192991	65.77764400385982	1	1.648924183156754	true	14.2141	4.0264		
ENSDARG00000089310	Linear		436841	gc	1.02926	0.637638	1.66141	0.12726414083456206	-89.45792200192992	184.91584400385983	-1	1.6141760685530033	true	1389.97	-229.294		
ENSDARG00000076978	Exp 5		100216485	pmchl	0.00374293	6.52758E-5	0.214621	0.6392401398360401	-46.33792200192991	102.67584400385982	-1	57.340239414913334	true	111.617	33.3333	0.6367857641461363	0.442296		
ENSDARG00000052450	Linear		550439	hspb2	0.752725	0.501598	1.12958	0.7408479018980121	-46.74702200192991	99.49404400385983	1	1.5006539101033098	true	120.099	18.1837		
ENSDARG00000035151	Linear		555453	drll.1	1.30199	0.744661	2.27644	0.5505383025031708	-29.075322001929912	64.15064400385982	1	1.7484331796616177	true	9.98251	3.23641		
ENSDARG00000101133	Linear				1.15278	0.689091	1.92848	0.0017148201510238659	-23.862822001929914	53.72564400385983	1	1.6728995154486126	true	7.29041	2.58229		
ENSDARG00000021004	Linear		565774	c5	0.716578	0.481778	1.06581	0.07512773320762145	-66.41042200192992	138.82084400385983	-1	1.4873613988185432	true	378.676	-70.8544		
ENSDARG00000099111	Linear		100007793	zgc:175280	0.922176	0.588441	1.44519	0.9667223574181439	-82.55342200192992	171.10684400385983	-1	1.5671511672368172	true	1081.24	-161.513		
ENSDARG00000051940	Linear		553952;791613;100006320;100384900	ugt2a4;ugt2a4;ugt2a4;ugt2a4	0.691956	0.46789	1.02332	0.7758189335419203	-66.13812200192991	138.27624400385983	-1	1.4788860629635172	true	577.722	-72.0559		
ENSDARG00000032584	Linear		641568	thnsl2	1.54856	0.819553	2.92602	0.3536159166374827	-48.73192200192991	103.46384400385982	-1	1.889517822520325	true	91.4592	-10.0893		
ENSDARG00000086569	Linear		100007431	zgc:172051	0.922487	0.588589	1.4458	0.19579048002121324	-92.01892200192991	190.03784400385982	-1	1.5672854912341208	true	2054.49	-303.464		
ENSDARG00000089602	Linear				1.7892	0.87498	3.65864	0.06057729508755061	-36.300122001929914	78.60024400385983	1	2.044846739354042	true	36.859	3.81233		
ENSDARG00000088981	Linear		100536710	tmem220	1.24415	0.723921	2.13822	0.5774029078350067	-44.88802200192991	95.77604400385982	-1	1.718626756234451	true	81.6623	-9.71904		
ENSDARG00000087751	Linear				6.86156	0.562407	83.7133	3.4805194420661767E-4	-17.14932200192991	40.29864400385982	1	12.200346012763	true	4.30089	0.277302		
ENSDARG00000101861	Linear				0.987196	0.618829	1.57484	0.9650601676912799	-74.84792200192992	155.69584400385983	-1	1.5952646045999783	true	785.309	-90.2649		
ENSDARG00000098995	Linear		393481	cyp2k6	1.06132	0.651674	1.72848	0.3006202948585228	-52.298622001929914	110.59724400385983	1	1.6286057138998948	true	48.619	18.6726		
ENSDARG00000104841	Linear				1.65192	0.847381	3.22031	0.01731571348987604	-26.37102200192991	58.74204400385982	1	1.9494418685337527	true	19.0995	2.13003		
ENSDARG00000008403	Linear		100002812	phospho1	1.53273	0.815272	2.88156	0.6312131804445912	-48.513522001929914	103.02704400385983	-1	1.8800228635351146	true	67.9377	-10.0461		
ENSDARG00000038297	Linear		447919	aspdh	1.07133	0.655793	1.75016	0.42743282126028814	-49.34002200192991	104.68004400385982	-1	1.6336404932654054	true	114.172	-15.187		
ENSDARG00000019932	Linear		492334	slc5a11	0.7934	0.523527	1.20239	0.7369360994081144	-47.09932200192991	100.19864400385983	-1	1.51549012753879	true	128.638	-17.6614		
ENSDARG00000012881	Linear		84703	slc4a1a	1.19411	0.705185	2.02202	0.5760676749730321	-86.58792200192991	179.17584400385982	1	1.6933287009791758	true	470.766	163.221		
ENSDARG00000061858	Linear		768292	zgc:153968	0.986362	0.618429	1.5732	0.9109141003187777	-90.33192200192991	186.66384400385982	-1	1.594947843648988	true	2068.25	-253.623		
ENSDARG00000097891	Linear				1.27785	0.735595	2.21982	0.428063544440733	-24.06322200192991	54.12644400385982	1	1.7371651520197935	true	5.45429	2.36089		
ENSDARG00000096978	Linear		101885411	cu972512.1	1.1274	0.678682	1.87281	0.5947387024253217	-42.42242200192991	90.84484400385982	1	1.6611608971506537	true	53.0029	9.0997		
ENSDARG00000038009	Linear		798736	ct573429.1	1.06488	0.653238	1.73591	0.4480322383365317	-39.76742200192991	85.53484400385982	-1	1.6301562370835745	true	37.3994	-8.07117		
ENSDARG00000004954	Linear		791524	grna	1.30327	0.744906	2.28018	0.20079714329066223	-40.87132200192991	87.74264400385982	1	1.7495764566267422	true	44.3239	7.09845		
ENSDARG00000073936	Linear		100006428	bx511021.1	2.1894	0.936802	5.11687	0.023875797091300166	-35.064022001929914	76.12804400385983	1	2.337100048889733	true	23.9085	2.86902		
ENSDARG00000070021	Linear		558541	cyp3c4	1.03237	0.63901	1.66787	0.6967918530764377	-61.11252200192992	128.22504400385984	-1	1.6155772210137558	true	240.575	-34.5466		
ENSDARG00000037873	Linear		492759	cyp3c3	0.806548	0.530451	1.22635	0.714795730591613	-81.35692200192992	168.71384400385983	-1	1.5204948242156204	true	1008.66	-170.509		
ENSDARG00000102711	Linear				0.797509	0.525853	1.2095	0.7375081437863933	-21.96112200192991	49.92224400385982	1	1.5166006469488622	true	8.86775	3.28819		
ENSDARG00000103137	Linear		563218	rmi2	1.02796	0.637068	1.65869	0.018867730382534198	-39.830522001929914	85.66104400385983	1	1.613579712055856	true	59.0169	8.39629		
ENSDARG00000037836	Linear		570758	igfals	1.22169	0.715775	2.08518	0.08974930693803751	-45.96432200192991	97.92864400385982	-1	1.706807306765394	true	84.8471	-10.634		
ENSDARG00000104829	Linear		550426	zgc:112146	1.09386	0.66524	1.79865	0.8430466682762737	-46.84212200192991	99.68424400385982	-1	1.644308820876676	true	75.6384	-12.5924		
ENSDARG00000102720	Linear		641422	zgc:123284	0.989788	0.620457	1.57897	0.8992651099548712	-27.642822001929915	61.28564400385983	-1	1.595256399718272	true	20.3999	-3.86949		
ENSDARG00000039116	Linear		407626	nr5a5	0.931723	0.593013	1.4639	0.6310805093112666	-75.3155220019299	156.6310440038598	-1	1.5711679170608401	true	549.085	-98.6676		
ENSDARG00000052176	Linear		797287	shfl	1.15021	0.6884	1.92182	0.7083499932566515	-23.87532200192991	53.75064400385982	-1	1.670845438698431	true	14.7968	-2.59022		
ENSDARG00000113599	Linear				0.947477	0.600446	1.49508	0.43448023847879635	-104.44292200192992	214.88584400385983	1	1.5779553864960378	true	2840.07	676.409		
ENSDARG00000115405	Linear		793447	hbbe1.2	0.880132	0.567937	1.36394	0.5561321929043292	-75.97232200192991	157.94464400385982	1	1.5497000547595947	true	372.443	109.126		
ENSDARG00000088330	Linear		572729	hbae1.3	0.930018	0.592154	1.46065	0.31273340805882777	-63.85202200192991	133.70404400385982	1	1.5705677914866742	true	145.512	46.0326		
ENSDARG00000087390	Linear		573653	hbbe1.3	1.14468	0.685958	1.91016	0.9637449805566491	-94.81492200192992	195.62984400385983	1	1.6687319048688112	true	743.27	294.68		
ENSDARG00000089124	Linear		100334599	hbae1.3	0.948826	0.601089	1.49773	0.345062249733355	-87.82692200192992	181.65384400385983	1	1.5785116679892661	true	723.816	223.108		
ENSDARG00000079305	Linear		30601	hbae3	0.881805	0.568776	1.36711	0.6153702549090527	-107.84792200192992	221.69584400385983	1	1.5503555002320775	true	3568.64	912.018		
ENSDARG00000099841	Linear		100333967	prkcab	1.69425	0.855955	3.35355	0.13500032839209408	-40.30692200192991	86.61384400385982	-1	1.97936807425624	true	40.4343	-5.25873		
ENSDARG00000103341	Linear				2.71592	0.970577	7.59985	6.646011143380814E-4	-31.721822001929908	69.44364400385982	1	2.7982529979589463	true	21.0576	1.85087		
ENSDARG00000074669	Linear		794222	cacng4b	1.52267	0.812618	2.85315	0.015051296531593539	-30.96632200192991	67.93264400385982	-1	1.873783253632088	true	30.4927	-3.13916		
ENSDARG00000112895	Linear		100535338	fo834857.1	1.68956	0.854249	3.34167	0.03439660729526717	-31.718822001929908	69.43764400385982	-1	1.9778308198195138	true	24.026	-2.97463		
ENSDARG00000063257	Linear		100535478	si:ch211-194e18.2	2.19388	0.937267	5.13527	0.013735363115876975	-40.13452200192991	86.26904400385982	-1	2.3407204137134885	true	37.3255	-4.01469		
ENSDARG00000077040	Linear		565615	rin2	1.62334	0.838834	3.14153	0.7106526338802959	-40.94762200192991	87.89524400385982	-1	1.935233908019942	true	50.5662	-5.72794		
ENSDARG00000031664	Linear		30543	sox21a	1.74666	0.866853	3.51944	0.1714606194193805	-54.703722001929904	115.40744400385981	1	2.0149437101792347	true	121.31	13.3192		
ENSDARG00000044528	Linear		793301	slc15a1b	0.633565	0.434138	0.9246	0.3586471613171617	-89.24792200192991	184.49584400385982	-1	1.4593631518088719	true	1963.98	-367.338		
ENSDARG00000100504	Linear		559662	ppp1r27b	1.52382	0.812681	2.85725	0.01579922062461192	-46.408022001929915	98.81604400385983	-1	1.875053065101805	true	51.5279	-8.7815		
ENSDARG00000059651	Linear		564304	cidec	1.32305	0.751192	2.33025	0.7655011200904105	-45.28802200192991	96.57604400385982	-1	1.761267425638186	true	61.389	-9.3864		
ENSDARG00000099515	Linear		100331939	ephx4	1.62953	0.840205	3.16037	0.9669017642411138	-63.106022001929915	132.21204400385983	1	1.9394433501347885	true	171.564	24.9975		
ENSDARG00000052099	Linear		436603	agxta	0.81614	0.535445	1.24398	0.2969912875601981	-78.98752200192992	163.97504400385984	-1	1.5242275116958792	true	1047.91	-143.883		
ENSDARG00000038293	Linear		494056	zgc:103559	1.28939	0.739896	2.24696	0.3140802557290783	-49.394522001929914	104.78904400385983	-1	1.7426638338361067	true	83.7669	-12.6645		
ENSDARG00000044441	Linear		108190403	myo7b	1.10932	0.671644	1.8322	0.5442233831050911	-74.10462200192991	154.20924400385982	-1	1.651648790132868	true	466.063	-76.4446		
ENSDARG00000097265	Hill				0.00280077	6.03936E-6	1.29886	0.01653971498377671	-28.210822001929913	66.42164400385983	1	463.7527817517088	0	7.524	7.84225	11.1463	0.00279351	true	
ENSDARG00000075159	Linear		565942	meltf	1.00904	0.628705	1.61947	0.23450779787051934	-57.84772200192991	121.69544400385982	-1	1.6049498572462442	true	216.135	-28.432		
ENSDARG00000052027	Linear		101883387	tspan1	1.58959	0.830264	3.04338	0.16483057171283855	-39.46862200192991	84.93724400385982	1	1.9145597063102822	true	29.1931	5.3003		
ENSDARG00000096908	Linear		794764	si:ch73-185c24.2	0.75257	0.501598	1.12911	0.6488703401988639	-49.59922200192991	105.19844400385982	-1	1.5003448977069287	true	165.009	-21.9963		
ENSDARG00000058462	Linear		100009654	zgc:158846	0.929161	0.591779	1.45889	0.9193305827351258	-102.11792200192991	210.23584400385982	-1	1.5701148570665737	true	4452.41	-590.73		
ENSDARG00000060889	Linear		569046	mettl7a	1.13931	0.68364	1.8987	0.9894637093491953	-49.51002200192991	105.02004400385982	-1	1.666535018430753	true	126.6	-14.4435		
ENSDARG00000044204	Linear		791216	endou	1.12027	0.676232	1.85589	0.2463491489592632	-47.17352200192991	100.34704400385982	-1	1.6566355925185439	true	68.8835	-12.5702		
ENSDARG00000070394	Linear		556744	uroc1	1.03355	0.639505	1.6704	0.1512062463713928	-78.92742200192991	163.85484400385982	-1	1.616171882940712	true	778.996	-113.163		
ENSDARG00000033956	Hill		100001530	oxtr	0.00288043	1.95171E-4	0.0425107	0.9633043981803697	-16.912722001929907	43.825444003859815	-1	14.758493833612574	0	12.4072	-5.51795	13.1562	0.00302996	true	
ENSDARG00000053066	Linear		558552	tubb1	1.2907	0.740469	2.24981	0.7849491020297165	-30.51192200192991	67.02384400385982	1	1.743084450530677	true	10.3282	3.59285		
ENSDARG00000014169	Linear				1.52402	0.812759	2.85772	0.37825530906879623	-47.91692200192991	101.83384400385982	-1	1.8751191927742417	true	73.2043	-9.70951		
ENSDARG00000077028	Hill		100004652	si:ch211-81n22.1	0.273286	0.00201672	37.0329	0.6915991091855755	-23.70492200192991	57.40984400385982	-1	135.51013526914988	0	16.7385	-8.1779	12.0477	0.286634	true	
ENSDARG00000103277	Linear		100004700	cyp24a1	1.13968	0.683959	1.89903	0.35494589694253076	-93.81392200192991	193.62784400385982	-1	1.666298710887641	true	1375.52	-276.862		
ENSDARG00000099851	Hill		100329381	gpr180	3.90426E-4	6.93068E-28	2.19938E20	0.4672215866993087	-34.653722001929914	79.30744400385983	-1	5.633300051365811E23	0	57.8091	-16.9122	14.8352	4.057E-4	true	
