Identifier,BPAF-CC-A
ENSDARG00000098769,15
ENSDARG00000104115,0
ENSDARG00000102013,0
ENSDARG00000117775,0
ENSDARG00000082581,0
ENSDARG00000078308,15
ENSDARG00000033928,29
ENSDARG00000031164,40
ENSDARG00000037777,0
ENSDARG00000016706,6
ENSDARG00000030350,0
ENSDARG00000006526,36
ENSDARG00000077688,2
ENSDARG00000096546,8
ENSDARG00000092671,5
ENSDARG00000113935,1
ENSDARG00000063297,0
ENSDARG00000027078,12
ENSDARG00000017537,1
ENSDARG00000063270,2
ENSDARG00000018008,0
ENSDARG00000074031,3
ENSDARG00000043247,5
ENSDARG00000113848,0
ENSDARG00000063253,0
ENSDARG00000073857,8
ENSDARG00000107682,0
ENSDARG00000070558,1
ENSDARG00000025754,7
ENSDARG00000096530,0
ENSDARG00000116636,0
ENSDARG00000063207,2
ENSDARG00000095087,0
ENSDARG00000096610,0
ENSDARG00000117465,0
ENSDARG00000102217,0
ENSDARG00000090408,3
ENSDARG00000013741,7
ENSDARG00000017441,3287
ENSDARG00000037713,20
ENSDARG00000021688,0
ENSDARG00000004953,1
ENSDARG00000074050,3
ENSDARG00000018319,6
ENSDARG00000098730,6
ENSDARG00000096630,0
ENSDARG00000117359,0
ENSDARG00000106375,0
ENSDARG00000079779,1
ENSDARG00000089090,0
ENSDARG00000109652,0
ENSDARG00000115102,0
ENSDARG00000115288,0
ENSDARG00000093857,0
ENSDARG00000095309,0
ENSDARG00000095673,0
ENSDARG00000099359,0
ENSDARG00000092361,2
ENSDARG00000103767,0
ENSDARG00000075791,0
ENSDARG00000107486,1
ENSDARG00000029720,1
ENSDARG00000100166,10
ENSDARG00000074212,0
ENSDARG00000062929,5
ENSDARG00000022668,1
ENSDARG00000099708,0
ENSDARG00000025034,23
ENSDARG00000078474,0
ENSDARG00000096583,0
ENSDARG00000063003,1
ENSDARG00000002377,1
ENSDARG00000015803,1
ENSDARG00000037739,3
ENSDARG00000076176,4
ENSDARG00000096526,0
ENSDARG00000113858,6
ENSDARG00000096599,1
ENSDARG00000100771,0
ENSDARG00000079873,0
ENSDARG00000079332,0
ENSDARG00000007443,1
ENSDARG00000037746,326
ENSDARG00000037747,7
ENSDARG00000079361,1
ENSDARG00000012458,45
ENSDARG00000070543,11
ENSDARG00000094298,0
ENSDARG00000089873,0
ENSDARG00000093438,3
ENSDARG00000094206,1
ENSDARG00000037758,0
ENSDARG00000008723,1
ENSDARG00000110570,0
ENSDARG00000058460,0
ENSDARG00000088975,1
ENSDARG00000100949,0
ENSDARG00000093053,0
ENSDARG00000058463,32
ENSDARG00000076716,2
ENSDARG00000058464,1
ENSDARG00000058471,6
ENSDARG00000096584,0
ENSDARG00000058475,2
ENSDARG00000080404,0
ENSDARG00000058480,6
ENSDARG00000024740,0
ENSDARG00000101597,5
ENSDARG00000058445,0
ENSDARG00000063169,1
ENSDARG00000092791,0
ENSDARG00000037760,6
ENSDARG00000117314,0
ENSDARG00000017834,2
ENSDARG00000074282,5
ENSDARG00000074372,3
ENSDARG00000104203,0
ENSDARG00000101495,7
ENSDARG00000091916,4
ENSDARG00000099276,5
ENSDARG00000104995,0
ENSDARG00000033852,3
ENSDARG00000037654,0
ENSDARG00000037652,1
ENSDARG00000037646,3
ENSDARG00000032795,0
ENSDARG00000018263,14
ENSDARG00000077542,0
ENSDARG00000070490,0
ENSDARG00000015678,0
ENSDARG00000079043,0
ENSDARG00000076174,11
ENSDARG00000037647,9
ENSDARG00000008969,31
ENSDARG00000020741,19
ENSDARG00000104660,4
ENSDARG00000096594,0
ENSDARG00000077652,13
ENSDARG00000079452,0
ENSDARG00000089943,0
ENSDARG00000096536,0
ENSDARG00000077533,101
ENSDARG00000030563,3
ENSDARG00000026387,0
ENSDARG00000070495,0
ENSDARG00000084766,0
ENSDARG00000034785,1
ENSDARG00000070512,7
ENSDARG00000070504,0
ENSDARG00000062057,0
ENSDARG00000067992,0
ENSDARG00000103508,0
ENSDARG00000070502,0
ENSDARG00000037679,1
ENSDARG00000076833,50
ENSDARG00000012297,4
ENSDARG00000087107,0
ENSDARG00000099342,0
ENSDARG00000008487,6
ENSDARG00000084839,0
ENSDARG00000100507,0
ENSDARG00000070239,1
ENSDARG00000074379,3
ENSDARG00000062854,0
ENSDARG00000112849,0
ENSDARG00000113410,0
ENSDARG00000092242,0
ENSDARG00000092200,0
ENSDARG00000093636,0
ENSDARG00000095482,0
ENSDARG00000094981,0
ENSDARG00000037619,0
ENSDARG00000062585,2
ENSDARG00000074213,0
ENSDARG00000062606,2
ENSDARG00000077198,0
ENSDARG00000007678,36
ENSDARG00000089930,2
ENSDARG00000078057,6
ENSDARG00000070448,16
ENSDARG00000070449,0
ENSDARG00000042988,32
ENSDARG00000096506,2
ENSDARG00000070452,1
ENSDARG00000070454,2
ENSDARG00000096515,0
ENSDARG00000038114,1
ENSDARG00000008637,24
ENSDARG00000091609,9
ENSDARG00000002634,0
ENSDARG00000062467,0
ENSDARG00000032808,0
ENSDARG00000078318,0
ENSDARG00000018997,56
ENSDARG00000099771,9
ENSDARG00000045620,6
ENSDARG00000045618,78
ENSDARG00000057248,1
ENSDARG00000017985,6
ENSDARG00000113585,0
ENSDARG00000106508,0
ENSDARG00000117227,0
ENSDARG00000104707,0
ENSDARG00000102049,0
ENSDARG00000116228,0
ENSDARG00000099729,5
ENSDARG00000105122,2
ENSDARG00000098668,0
ENSDARG00000098053,0
ENSDARG00000102604,0
ENSDARG00000102339,2
ENSDARG00000089805,3
ENSDARG00000117726,0
ENSDARG00000117541,8
ENSDARG00000112668,0
ENSDARG00000110084,0
ENSDARG00000078525,0
ENSDARG00000079626,10
ENSDARG00000057114,2
ENSDARG00000009026,8
ENSDARG00000085400,0
ENSDARG00000014273,16
ENSDARG00000104795,0
ENSDARG00000056806,2
ENSDARG00000056797,7
ENSDARG00000062341,0
ENSDARG00000107022,0
ENSDARG00000056742,1
ENSDARG00000037576,0
ENSDARG00000070431,11
ENSDARG00000022690,6
ENSDARG00000056677,0
ENSDARG00000012903,5
ENSDARG00000003398,5
ENSDARG00000074867,3
ENSDARG00000109597,3
ENSDARG00000111274,0
ENSDARG00000110922,6
ENSDARG00000116310,0
ENSDARG00000109592,0
ENSDARG00000117482,0
ENSDARG00000103921,0
ENSDARG00000114198,0
ENSDARG00000106947,0
ENSDARG00000039063,0
ENSDARG00000113383,0
ENSDARG00000109748,0
ENSDARG00000116279,0
ENSDARG00000109910,0
ENSDARG00000116174,0
ENSDARG00000116266,0
ENSDARG00000111171,0
ENSDARG00000111710,0
ENSDARG00000111723,0
ENSDARG00000115042,0
ENSDARG00000114262,0
ENSDARG00000078898,28
ENSDARG00000007534,0
ENSDARG00000077804,7
ENSDARG00000013881,5
ENSDARG00000079317,1
ENSDARG00000117428,0
ENSDARG00000106258,0
ENSDARG00000078854,15
ENSDARG00000108223,0
ENSDARG00000007356,0
ENSDARG00000078599,10
ENSDARG00000115704,0
ENSDARG00000109375,0
ENSDARG00000017119,7
ENSDARG00000070412,3
ENSDARG00000034105,3
ENSDARG00000062198,5
ENSDARG00000034817,7
ENSDARG00000056504,9
ENSDARG00000108673,0
ENSDARG00000110937,0
ENSDARG00000117129,0
ENSDARG00000116147,0
ENSDARG00000116406,0
ENSDARG00000111254,0
ENSDARG00000113731,0
ENSDARG00000115569,0
ENSDARG00000113149,0
ENSDARG00000116958,0
ENSDARG00000092109,0
ENSDARG00000017591,57
ENSDARG00000092708,0
ENSDARG00000017905,13
ENSDARG00000030514,14
ENSDARG00000056400,2
ENSDARG00000042937,0
ENSDARG00000092600,0
ENSDARG00000027355,163
ENSDARG00000092022,1
ENSDARG00000056381,4
ENSDARG00000056376,0
ENSDARG00000056369,8
ENSDARG00000011023,1
ENSDARG00000003046,1
ENSDARG00000095697,0
ENSDARG00000016065,0
ENSDARG00000062132,11
ENSDARG00000117687,0
ENSDARG00000117295,0
ENSDARG00000094943,0
ENSDARG00000115616,0
ENSDARG00000037545,1
ENSDARG00000062122,0
ENSDARG00000095111,0
ENSDARG00000008287,1
ENSDARG00000015495,7
ENSDARG00000062081,2
ENSDARG00000018178,3
ENSDARG00000093886,1
ENSDARG00000056163,0
ENSDARG00000079488,0
ENSDARG00000062055,10
ENSDARG00000074275,8
ENSDARG00000075330,1
ENSDARG00000006392,7
ENSDARG00000073902,2
ENSDARG00000019945,14
ENSDARG00000086957,7
ENSDARG00000056151,74
ENSDARG00000061985,13
ENSDARG00000061981,8
ENSDARG00000003631,6
ENSDARG00000056133,0
ENSDARG00000070321,0
ENSDARG00000017744,4
ENSDARG00000070320,0
ENSDARG00000061952,2
ENSDARG00000061936,1
ENSDARG00000006434,6
ENSDARG00000037484,2
ENSDARG00000094729,0
ENSDARG00000095388,1
ENSDARG00000085360,0
ENSDARG00000037487,2
ENSDARG00000008068,3
ENSDARG00000077648,0
ENSDARG00000096580,0
ENSDARG00000079250,0
ENSDARG00000019986,27
ENSDARG00000080019,2
ENSDARG00000099995,2
ENSDARG00000070278,0
ENSDARG00000061830,2
ENSDARG00000041776,1
ENSDARG00000095632,0
ENSDARG00000037455,15
ENSDARG00000093816,0
ENSDARG00000070266,45
ENSDARG00000037429,0
ENSDARG00000055874,114
ENSDARG00000055876,6
ENSDARG00000092321,0
ENSDARG00000061786,0
ENSDARG00000094202,5
ENSDARG00000109806,0
ENSDARG00000112850,0
ENSDARG00000110242,0
ENSDARG00000115895,0
ENSDARG00000061459,15
ENSDARG00000037411,0
ENSDARG00000084908,0
ENSDARG00000037410,9
ENSDARG00000037409,1
ENSDARG00000070173,0
ENSDARG00000052782,6
ENSDARG00000037406,1
ENSDARG00000034773,3
ENSDARG00000033273,1
ENSDARG00000055439,4
ENSDARG00000055443,9
ENSDARG00000112783,0
ENSDARG00000095593,0
ENSDARG00000037383,1
ENSDARG00000030759,2
ENSDARG00000079074,0
ENSDARG00000061504,4
ENSDARG00000000606,0
ENSDARG00000107258,0
ENSDARG00000087224,0
ENSDARG00000052764,1
ENSDARG00000092275,0
ENSDARG00000055559,3
ENSDARG00000114954,0
ENSDARG00000115778,0
ENSDARG00000026871,17
ENSDARG00000016470,23
ENSDARG00000103166,0
ENSDARG00000091660,0
ENSDARG00000038056,10
ENSDARG00000002406,0
ENSDARG00000034007,12
ENSDARG00000061143,6
ENSDARG00000034896,11
ENSDARG00000116099,0
ENSDARG00000037378,3
ENSDARG00000012672,15
ENSDARG00000093064,11
ENSDARG00000061121,10
ENSDARG00000094677,3
ENSDARG00000054799,9
ENSDARG00000116939,0
ENSDARG00000037350,575
ENSDARG00000022845,4
ENSDARG00000019838,4
ENSDARG00000005799,6
ENSDARG00000013505,12
ENSDARG00000055022,23
ENSDARG00000061451,5
ENSDARG00000070121,0
ENSDARG00000054680,1
ENSDARG00000092290,5
ENSDARG00000055099,8
ENSDARG00000070109,5
ENSDARG00000070098,13
ENSDARG00000094046,0
ENSDARG00000114096,0
ENSDARG00000004246,20
ENSDARG00000083023,0
ENSDARG00000031108,28
ENSDARG00000015266,32
ENSDARG00000100600,0
ENSDARG00000092542,0
ENSDARG00000035692,510
ENSDARG00000094885,0
ENSDARG00000090822,0
ENSDARG00000088202,1
ENSDARG00000086859,0
ENSDARG00000090118,0
ENSDARG00000061021,4
ENSDARG00000037309,2
ENSDARG00000054334,1
ENSDARG00000116715,0
ENSDARG00000060994,5
ENSDARG00000106456,0
ENSDARG00000074776,0
ENSDARG00000074451,0
ENSDARG00000079434,17
ENSDARG00000031817,0
ENSDARG00000074812,3
ENSDARG00000070055,2
ENSDARG00000070050,5
ENSDARG00000095408,0
ENSDARG00000037286,0
ENSDARG00000037283,2
ENSDARG00000037281,29
ENSDARG00000037278,4
ENSDARG00000070039,0
ENSDARG00000091184,0
ENSDARG00000094763,0
ENSDARG00000037276,5
ENSDARG00000013787,4
ENSDARG00000086790,1
ENSDARG00000006427,109
ENSDARG00000104824,0
ENSDARG00000076499,0
ENSDARG00000037266,11
ENSDARG00000077157,6
ENSDARG00000037256,4
ENSDARG00000116236,0
ENSDARG00000069998,1
ENSDARG00000053995,3
ENSDARG00000021702,20
ENSDARG00000054031,6
ENSDARG00000037259,20
ENSDARG00000037260,3
ENSDARG00000037261,6
ENSDARG00000037262,0
ENSDARG00000104309,0
ENSDARG00000077817,5
ENSDARG00000107180,0
ENSDARG00000076928,20
ENSDARG00000009685,3
ENSDARG00000079377,0
ENSDARG00000091678,1
ENSDARG00000014790,22
ENSDARG00000019581,9
ENSDARG00000096665,0
ENSDARG00000079925,0
ENSDARG00000053731,0
ENSDARG00000094127,0
ENSDARG00000005210,1
ENSDARG00000023330,34
ENSDARG00000096667,2
ENSDARG00000037245,2
ENSDARG00000096554,2
ENSDARG00000079266,0
ENSDARG00000023600,29
ENSDARG00000033345,1
ENSDARG00000069989,19
ENSDARG00000095189,0
ENSDARG00000104096,3
ENSDARG00000102639,0
ENSDARG00000006621,11
ENSDARG00000069996,5
ENSDARG00000100083,7
ENSDARG00000031632,6
ENSDARG00000101474,7
ENSDARG00000104710,1
ENSDARG00000095954,0
ENSDARG00000095895,0
ENSDARG00000089138,8
ENSDARG00000112052,1
ENSDARG00000089334,2
ENSDARG00000053456,3
ENSDARG00000053466,3
ENSDARG00000053463,1
ENSDARG00000037109,7
ENSDARG00000096538,0
ENSDARG00000005739,22
ENSDARG00000053496,5
ENSDARG00000053500,7
ENSDARG00000053502,6
ENSDARG00000035080,0
ENSDARG00000037100,0
ENSDARG00000096627,0
ENSDARG00000096648,0
ENSDARG00000075193,0
ENSDARG00000069804,2
ENSDARG00000078546,4
ENSDARG00000037099,9
ENSDARG00000060620,0
ENSDARG00000075858,1
ENSDARG00000096592,0
ENSDARG00000096643,0
ENSDARG00000093663,0
ENSDARG00000096555,0
ENSDARG00000096544,0
ENSDARG00000069799,0
ENSDARG00000074117,0
ENSDARG00000092653,1
ENSDARG00000061732,4
ENSDARG00000095590,0
ENSDARG00000031202,3
ENSDARG00000037144,1
ENSDARG00000037177,28
ENSDARG00000003866,24
ENSDARG00000037178,2
ENSDARG00000028982,6
ENSDARG00000055839,0
ENSDARG00000060477,3
ENSDARG00000082429,0
ENSDARG00000113839,0
ENSDARG00000110947,0
ENSDARG00000096572,0
ENSDARG00000091513,5
ENSDARG00000026771,3
ENSDARG00000096632,25
ENSDARG00000099758,15
ENSDARG00000093065,0
ENSDARG00000074302,0
ENSDARG00000003142,4
ENSDARG00000096668,15
ENSDARG00000042688,0
ENSDARG00000060559,3
ENSDARG00000114316,0
ENSDARG00000114817,0
ENSDARG00000096527,23
ENSDARG00000092278,0
ENSDARG00000019715,1
ENSDARG00000017174,0
ENSDARG00000069946,13
ENSDARG00000074575,13
ENSDARG00000069951,3
ENSDARG00000069953,1
ENSDARG00000093358,0
ENSDARG00000094957,0
ENSDARG00000078902,3
ENSDARG00000039616,4
ENSDARG00000095941,0
ENSDARG00000018611,2
ENSDARG00000053269,7
ENSDARG00000039615,3
ENSDARG00000060501,2
ENSDARG00000039613,0
ENSDARG00000029751,0
ENSDARG00000027572,2
ENSDARG00000078733,5
ENSDARG00000058231,17
ENSDARG00000053248,4
ENSDARG00000012896,13
ENSDARG00000100996,0
ENSDARG00000096540,1
ENSDARG00000053241,0
ENSDARG00000069834,0
ENSDARG00000096548,0
ENSDARG00000027826,3
ENSDARG00000107292,0
ENSDARG00000079455,14
ENSDARG00000089053,0
ENSDARG00000078810,0
ENSDARG00000115601,0
ENSDARG00000094318,0
ENSDARG00000060716,4
ENSDARG00000074815,7
ENSDARG00000033380,0
ENSDARG00000051975,15
ENSDARG00000079280,9
ENSDARG00000053586,16
ENSDARG00000002190,18
ENSDARG00000053580,0
ENSDARG00000003701,0
ENSDARG00000079350,12
ENSDARG00000012763,10
ENSDARG00000013023,0
ENSDARG00000106311,0
ENSDARG00000115905,0
ENSDARG00000022971,3
ENSDARG00000081597,0
ENSDARG00000032056,8
ENSDARG00000074860,19
ENSDARG00000053542,10
ENSDARG00000094556,0
ENSDARG00000053535,3
ENSDARG00000111052,0
ENSDARG00000015312,4
ENSDARG00000015506,3
ENSDARG00000013006,0
ENSDARG00000108956,0
ENSDARG00000058287,5
ENSDARG00000069910,10
ENSDARG00000109513,0
ENSDARG00000092693,369
ENSDARG00000084532,0
ENSDARG00000085301,0
ENSDARG00000081849,0
ENSDARG00000082811,0
ENSDARG00000095892,0
ENSDARG00000095934,0
ENSDARG00000079191,0
ENSDARG00000105033,0
ENSDARG00000102858,0
ENSDARG00000093282,0
ENSDARG00000101520,0
ENSDARG00000075798,6
ENSDARG00000037018,9
ENSDARG00000074677,3
ENSDARG00000094485,0
ENSDARG00000060397,13
ENSDARG00000094648,0
ENSDARG00000027199,3
ENSDARG00000115856,0
ENSDARG00000060383,2
ENSDARG00000037002,0
ENSDARG00000076171,31
ENSDARG00000112614,0
ENSDARG00000113986,0
ENSDARG00000036995,27
ENSDARG00000069737,20
ENSDARG00000095555,0
ENSDARG00000011876,5
ENSDARG00000078789,9
ENSDARG00000036755,0
ENSDARG00000078326,8
ENSDARG00000102082,0
ENSDARG00000081340,0
ENSDARG00000034093,7
ENSDARG00000102787,11
ENSDARG00000082897,0
ENSDARG00000074501,0
ENSDARG00000090416,0
ENSDARG00000074989,16
ENSDARG00000076343,0
ENSDARG00000077519,0
ENSDARG00000040048,8
ENSDARG00000082660,0
ENSDARG00000057303,9
ENSDARG00000113575,0
ENSDARG00000029722,136
ENSDARG00000008305,2
ENSDARG00000117649,0
ENSDARG00000007477,0
ENSDARG00000053106,0
ENSDARG00000012016,6
ENSDARG00000011066,11
ENSDARG00000004621,213
ENSDARG00000095811,0
ENSDARG00000075098,0
ENSDARG00000053222,14
ENSDARG00000089976,21
ENSDARG00000069640,1
ENSDARG00000104657,0
ENSDARG00000117532,0
ENSDARG00000085733,0
ENSDARG00000005479,51
ENSDARG00000110757,0
ENSDARG00000085080,0
ENSDARG00000093919,0
ENSDARG00000036990,2
ENSDARG00000085746,0
ENSDARG00000007387,7
ENSDARG00000024828,5
ENSDARG00000070162,47
ENSDARG00000104907,6
ENSDARG00000080987,0
ENSDARG00000079183,1
ENSDARG00000104437,25
ENSDARG00000103145,2
ENSDARG00000069701,0
ENSDARG00000020857,3
ENSDARG00000093120,2
ENSDARG00000074662,0
ENSDARG00000076585,7
ENSDARG00000079631,13
ENSDARG00000018587,0
ENSDARG00000078182,0
ENSDARG00000095065,0
ENSDARG00000109438,0
ENSDARG00000074610,0
ENSDARG00000069707,0
ENSDARG00000078251,0
ENSDARG00000008457,5
ENSDARG00000031435,130
ENSDARG00000077874,0
ENSDARG00000069710,0
ENSDARG00000079552,4
ENSDARG00000087333,6
ENSDARG00000009315,11
ENSDARG00000030368,12
ENSDARG00000117231,2
ENSDARG00000117450,1
ENSDARG00000117485,5
ENSDARG00000117707,1
ENSDARG00000052899,0
ENSDARG00000052900,0
ENSDARG00000052895,0
ENSDARG00000074600,1
ENSDARG00000075521,0
ENSDARG00000095566,0
ENSDARG00000007941,9
ENSDARG00000095651,1
ENSDARG00000069669,1
ENSDARG00000108025,0
ENSDARG00000033604,14
ENSDARG00000060236,0
ENSDARG00000036774,6
ENSDARG00000109727,0
ENSDARG00000052866,14
ENSDARG00000108028,0
ENSDARG00000091911,0
ENSDARG00000093237,1
ENSDARG00000008706,68
ENSDARG00000078108,0
ENSDARG00000075639,7
ENSDARG00000078016,1
ENSDARG00000092551,0
ENSDARG00000075194,3
ENSDARG00000098598,0
ENSDARG00000060252,4
ENSDARG00000078908,4
ENSDARG00000036965,16
ENSDARG00000036967,27
ENSDARG00000060264,1
ENSDARG00000024101,3
ENSDARG00000107253,0
ENSDARG00000024785,27
ENSDARG00000084202,0
ENSDARG00000087061,0
ENSDARG00000052713,14
ENSDARG00000107073,0
ENSDARG00000113563,0
ENSDARG00000081405,0
ENSDARG00000052712,54
ENSDARG00000052703,3
ENSDARG00000052700,1
ENSDARG00000052696,6
ENSDARG00000075112,0
ENSDARG00000029898,4
ENSDARG00000092730,1
ENSDARG00000078622,0
ENSDARG00000074132,0
ENSDARG00000075598,0
ENSDARG00000117264,0
ENSDARG00000094910,0
ENSDARG00000117756,0
ENSDARG00000074476,1
ENSDARG00000087178,1
ENSDARG00000095949,2
ENSDARG00000076277,1
ENSDARG00000075916,2
ENSDARG00000078558,0
ENSDARG00000052019,5
ENSDARG00000101106,9
ENSDARG00000103871,4
ENSDARG00000089345,0
ENSDARG00000099025,0
ENSDARG00000098805,0
ENSDARG00000052016,12
ENSDARG00000059682,0
ENSDARG00000078233,18
ENSDARG00000104759,0
ENSDARG00000075179,0
ENSDARG00000104249,0
ENSDARG00000111029,0
ENSDARG00000105108,0
ENSDARG00000112081,0
ENSDARG00000109574,0
ENSDARG00000115729,0
ENSDARG00000116661,0
ENSDARG00000111422,0
ENSDARG00000111051,0
ENSDARG00000112750,0
ENSDARG00000113452,0
ENSDARG00000069116,8
ENSDARG00000069114,0
ENSDARG00000014803,16
ENSDARG00000016793,268
ENSDARG00000052012,1
ENSDARG00000083573,0
ENSDARG00000016263,10
ENSDARG00000095781,0
ENSDARG00000007786,3
ENSDARG00000009472,14
ENSDARG00000111774,0
ENSDARG00000037748,8
ENSDARG00000002840,22
ENSDARG00000079632,15
ENSDARG00000016994,3
ENSDARG00000029718,1
ENSDARG00000051993,1
ENSDARG00000092459,0
ENSDARG00000094678,0
ENSDARG00000051989,0
ENSDARG00000095407,0
ENSDARG00000051986,26
ENSDARG00000051981,2
ENSDARG00000059653,3
ENSDARG00000016835,0
ENSDARG00000094133,28
ENSDARG00000093997,4
ENSDARG00000093289,0
ENSDARG00000078659,10
ENSDARG00000093954,0
ENSDARG00000031836,2
ENSDARG00000117392,0
ENSDARG00000098263,1
ENSDARG00000105005,0
ENSDARG00000030972,6
ENSDARG00000051970,0
ENSDARG00000019778,530
ENSDARG00000051965,1
ENSDARG00000087426,8
ENSDARG00000069559,5
ENSDARG00000093347,0
ENSDARG00000069566,3
ENSDARG00000095108,0
ENSDARG00000006588,24
ENSDARG00000006225,27
ENSDARG00000052766,4
ENSDARG00000117778,0
ENSDARG00000095463,0
ENSDARG00000069632,0
ENSDARG00000025518,1
ENSDARG00000105481,0
ENSDARG00000092240,4
ENSDARG00000030376,5
ENSDARG00000069619,36
ENSDARG00000030656,16
ENSDARG00000114294,0
ENSDARG00000032340,0
ENSDARG00000026068,9
ENSDARG00000002285,7
ENSDARG00000069595,5
ENSDARG00000060187,0
ENSDARG00000060184,5
ENSDARG00000113491,0
ENSDARG00000008279,1
ENSDARG00000010773,13
ENSDARG00000025233,1
ENSDARG00000016548,45
ENSDARG00000073848,9
ENSDARG00000052677,0
ENSDARG00000117377,0
ENSDARG00000008131,4
ENSDARG00000053340,0
ENSDARG00000095834,0
ENSDARG00000008413,13
ENSDARG00000095860,0
ENSDARG00000029133,14
ENSDARG00000075859,3
ENSDARG00000070858,4
ENSDARG00000036658,20
ENSDARG00000036650,3
ENSDARG00000036645,1
ENSDARG00000036637,3
ENSDARG00000036636,4
ENSDARG00000052641,34
ENSDARG00000052624,9
ENSDARG00000081252,0
ENSDARG00000080168,0
ENSDARG00000092950,0
ENSDARG00000095507,0
ENSDARG00000094160,5
ENSDARG00000036549,25
ENSDARG00000036546,2
ENSDARG00000116185,0
ENSDARG00000036545,0
ENSDARG00000036542,1
ENSDARG00000089853,3
ENSDARG00000000086,1
ENSDARG00000026902,4
ENSDARG00000036592,3
ENSDARG00000001470,1
ENSDARG00000086877,0
ENSDARG00000069471,9
ENSDARG00000036588,7
ENSDARG00000036587,4
ENSDARG00000043271,0
ENSDARG00000036687,19
ENSDARG00000069450,0
ENSDARG00000015076,0
ENSDARG00000015559,3
ENSDARG00000076773,0
ENSDARG00000007734,0
ENSDARG00000060148,18
ENSDARG00000069438,7
ENSDARG00000083014,0
ENSDARG00000069435,0
ENSDARG00000108154,0
ENSDARG00000114522,0
ENSDARG00000103535,5
ENSDARG00000112034,1
ENSDARG00000096191,0
ENSDARG00000096053,2
ENSDARG00000096589,0
ENSDARG00000075045,1
ENSDARG00000096031,11
ENSDARG00000036008,6
ENSDARG00000008886,2
ENSDARG00000094465,0
ENSDARG00000052468,0
ENSDARG00000018325,4
ENSDARG00000096003,57
ENSDARG00000052480,17
ENSDARG00000022891,9
ENSDARG00000005314,0
ENSDARG00000036479,0
ENSDARG00000092919,0
ENSDARG00000074052,0
ENSDARG00000074136,0
ENSDARG00000075389,0
ENSDARG00000069415,22
ENSDARG00000082615,0
ENSDARG00000012574,9
ENSDARG00000052512,0
ENSDARG00000079501,0
ENSDARG00000094063,0
ENSDARG00000031894,4
ENSDARG00000030765,38
ENSDARG00000026548,1
ENSDARG00000052520,1
ENSDARG00000036494,1
ENSDARG00000018721,1
ENSDARG00000114696,0
ENSDARG00000013667,1
ENSDARG00000060036,13
ENSDARG00000076420,0
ENSDARG00000057099,0
ENSDARG00000014098,0
ENSDARG00000016818,0
ENSDARG00000010655,21
ENSDARG00000075785,2
ENSDARG00000075887,1
ENSDARG00000075564,12
ENSDARG00000117385,0
ENSDARG00000116732,1
ENSDARG00000100792,5
ENSDARG00000075043,12
ENSDARG00000115918,0
ENSDARG00000030703,3
ENSDARG00000017772,169
ENSDARG00000005578,3
ENSDARG00000024933,6
ENSDARG00000004427,11
ENSDARG00000015540,5
ENSDARG00000043587,6
