Identifier,BPAF-1000ug/L-B
ENSDARG00000025754,6
ENSDARG00000096530,0
ENSDARG00000116636,0
ENSDARG00000063207,2
ENSDARG00000095087,0
ENSDARG00000096610,0
ENSDARG00000117465,0
ENSDARG00000102217,0
ENSDARG00000090408,1
ENSDARG00000013741,3
ENSDARG00000017441,3777
ENSDARG00000037713,27
ENSDARG00000021688,0
ENSDARG00000004953,0
ENSDARG00000074050,0
ENSDARG00000018319,15
ENSDARG00000098730,13
ENSDARG00000096630,0
ENSDARG00000117359,0
ENSDARG00000106375,0
ENSDARG00000079779,2
ENSDARG00000089090,0
ENSDARG00000109652,0
ENSDARG00000115102,0
ENSDARG00000115288,0
ENSDARG00000093857,1
ENSDARG00000095309,0
ENSDARG00000095673,0
ENSDARG00000099359,0
ENSDARG00000092361,2
ENSDARG00000103767,0
ENSDARG00000075791,0
ENSDARG00000107486,1
ENSDARG00000029720,0
ENSDARG00000100166,14
ENSDARG00000074212,0
ENSDARG00000062929,9
ENSDARG00000022668,0
ENSDARG00000099708,0
ENSDARG00000025034,30
ENSDARG00000078474,0
ENSDARG00000096583,0
ENSDARG00000063003,0
ENSDARG00000002377,3
ENSDARG00000015803,0
ENSDARG00000037739,7
ENSDARG00000076176,5
ENSDARG00000096526,0
ENSDARG00000113858,1
ENSDARG00000096599,1
ENSDARG00000100771,0
ENSDARG00000079873,1
ENSDARG00000079332,0
ENSDARG00000007443,4
ENSDARG00000037746,434
ENSDARG00000037747,6
ENSDARG00000079361,1
ENSDARG00000012458,38
ENSDARG00000070543,11
ENSDARG00000094298,0
ENSDARG00000089873,0
ENSDARG00000093438,1
ENSDARG00000094206,4
ENSDARG00000037758,0
ENSDARG00000008723,1
ENSDARG00000110570,0
ENSDARG00000058460,0
ENSDARG00000088975,3
ENSDARG00000100949,0
ENSDARG00000093053,0
ENSDARG00000058463,60
ENSDARG00000076716,2
ENSDARG00000058464,1
ENSDARG00000058471,7
ENSDARG00000096584,0
ENSDARG00000058475,0
ENSDARG00000080404,0
ENSDARG00000058480,3
ENSDARG00000024740,0
ENSDARG00000101597,3
ENSDARG00000058445,2
ENSDARG00000063169,1
ENSDARG00000092791,0
ENSDARG00000037760,4
ENSDARG00000117314,0
ENSDARG00000017834,2
ENSDARG00000074282,1
ENSDARG00000074372,3
ENSDARG00000104203,0
ENSDARG00000101495,7
ENSDARG00000091916,9
ENSDARG00000099276,0
ENSDARG00000104995,0
ENSDARG00000033852,5
ENSDARG00000037654,3
ENSDARG00000037652,2
ENSDARG00000037646,2
ENSDARG00000032795,0
ENSDARG00000018263,24
ENSDARG00000077542,0
ENSDARG00000070490,1
ENSDARG00000015678,0
ENSDARG00000079043,0
ENSDARG00000076174,2
ENSDARG00000037647,7
ENSDARG00000008969,21
ENSDARG00000020741,24
ENSDARG00000104660,0
ENSDARG00000096594,1
ENSDARG00000077652,15
ENSDARG00000079452,0
ENSDARG00000089943,0
ENSDARG00000096536,0
ENSDARG00000077533,102
ENSDARG00000030563,9
ENSDARG00000026387,0
ENSDARG00000070495,0
ENSDARG00000084766,0
ENSDARG00000034785,2
ENSDARG00000070512,9
ENSDARG00000070504,0
ENSDARG00000062057,0
ENSDARG00000067992,0
ENSDARG00000103508,0
ENSDARG00000070502,0
ENSDARG00000037679,6
ENSDARG00000076833,61
ENSDARG00000012297,5
ENSDARG00000087107,0
ENSDARG00000099342,0
ENSDARG00000008487,7
ENSDARG00000084839,0
ENSDARG00000100507,0
ENSDARG00000070239,4
ENSDARG00000074379,3
ENSDARG00000062854,0
ENSDARG00000112849,0
ENSDARG00000113410,0
ENSDARG00000092242,0
ENSDARG00000092200,0
ENSDARG00000093636,0
ENSDARG00000095482,0
ENSDARG00000094981,0
ENSDARG00000037619,0
ENSDARG00000062585,2
ENSDARG00000074213,0
ENSDARG00000062606,0
ENSDARG00000077198,0
ENSDARG00000007678,40
ENSDARG00000089930,1
ENSDARG00000078057,3
ENSDARG00000070448,12
ENSDARG00000070449,0
ENSDARG00000042988,41
ENSDARG00000096506,0
ENSDARG00000070452,7
ENSDARG00000070454,0
ENSDARG00000096515,0
ENSDARG00000038114,0
ENSDARG00000008637,27
ENSDARG00000091609,8
ENSDARG00000002634,0
ENSDARG00000062467,0
ENSDARG00000032808,0
ENSDARG00000078318,0
ENSDARG00000018997,49
ENSDARG00000099771,4
ENSDARG00000045620,9
ENSDARG00000045618,75
ENSDARG00000057248,5
ENSDARG00000017985,7
ENSDARG00000113585,0
ENSDARG00000106508,0
ENSDARG00000117227,0
ENSDARG00000104707,0
ENSDARG00000102049,0
ENSDARG00000116228,0
ENSDARG00000099729,13
ENSDARG00000105122,0
ENSDARG00000098668,0
ENSDARG00000098053,0
ENSDARG00000102604,0
ENSDARG00000102339,1
ENSDARG00000089805,4
ENSDARG00000117726,0
ENSDARG00000117541,3
ENSDARG00000112668,0
ENSDARG00000110084,0
ENSDARG00000078525,0
ENSDARG00000079626,17
ENSDARG00000057114,8
ENSDARG00000009026,8
ENSDARG00000085400,0
ENSDARG00000014273,19
ENSDARG00000104795,0
ENSDARG00000056806,0
ENSDARG00000056797,10
ENSDARG00000062341,2
ENSDARG00000107022,0
ENSDARG00000056742,1
ENSDARG00000037576,0
ENSDARG00000070431,9
ENSDARG00000022690,4
ENSDARG00000056677,0
ENSDARG00000012903,4
ENSDARG00000003398,6
ENSDARG00000074867,3
ENSDARG00000109597,0
ENSDARG00000111274,0
ENSDARG00000110922,8
ENSDARG00000116310,0
ENSDARG00000109592,0
ENSDARG00000117482,0
ENSDARG00000103921,0
ENSDARG00000114198,0
ENSDARG00000106947,0
ENSDARG00000039063,0
ENSDARG00000113383,0
ENSDARG00000109748,0
ENSDARG00000116279,0
ENSDARG00000109910,0
ENSDARG00000116174,0
ENSDARG00000116266,0
ENSDARG00000111171,0
ENSDARG00000111710,0
ENSDARG00000111723,0
ENSDARG00000115042,0
ENSDARG00000114262,0
ENSDARG00000078898,34
ENSDARG00000007534,0
ENSDARG00000077804,7
ENSDARG00000013881,7
ENSDARG00000079317,2
ENSDARG00000117428,0
ENSDARG00000106258,0
ENSDARG00000078854,9
ENSDARG00000108223,0
ENSDARG00000007356,0
ENSDARG00000078599,10
ENSDARG00000115704,0
ENSDARG00000109375,0
ENSDARG00000017119,10
ENSDARG00000070412,1
ENSDARG00000034105,6
ENSDARG00000062198,6
ENSDARG00000034817,6
ENSDARG00000056504,11
ENSDARG00000108673,0
ENSDARG00000110937,0
ENSDARG00000117129,0
ENSDARG00000116147,0
ENSDARG00000116406,0
ENSDARG00000111254,0
ENSDARG00000113731,0
ENSDARG00000115569,0
ENSDARG00000113149,0
ENSDARG00000116958,0
ENSDARG00000092109,0
ENSDARG00000017591,54
ENSDARG00000092708,0
ENSDARG00000017905,23
ENSDARG00000030514,12
ENSDARG00000056400,0
ENSDARG00000042937,0
ENSDARG00000092600,0
ENSDARG00000027355,211
ENSDARG00000092022,0
ENSDARG00000056381,0
ENSDARG00000056376,0
ENSDARG00000056369,10
ENSDARG00000011023,1
ENSDARG00000003046,1
ENSDARG00000095697,0
ENSDARG00000016065,0
ENSDARG00000062132,17
ENSDARG00000117687,0
ENSDARG00000117295,0
ENSDARG00000094943,0
ENSDARG00000115616,0
ENSDARG00000037545,2
ENSDARG00000062122,0
ENSDARG00000095111,0
ENSDARG00000008287,6
ENSDARG00000015495,19
ENSDARG00000062081,4
ENSDARG00000018178,4
ENSDARG00000093886,0
ENSDARG00000056163,1
ENSDARG00000079488,0
ENSDARG00000062055,7
ENSDARG00000074275,5
ENSDARG00000075330,0
ENSDARG00000006392,5
ENSDARG00000073902,0
ENSDARG00000019945,7
ENSDARG00000086957,9
ENSDARG00000056151,127
ENSDARG00000061985,16
ENSDARG00000061981,5
ENSDARG00000003631,4
ENSDARG00000056133,0
ENSDARG00000070321,0
ENSDARG00000017744,8
ENSDARG00000070320,1
ENSDARG00000061952,2
ENSDARG00000061936,0
ENSDARG00000006434,5
ENSDARG00000037484,3
ENSDARG00000094729,0
ENSDARG00000095388,1
ENSDARG00000085360,0
ENSDARG00000037487,0
ENSDARG00000008068,5
ENSDARG00000077648,0
ENSDARG00000096580,0
ENSDARG00000079250,0
ENSDARG00000019986,39
ENSDARG00000080019,4
ENSDARG00000099995,1
ENSDARG00000070278,6
ENSDARG00000061830,1
ENSDARG00000041776,3
ENSDARG00000095632,1
ENSDARG00000037455,15
ENSDARG00000093816,0
ENSDARG00000070266,47
ENSDARG00000037429,0
ENSDARG00000055874,100
ENSDARG00000055876,6
ENSDARG00000092321,0
ENSDARG00000061786,0
ENSDARG00000094202,10
ENSDARG00000109806,0
ENSDARG00000112850,0
ENSDARG00000110242,0
ENSDARG00000115895,0
ENSDARG00000061459,6
ENSDARG00000037411,0
ENSDARG00000084908,0
ENSDARG00000037410,8
ENSDARG00000037409,1
ENSDARG00000070173,3
ENSDARG00000052782,5
ENSDARG00000037406,4
ENSDARG00000034773,3
ENSDARG00000033273,0
ENSDARG00000055439,1
ENSDARG00000055443,7
ENSDARG00000112783,0
ENSDARG00000095593,0
ENSDARG00000037383,1
ENSDARG00000030759,1
ENSDARG00000079074,0
ENSDARG00000061504,3
ENSDARG00000000606,1
ENSDARG00000107258,0
ENSDARG00000087224,0
ENSDARG00000052764,2
ENSDARG00000092275,0
ENSDARG00000055559,4
ENSDARG00000114954,0
ENSDARG00000115778,1
ENSDARG00000026871,6
ENSDARG00000016470,29
ENSDARG00000103166,0
ENSDARG00000091660,0
ENSDARG00000038056,6
ENSDARG00000002406,0
ENSDARG00000034007,13
ENSDARG00000061143,14
ENSDARG00000034896,13
ENSDARG00000116099,0
ENSDARG00000037378,7
ENSDARG00000012672,21
ENSDARG00000093064,8
ENSDARG00000061121,13
ENSDARG00000094677,5
ENSDARG00000054799,3
ENSDARG00000116939,0
ENSDARG00000037350,676
ENSDARG00000022845,5
ENSDARG00000019838,4
ENSDARG00000005799,2
ENSDARG00000013505,13
ENSDARG00000055022,13
ENSDARG00000061451,2
ENSDARG00000070121,0
ENSDARG00000054680,0
ENSDARG00000092290,4
ENSDARG00000055099,6
ENSDARG00000070109,5
ENSDARG00000070098,19
ENSDARG00000094046,0
ENSDARG00000114096,0
ENSDARG00000004246,20
ENSDARG00000083023,0
ENSDARG00000031108,20
ENSDARG00000015266,40
ENSDARG00000100600,0
ENSDARG00000092542,0
ENSDARG00000035692,503
ENSDARG00000094885,0
ENSDARG00000090822,0
ENSDARG00000088202,2
ENSDARG00000086859,0
ENSDARG00000090118,0
ENSDARG00000061021,3
ENSDARG00000037309,3
ENSDARG00000054334,2
ENSDARG00000116715,0
ENSDARG00000060994,0
ENSDARG00000106456,0
ENSDARG00000074776,1
ENSDARG00000074451,1
ENSDARG00000079434,19
ENSDARG00000031817,0
ENSDARG00000074812,1
ENSDARG00000070055,7
ENSDARG00000070050,7
ENSDARG00000095408,0
ENSDARG00000037286,0
ENSDARG00000037283,6
ENSDARG00000037281,17
ENSDARG00000037278,1
ENSDARG00000070039,0
ENSDARG00000091184,0
ENSDARG00000094763,0
ENSDARG00000037276,3
ENSDARG00000013787,4
ENSDARG00000086790,1
ENSDARG00000006427,78
ENSDARG00000104824,0
ENSDARG00000076499,2
ENSDARG00000037266,4
ENSDARG00000077157,12
ENSDARG00000037256,0
ENSDARG00000116236,0
ENSDARG00000069998,0
ENSDARG00000053995,1
ENSDARG00000021702,28
ENSDARG00000054031,18
ENSDARG00000037259,35
ENSDARG00000037260,3
ENSDARG00000037261,9
ENSDARG00000037262,0
ENSDARG00000104309,0
ENSDARG00000077817,3
ENSDARG00000107180,0
ENSDARG00000076928,25
ENSDARG00000009685,7
ENSDARG00000079377,1
ENSDARG00000091678,1
ENSDARG00000014790,23
ENSDARG00000019581,13
ENSDARG00000096665,0
ENSDARG00000079925,0
ENSDARG00000053731,0
ENSDARG00000094127,0
ENSDARG00000005210,2
ENSDARG00000023330,39
ENSDARG00000096667,0
ENSDARG00000037245,1
ENSDARG00000096554,5
ENSDARG00000079266,0
ENSDARG00000023600,28
ENSDARG00000033345,0
ENSDARG00000069989,18
ENSDARG00000095189,0
ENSDARG00000104096,0
ENSDARG00000102639,0
ENSDARG00000006621,11
ENSDARG00000069996,5
ENSDARG00000100083,8
ENSDARG00000031632,5
ENSDARG00000101474,7
ENSDARG00000104710,4
ENSDARG00000095954,0
ENSDARG00000095895,0
ENSDARG00000089138,2
ENSDARG00000112052,2
ENSDARG00000089334,0
ENSDARG00000053456,4
ENSDARG00000053466,10
ENSDARG00000053463,1
ENSDARG00000037109,5
ENSDARG00000096538,0
ENSDARG00000005739,26
ENSDARG00000053496,3
ENSDARG00000053500,6
ENSDARG00000053502,11
ENSDARG00000035080,0
ENSDARG00000037100,5
ENSDARG00000096627,0
ENSDARG00000096648,0
ENSDARG00000075193,0
ENSDARG00000069804,0
ENSDARG00000078546,0
ENSDARG00000037099,7
ENSDARG00000060620,1
ENSDARG00000075858,0
ENSDARG00000096592,1
ENSDARG00000096643,0
ENSDARG00000093663,0
ENSDARG00000096555,0
ENSDARG00000096544,0
ENSDARG00000069799,0
ENSDARG00000074117,0
ENSDARG00000092653,0
ENSDARG00000061732,14
ENSDARG00000095590,0
ENSDARG00000031202,4
ENSDARG00000037144,2
ENSDARG00000037177,22
ENSDARG00000003866,26
ENSDARG00000037178,1
ENSDARG00000028982,12
ENSDARG00000055839,0
ENSDARG00000060477,3
ENSDARG00000082429,0
ENSDARG00000113839,0
ENSDARG00000110947,0
ENSDARG00000096572,0
ENSDARG00000091513,12
ENSDARG00000026771,9
ENSDARG00000096632,25
ENSDARG00000099758,16
ENSDARG00000093065,3
ENSDARG00000074302,0
ENSDARG00000003142,8
ENSDARG00000096668,18
ENSDARG00000042688,1
ENSDARG00000060559,2
ENSDARG00000114316,0
ENSDARG00000114817,0
ENSDARG00000096527,19
ENSDARG00000092278,0
ENSDARG00000019715,6
ENSDARG00000017174,4
ENSDARG00000069946,12
ENSDARG00000074575,16
ENSDARG00000069951,6
ENSDARG00000069953,1
ENSDARG00000093358,0
ENSDARG00000094957,0
ENSDARG00000078902,1
ENSDARG00000039616,2
ENSDARG00000095941,1
ENSDARG00000018611,1
ENSDARG00000053269,8
ENSDARG00000039615,0
ENSDARG00000060501,2
ENSDARG00000039613,0
ENSDARG00000029751,0
ENSDARG00000027572,2
ENSDARG00000078733,1
ENSDARG00000058231,8
ENSDARG00000053248,5
ENSDARG00000012896,6
ENSDARG00000100996,0
ENSDARG00000096540,0
ENSDARG00000053241,0
ENSDARG00000069834,0
ENSDARG00000096548,0
ENSDARG00000027826,0
ENSDARG00000107292,0
ENSDARG00000079455,11
ENSDARG00000089053,0
ENSDARG00000078810,0
ENSDARG00000115601,0
ENSDARG00000094318,0
ENSDARG00000060716,3
ENSDARG00000074815,9
ENSDARG00000033380,0
ENSDARG00000051975,15
ENSDARG00000079280,5
ENSDARG00000053586,13
ENSDARG00000002190,29
ENSDARG00000053580,0
ENSDARG00000003701,0
ENSDARG00000079350,15
ENSDARG00000012763,8
ENSDARG00000013023,0
ENSDARG00000106311,0
ENSDARG00000115905,0
ENSDARG00000022971,5
ENSDARG00000081597,0
ENSDARG00000032056,11
ENSDARG00000074860,5
ENSDARG00000053542,13
ENSDARG00000094556,0
ENSDARG00000053535,2
ENSDARG00000111052,0
ENSDARG00000015312,5
ENSDARG00000015506,6
ENSDARG00000013006,1
ENSDARG00000108956,0
ENSDARG00000058287,9
ENSDARG00000069910,11
ENSDARG00000109513,0
ENSDARG00000092693,448
ENSDARG00000084532,0
ENSDARG00000085301,0
ENSDARG00000081849,0
ENSDARG00000082811,0
ENSDARG00000095892,1
ENSDARG00000095934,0
ENSDARG00000079191,0
ENSDARG00000105033,0
ENSDARG00000102858,4
ENSDARG00000093282,0
ENSDARG00000101520,0
ENSDARG00000075798,6
ENSDARG00000037018,12
ENSDARG00000074677,1
ENSDARG00000094485,0
ENSDARG00000060397,11
ENSDARG00000094648,0
ENSDARG00000027199,11
ENSDARG00000115856,0
ENSDARG00000060383,4
ENSDARG00000037002,0
ENSDARG00000076171,24
ENSDARG00000112614,0
ENSDARG00000113986,0
ENSDARG00000036995,27
ENSDARG00000069737,16
ENSDARG00000095555,0
ENSDARG00000011876,2
ENSDARG00000078789,10
ENSDARG00000036755,0
ENSDARG00000078326,9
ENSDARG00000102082,0
ENSDARG00000081340,0
ENSDARG00000034093,5
ENSDARG00000102787,7
ENSDARG00000082897,0
ENSDARG00000074501,0
ENSDARG00000090416,1
ENSDARG00000074989,20
ENSDARG00000076343,0
ENSDARG00000077519,0
ENSDARG00000040048,4
ENSDARG00000082660,0
ENSDARG00000057303,15
ENSDARG00000113575,0
ENSDARG00000029722,161
ENSDARG00000008305,3
ENSDARG00000117649,0
ENSDARG00000007477,5
ENSDARG00000053106,3
ENSDARG00000012016,4
ENSDARG00000011066,11
ENSDARG00000004621,198
ENSDARG00000095811,0
ENSDARG00000075098,0
ENSDARG00000053222,6
ENSDARG00000089976,16
ENSDARG00000069640,1
ENSDARG00000104657,0
ENSDARG00000117532,0
ENSDARG00000085733,0
ENSDARG00000005479,51
ENSDARG00000110757,0
ENSDARG00000085080,0
ENSDARG00000093919,0
ENSDARG00000036990,2
ENSDARG00000085746,0
ENSDARG00000007387,9
ENSDARG00000024828,6
ENSDARG00000070162,48
ENSDARG00000104907,7
ENSDARG00000080987,0
ENSDARG00000079183,1
ENSDARG00000104437,20
ENSDARG00000103145,4
ENSDARG00000069701,1
ENSDARG00000020857,1
ENSDARG00000093120,3
ENSDARG00000074662,0
ENSDARG00000076585,8
ENSDARG00000079631,8
ENSDARG00000018587,0
ENSDARG00000078182,1
ENSDARG00000095065,0
ENSDARG00000109438,0
ENSDARG00000074610,0
ENSDARG00000069707,0
ENSDARG00000078251,0
ENSDARG00000008457,5
ENSDARG00000031435,140
ENSDARG00000077874,1
ENSDARG00000069710,0
ENSDARG00000079552,2
ENSDARG00000087333,12
ENSDARG00000009315,9
ENSDARG00000030368,13
ENSDARG00000117231,4
ENSDARG00000117450,1
ENSDARG00000117485,5
ENSDARG00000117707,7
ENSDARG00000052899,0
ENSDARG00000052900,0
ENSDARG00000052895,1
ENSDARG00000074600,3
ENSDARG00000075521,1
ENSDARG00000095566,0
ENSDARG00000007941,9
ENSDARG00000095651,3
ENSDARG00000069669,0
ENSDARG00000108025,0
ENSDARG00000033604,19
ENSDARG00000060236,1
ENSDARG00000036774,8
ENSDARG00000109727,0
ENSDARG00000052866,11
ENSDARG00000108028,0
ENSDARG00000091911,0
ENSDARG00000093237,0
ENSDARG00000008706,75
ENSDARG00000078108,0
ENSDARG00000075639,5
ENSDARG00000078016,1
ENSDARG00000092551,4
ENSDARG00000075194,3
ENSDARG00000098598,0
ENSDARG00000060252,6
ENSDARG00000078908,5
ENSDARG00000036965,7
ENSDARG00000036967,23
ENSDARG00000060264,0
ENSDARG00000024101,3
ENSDARG00000107253,0
ENSDARG00000024785,18
ENSDARG00000084202,0
ENSDARG00000087061,1
ENSDARG00000052713,10
ENSDARG00000107073,0
ENSDARG00000113563,0
ENSDARG00000081405,0
ENSDARG00000052712,72
ENSDARG00000052703,3
ENSDARG00000052700,1
ENSDARG00000052696,7
ENSDARG00000075112,0
ENSDARG00000029898,4
ENSDARG00000092730,3
ENSDARG00000078622,0
ENSDARG00000074132,0
ENSDARG00000075598,0
ENSDARG00000117264,0
ENSDARG00000094910,0
ENSDARG00000117756,0
ENSDARG00000074476,0
ENSDARG00000087178,0
ENSDARG00000095949,0
ENSDARG00000076277,0
ENSDARG00000075916,7
ENSDARG00000078558,0
ENSDARG00000052019,1
ENSDARG00000101106,5
ENSDARG00000103871,5
ENSDARG00000089345,0
ENSDARG00000099025,0
ENSDARG00000098805,0
ENSDARG00000052016,7
ENSDARG00000059682,1
ENSDARG00000078233,24
ENSDARG00000104759,0
ENSDARG00000075179,0
ENSDARG00000104249,0
ENSDARG00000111029,0
ENSDARG00000105108,0
ENSDARG00000112081,0
ENSDARG00000109574,0
ENSDARG00000115729,0
ENSDARG00000116661,0
ENSDARG00000111422,0
ENSDARG00000111051,0
ENSDARG00000112750,0
ENSDARG00000113452,0
ENSDARG00000069116,7
ENSDARG00000069114,0
ENSDARG00000014803,23
ENSDARG00000016793,236
ENSDARG00000052012,1
ENSDARG00000083573,0
ENSDARG00000016263,14
ENSDARG00000095781,0
ENSDARG00000007786,13
ENSDARG00000009472,7
ENSDARG00000111774,0
ENSDARG00000037748,16
ENSDARG00000002840,17
ENSDARG00000079632,17
ENSDARG00000016994,5
ENSDARG00000029718,8
ENSDARG00000051993,0
ENSDARG00000092459,0
ENSDARG00000094678,0
ENSDARG00000051989,0
ENSDARG00000095407,0
ENSDARG00000051986,31
ENSDARG00000051981,0
ENSDARG00000059653,3
ENSDARG00000016835,4
ENSDARG00000094133,23
ENSDARG00000093997,7
ENSDARG00000093289,0
ENSDARG00000078659,12
ENSDARG00000093954,0
ENSDARG00000031836,6
ENSDARG00000117392,0
ENSDARG00000098263,2
ENSDARG00000105005,0
ENSDARG00000030972,4
ENSDARG00000051970,0
ENSDARG00000019778,696
ENSDARG00000051965,1
ENSDARG00000087426,10
ENSDARG00000069559,5
ENSDARG00000093347,1
ENSDARG00000069566,1
ENSDARG00000095108,0
ENSDARG00000006588,47
ENSDARG00000006225,28
ENSDARG00000052766,8
ENSDARG00000117778,0
ENSDARG00000095463,0
ENSDARG00000069632,2
ENSDARG00000025518,6
ENSDARG00000105481,0
ENSDARG00000092240,4
ENSDARG00000030376,9
ENSDARG00000069619,35
ENSDARG00000030656,16
ENSDARG00000114294,0
ENSDARG00000032340,3
ENSDARG00000026068,18
ENSDARG00000002285,8
ENSDARG00000069595,4
ENSDARG00000060187,0
ENSDARG00000060184,4
ENSDARG00000113491,0
ENSDARG00000008279,0
ENSDARG00000010773,13
ENSDARG00000025233,2
ENSDARG00000016548,56
ENSDARG00000073848,9
ENSDARG00000052677,0
ENSDARG00000117377,0
ENSDARG00000008131,5
ENSDARG00000053340,0
ENSDARG00000095834,0
ENSDARG00000008413,18
ENSDARG00000095860,0
ENSDARG00000029133,7
ENSDARG00000075859,2
ENSDARG00000070858,3
ENSDARG00000036658,19
ENSDARG00000036650,2
ENSDARG00000036645,6
ENSDARG00000036637,1
ENSDARG00000036636,0
ENSDARG00000052641,38
ENSDARG00000052624,5
ENSDARG00000081252,0
ENSDARG00000080168,0
ENSDARG00000092950,1
ENSDARG00000095507,0
ENSDARG00000094160,1
ENSDARG00000036549,31
ENSDARG00000036546,2
ENSDARG00000116185,0
ENSDARG00000036545,0
ENSDARG00000036542,3
ENSDARG00000089853,2
ENSDARG00000000086,3
ENSDARG00000026902,7
ENSDARG00000036592,2
ENSDARG00000001470,4
ENSDARG00000086877,0
ENSDARG00000069471,9
ENSDARG00000036588,13
ENSDARG00000036587,10
ENSDARG00000043271,0
ENSDARG00000036687,11
ENSDARG00000069450,0
ENSDARG00000015076,0
ENSDARG00000015559,10
ENSDARG00000076773,0
ENSDARG00000007734,2
ENSDARG00000060148,18
ENSDARG00000069438,10
ENSDARG00000083014,0
ENSDARG00000069435,3
ENSDARG00000108154,0
ENSDARG00000114522,0
ENSDARG00000103535,2
ENSDARG00000112034,8
ENSDARG00000096191,0
ENSDARG00000096053,0
ENSDARG00000096589,0
ENSDARG00000075045,1
ENSDARG00000096031,3
ENSDARG00000036008,7
ENSDARG00000008886,1
ENSDARG00000094465,0
ENSDARG00000052468,0
ENSDARG00000018325,12
ENSDARG00000096003,47
ENSDARG00000052480,20
ENSDARG00000022891,8
ENSDARG00000005314,0
ENSDARG00000036479,0
ENSDARG00000092919,0
ENSDARG00000074052,0
ENSDARG00000074136,0
ENSDARG00000075389,0
ENSDARG00000069415,34
ENSDARG00000082615,0
ENSDARG00000012574,14
ENSDARG00000052512,0
ENSDARG00000079501,0
ENSDARG00000094063,0
ENSDARG00000031894,6
ENSDARG00000030765,35
ENSDARG00000026548,0
ENSDARG00000052520,1
ENSDARG00000036494,2
ENSDARG00000018721,0
ENSDARG00000114696,0
ENSDARG00000013667,1
ENSDARG00000060036,15
ENSDARG00000076420,0
ENSDARG00000057099,1
ENSDARG00000014098,1
ENSDARG00000016818,0
ENSDARG00000010655,14
ENSDARG00000075785,0
ENSDARG00000075887,1
ENSDARG00000075564,6
ENSDARG00000117385,2
ENSDARG00000116732,1
ENSDARG00000100792,3
ENSDARG00000075043,4
ENSDARG00000115918,0
ENSDARG00000030703,1
ENSDARG00000017772,145
ENSDARG00000005578,3
ENSDARG00000024933,6
ENSDARG00000004427,22
ENSDARG00000015540,1
