chemical,sample,dose,row_sum,genecount,nCovN,nSig80
DBP,DBP_10-1_B-GQReadsPerGene.out.tab,0.3,28839044,25342,22615,3043
DBP,DBP_10-1_C-GQReadsPerGene.out.tab,0.3,20829281,25065,22301,3116
DBP,DBP_3uM_A-GQReadsPerGene.out.tab,3,31899316,25526,22870,2931
DBP,DBP_3uM_B-GQReadsPerGene.out.tab,3,28644721,25516,22685,2951
DBP,DBP_3uM_C-GQReadsPerGene.out.tab,3,23318838,25211,22370,3146
DEHC,DEHC_10-4_A-GQReadsPerGene.out.tab,0.0003,24301381,25390,22518,3291
DEHC,DEHC_10-4_C-GQReadsPerGene.out.tab,0.0003,28446609,25510,22611,3113
DEHC,DEHC_10-3_A-GQReadsPerGene.out.tab,0.003,30054160,25643,22778,3249
DEHC,DEHC_10-3_B-GQReadsPerGene.out.tab,0.003,27724678,25519,22565,3167
DEHC,DEHC_10-3_C-GQReadsPerGene.out.tab,0.003,27668021,25516,22633,3293
DEHC,DEHC_10-2_A-GQReadsPerGene.out.tab,0.03,23739459,25337,22437,3246
DEHC,DEHC_10-2_B-GQReadsPerGene.out.tab,0.03,19983503,24975,21914,3006
DEHC,DEHC_10-2_C-GQReadsPerGene.out.tab,0.03,26482591,25489,22560,3063
DEHC,DEHC_10-1_A-GQReadsPerGene.out.tab,0.3,25876156,25497,22460,3134
DEHC,DEHC_10-1_B-GQReadsPerGene.out.tab,0.3,27157939,25451,22510,3055
DEHC,DEHC_10-1_C-GQReadsPerGene.out.tab,0.3,24602464,25434,22391,3000
DEHC,DEHC_3uM_A-GQReadsPerGene.out.tab,3,24537250,25488,22423,3111
DEHC,DEHC_3uM_B-GQReadsPerGene.out.tab,3,28550836,25646,22627,3238
DEHC,DEHC_3uM_C-GQReadsPerGene.out.tab,3,25558672,25618,22512,2973
DEHP,DEHP_10-4_A-GQReadsPerGene.out.tab,0.0003,21972052,25062,22233,2727
DEHP,DEHP_10-4_B-GQReadsPerGene.out.tab,0.0003,28441509,25479,22716,3356
DEHP,DEHP_10-4_C-GQReadsPerGene.out.tab,0.0003,26700328,25394,22512,3169
DEHP,DEHP_10-3_A-GQReadsPerGene.out.tab,0.003,22561013,25192,22295,2889
DEHP,DEHP_10-3_B-GQReadsPerGene.out.tab,0.003,16565579,24840,21847,3113
DEHP,DEHP_10-3_C-GQReadsPerGene.out.tab,0.003,25106554,25435,22479,3110
DEHP,DEHP_10-2_A-GQReadsPerGene.out.tab,0.03,21358933,25084,22267,2930
DEHP,DEHP_10-2_B-GQReadsPerGene.out.tab,0.03,22610576,25246,22419,3143
DEHP,DEHP_10-2_C-GQReadsPerGene.out.tab,0.03,28068330,25474,22634,3069
DEHP,DEHP_10-1_A-GQReadsPerGene.out.tab,0.3,20188432,25057,22187,2737
DEHP,DEHP_10-1_B-GQReadsPerGene.out.tab,0.3,27133268,25529,22827,3317
DEHP,DEHP_10-1_C-GQReadsPerGene.out.tab,0.3,22675541,25204,22370,3187
DEHP,DEHP_3uM_A-GQReadsPerGene.out.tab,3,24879510,25359,22566,2658
DEHP,DEHP_3uM_B-GQReadsPerGene.out.tab,3,23095398,25230,22433,3291
DEHP,DEHP_3uM_C-GQReadsPerGene.out.tab,3,22051343,25249,22395,3139
P1400,P1400_10-5_A-GQReadsPerGene.out.tab,0.00003,23601638,25115,22375,3068
P1400,P1400_10-5_B-GQReadsPerGene.out.tab,0.00003,19641155,24912,22078,3405
P1400,P1400_10-5_C-GQReadsPerGene.out.tab,0.00003,27003947,25309,22604,3186
P1400,P1400_10-4_A-GQReadsPerGene.out.tab,0.0003,21516362,24987,22132,2969
P1400,P1400_10-4_B-GQReadsPerGene.out.tab,0.0003,36490481,25603,23000,2915
P1400,P1400_10-4_C-GQReadsPerGene.out.tab,0.0003,27779848,25361,22634,3050
P1400,P1400_10-3_A-GQReadsPerGene.out.tab,0.003,23977251,25237,22448,2974
P1400,P1400_10-3_B-GQReadsPerGene.out.tab,0.003,26256849,25254,22465,3105
P1400,P1400_10-3_C-GQReadsPerGene.out.tab,0.003,22442486,25107,22303,3342
P1400,P1400_10-2_A-GQReadsPerGene.out.tab,0.03,33573115,25573,22962,2748
P1400,P1400_10-2_B-GQReadsPerGene.out.tab,0.03,21791755,25073,22242,3296
P1400,P1400_10-2_C-GQReadsPerGene.out.tab,0.03,29832480,25620,22913,3171
P1400,P1400_10-1_B-GQReadsPerGene.out.tab,0.3,25072866,25260,22543,3103
P1400,P1400_10-1_C-GQReadsPerGene.out.tab,0.3,38534118,25831,23262,3468
P1400,P1400_3uM_A-GQReadsPerGene.out.tab,3,18585921,24757,21846,2908
P1400,P1400_3uM_B-GQReadsPerGene.out.tab,3,19011158,24848,21996,2966
P1400,P1400_3uM_C-GQReadsPerGene.out.tab,3,24106222,25204,22419,3129
SANT,SANT_10-4_A-GQReadsPerGene.out.tab,0.0003,28974709,25442,22698,3213
SANT,SANT_10-4_B-GQReadsPerGene.out.tab,0.0003,23607769,25197,22422,3415
SANT,SANT_10-4_C-GQReadsPerGene.out.tab,0.0003,21483118,25158,22294,3484
SANT,SANT_10-3_B-GQReadsPerGene.out.tab,0.003,22675882,24945,22135,3412
SANT,SANT_10-3_C-GQReadsPerGene.out.tab,0.003,31175295,25605,22910,3461
SANT,SANT_10-2_A-GQReadsPerGene.out.tab,0.03,21705297,25098,22313,2826
SANT,SANT_10-2_B-GQReadsPerGene.out.tab,0.03,28664389,25458,22600,3433
SANT,SANT_10-2_C-GQReadsPerGene.out.tab,0.03,25244626,25302,22419,3232
SANT,SANT_10-1_A-GQReadsPerGene.out.tab,0.3,28666459,25440,22690,2816
SANT,SANT_10-1_B-GQReadsPerGene.out.tab,0.3,23221668,25242,22331,3210
SANT,SANT_10-1_C-GQReadsPerGene.out.tab,0.3,25357737,25303,22412,3271
SANT,SANT_3uM_A-GQReadsPerGene.out.tab,3,24253165,25144,22269,2486
SANT,SANT_3uM_B-GQReadsPerGene.out.tab,3,31013280,25737,22728,3190
SANT,SANT_3uM_C-GQReadsPerGene.out.tab,3,24144636,25282,22460,3207
,,,,,,
,,Total,"2,267,290,465",,,
,,,,,,
,,Average,"25,192,116","25,295","22,467","3,080"
,,,,,,
,,Min,"14,607,450","24,514","21,477","2,486"
,,,,,,
,,Max,"38,534,118","25,831","23,262","3,484"
,,,,,,
,,SD,4004670.078,237.2762211,277.4276527,200.0571828
