plate_id,Cycle,model,term,df,sumsq,meansq,statistic,p.value,is.significant
4TPP,Dark,,Dose_mg_L,5,4167595.4307306693,833519.0861461338,9.227899836796135,2.6277385144406946e-8,TRUE
4TPP,Dark,,Residuals,796,71899479.22133914,90325.97892128032,NA,NA,NA
4TPP,Light,,Dose_mg_L,5,11375314.816992879,2275062.963398576,14.765466306849286,2.9610471866815554e-13,TRUE
4TPP,Light,,Residuals,801,123418075.38018177,154079.99423243667,NA,NA,NA
Aniline,Dark,,Dose_mg_L,5,13446050.770172829,2689210.1540345657,39.95380861548516,5.742869930882274e-35,TRUE
Aniline,Dark,,Residuals,804,54115615.976740755,67307.98007057307,NA,NA,NA
Aniline,Light,,Dose_mg_L,5,6421428.127024668,1284285.6254049337,11.126034775502557,4.925734579489452e-10,TRUE
Aniline,Light,,Residuals,804,92806257.00533335,115430.66791708129,NA,NA,NA
BPA,Dark,,Dose_mg_L,5,2183346.2809368293,436669.25618736586,8.907610777583667,5.015849983865891e-8,TRUE
BPA,Dark,,Residuals,803,39364698.51162188,49022.040487698476,NA,NA,NA
BPA,Light,,Dose_mg_L,5,6604876.64545677,1320975.329091354,12.266526266649121,4.881575201829252e-11,TRUE
BPA,Light,,Residuals,803,86474619.31780653,107689.43875193839,NA,NA,NA
BPAF,Dark,,Dose_mg_L,5,2411211.0452469136,482242.2090493827,4.573586805852522,4.883195743876044e-4,TRUE
BPAF,Dark,,Residuals,804,84774325.3893334,105440.70322056393,NA,NA,NA
BPAF,Light,,Dose_mg_L,5,2502348.470263327,500469.6940526654,3.1405508620126903,0.008874237595589855,TRUE
BPAF,Light,,Residuals,803,127963908.875126,159357.29623303362,NA,NA,NA
ClofibricAcid,Dark,,Dose_mg_L,5,3108398.22559258,621679.645118516,7.908680655154393,4.108792204785993e-7,TRUE
ClofibricAcid,Dark,,Residuals,804,63200229.781629644,78607.25097217617,NA,NA,NA
ClofibricAcid,Light,,Dose_mg_L,5,10662521.052148152,2132504.2104296302,14.814861403620057,2.845765677929263e-13,TRUE
ClofibricAcid,Light,,Residuals,804,115730639.55674072,143943.58153823472,NA,NA,NA
DES,Dark,,Dose_mg_L,5,4818003.716148134,963600.7432296269,10.102379968685716,4.275466292598011e-9,TRUE
DES,Dark,,Residuals,804,76688364.5198519,95383.53796001479,NA,NA,NA
DES,Light,,Dose_mg_L,5,2149749.0721481205,429949.8144296241,2.5889022502122385,0.02601994125279169,TRUE
DES,Light,,Residuals,804,133523639.51674071,166074.17850340885,NA,NA,NA
Dimethylformamide,Dark,,Dose_mg_L,5,2465226.954253815,493045.390850763,7.212250454583401,1.827444750633736e-6,TRUE
Dimethylformamide,Dark,,Residuals,793,54211233.70669737,68362.21148385544,NA,NA,NA
Dimethylformamide,Light,,Dose_mg_L,5,2143258.5062954407,428651.7012590881,3.5329672963491774,0.004055525492602206,TRUE
Dimethylformamide,Light,,Residuals,796,96577954.33170953,121329.08835641902,NA,NA,NA
DMSO,Dark,,Dose_mg_L,5,10455175.038024679,2091035.0076049357,18.30625174961366,1.627733968052828e-16,TRUE
DMSO,Dark,,Residuals,804,91837049.39214815,114225.18581112954,NA,NA,NA
DMSO,Light,,Dose_mg_L,5,2711796.5393703743,542359.3078740749,5.173378228432494,1.4657387794948858e-4,TRUE
DMSO,Light,,Residuals,804,84288614.57185185,104836.58528837295,NA,NA,NA
EE2,Dark,,Dose_mg_L,5,7817046.301333779,1563409.2602667557,22.07872203301805,6.60924878550211e-20,TRUE
EE2,Dark,,Residuals,802,56790163.165188536,70810.67726332735,NA,NA,NA
EE2,Light,,Dose_mg_L,5,3262086.1895730617,652417.2379146123,4.541538271577529,0.00051236245227507225,TRUE
EE2,Light,,Residuals,803,115355417.19952458,143655.56313763958,NA,NA,NA
Fadrozole,Dark,,Dose_mg_L,5,28188702.528050773,5637740.505610155,35.22797167217407,3.5918971654900115e-31,TRUE
Fadrozole,Dark,,Residuals,803,128508835.7664609,160035.91004540585,NA,NA,NA
Fadrozole,Light,,Dose_mg_L,5,40655526.921395116,8131105.384279023,31.89023649465434,1.2557164172524542e-28,TRUE
Fadrozole,Light,,Residuals,804,204997185.58237034,254971.62385866957,NA,NA,NA
Fenitrothion,Dark,,Dose_mg_L,5,8560456.887654284,1712091.3775308568,30.947421418798303,7.243253792642179e-28,TRUE
Fenitrothion,Dark,,Residuals,804,44479359.004,55322.58582587065,NA,NA,NA
Fenitrothion,Light,,Dose_mg_L,5,7110802.640452644,1422160.5280905287,13.40430744964113,4.625954434805561e-12,TRUE
Fenitrothion,Light,,Residuals,800,84877822.05434887,106097.2775679361,NA,NA,NA
Fluoxetine,Dark,,Dose_mg_L,5,3861976.0246922136,772395.2049384427,8.603768552816582,9.302798291667654e-8,TRUE
Fluoxetine,Dark,,Residuals,803,72088567.44089498,89774.0565889103,NA,NA,NA
Fluoxetine,Light,,Dose_mg_L,5,3524858.6894444306,704971.7378888861,5.66406458417468,5.1710834536540016e-5,TRUE
Fluoxetine,Light,,Residuals,804,100068999.71555558,124463.92999447211,NA,NA,NA
Flutamide,Dark,,Dose_mg_L,5,13873672.20751852,2774734.441503704,26.85171546423273,3.0577157137107723e-24,TRUE
Flutamide,Dark,,Residuals,804,83081712.00237036,103335.46268951536,NA,NA,NA
Flutamide,Light,,Dose_mg_L,5,10324204.549036305,2064840.909807261,13.444850616543812,4.478893738748551e-12,TRUE
Flutamide,Light,,Residuals,800,122862854.70611246,153578.56838264057,NA,NA,NA
Glyphosate,Dark,,Dose_mg_L,5,4299610.224851848,859922.0449703695,12.032203983724864,7.818116456546046e-11,TRUE
Glyphosate,Dark,,Residuals,804,57460572.06903704,71468.37322019532,NA,NA,NA
Glyphosate,Light,,Dose_mg_L,5,8554601.401893323,1710920.2803786646,12.307335941504217,4.6887119372419715e-11,TRUE
Glyphosate,Light,,Residuals,802,111491070.966572,139016.29796330674,NA,NA,NA
Malathion,Dark,,Dose_mg_L,5,4162797.1141159264,832559.4228231853,11.657624413082313,1.7217094949604616e-10,TRUE
Malathion,Dark,,Residuals,800,57134070.77269554,71417.58846586943,NA,NA,NA
Malathion,Light,,Dose_mg_L,5,7271184.424802483,1454236.8849604966,14.243487543872691,8.673607683757878e-13,TRUE
Malathion,Light,,Residuals,804,82087090.81303702,102098.37165800625,NA,NA,NA
Prochloraz,Dark,,Dose_mg_L,5,13936334.779172778,2787266.9558345554,34.72554343558962,6.544038541970284e-31,TRUE
Prochloraz,Dark,,Residuals,804,64533551.12059262,80265.61084650824,NA,NA,NA
Prochloraz,Light,,Dose_mg_L,5,5049377.308098773,1009875.4616197546,7.654950531977615,7.019141153738009e-7,TRUE
Prochloraz,Light,,Residuals,804,106067291.71540739,131924.49218334252,NA,NA,NA
SDS,Dark,,Dose_mg_L,5,3734043.1418765634,746808.6283753127,8.776549611486281,6.516184329803844e-8,TRUE
SDS,Dark,,Residuals,804,68413461.30237047,85091.36977906775,NA,NA,NA
SDS,Light,,Dose_mg_L,5,6357091.272703721,1271418.2545407442,9.42753020529602,1.7869907684117658e-8,TRUE
SDS,Light,,Residuals,804,108429276.2145185,134862.2838489036,NA,NA,NA
TEG,Dark,,Dose_mg_L,5,4095821.259851848,819164.2519703696,9.635304196201277,1.1647256478350092e-8,TRUE
TEG,Dark,,Residuals,804,68353634.21570371,85016.95797973099,NA,NA,NA
TEG,Light,,Dose_mg_L,5,440035.79046534485,88007.15809306897,0.6796593680583319,0.6389577061607581,FALSE
TEG,Light,,Residuals,803,103978185.64706245,129487.15522672783,NA,NA,NA
TGSH,Dark,,Dose_mg_L,5,4901577.077246897,980315.4154493794,16.370683768262527,1.0156039205722963e-14,TRUE
TGSH,Dark,,Residuals,804,48145429.059555545,59882.37445218352,NA,NA,NA
TGSH,Light,,Dose_mg_L,5,458264.8175265146,91652.96350530292,0.7089055186712838,0.6276650350947895,FALSE
TGSH,Light,,Residuals,798,103171809.14928943,129287.981390087,NA,NA,NA
Trenbolone,Dark,,Dose_mg_L,5,3303255.499905295,660651.0999810591,10.13673162866249,4.1166564443027566e-9,TRUE
Trenbolone,Dark,,Residuals,800,52139180.491906136,65173.97561488267,NA,NA,NA
Trenbolone,Light,,Dose_mg_L,5,4358697.775506183,871739.5551012366,9.087236824470546,3.4651713169421223e-08,TRUE
Trenbolone,Light,,Residuals,804,77127801.97540739,95930.10195946193,NA,NA,NA
Vinclozolin,Dark,,Dose_mg_L,5,6759684.757010974,1351936.9514021948,14.138986231099494,1.0538688751336484e-12,TRUE
Vinclozolin,Dark,,Residuals,786,75155490.38903704,95617.67225068326,NA,NA,NA
Vinclozolin,Light,,Dose_mg_L,5,5021434.441222475,1004286.888244495,5.093718196477412,1.7053483254601527e-4,TRUE
Vinclozolin,Light,,Residuals,795,156743668.44764143,197161.8471039515,NA,NA,NA
