plate_id,Cycle,term,df,sumsq,meansq,statistic,P_value
4TPP,Light,Dose_mg_L,5,11046941.999407379,2209388.3998814756,14.596902947546592,2.07e-13
4TPP,Light,Group,2,2844270.284222233,1422135.1421111166,9.395708173721275,9.26e-05
4TPP,Light,Residuals,802,121390784.2692593,151360.08013623353,NA, NA
Aniline,Dark,Dose_mg_L,5,13446050.770172829,2689210.1540345657,40.878069977676255,3.29e-37
Aniline,Dark,Group,2,1355137.1989135821,677568.5994567911,10.299565685380342,3.83e-05
Aniline,Dark,Residuals,802,52760478.777827166,65786.13313943536,NA, NA
Aniline,Light,Dose_mg_L,5,6421428.127024668,1284285.6254049337,11.404952812412139,2.38e-10
Aniline,Light,Group,2,2494873.125358024,1247436.562679012,11.077718890878334,1.80e-05
Aniline,Light,Residuals,802,90311383.87997532,112607.71057353531,NA, NA
BPA,Dark,Dose_mg_L,5,2104585.6694320897,420917.13388641796,8.956224720413179,2.72e-08
BPA,Dark,Group,2,1906801.672395064,953400.836197532,20.28634961654732,5.09e-09
BPA,Dark,Residuals,802,37691723.00997532,46997.160860318356,NA, NA
BPA,Light,Dose_mg_L,5,6642389.715765413,1328477.9431530826,12.362341924045873,2.86e-11
BPA,Light,Group,2,290886.6194320993,145443.30971604964,1.3534435664074254,2.59e-01
BPA,Light,Residuals,802,86184261.60308641,107461.67282180351,NA, NA
BPAF,Dark,Dose_mg_L,5,2411211.0452469136,482242.2090493827,5.227329180795473,9.90e-05
BPAF,Dark,Group,2,10786589.342691395,5393294.671345698,58.46134180524856,3.98e-24
BPAF,Dark,Residuals,802,73987736.04664204,92254.03497087535,NA, NA
BPAF,Light,Dose_mg_L,5,2474582.003802474,494916.4007604948,3.1648925912241803,7.76e-03
BPAF,Light,Group,2,2691583.607876543,1345791.8039382715,8.606072668171,4.01e-04
BPAF,Light,Residuals,802,125414351.97849387,156376.9974794188,NA, NA
ClofibricAcid,Dark,Dose_mg_L,5,3108398.22559258,621679.645118516,8.115424076831085,3.50e-07
ClofibricAcid,Dark,Group,2,1763258.5691851932,881629.2845925966,11.508814192650851,1.18e-05
ClofibricAcid,Dark,Residuals,802,61436971.212444454,76604.7022599058,NA, NA
ClofibricAcid,Light,Dose_mg_L,5,10662521.052148152,2132504.2104296302,14.795150609942723,1.34e-13
ClofibricAcid,Light,Group,2,134088.91296296293,67044.45648148147,0.4651492955342989,6.28e-01
ClofibricAcid,Light,Residuals,802,115596550.64377776,144135.34992989746,NA, NA
DES,Dark,Dose_mg_L,5,4818003.716148134,963600.7432296269,10.28313040048393,2.87e-09
DES,Dark,Group,2,1535393.9775555595,767696.9887777797,8.192530256049764,3.01e-04
DES,Dark,Residuals,802,75152970.54229634,93706.94581333708,NA, NA
DES,Light,Dose_mg_L,5,2149749.0721481205,429949.8144296241,2.60473861625451,3.19e-02
DES,Light,Group,2,1141929.881555555,570964.9407777775,3.4590419157275374,3.19e-02
DES,Light,Residuals,802,132381709.63518517,165064.4758543456,NA, NA
Dimethylformamide,Dark,Dose_mg_L,5,3322701.77877232,664540.355754464,8.103620092113601,1.80e-07
Dimethylformamide,Dark,Group,2,3995386.3392553506,1997693.1696276753,24.360516809989367,1.07e-10
Dimethylformamide,Dark,Residuals,801,65686300.555643514,82005.36898332524,NA, NA
Dimethylformamide,Light,Dose_mg_L,5,1924539.9506172945,384907.9901234589,3.2539920003920932,6.46e-03
Dimethylformamide,Light,Group,2,5549599.588321004,2774799.794160502,23.458012212195957,2.51e-10
Dimethylformamide,Light,Residuals,802,94866922.8571605,118287.93373710784,NA, NA
DMSO,Dark,Dose_mg_L,5,10455175.038024679,2091035.0076049357,18.57324644402384,3.48e-17
DMSO,Dark,Group,2,1545345.0768395057,772672.5384197528,6.863126358193869,1.11e-03
DMSO,Dark,Residuals,802,90291704.31530865,112583.17246297836,NA, NA
DMSO,Light,Dose_mg_L,5,2711796.5393703743,542359.3078740749,5.172144603014643,2.23e-04
DMSO,Light,Group,2,189619.2225185191,94809.61125925955,0.9041405062459988,4.05e-01
DMSO,Light,Residuals,802,84098995.34933335,104861.59021113884,NA, NA
EE2,Dark,Dose_mg_L,5,7817046.301333779,1563409.2602667557,23.1167935023688,2.01e-21
EE2,Dark,Group,2,2685453.18085435,1342726.590427175,19.853747902035984,3.84e-09
EE2,Dark,Residuals,800,54104709.98433418,67630.88748041772,NA, NA
EE2,Light,Dose_mg_L,5,3260752.941839527,652150.5883679054,4.628054288351116,3.60e-04
EE2,Light,Group,2,2731980.308469137,1365990.1542345686,9.693890803613387,1.38e-04
EE2,Light,Residuals,802,113011805.67123456,140912.47589929498,NA, NA
Fadrozole,Dark,Dose_mg_L,5,28188702.528050773,5637740.505610155,41.527076402872524,9.32e-38
Fadrozole,Dark,Group,2,19764601.01264226,9882300.50632113,72.79211374730149,8.98e-30
Fadrozole,Dark,Residuals,801,108744234.75381869,135760.5927013966,NA, NA
Fadrozole,Light,Dose_mg_L,5,40655526.921395116,8131105.384279023,32.87582366150916,2.94e-30
Fadrozole,Light,Group,2,6640284.00832097,3320142.004160485,13.424054652026646,1.84e-06
Fadrozole,Light,Residuals,802,198356901.57404938,247327.8074489394,NA, NA
Fenitrothion,Dark,Dose_mg_L,5,8560456.887654284,1712091.3775308568,31.582274666383043,4.13e-29
Fenitrothion,Dark,Group,2,1002525.8979506206,501262.9489753103,9.24660000183552,1.07e-04
Fenitrothion,Dark,Residuals,802,43476833.10604939,54210.515094824674,NA, NA
Fenitrothion,Light,Dose_mg_L,5,6584359.882617277,1316871.9765234555,12.340725295278451,3.00e-11
Fenitrothion,Light,Group,2,1007218.4290617247,503609.21453086234,4.7194435628463145,9.17e-03
Fenitrothion,Light,Residuals,802,85580976.79849385,106709.44737966814,NA, NA
Fluoxetine,Dark,Dose_mg_L,5,3861976.0246922136,772395.2049384427,9.640266501298049,5.97e-09
Fluoxetine,Dark,Group,2,7911030.536454914,3955515.268227457,49.3687960410178,1.21e-20
Fluoxetine,Dark,Residuals,801,64177536.90444004,80121.7689194008,NA, NA
Fluoxetine,Light,Dose_mg_L,5,3524858.6894444306,704971.7378888861,5.885029138766819,2.37e-05
Fluoxetine,Light,Group,2,3996861.3360740663,1998430.6680370332,16.682686810143952,1.59e-07
Fluoxetine,Light,Residuals,802,96072138.37948151,119790.69623376746,NA, NA
Flutamide,Dark,Dose_mg_L,5,13873672.20751852,2774734.441503704,30.37943252583295,4.89e-28
Flutamide,Dark,Group,2,9830277.164222185,4915138.582111092,53.81384203002939,1.17e-22
Flutamide,Dark,Residuals,802,73251434.83814815,91335.95366352636,NA, NA
Flutamide,Light,Dose_mg_L,5,9428267.562588524,1885653.5125177049,12.595247839870266,1.71e-11
Flutamide,Light,Group,2,4960149.354971335,2480074.6774856676,16.565691956106388,8.92e-08
Flutamide,Light,Residuals,801,119918915.66797777,149711.50520346788,NA, NA
Glyphosate,Dark,Dose_mg_L,5,4299610.224851848,859922.0449703695,12.235898527427855,3.79e-11
Glyphosate,Dark,Group,2,1097120.0086666653,548560.0043333326,7.8055035203328496,4.39e-04
Glyphosate,Dark,Residuals,802,56363452.06037038,70278.61852914012,NA, NA
Glyphosate,Light,Dose_mg_L,5,8834332.214617303,1766866.4429234606,12.907307684225469,8.58e-12
Glyphosate,Light,Group,2,2428086.7386913556,1214043.3693456778,8.868826148631122,1.55e-04
Glyphosate,Light,Residuals,802,109784853.81241976,136888.8451526431,NA, NA
Malathion,Dark,Dose_mg_L,5,4375302.479954013,875060.4959908025,12.49001396849405,2.17e-11
Malathion,Dark,Group,2,2834577.87829175,1417288.939145875,20.229411256053492,2.69e-09
Malathion,Dark,Residuals,799,55978587.21858197,70060.81003577217,NA, NA
Malathion,Light,Dose_mg_L,5,7271184.424802483,1454236.8849604966,14.448776123063269,2.86e-13
Malathion,Light,Group,2,1367590.9879506144,683795.4939753072,6.79394678307658,1.19e-03
Malathion,Light,Residuals,802,80719499.82508641,100647.75539287583,NA, NA
Prochloraz,Dark,Dose_mg_L,5,13936334.779172778,2787266.9558345554,35.4993727647238,1.45e-32
Prochloraz,Dark,Group,2,1563759.6993580256,781879.8496790128,9.958229577859287,5.35e-05
Prochloraz,Dark,Residuals,802,62969791.421234585,78515.94940303564,NA, NA
Prochloraz,Light,Dose_mg_L,5,5049377.308098773,1009875.4616197546,7.7959000212746625,7.10e-07
Prochloraz,Light,Group,2,2176770.029802466,1088385.014901233,8.401967453704064,2.45e-04
Prochloraz,Light,Residuals,802,103890521.68560492,129539.30384738768,NA, NA
SDS,Dark,Dose_mg_L,5,3734043.1418765634,746808.6283753127,8.79076762414121,7.85e-08
SDS,Dark,Group,2,280558.06054321036,140279.03027160518,1.6512401046306875,1.92e-01
SDS,Dark,Residuals,802,68132903.24182726,84953.74469055768,NA, NA
SDS,Light,Dose_mg_L,5,6357091.272703721,1271418.2545407442,9.62899432573589,1.22e-08
SDS,Light,Group,2,2532709.486222215,1266354.7431111075,9.590646187623085,7.65e-05
SDS,Light,Residuals,802,105896566.72829628,132040.6068931375,NA, NA
TEG,Dark,Dose_mg_L,5,4095821.259851848,819164.2519703696,10.037234320127629,4.95e-09
TEG,Dark,Group,2,2900371.9796296433,1450185.9898148216,17.769155029074792,2.81e-08
TEG,Dark,Residuals,802,65453262.236074075,81612.54642902005,NA, NA
TEG,Light,Dose_mg_L,5,451838.14025925833,90367.62805185167,0.7305653213077437,6.01e-01
TEG,Light,Group,2,4832187.245407383,2416093.6227036915,19.532594268904734,1.04e-08
TEG,Light,Residuals,802,99203774.91755554,123695.47994707673,NA, NA
TGSH,Dark,Dose_mg_L,5,4901577.077246897,980315.4154493794,16.715749116920982,1.98e-15
TGSH,Dark,Group,2,1111164.684617285,555582.3423086425,9.473456095317449,8.58e-05
TGSH,Dark,Residuals,802,47034264.374938264,58646.21493134447,NA, NA
TGSH,Light,Dose_mg_L,5,614392.2901358033,122878.45802716065,0.9542126428346606,4.45e-01
TGSH,Light,Group,2,947770.8382469106,473885.4191234553,3.6799571335982506,5.13e-02
TGSH,Light,Residuals,802,103277318.82175308,128774.7117478218,NA, NA
Trenbolone,Dark,Dose_mg_L,5,3566281.971267412,713256.3942534823,10.728194049480273,1.07e-09
Trenbolone,Dark,Group,2,215401.32467330302,107700.66233665151,1.6199414602016484,1.99e-01
Trenbolone,Dark,Residuals,800,53187434.22900976,66484.2927862622,NA, NA
Trenbolone,Light,Dose_mg_L,5,4358697.775506183,871739.5551012366,9.344755982346644,2.30e-08
Trenbolone,Light,Group,2,2312031.021950611,1156015.5109753055,12.392098991788282,5.01e-06
Trenbolone,Light,Residuals,802,74815770.95345679,93286.49744820049,NA, NA
Vinclozolin,Dark,Dose_mg_L,5,6400099.72099526,1280019.9441990522,14.212092187273115,4.87e-13
Vinclozolin,Dark,Group,2,4163806.109495702,2081903.054747851,23.11541962539983,1.75e-10
Vinclozolin,Dark,Residuals,796,71692180.30367574,90065.55314532129,NA, NA
Vinclozolin,Light,Dose_mg_L,5,5550497.363929474,1110099.4727858948,5.465495056270834,1.18e-04
Vinclozolin,Light,Group,2,2482351.909255108,1241175.954627554,6.1108407041712844,2.32e-03
Vinclozolin,Light,Residuals,796,161675963.7031835,203110.5071648034,NA, NA
