Chemical,Cycle,term,df,sumsq,meansq,statistic,P_value
4TOP,Dark_1,Residuals,264,15467967.944444451,58590.787668350196,NA,      NA
4TOP,Light_2,Dose,5,3833093.38818519,766618.677637038,5.457837143036492,5.09e-04
4TOP,Light_2,Residuals,264,37081965.91288889,140461.9920942761,NA,      NA
4TOP,Dark_2,Dose,5,957749.3748518504,191549.8749703701,2.9861263767434054,2.41e-02
4TOP,Dark_2,Residuals,264,16934704.23288889,64146.60694276094,NA,      NA
4TOP,Light_3,Dose,5,2641698.120629632,528339.6241259264,5.355229752768021,5.93e-04
4TOP,Light_3,Residuals,264,26045877.993777774,98658.62876430975,NA,      NA
4TOP,Dark_3,Dose,5,1188876.1899629696,237775.23799259393,3.2776520614241393,1.63e-02
4TOP,Dark_3,Residuals,264,19151716.42800001,72544.38040909095,NA,      NA
4TPP,Light_1,Dose,5,6556627.250765879,1311325.4501531757,7.55827195774166,2.37e-05
4TPP,Light_1,Residuals,263,45629291.366929285,173495.40443699347,NA,      NA
4TPP,Dark_1,Dose,5,2534950.7561783516,506990.1512356703,4.973319449057819,1.05e-03
4TPP,Dark_1,Residuals,261,26606863.04749204,101942.00401337945,NA,      NA
4TPP,Light_2,Dose,5,5148907.265982748,1029781.4531965496,7.770362295910467,1.85e-05
4TPP,Light_2,Residuals,262,34722028.454129204,132526.8261607985,NA,      NA
4TPP,Dark_2,Dose,5,455922.6741111094,91184.53482222187,1.0566799372893947,4.33e-01
4TPP,Dark_2,Residuals,264,22781465.175555557,86293.4286952862,NA,      NA
4TPP,Light_3,Dose,5,2222867.009962966,444573.40199259325,2.991385305159562,2.41e-02
4TPP,Light_3,Residuals,264,39235125.58666667,148617.89994949498,NA,      NA
4TPP,Dark_3,Dose,5,2242922.844497386,448584.5688994772,5.848092277314986,2.77e-04
4TPP,Dark_3,Residuals,259,19866889.54886113,76706.13725429008,NA,      NA
Aniline,Light_1,Dose,5,2049012.0034074064,409802.4006814813,3.707384676115523,8.35e-03
Aniline,Light_1,Residuals,264,29181712.509333335,110536.78980808081,NA,      NA
Aniline,Dark_1,Dose,5,6172036.430518532,1234407.2861037063,15.268226906195757,6.64e-10
Aniline,Dark_1,Residuals,264,21343900.999999996,80848.10984848483,NA,      NA
Aniline,Light_2,Dose,5,4522356.815296303,904471.3630592605,6.554645788584063,1.06e-04
Aniline,Light_2,Residuals,264,36429190.46266667,137989.35781313133,NA,      NA
Aniline,Dark_2,Dose,5,3080929.880740741,616185.9761481482,10.069825564451923,5.28e-07
Aniline,Dark_2,Residuals,264,16154509.992444444,61191.32572895623,NA,      NA
Aniline,Light_3,Dose,5,2557120.239407408,511424.0478814816,5.567545669483634,4.31e-04
Aniline,Light_3,Residuals,264,24250532.758222222,91858.07862962963,NA,      NA
Aniline,Dark_3,Dose,5,5279358.549629638,1055871.7099259277,18.599254684010244,1.22e-11
Aniline,Dark_3,Residuals,264,14987166.752444444,56769.57103198653,NA,      NA
BPA,Light_1,Dose,5,2492001.8786101355,498400.3757220271,4.784083444215317,1.37e-03
BPA,Light_1,Residuals,263,27399041.079308078,104178.86341942234,NA,      NA
BPA,Dark_1,Dose,5,886523.0126296267,177304.60252592532,3.471350157923311,1.17e-02
BPA,Dark_1,Residuals,264,13484210.159555553,51076.553634680124,NA,      NA
BPA,Light_2,Dose,5,3240002.3235555533,648000.4647111107,7.585704011501929,2.35e-05
BPA,Light_2,Residuals,264,22551911.124444447,85423.90577441078,NA,      NA
BPA,Dark_2,Dose,5,766846.6408080069,153369.32816160138,3.1534925531105027,1.96e-02
BPA,Dark_2,Residuals,263,12790939.768262625,48634.75197058032,NA,      NA
BPA,Light_3,Dose,5,1839022.888629627,367804.57772592537,2.7491480566565145,3.30e-02
BPA,Light_3,Residuals,264,35320181.568444446,133788.56654713806,NA,      NA
BPA,Dark_3,Dose,5,658312.4789999978,131662.49579999957,2.7498934413284064,3.30e-02
BPA,Dark_3,Residuals,264,12640089.382666664,47879.12644949494,NA,      NA
BPAF,Light_1,Dose,5,2030974.8368888893,406194.96737777785,2.0249210438940812,1.02e-01
BPAF,Light_1,Residuals,264,52957853.20177777,200597.92879461276,NA,      NA
BPAF,Dark_1,Dose,5,714227.1905185205,142845.4381037041,1.377864261289268,2.75e-01
BPAF,Dark_1,Residuals,264,27369311.128000017,103671.63306060612,NA,      NA
BPAF,Light_2,Dose,5,939001.2554444453,187800.25108888905,1.514114727307574,2.28e-01
BPAF,Light_2,Residuals,264,32744722.307555553,124033.03904377103,NA,      NA
BPAF,Dark_2,Dose,5,707309.5518518538,141461.91037037078,1.2141951134073994,3.49e-01
BPAF,Dark_2,Residuals,264,30757778.486666653,116506.73669191914,NA,      NA
BPAF,Light_3,Dose,5,2746003.1939209243,549200.6387841848,3.917581457224753,5.82e-03
BPAF,Light_3,Residuals,263,36869627.23745454,140188.69672035947,NA,      NA
BPAF,Dark_3,Dose,5,1715401.0281851883,343080.20563703764,3.501588025035843,1.12e-02
BPAF,Dark_3,Residuals,264,25866313.69555555,97978.46096801345,NA,      NA
ClofibricAcid,Light_1,Dose,5,4001616.61333333,800323.322666666,5.971245963300791,2.27e-04
ClofibricAcid,Light_1,Residuals,264,35383797.36533333,134029.53547474748,NA,      NA
ClofibricAcid,Dark_1,Dose,5,2286700.995296296,457340.19905925926,4.538266882111704,2.05e-03
ClofibricAcid,Dark_1,Residuals,264,26604387.90577778,100774.19661279462,NA,      NA
ClofibricAcid,Light_2,Dose,5,7095321.870555548,1419064.3741111096,12.746682226098205,1.97e-08
ClofibricAcid,Light_2,Residuals,264,29390627.939111114,111328.13613299665,NA,      NA
ClofibricAcid,Dark_2,Dose,5,381529.0886296317,76305.81772592633,0.9312945498644395,5.01e-01
ClofibricAcid,Dark_2,Residuals,264,21630896.350222223,81935.21344781145,NA,      NA
ClofibricAcid,Light_3,Dose,5,5029043.374111118,1005808.6748222236,6.031599533620486,2.08e-04
ClofibricAcid,Light_3,Residuals,264,44023726.81955556,166756.540983165,NA,      NA
ClofibricAcid,Dark_3,Dose,5,1582546.729962964,316509.3459925928,6.09554160092095,1.95e-04
ClofibricAcid,Dark_3,Residuals,264,13708128.467111109,51924.729042087536,NA,      NA
DES,Light_1,Dose,5,3014518.7928888905,602903.7585777781,3.6728383730858805,8.78e-03
DES,Light_1,Residuals,264,43336127.56577778,164151.99835521885,NA,      NA
DES,Dark_1,Dose,5,3697287.4847407443,739457.4969481488,6.153808771176989,1.79e-04
DES,Dark_1,Residuals,264,31722919.325777777,120162.5732037037,NA,      NA
DES,Light_2,Dose,5,525138.4629629634,105027.69259259268,0.6765950663054427,6.49e-01
DES,Light_2,Residuals,264,40980657.74533334,155229.7641868687,NA,      NA
DES,Dark_2,Dose,5,797498.8364444454,159499.7672888891,2.0211538652178795,1.02e-01
DES,Dark_2,Residuals,264,20833613.555555556,78915.20286195286,NA,      NA
DES,Light_3,Dose,5,1681197.1105185188,336239.4221037038,2.030768050288024,1.02e-01
DES,Light_3,Residuals,264,43711150.28266667,165572.53894949495,NA,      NA
DES,Dark_3,Dose,5,2010310.4878518498,402062.09757036995,4.981707251967921,1.05e-03
DES,Dark_3,Residuals,264,21306830.84933333,80707.6926111111,NA,      NA
Dimethylformamide,Light_1,Dose,5,1456619.1304093322,291323.82608186646,2.4348578859921637,5.37e-02
Dimethylformamide,Light_1,Residuals,259,30988613.910194445,119647.15795441871,NA,      NA
Dimethylformamide,Dark_1,Dose,5,1135908.956065513,227181.79121310258,2.9585316441971834,2.50e-02
Dimethylformamide,Dark_1,Residuals,259,19888272.629972223,76788.69741302017,NA,      NA
Dimethylformamide,Light_2,Dose,5,1373693.7837283732,274738.75674567465,2.4760579515520575,5.04e-02
Dimethylformamide,Light_2,Residuals,261,28960071.57896825,110958.12865505076,NA,      NA
Dimethylformamide,Dark_2,Dose,5,694756.7916462283,138951.35832924565,2.2947145092983776,6.61e-02
Dimethylformamide,Dark_2,Residuals,259,15683171.767750006,60552.78674806952,NA,      NA
Dimethylformamide,Light_3,Dose,5,2194186.600296298,438837.3200592596,3.637483942000441,9.04e-03
Dimethylformamide,Light_3,Residuals,264,31849777.028,120643.09480303031,NA,      NA
Dimethylformamide,Dark_3,Dose,5,863239.0529973333,172647.81059946667,2.5384441597513265,4.60e-02
Dimethylformamide,Dark_3,Residuals,263,17887481.989010103,68013.23950193955,NA,      NA
DMSO,Light_1,Dose,5,2346313.3615185204,469262.6723037041,4.0410433110225625,4.72e-03
DMSO,Light_1,Residuals,264,30656772.50977778,116124.1382946128,NA,      NA
DMSO,Dark_1,Dose,5,2807150.75451851,561430.150903702,5.138110694220492,8.52e-04
DMSO,Dark_1,Residuals,264,28846704.29644443,109267.81930471375,NA,      NA
DMSO,Light_2,Dose,5,1327925.057962964,265585.0115925928,2.94780242209394,2.50e-02
DMSO,Light_2,Residuals,264,23785326.49777778,90095.9337037037,NA,      NA
DMSO,Dark_2,Dose,5,3678556.5992962904,735711.3198592581,7.1866811252747365,3.60e-05
DMSO,Dark_2,Residuals,264,27026075.74444443,102371.49903198647,NA,      NA
DMSO,Light_3,Dose,5,1577182.0154444464,315436.40308888926,3.423537074602549,1.25e-02
DMSO,Light_3,Residuals,264,24324319.731555555,92137.57474074073,NA,      NA
DMSO,Dark_3,Dose,5,4835171.701962965,967034.340392593,7.8084604760193645,1.85e-05
DMSO,Dark_3,Residuals,264,32694929.640444454,123844.43045622899,NA,      NA
EE2,Light_1,Dose,5,2268049.2047777786,453609.84095555573,3.264571676284259,1.64e-02
EE2,Light_1,Residuals,264,36682606.4448889,138949.26683670038,NA,      NA
EE2,Dark_1,Dose,5,2717045.6442357213,543409.1288471443,7.214029037800363,3.58e-05
EE2,Dark_1,Residuals,262,19735600.038749356,75326.71770515021,NA,      NA
EE2,Light_2,Dose,5,3694203.7493380816,738840.7498676163,5.4837586200110096,4.98e-04
EE2,Light_2,Residuals,263,35434659.08694445,134732.544056823,NA,      NA
EE2,Dark_2,Dose,5,4306569.3037407445,861313.8607481489,11.980069859710783,4.58e-08
EE2,Dark_2,Residuals,264,18980428.48666667,71895.56244949496,NA,      NA
EE2,Light_3,Dose,5,1400577.363851854,280115.47277037083,1.92042783200726,1.18e-01
EE2,Light_3,Residuals,264,38507296.95688889,145860.97332154884,NA,      NA
EE2,Dark_3,Dose,5,2713177.5282962974,542635.5056592595,9.810850221793206,7.41e-07
EE2,Dark_3,Residuals,264,14601769.495555557,55309.73293771045,NA,      NA
Fadrozole,Light_1,Dose,5,12275379.573074069,2455075.914614814,8.766727764959244,3.52e-06
Fadrozole,Light_1,Residuals,264,73931808.86133336,280044.7305353536,NA,      NA
Fadrozole,Dark_1,Dose,5,9274030.7841015,1854806.1568202998,10.029967026079994,5.28e-07
Fadrozole,Dark_1,Residuals,263,48635655.32920709,184926.44611865815,NA,      NA
Fadrozole,Light_2,Dose,5,8982312.510074072,1796462.5020148144,9.032318102448842,2.73e-06
Fadrozole,Light_2,Residuals,264,52507683.53733334,198892.74067171718,NA,      NA
Fadrozole,Dark_2,Dose,5,10517945.513222205,2103589.1026444407,14.29188781041823,1.84e-09
Fadrozole,Dark_2,Residuals,264,38857534.46044445,147187.63053198656,NA,      NA
Fadrozole,Light_3,Dose,5,22793386.87288889,4558677.374577777,16.042159805421978,2.81e-10
Fadrozole,Light_3,Residuals,264,75020498.57911114,284168.55522390583,NA,      NA
Fadrozole,Dark_3,Dose,5,9006758.285222229,1801351.6570444456,11.77451769020275,4.89e-08
Fadrozole,Dark_3,Residuals,264,40388646.90444444,152987.29888047138,NA,      NA
Fenitrothion,Light_1,Dose,5,7435011.12562963,1487002.225125926,12.312300508200904,3.54e-08
Fenitrothion,Light_1,Residuals,264,31884259.74266667,120773.71114646466,NA,      NA
Fenitrothion,Dark_1,Dose,5,2869356.4048888925,573871.2809777785,8.744898227527509,3.52e-06
Fenitrothion,Dark_1,Residuals,264,17324617.64977778,65623.55170370372,NA,      NA
Fenitrothion,Light_2,Dose,5,2094583.7514426897,418916.75028853794,4.676759269711013,1.63e-03
Fenitrothion,Light_2,Residuals,260,23289279.77551219,89574.1529827392,NA,      NA
Fenitrothion,Dark_2,Dose,5,3607836.8304074113,721567.3660814823,13.08868063769191,1.34e-08
Fenitrothion,Dark_2,Residuals,264,14554086.077777773,55129.11393097641,NA,      NA
Fenitrothion,Light_3,Dose,5,1480799.535851853,296159.90717037057,3.088154733886566,2.10e-02
Fenitrothion,Light_3,Residuals,264,25318101.659555558,95901.90022558924,NA,      NA
Fenitrothion,Dark_3,Dose,5,2556853.370407408,511370.67408148164,11.364558617650017,8.16e-08
Fenitrothion,Dark_3,Residuals,264,11879199.404000001,44996.96743939394,NA,      NA
Fluoxetine,Light_1,Dose,5,1120033.5558518532,224006.71117037063,1.5263111575732773,2.28e-01
Fluoxetine,Light_1,Residuals,264,38745554.244,146763.46304545455,NA,      NA
Fluoxetine,Dark_1,Dose,5,2142173.5795555585,428434.7159111117,3.7369622880840936,8.03e-03
Fluoxetine,Dark_1,Residuals,264,30267034.099111095,114647.85643602688,NA,      NA
Fluoxetine,Light_2,Dose,5,4945649.061074077,989129.8122148154,8.959914659211794,2.73e-06
Fluoxetine,Light_2,Residuals,264,29144280.984444443,110395.00372895622,NA,      NA
Fluoxetine,Dark_2,Dose,5,1714698.7381573361,342939.74763146724,4.920094509285565,1.11e-03
Fluoxetine,Dark_2,Residuals,263,18331589.658868693,69701.8618207935,NA,      NA
Fluoxetine,Light_3,Dose,5,2681402.155851856,536280.4311703711,5.324996584584633,6.11e-04
Fluoxetine,Light_3,Residuals,264,26587441.24622223,100710.00472053875,NA,      NA
Fluoxetine,Dark_3,Dose,5,1059362.444000001,211872.48880000022,2.5924708712479307,4.26e-02
Fluoxetine,Dark_3,Residuals,264,21575685.83066667,81726.0826919192,NA,      NA
Flutamide,Light_1,Dose,5,7430485.194566879,1486097.038913376,7.2891447712420305,3.49e-05
Flutamide,Light_1,Residuals,263,53619942.188035354,203878.10717884166,NA,      NA
Flutamide,Dark_1,Dose,5,5553420.435851855,1110684.087170371,8.73036280784515,3.52e-06
Flutamide,Dark_1,Residuals,264,33586301.67688889,127220.83968518519,NA,      NA
Flutamide,Light_2,Dose,5,3062352.2640000014,612470.4528000003,4.789427283658056,1.37e-03
Flutamide,Light_2,Residuals,264,33760236.864,127879.68509090909,NA,      NA
Flutamide,Dark_2,Dose,5,6529119.668740747,1305823.9337481493,12.21226650026711,3.54e-08
Flutamide,Dark_2,Residuals,264,28228790.986666664,106927.23858585858,NA,      NA
Flutamide,Light_3,Dose,5,3142983.4930272796,628596.6986054559,5.37191567494754,5.93e-04
Flutamide,Light_3,Residuals,261,30541011.48704762,117015.36968217479,NA,      NA
Flutamide,Dark_3,Dose,5,2595773.573962964,519154.7147925928,6.8598606828140705,6.42e-05
Flutamide,Dark_3,Residuals,264,19979537.63822222,75680.0668114478,NA,      NA
Glyphosate,Light_1,Dose,5,4679228.259296304,935845.6518592607,6.347975998991707,1.35e-04
Glyphosate,Light_1,Residuals,264,38920004.12888889,147424.25806397307,NA,      NA
Glyphosate,Dark_1,Dose,5,2079863.2213333375,415972.6442666675,4.51470967330293,2.11e-03
Glyphosate,Dark_1,Residuals,264,24324217.066666666,92137.18585858586,NA,      NA
Glyphosate,Light_2,Dose,5,4023102.993518518,804620.5987037036,6.558487740521159,1.06e-04
Glyphosate,Light_2,Residuals,264,32388539.319111113,122683.86105723906,NA,      NA
Glyphosate,Dark_2,Dose,5,1255644.7514444473,251128.95028888946,4.199914609283591,3.57e-03
Glyphosate,Dark_2,Residuals,264,15785569.242222222,59793.82288720539,NA,      NA
Glyphosate,Light_3,Dose,5,1772840.2926349645,354568.0585269929,2.654573366377337,3.91e-02
Glyphosate,Light_3,Residuals,262,34995013.70378295,133568.75459459142,NA,      NA
Glyphosate,Dark_3,Dose,5,1476045.626222223,295209.1252444446,4.706981982563068,1.56e-03
Glyphosate,Dark_3,Residuals,264,16557362.94577778,62717.283885521894,NA,      NA
Malathion,Light_1,Dose,5,1529766.6810740733,305953.3362148147,2.983735542961534,2.41e-02
Malathion,Light_1,Residuals,264,27070656.76488889,102540.36653367004,NA,      NA
Malathion,Dark_1,Dose,5,3051407.2394860615,610281.4478972123,8.970013763790234,2.73e-06
Malathion,Dark_1,Residuals,260,17689290.18746886,68035.73149026485,NA,      NA
Malathion,Light_2,Dose,5,3842383.0806296323,768476.6161259265,7.369822500615491,3.13e-05
Malathion,Light_2,Residuals,264,27528183.567555558,104273.42260437712,NA,      NA
Malathion,Dark_2,Dose,5,1648697.8782222178,329739.57564444357,4.436285377926485,2.41e-03
Malathion,Dark_2,Residuals,264,19622553.68044442,74327.85485016825,NA,      NA
Malathion,Light_3,Dose,5,4419796.699296298,883959.3398592597,9.508330341380525,1.24e-06
Malathion,Light_3,Residuals,264,24543243.381777793,92966.83099158255,NA,      NA
Malathion,Dark_3,Dose,5,505884.07096295996,101176.81419259199,1.4280577614034586,2.57e-01
Malathion,Dark_3,Residuals,264,18704200.676444426,70849.24498653192,NA,      NA
Prochloraz,Light_1,Dose,5,3948057.7878518607,789611.5575703721,4.809195588481363,1.36e-03
Prochloraz,Light_1,Residuals,264,43345596.444,164187.8653181818,NA,      NA
Prochloraz,Dark_1,Dose,5,3216215.5122963153,643243.102459263,7.683786005861071,2.03e-05
Prochloraz,Dark_1,Residuals,264,22100586.731555555,83714.34368013468,NA,      NA
Prochloraz,Light_2,Dose,5,3680862.4314074074,736172.4862814815,6.343075862844452,1.35e-04
Prochloraz,Light_2,Residuals,264,30639636.12933334,116059.22776262628,NA,      NA
Prochloraz,Dark_2,Dose,5,6866348.067111126,1373269.6134222252,18.20588501129677,1.22e-11
Prochloraz,Dark_2,Residuals,264,19913515.751555562,75429.98390740743,NA,      NA
Prochloraz,Light_3,Dose,5,1832804.0545185218,366560.8109037044,3.640864925482549,9.04e-03
Prochloraz,Light_3,Residuals,264,26579413.42488889,100679.59630639732,NA,      NA
Prochloraz,Dark_3,Dose,5,4730104.366407409,946020.8732814819,11.868002831921565,4.79e-08
Prochloraz,Dark_3,Residuals,264,21043937.559111107,79711.88469360268,NA,      NA
SDS,Light_1,Dose,5,8356037.453629628,1671207.4907259257,10.430896271715538,3.54e-07
SDS,Light_1,Residuals,264,42297302.74933333,160217.05586868685,NA,      NA
SDS,Dark_1,Dose,5,1488235.4509629663,297647.0901925933,2.586597529733084,4.26e-02
SDS,Dark_1,Residuals,264,30379226.34177778,115072.82705218856,NA,      NA
SDS,Light_2,Dose,5,1499649.7730740737,299929.9546148147,2.8536128875093785,2.91e-02
SDS,Light_2,Residuals,264,27747809.930666655,105105.34064646461,NA,      NA
SDS,Dark_2,Dose,5,1877091.460185187,375418.2920370374,5.115147260592844,8.69e-04
SDS,Dark_2,Residuals,264,19375870.145777777,73393.44752188552,NA,      NA
SDS,Light_3,Dose,5,2179374.614074075,435874.922814815,3.6294126269358484,9.04e-03
SDS,Light_3,Residuals,264,31705124.616888896,120095.16900336703,NA,      NA
SDS,Dark_3,Dose,5,1327434.3678888918,265486.87357777834,4.15688417585184,3.82e-03
SDS,Dark_3,Residuals,264,16860834.139111117,63866.795981481504,NA,      NA
TEG,Light_1,Dose,5,1577417.0445502587,315483.40891005174,2.3741084744166123,5.93e-02
TEG,Light_1,Residuals,263,34948755.474929295,132885.0018058148,NA,      NA
TEG,Dark_1,Dose,5,2326649.6714074085,465329.9342814817,5.055563103912917,9.56e-04
TEG,Dark_1,Residuals,264,24299390.616888884,92043.14627609425,NA,      NA
TEG,Light_2,Dose,5,513497.36300000147,102699.4726000003,0.8402950517919533,5.47e-01
TEG,Light_2,Residuals,264,32265643.726666667,122218.34744949495,NA,      NA
TEG,Dark_2,Dose,5,1284539.5496296245,256907.9099259249,3.1498685688840573,1.96e-02
TEG,Dark_2,Residuals,264,21532228.007999998,81561.46972727272,NA,      NA
TEG,Light_3,Dose,5,1773612.367296297,354722.47345925943,2.821315705885584,3.01e-02
