R-DRE-392499	Metabolism of proteins	929	976	4	3	2	2	2	0	4	0	0	15	976	3901	0.03532	1.0	0.052985	0.0																														0	0	0															0															0																							
R-DRE-597592	Post-translational protein modification	716	751	4	3	2	2	2	0	4	0	0	15	751	4126	0.081769	1.0	0.14858	0.0																														0	0	0															0															0																							
R-DRE-1280218	Adaptive Immune System	322	364	2	1	0	2	2	0	2	0	0	15	364	4513	0.313	1.0	0.6214	0.0																														0	0	0															0															0																							
R-DRE-162582	Signal Transduction	1227	1352	9	5	2	6	6	6	9	1	1	14	1351	3526	0.05231	0.99225	0.08347	0.074	353222	gnrh2	ENSDARG00000044754		1.77404	1.77404	1.77404		1.77404		0.870785	0.870785	0.870785		0.8707849999999999		3.61421	3.61421	3.61421		3.61421						1.77404	0.870785	3.61421	0	1	0															1	353222	ENSDARG00000044754	1.77404	1.77404		0.870785	0.870785		3.61421	3.61421		1.77404	0.870785	3.61421	0						Linear,1(1)	4.482241153717041	4.482241153717041	4.482241153717041	4.482241153717041	0.0	4.482241153717041	1.77404	1.77404	0.870785	0.870785	3.61421	3.61421	DOWN	0.0	1.0	0.0	
R-DRE-1640170	Cell Cycle	369	392	7	6	4	5	5	3	7	1	1	14	391	4486	0.65891	0.71485	1.0	0.26	553389	haus1	ENSDARG00000058968		1.5156	1.5156	1.5156		1.5156		0.808683	0.808683	0.808683		0.808683		2.84049	2.84049	2.84049		2.84049						1.5156	0.808683	2.84049	0	1	0															1	553389	ENSDARG00000058968	1.5156	1.5156		0.808683	0.808683		2.84049	2.84049		1.5156	0.808683	2.84049	0						Linear,1(1)	1.7407057285308838	1.7407057285308838	1.7407057285308838	1.7407057285308838	0.0	1.7407057285308838	1.5156	1.5156	0.808683	0.808683	2.84049	2.84049	DOWN	0.0	1.0	0.0	
R-DRE-194138	Signaling by VEGF	62	62	1	0	0	0	0	0	1	0	0	15	62	4815	0.82564	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-199991	Membrane Trafficking	310	314	2	1	1	2	2	1	2	1	1	14	313	4564	0.7501	0.63085	1.0	0.32	556854	tor1l2	ENSDARG00000090741		1.21825	1.21825	1.21825		1.21825		0.717203	0.717203	0.717203		0.717203		2.06934	2.06934	2.06934		2.06934						1.21825	0.717203	2.06934	1	0	1	556854	ENSDARG00000090741	1.21825	1.21825		0.717203	0.717203		2.06934	2.06934		1.21825	0.717203	2.06934	0															0						Linear,1(1)	2.5472424030303955	2.5472424030303955	2.5472424030303955	2.5472424030303955	0.0	2.5472424030303955	1.21825	1.21825	0.717203	0.717203	2.06934	2.06934	UP	1.0	0.0	0.0	
R-DRE-212436	Generic Transcription Pathway	453	488	6	4	3	6	6	3	6	2	2	13	486	4391	0.81712	0.44986	0.65611	0.41	548604;30079	nr4a3;btg2	ENSDARG00000055854;ENSDARG00000020298		1.64296	1.64296	1.63748	0.007749890321753362	1.6461200745560551	0.006331560439642018	0.8434755	0.8434755	0.842145	0.0018816111447067234	0.8442427407293488	0.0015372520374340585	3.2002499999999996	3.2002499999999996	3.18395	0.023051681066642273	3.209649491836442	0.018832926125020362					1.64844;1.63748	0.844806;0.842145	3.21655;3.18395	2	0	2	548604;30079	ENSDARG00000055854;ENSDARG00000020298	1.64296	1.64296	0.007749890321753362	0.8434755	0.8434755	0.0018816111447067234	3.2002499999999996	3.2002499999999996	0.023051681066642273	1.64844;1.63748	0.844806;0.842145	3.21655;3.18395	0															0						Linear,2(1)	1.9410237854539154	3.8960849046707153	1.7828272581100464	2.113257646560669	0.23364956838354026	1.9480424523353577	1.6322192000000002	1.6537007999999997	0.8408677200000001	0.84608328	3.1683019999999997	3.2321979999999995	UP	1.0	0.0	0.0	
R-DRE-3700989	Transcriptional Regulation by TP53	204	210	3	2	2	3	3	2	3	1	1	14	209	4668	0.8664	0.48268	0.48268	0.48	30079	btg2	ENSDARG00000020298		1.63748	1.63748	1.63748		1.63748		0.842145	0.842145	0.842145		0.842145		3.18395	3.18395	3.18395		3.18395						1.63748	0.842145	3.18395	1	0	1	30079	ENSDARG00000020298	1.63748	1.63748		0.842145	0.842145		3.18395	3.18395		1.63748	0.842145	3.18395	0															0						Linear,1(1)	1.7828272581100464	1.7828272581100464	1.7828272581100464	1.7828272581100464	0.0	1.7828272581100464	1.63748	1.63748	0.842145	0.842145	3.18395	3.18395	UP	1.0	0.0	0.0	
R-DRE-372790	Signaling by GPCR	288	374	4	2	1	3	3	3	4	1	1	14	373	4504	0.6799	0.69722	1.0	0.27	353222	gnrh2	ENSDARG00000044754		1.77404	1.77404	1.77404		1.77404		0.870785	0.870785	0.870785		0.8707849999999999		3.61421	3.61421	3.61421		3.61421						1.77404	0.870785	3.61421	0	1	0															1	353222	ENSDARG00000044754	1.77404	1.77404		0.870785	0.870785		3.61421	3.61421		1.77404	0.870785	3.61421	0						Linear,1(1)	4.482241153717041	4.482241153717041	4.482241153717041	4.482241153717041	0.0	4.482241153717041	1.77404	1.77404	0.870785	0.870785	3.61421	3.61421	DOWN	0.0	1.0	0.0	
R-DRE-388396	GPCR downstream signalling	276	360	4	2	1	3	3	3	4	1	1	14	359	4518	0.69629	0.68282	1.0	0.28	353222	gnrh2	ENSDARG00000044754		1.77404	1.77404	1.77404		1.77404		0.870785	0.870785	0.870785		0.8707849999999999		3.61421	3.61421	3.61421		3.61421						1.77404	0.870785	3.61421	0	1	0															1	353222	ENSDARG00000044754	1.77404	1.77404		0.870785	0.870785		3.61421	3.61421		1.77404	0.870785	3.61421	0						Linear,1(1)	4.482241153717041	4.482241153717041	4.482241153717041	4.482241153717041	0.0	4.482241153717041	1.77404	1.77404	0.870785	0.870785	3.61421	3.61421	DOWN	0.0	1.0	0.0	
R-DRE-4420097	VEGFA-VEGFR2 Pathway	58	58	1	0	0	0	0	0	1	0	0	15	58	4819	0.83597	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-453279	Mitotic G1 phase and G1/S transition	91	94	2	1	0	2	2	1	2	0	0	15	94	4783	0.74718	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5633007	Regulation of TP53 Activity	102	107	1	1	1	1	1	0	1	0	0	15	107	4770	0.71734	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5653656	Vesicle-mediated transport	329	337	2	1	1	2	2	1	2	1	1	14	336	4541	0.72323	0.65775	1.0	0.3	556854	tor1l2	ENSDARG00000090741		1.21825	1.21825	1.21825		1.21825		0.717203	0.717203	0.717203		0.717203		2.06934	2.06934	2.06934		2.06934						1.21825	0.717203	2.06934	1	0	1	556854	ENSDARG00000090741	1.21825	1.21825		0.717203	0.717203		2.06934	2.06934		1.21825	0.717203	2.06934	0															0						Linear,1(1)	2.5472424030303955	2.5472424030303955	2.5472424030303955	2.5472424030303955	0.0	2.5472424030303955	1.21825	1.21825	0.717203	0.717203	2.06934	2.06934	UP	1.0	0.0	0.0	
R-DRE-69202	Cyclin E associated events during G1/S transition 	48	51	2	1	0	2	2	1	2	0	0	15	51	4826	0.85434	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69206	G1/S Transition	74	77	2	1	0	2	2	1	2	0	0	15	77	4800	0.78795	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69242	S Phase	97	101	2	1	0	2	2	1	2	0	0	15	101	4776	0.73097	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69278	Cell Cycle, Mitotic	309	331	5	4	2	4	4	3	5	1	1	14	330	4547	0.73025	0.65092	1.0	0.3	553389	haus1	ENSDARG00000058968		1.5156	1.5156	1.5156		1.5156		0.808683	0.808683	0.808683		0.808683		2.84049	2.84049	2.84049		2.84049						1.5156	0.808683	2.84049	0	1	0															1	553389	ENSDARG00000058968	1.5156	1.5156		0.808683	0.808683		2.84049	2.84049		1.5156	0.808683	2.84049	0						Linear,1(1)	1.7407057285308838	1.7407057285308838	1.7407057285308838	1.7407057285308838	0.0	1.7407057285308838	1.5156	1.5156	0.808683	0.808683	2.84049	2.84049	DOWN	0.0	1.0	0.0	
R-DRE-69656	Cyclin A:Cdk2-associated events at S phase entry	49	52	2	1	0	2	2	1	2	0	0	15	52	4825	0.85169	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-73857	RNA Polymerase II Transcription	489	524	6	4	3	6	6	3	6	2	2	13	522	4355	0.78811	0.48856	0.67088	0.38	548604;30079	nr4a3;btg2	ENSDARG00000055854;ENSDARG00000020298		1.64296	1.64296	1.63748	0.007749890321753362	1.6461200745560551	0.006331560439642018	0.8434755	0.8434755	0.842145	0.0018816111447067234	0.8442427407293488	0.0015372520374340585	3.2002499999999996	3.2002499999999996	3.18395	0.023051681066642273	3.209649491836442	0.018832926125020362					1.64844;1.63748	0.844806;0.842145	3.21655;3.18395	2	0	2	548604;30079	ENSDARG00000055854;ENSDARG00000020298	1.64296	1.64296	0.007749890321753362	0.8434755	0.8434755	0.0018816111447067234	3.2002499999999996	3.2002499999999996	0.023051681066642273	1.64844;1.63748	0.844806;0.842145	3.21655;3.18395	0															0						Linear,2(1)	1.9410237854539154	3.8960849046707153	1.7828272581100464	2.113257646560669	0.23364956838354026	1.9480424523353577	1.6322192000000002	1.6537007999999997	0.8408677200000001	0.84608328	3.1683019999999997	3.2321979999999995	UP	1.0	0.0	0.0	
R-DRE-74160	Gene expression (Transcription)	551	586	7	5	4	6	6	3	7	2	2	13	584	4293	0.73561	0.55171	0.69879	0.34	548604;30079	nr4a3;btg2	ENSDARG00000055854;ENSDARG00000020298		1.64296	1.64296	1.63748	0.007749890321753362	1.6461200745560551	0.006331560439642018	0.8434755	0.8434755	0.842145	0.0018816111447067234	0.8442427407293488	0.0015372520374340585	3.2002499999999996	3.2002499999999996	3.18395	0.023051681066642273	3.209649491836442	0.018832926125020362					1.64844;1.63748	0.844806;0.842145	3.21655;3.18395	2	0	2	548604;30079	ENSDARG00000055854;ENSDARG00000020298	1.64296	1.64296	0.007749890321753362	0.8434755	0.8434755	0.0018816111447067234	3.2002499999999996	3.2002499999999996	0.023051681066642273	1.64844;1.63748	0.844806;0.842145	3.21655;3.18395	0															0						Linear,2(1)	1.9410237854539154	3.8960849046707153	1.7828272581100464	2.113257646560669	0.23364956838354026	1.9480424523353577	1.6322192000000002	1.6537007999999997	0.8408677200000001	0.84608328	3.1683019999999997	3.2321979999999995	UP	1.0	0.0	0.0	
R-DRE-8878166	Transcriptional regulation by RUNX2	46	48	1	1	0	1	1	0	1	0	0	15	48	4829	0.86233	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8939211	ESR-mediated signaling	99	118	1	1	0	1	1	1	1	0	0	15	118	4759	0.69296	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9006931	Signaling by Nuclear Receptors	136	155	2	2	0	2	2	2	2	0	0	15	155	4722	0.61652	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9006934	Signaling by Receptor Tyrosine Kinases	251	254	1	0	0	0	0	0	1	0	0	15	254	4623	0.4489	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9009391	Extra-nuclear estrogen signaling	42	44	1	1	0	1	1	1	1	0	0	15	44	4833	0.87309	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-211945	Phase I - Functionalization of compounds	60	61	1	1	0	1	1	1	1	0	0	15	61	4816	0.82821	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-373076	Class A/1 (Rhodopsin-like receptors)	138	219	4	2	1	3	3	3	4	1	1	14	218	4659	0.85694	0.49742	0.49742	0.46	353222	gnrh2	ENSDARG00000044754		1.77404	1.77404	1.77404		1.77404		0.870785	0.870785	0.870785		0.8707849999999999		3.61421	3.61421	3.61421		3.61421						1.77404	0.870785	3.61421	0	1	0															1	353222	ENSDARG00000044754	1.77404	1.77404		0.870785	0.870785		3.61421	3.61421		1.77404	0.870785	3.61421	0						Linear,1(1)	4.482241153717041	4.482241153717041	4.482241153717041	4.482241153717041	0.0	4.482241153717041	1.77404	1.77404	0.870785	0.870785	3.61421	3.61421	DOWN	0.0	1.0	0.0	
R-DRE-375276	Peptide ligand-binding receptors	80	108	2	0	0	1	1	1	2	0	0	15	108	4769	0.71509	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-380108	Chemokine receptors bind chemokines	15	25	2	0	0	1	1	1	2	0	0	15	25	4852	0.92592	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-416476	G alpha (q) signalling events	104	125	1	1	1	1	1	1	1	1	1	14	124	4753	0.94526	0.32215	0.32215	0.8	353222	gnrh2	ENSDARG00000044754		1.77404	1.77404	1.77404		1.77404		0.870785	0.870785	0.870785		0.8707849999999999		3.61421	3.61421	3.61421		3.61421						1.77404	0.870785	3.61421	0	1	0															1	353222	ENSDARG00000044754	1.77404	1.77404		0.870785	0.870785		3.61421	3.61421		1.77404	0.870785	3.61421	0						Linear,1(1)	4.482241153717041	4.482241153717041	4.482241153717041	4.482241153717041	0.0	4.482241153717041	1.77404	1.77404	0.870785	0.870785	3.61421	3.61421	DOWN	0.0	1.0	0.0	
R-DRE-418594	G alpha (i) signalling events	140	166	3	1	0	2	2	2	3	0	0	15	166	4711	0.59536	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-500792	GPCR ligand binding	182	264	4	2	1	3	3	3	4	1	1	14	263	4614	0.80756	0.56542	0.56542	0.38	353222	gnrh2	ENSDARG00000044754		1.77404	1.77404	1.77404		1.77404		0.870785	0.870785	0.870785		0.8707849999999999		3.61421	3.61421	3.61421		3.61421						1.77404	0.870785	3.61421	0	1	0															1	353222	ENSDARG00000044754	1.77404	1.77404		0.870785	0.870785		3.61421	3.61421		1.77404	0.870785	3.61421	0						Linear,1(1)	4.482241153717041	4.482241153717041	4.482241153717041	4.482241153717041	0.0	4.482241153717041	1.77404	1.77404	0.870785	0.870785	3.61421	3.61421	DOWN	0.0	1.0	0.0	
R-DRE-983168	Antigen processing: Ubiquitination & Proteasome degradation	183	193	1	1	0	1	1	0	1	0	0	15	193	4684	0.54626	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-983169	Class I MHC mediated antigen processing & presentation	216	231	1	1	0	1	1	0	1	0	0	15	231	4646	0.48353	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-397014	Muscle contraction	89	92	1	1	1	1	1	1	1	1	1	14	91	4786	0.96867	0.24813	0.24813	1.09	101882139	kcnk17	ENSDARG00000105453		1.48459	1.48459	1.48459		1.48459		0.801927	0.801927	0.801927		0.801927		2.7484	2.7484	2.7484		2.7484						1.48459	0.801927	2.7484	1	0	1	101882139	ENSDARG00000105453	1.48459	1.48459		0.801927	0.801927		2.7484	2.7484		1.48459	0.801927	2.7484	0															0						Linear,1(1)	4.0242919921875	4.0242919921875	4.0242919921875	4.0242919921875	0.0	4.0242919921875	1.48459	1.48459	0.801927	0.801927	2.7484	2.7484	UP	1.0	0.0	0.0	
R-DRE-5576886	Phase 4 - resting membrane potential	10	12	1	1	1	1	1	1	1	1	1	14	11	4866	0.99943	0.036221	0.036221	8.33	101882139	kcnk17	ENSDARG00000105453		1.48459	1.48459	1.48459		1.48459		0.801927	0.801927	0.801927		0.801927		2.7484	2.7484	2.7484		2.7484		0.0	1.48459			1.48459	0.801927	2.7484	1	0	1	101882139	ENSDARG00000105453	1.48459	1.48459		0.801927	0.801927		2.7484	2.7484		1.48459	0.801927	2.7484	0															0						Linear,1(1)	4.0242919921875	4.0242919921875	4.0242919921875	4.0242919921875	0.0	4.0242919921875	1.48459	1.48459	0.801927	0.801927	2.7484	2.7484	UP	1.0	0.0	0.0	
R-DRE-5576891	Cardiac conduction	59	61	1	1	1	1	1	1	1	1	1	14	60	4817	0.98553	0.17179	0.17179	1.64	101882139	kcnk17	ENSDARG00000105453		1.48459	1.48459	1.48459		1.48459		0.801927	0.801927	0.801927		0.801927		2.7484	2.7484	2.7484		2.7484						1.48459	0.801927	2.7484	1	0	1	101882139	ENSDARG00000105453	1.48459	1.48459		0.801927	0.801927		2.7484	2.7484		1.48459	0.801927	2.7484	0															0						Linear,1(1)	4.0242919921875	4.0242919921875	4.0242919921875	4.0242919921875	0.0	4.0242919921875	1.48459	1.48459	0.801927	0.801927	2.7484	2.7484	UP	1.0	0.0	0.0	
R-DRE-382551	Transport of small molecules	350	372	3	2	0	3	3	2	3	0	0	15	372	4505	0.3048	1.0	0.62255	0.0																														0	0	0															0															0																							
R-DRE-917937	Iron uptake and transport	42	45	1	1	0	1	1	1	1	0	0	15	45	4832	0.87039	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-141424	Amplification of signal from the kinetochores	60	61	2	2	1	1	1	1	2	0	0	15	61	4816	0.82821	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	60	61	2	2	1	1	1	1	2	0	0	15	61	4816	0.82821	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-194315	Signaling by Rho GTPases	376	394	2	2	1	1	1	1	2	0	0	15	394	4483	0.28325	1.0	0.62666	0.0																														0	0	0															0															0																							
R-DRE-195258	RHO GTPase Effectors	162	179	2	2	1	1	1	1	2	0	0	15	179	4698	0.57123	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2467813	Separation of Sister Chromatids	124	129	2	2	1	1	1	1	2	0	0	15	129	4748	0.66936	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2500257	Resolution of Sister Chromatid Cohesion	76	78	2	2	1	1	1	1	2	0	0	15	78	4799	0.78549	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2555396	Mitotic Metaphase and Anaphase	151	156	2	2	1	1	1	1	2	0	0	15	156	4721	0.61457	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5663220	RHO GTPases Activate Formins	78	79	2	2	1	1	1	1	2	0	0	15	79	4798	0.78305	1.0	1.0	0.0																														0	0	0															0															0																							
