R-DRE-212436	Generic Transcription Pathway	466	488	6	3	3	4	4	3	6	3	3	7	485	4397	0.98741	0.069575	0.069575	0.61	561829;548604;30079	ftr66;nr4a3;btg2	ENSDARG00000005327;ENSDARG00000055854;ENSDARG00000020298		1.5554066666666666	1.51094	1.30731	0.27305910025731217	1.478475742602091	0.27434615984620314	0.8139103333333333	0.80926	0.745359	0.07099082653648531	0.7922377180227569	0.07246042457071059	2.98784	2.82101	2.29295	0.7916014525630943	2.7746684295645387	0.7883951564140609					1.30731;1.84797;1.51094	0.745359;0.887112;0.80926	2.29295;3.84956;2.82101	3	0	3	561829;548604;30079	ENSDARG00000005327;ENSDARG00000055854;ENSDARG00000020298	1.5554066666666666	1.51094	0.27305910025731217	0.8139103333333333	0.80926	0.07099082653648531	2.98784	2.82101	0.7916014525630943	1.30731;1.84797;1.51094	0.745359;0.887112;0.80926	2.29295;3.84956;2.82101	0															0						Linear,3(1)	2.143773981200559	6.515351057052612	1.812074899673462	2.6568965911865234	0.4361485612745283	2.046379566192627	1.2464112063917228	1.8644021269416104	0.733576650624099	0.8942440160425675	2.092058629012726	3.8836213709872736	UP	1.0	0.0	0.0	
R-DRE-3700989	Transcriptional Regulation by TP53	208	210	4	2	2	2	2	2	4	2	2	8	208	4674	0.99252	0.065766	0.065766	0.95	561829;30079	ftr66;btg2	ENSDARG00000005327;ENSDARG00000020298		1.409125	1.409125	1.30731	0.14398815385301678	1.358655882110302	0.12505328755723005	0.7773095	0.7773095	0.745359	0.04518483042459978	0.7614718184095193	0.0392428921484796	2.55698	2.55698	2.29295	0.37339480687336635	2.4261018268779946	0.3242922900725373					1.30731;1.51094	0.745359;0.80926	2.29295;2.82101	2	0	2	561829;30079	ENSDARG00000005327;ENSDARG00000020298	1.409125	1.409125	0.14398815385301678	0.7773095	0.7773095	0.04518483042459978	2.55698	2.55698	0.37339480687336635	1.30731;1.51094	0.745359;0.80926	2.29295;2.82101	0															0						Linear,2(1)	2.194195894608565	4.468971490859985	1.812074899673462	2.6568965911865234	0.5973791469623754	2.2344857454299927	1.2095676	1.6086824	0.71468652	0.83993248	2.0394812	3.0744787999999996	UP	1.0	0.0	0.0	
R-DRE-372790	Signaling by GPCR	313	374	5	4	4	4	4	3	5	3	3	7	371	4511	0.99513	0.035493	0.035493	0.8	795372;654692;100329657	gpr45;cxcr3.1;ltb4r	ENSDARG00000063357;ENSDARG00000007358;ENSDARG00000032631		1.9552033333333334	1.7283	1.32034	0.7736854536782586	1.8164984151067527	0.6033912268535387	0.8609643333333333	0.861613	0.750804	0.10983743657029363	0.8527179718628755	0.08756092981405136	4.655146666666667	3.46679	2.32191	3.1030472535289126	4.005256644477061	2.4317177008773583					2.81697;1.32034;1.7283	0.970476;0.750804;0.861613	8.17674;2.32191;3.46679	2	1	2	654692;100329657	ENSDARG00000007358;ENSDARG00000032631	1.52432	1.52432	0.28847128245286463	0.8062085	0.8062085	0.07835379531649864	2.89435	2.89435	0.809552411644853	1.32034;1.7283	0.750804;0.861613	2.32191;3.46679	1	795372	ENSDARG00000063357	2.81697	2.81697		0.970476	0.970476		8.17674	8.17674		2.81697	0.970476	8.17674	0						Linear,3(1)	1.731573387176982	5.251923680305481	1.5490632057189941	2.127443313598633	0.32658611761561307	1.575417160987854	1.079695823632822	2.830710843033845	0.7366715731342564	0.9852570935324103	1.1437181390858941	8.16657519424744	UP	0.6666666666666666	0.3333333333333333	0.0	
R-DRE-388396	GPCR downstream signalling	300	360	5	4	4	4	4	3	5	3	3	7	357	4525	0.99576	0.03214	0.03214	0.83	795372;654692;100329657	gpr45;cxcr3.1;ltb4r	ENSDARG00000063357;ENSDARG00000007358;ENSDARG00000032631		1.9552033333333334	1.7283	1.32034	0.7736854536782586	1.8164984151067527	0.6033912268535387	0.8609643333333333	0.861613	0.750804	0.10983743657029363	0.8527179718628755	0.08756092981405136	4.655146666666667	3.46679	2.32191	3.1030472535289126	4.005256644477061	2.4317177008773583					2.81697;1.32034;1.7283	0.970476;0.750804;0.861613	8.17674;2.32191;3.46679	2	1	2	654692;100329657	ENSDARG00000007358;ENSDARG00000032631	1.52432	1.52432	0.28847128245286463	0.8062085	0.8062085	0.07835379531649864	2.89435	2.89435	0.809552411644853	1.32034;1.7283	0.750804;0.861613	2.32191;3.46679	1	795372	ENSDARG00000063357	2.81697	2.81697		0.970476	0.970476		8.17674	8.17674		2.81697	0.970476	8.17674	0						Linear,3(1)	1.731573387176982	5.251923680305481	1.5490632057189941	2.127443313598633	0.32658611761561307	1.575417160987854	1.079695823632822	2.830710843033845	0.7366715731342564	0.9852570935324103	1.1437181390858941	8.16657519424744	UP	0.6666666666666666	0.3333333333333333	0.0	
R-DRE-453279	Mitotic G1 phase and G1/S transition	93	94	2	0	0	1	1	0	2	0	0	10	94	4788	0.82349	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5628897	TP53 Regulates Metabolic Genes	53	53	1	0	0	0	0	0	1	0	0	10	53	4829	0.8967	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5633007	Regulation of TP53 Activity	105	107	2	1	1	1	1	1	2	1	1	9	106	4776	0.98098	0.19857	0.19857	0.93	561829	ftr66	ENSDARG00000005327		1.30731	1.30731	1.30731		1.3073100000000002		0.745359	0.745359	0.745359		0.745359		2.29295	2.29295	2.29295		2.29295						1.30731	0.745359	2.29295	1	0	1	561829	ENSDARG00000005327	1.30731	1.30731		0.745359	0.745359		2.29295	2.29295		1.30731	0.745359	2.29295	0															0						Linear,1(1)	2.6568965911865234	2.6568965911865234	2.6568965911865234	2.6568965911865234	0.0	2.6568965911865234	1.30731	1.30731	0.745359	0.745359	2.29295	2.29295	UP	1.0	0.0	0.0	
R-DRE-6804757	Regulation of TP53 Degradation	24	25	1	0	0	0	0	0	1	0	0	10	25	4857	0.95001	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6804758	Regulation of TP53 Activity through Acetylation	24	24	1	1	1	1	1	1	1	1	1	9	23	4859	0.99899	0.048034	0.048034	4.17	561829	ftr66	ENSDARG00000005327		1.30731	1.30731	1.30731		1.3073100000000002		0.745359	0.745359	0.745359		0.745359		2.29295	2.29295	2.29295		2.29295						1.30731	0.745359	2.29295	1	0	1	561829	ENSDARG00000005327	1.30731	1.30731		0.745359	0.745359		2.29295	2.29295		1.30731	0.745359	2.29295	0															0						Linear,1(1)	2.6568965911865234	2.6568965911865234	2.6568965911865234	2.6568965911865234	0.0	2.6568965911865234	1.30731	1.30731	0.745359	0.745359	2.29295	2.29295	UP	1.0	0.0	0.0	
R-DRE-6806003	Regulation of TP53 Expression and Degradation	24	25	1	0	0	0	0	0	1	0	0	10	25	4857	0.95001	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6807070	PTEN Regulation	78	79	1	1	1	1	1	1	1	1	1	9	78	4804	0.98935	0.15037	0.15037	1.27	561829	ftr66	ENSDARG00000005327		1.30731	1.30731	1.30731		1.3073100000000002		0.745359	0.745359	0.745359		0.745359		2.29295	2.29295	2.29295		2.29295						1.30731	0.745359	2.29295	1	0	1	561829	ENSDARG00000005327	1.30731	1.30731		0.745359	0.745359		2.29295	2.29295		1.30731	0.745359	2.29295	0															0						Linear,1(1)	2.6568965911865234	2.6568965911865234	2.6568965911865234	2.6568965911865234	0.0	2.6568965911865234	1.30731	1.30731	0.745359	0.745359	2.29295	2.29295	UP	1.0	0.0	0.0	
R-DRE-69202	Cyclin E associated events during G1/S transition 	50	51	2	0	0	1	1	0	2	0	0	10	51	4831	0.90042	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69206	G1/S Transition	76	77	2	0	0	1	1	0	2	0	0	10	77	4805	0.85317	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69242	S Phase	99	101	2	0	0	1	1	0	2	0	0	10	101	4781	0.81155	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69278	Cell Cycle, Mitotic	315	331	3	1	1	1	1	0	3	0	0	10	331	4551	0.49596	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69656	Cyclin A:Cdk2-associated events at S phase entry	51	52	2	0	0	1	1	0	2	0	0	10	52	4830	0.89856	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-73857	RNA Polymerase II Transcription	502	524	6	3	3	4	4	3	6	3	3	7	521	4361	0.98387	0.082767	0.082767	0.57	561829;548604;30079	ftr66;nr4a3;btg2	ENSDARG00000005327;ENSDARG00000055854;ENSDARG00000020298		1.5554066666666666	1.51094	1.30731	0.27305910025731217	1.478475742602091	0.27434615984620314	0.8139103333333333	0.80926	0.745359	0.07099082653648531	0.7922377180227569	0.07246042457071059	2.98784	2.82101	2.29295	0.7916014525630943	2.7746684295645387	0.7883951564140609					1.30731;1.84797;1.51094	0.745359;0.887112;0.80926	2.29295;3.84956;2.82101	3	0	3	561829;548604;30079	ENSDARG00000005327;ENSDARG00000055854;ENSDARG00000020298	1.5554066666666666	1.51094	0.27305910025731217	0.8139103333333333	0.80926	0.07099082653648531	2.98784	2.82101	0.7916014525630943	1.30731;1.84797;1.51094	0.745359;0.887112;0.80926	2.29295;3.84956;2.82101	0															0						Linear,3(1)	2.143773981200559	6.515351057052612	1.812074899673462	2.6568965911865234	0.4361485612745283	2.046379566192627	1.2464112063917228	1.8644021269416104	0.733576650624099	0.8942440160425675	2.092058629012726	3.8836213709872736	UP	1.0	0.0	0.0	
R-DRE-74160	Gene expression (Transcription)	564	586	6	3	3	4	4	3	6	3	3	7	583	4299	0.97634	0.10803	0.10803	0.51	561829;548604;30079	ftr66;nr4a3;btg2	ENSDARG00000005327;ENSDARG00000055854;ENSDARG00000020298		1.5554066666666666	1.51094	1.30731	0.27305910025731217	1.478475742602091	0.27434615984620314	0.8139103333333333	0.80926	0.745359	0.07099082653648531	0.7922377180227569	0.07246042457071059	2.98784	2.82101	2.29295	0.7916014525630943	2.7746684295645387	0.7883951564140609					1.30731;1.84797;1.51094	0.745359;0.887112;0.80926	2.29295;3.84956;2.82101	3	0	3	561829;548604;30079	ENSDARG00000005327;ENSDARG00000055854;ENSDARG00000020298	1.5554066666666666	1.51094	0.27305910025731217	0.8139103333333333	0.80926	0.07099082653648531	2.98784	2.82101	0.7916014525630943	1.30731;1.84797;1.51094	0.745359;0.887112;0.80926	2.29295;3.84956;2.82101	0															0						Linear,3(1)	2.143773981200559	6.515351057052612	1.812074899673462	2.6568965911865234	0.4361485612745283	2.046379566192627	1.2464112063917228	1.8644021269416104	0.733576650624099	0.8942440160425675	2.092058629012726	3.8836213709872736	UP	1.0	0.0	0.0	
R-DRE-8878166	Transcriptional regulation by RUNX2	48	48	1	0	0	1	1	0	1	0	0	10	48	4834	0.90602	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9006925	Intracellular signaling by second messengers	171	175	1	1	1	1	1	1	1	1	1	9	174	4708	0.95259	0.30554	0.30554	0.57	561829	ftr66	ENSDARG00000005327		1.30731	1.30731	1.30731		1.3073100000000002		0.745359	0.745359	0.745359		0.745359		2.29295	2.29295	2.29295		2.29295						1.30731	0.745359	2.29295	1	0	1	561829	ENSDARG00000005327	1.30731	1.30731		0.745359	0.745359		2.29295	2.29295		1.30731	0.745359	2.29295	0															0						Linear,1(1)	2.6568965911865234	2.6568965911865234	2.6568965911865234	2.6568965911865234	0.0	2.6568965911865234	1.30731	1.30731	0.745359	0.745359	2.29295	2.29295	UP	1.0	0.0	0.0	
R-DRE-9006931	Signaling by Nuclear Receptors	141	155	1	1	0	1	1	1	1	0	0	10	155	4727	0.7245	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-211945	Phase I - Functionalization of compounds	60	61	1	1	0	1	1	1	1	0	0	10	61	4821	0.88197	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-373076	Class A/1 (Rhodopsin-like receptors)	161	219	4	3	3	3	3	2	4	2	2	8	217	4665	0.99159	0.070838	0.070838	0.91	654692;100329657	cxcr3.1;ltb4r	ENSDARG00000007358;ENSDARG00000032631		1.52432	1.52432	1.32034	0.28847128245286463	1.6030605511066631	0.266111878770636	0.8062085	0.8062085	0.750804	0.07835379531649864	0.8275957971065258	0.07228059411387246	2.89435	2.89435	2.32191	0.809552411644853	3.115323826235407	0.7468040194306461					1.32034;1.7283	0.750804;0.861613	2.32191;3.46679	2	0	2	654692;100329657	ENSDARG00000007358;ENSDARG00000032631	1.52432	1.52432	0.28847128245286463	0.8062085	0.8062085	0.07835379531649864	2.89435	2.89435	0.809552411644853	1.32034;1.7283	0.750804;0.861613	2.32191;3.46679	0															0						Linear,2(1)	1.8307404800441134	3.702860474586487	1.575417160987854	2.127443313598633	0.39034143590340165	1.8514302372932434	1.1245192	1.9241207999999999	0.6976156800000001	0.9148013199999999	1.7723676000000002	4.0163324000000005	UP	1.0	0.0	0.0	
R-DRE-375276	Peptide ligand-binding receptors	92	108	2	1	1	1	1	1	2	1	1	9	107	4775	0.98064	0.20025	0.20025	0.93	654692	cxcr3.1	ENSDARG00000007358		1.32034	1.32034	1.32034		1.32034		0.750804	0.750804	0.750804		0.750804		2.32191	2.32191	2.32191		2.32191						1.32034	0.750804	2.32191	1	0	1	654692	ENSDARG00000007358	1.32034	1.32034		0.750804	0.750804		2.32191	2.32191		1.32034	0.750804	2.32191	0															0						Linear,1(1)	2.127443313598633	2.127443313598633	2.127443313598633	2.127443313598633	0.0	2.127443313598633	1.32034	1.32034	0.750804	0.750804	2.32191	2.32191	UP	1.0	0.0	0.0	
R-DRE-380108	Chemokine receptors bind chemokines	18	25	2	1	1	1	1	1	2	1	1	9	24	4858	0.9989	0.049989	0.049989	4.0	654692	cxcr3.1	ENSDARG00000007358		1.32034	1.32034	1.32034		1.32034		0.750804	0.750804	0.750804		0.750804		2.32191	2.32191	2.32191		2.32191						1.32034	0.750804	2.32191	1	0	1	654692	ENSDARG00000007358	1.32034	1.32034		0.750804	0.750804		2.32191	2.32191		1.32034	0.750804	2.32191	0															0						Linear,1(1)	2.127443313598633	2.127443313598633	2.127443313598633	2.127443313598633	0.0	2.127443313598633	1.32034	1.32034	0.750804	0.750804	2.32191	2.32191	UP	1.0	0.0	0.0	
R-DRE-416476	G alpha (q) signalling events	114	125	2	2	2	2	2	1	2	1	1	9	124	4758	0.97451	0.22824	0.22824	0.8	100329657	ltb4r	ENSDARG00000032631		1.7283	1.7283	1.7283		1.7283		0.861613	0.861613	0.861613		0.861613		3.46679	3.46679	3.46679		3.4667899999999996						1.7283	0.861613	3.46679	1	0	1	100329657	ENSDARG00000032631	1.7283	1.7283		0.861613	0.861613		3.46679	3.46679		1.7283	0.861613	3.46679	0															0						Linear,1(1)	1.575417160987854	1.575417160987854	1.575417160987854	1.575417160987854	0.0	1.575417160987854	1.7283	1.7283	0.861613	0.861613	3.46679	3.46679	UP	1.0	0.0	0.0	
R-DRE-418594	G alpha (i) signalling events	150	166	2	1	1	1	1	1	2	1	1	9	165	4717	0.95694	0.29216	0.29216	0.6	654692	cxcr3.1	ENSDARG00000007358		1.32034	1.32034	1.32034		1.32034		0.750804	0.750804	0.750804		0.750804		2.32191	2.32191	2.32191		2.32191						1.32034	0.750804	2.32191	1	0	1	654692	ENSDARG00000007358	1.32034	1.32034		0.750804	0.750804		2.32191	2.32191		1.32034	0.750804	2.32191	0															0						Linear,1(1)	2.127443313598633	2.127443313598633	2.127443313598633	2.127443313598633	0.0	2.127443313598633	1.32034	1.32034	0.750804	0.750804	2.32191	2.32191	UP	1.0	0.0	0.0	
R-DRE-500792	GPCR ligand binding	205	264	4	3	3	3	3	2	4	2	2	8	262	4620	0.98595	0.098077	0.098077	0.76	654692;100329657	cxcr3.1;ltb4r	ENSDARG00000007358;ENSDARG00000032631		1.52432	1.52432	1.32034	0.28847128245286463	1.6030605511066631	0.266111878770636	0.8062085	0.8062085	0.750804	0.07835379531649864	0.8275957971065258	0.07228059411387246	2.89435	2.89435	2.32191	0.809552411644853	3.115323826235407	0.7468040194306461					1.32034;1.7283	0.750804;0.861613	2.32191;3.46679	2	0	2	654692;100329657	ENSDARG00000007358;ENSDARG00000032631	1.52432	1.52432	0.28847128245286463	0.8062085	0.8062085	0.07835379531649864	2.89435	2.89435	0.809552411644853	1.32034;1.7283	0.750804;0.861613	2.32191;3.46679	0															0						Linear,2(1)	1.8307404800441134	3.702860474586487	1.575417160987854	2.127443313598633	0.39034143590340165	1.8514302372932434	1.1245192	1.9241207999999999	0.6976156800000001	0.9148013199999999	1.7723676000000002	4.0163324000000005	UP	1.0	0.0	0.0	
R-DRE-983168	Antigen processing: Ubiquitination & Proteasome degradation	188	193	1	0	0	1	1	0	1	0	0	10	193	4689	0.66838	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-983169	Class I MHC mediated antigen processing & presentation	224	231	2	1	1	2	2	0	2	0	0	10	231	4651	0.61621	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-397014	Muscle contraction	90	92	2	2	2	2	2	2	2	2	2	8	90	4792	0.9993	0.014272	0.014272	2.17	353247;101882139	tnnc1a;kcnk17	ENSDARG00000011400;ENSDARG00000105453		1.8164250000000002	1.8164250000000002	1.04613	1.089361636028183	2.020373481214067	1.0504850346725316	0.805904	0.805904	0.645144	0.22734897228709927	0.8484678980390283	0.219235454175291	4.30912	4.30912	1.69636	3.6950006272259266	5.000891897489748	3.56313526530875					2.58672;1.04613	0.966664;0.645144	6.92188;1.69636	2	0	2	353247;101882139	ENSDARG00000011400;ENSDARG00000105453	1.8164250000000002	1.8164250000000002	1.089361636028183	0.805904	0.805904	0.22734897228709927	4.30912	4.30912	3.6950006272259266	2.58672;1.04613	0.966664;0.645144	6.92188;1.69636	0															0						Linear,2(1)	2.260852188887678	4.573999643325806	1.9421584606170654	2.6318411827087402	0.48767932965822036	2.286999821662903	0.30664680000000044	3.3262032	0.4908144000000001	1.1209935999999998	-0.8118895999999989	9.430129599999999	UP	1.0	0.0	0.0	
