.id,chemical,cil_POD,median_POD,ciu_POD,hit_confidence,lowest_conc,highest_conc,n_genes
10th pct,24-DNP,NA,NA,NA,0,0.001,10,NA
10th pct,34-DCA,NA,NA,NA,0,0.0001,1,NA
10th pct,4-TPP,NA,NA,NA,0,0.0001,1,NA
10th pct,4C3MP,NA,NA,NA,0,0.0001,1,NA
10th pct,4TOP,NA,NA,NA,0,0.00001,0.1,NA
10th pct,Aniline,NA,NA,NA,0,0.001,10,NA
10th pct,Clofibric-acid,NA,NA,NA,0,0.001,10,NA
10th pct,DMSO,NA,NA,NA,0,0.001,10,NA
10th pct,Fadrozole,NA,NA,NA,0,0.0001,1,NA
10th pct,Fenitrothione,NA,NA,NA,0,0.0001,1,NA
10th pct,Fluoxetine,NA,NA,NA,0,0.00001,0.1,NA
10th pct,Flutamide,NA,NA,NA,0,0.0001,1,NA
10th pct,Glyphosate,NA,NA,NA,0,0.0001,1,NA
10th pct,Malathion,NA,NA,NA,0,0.0001,1,NA
10th pct,NN-Dimethylformamide,NA,NA,NA,0,0.1,1000,NA
10th pct,Prochloraz,NA,NA,NA,0,0.0001,1,NA
10th pct,SDS,NA,NA,NA,0,0.00001,0.1,NA
10th pct,TEG,NA,NA,NA,0,0.1,1000,NA
10th pct,Trenbolone,NA,NA,NA,0,0.00001,0.1,NA
10th pct,Vinclozolin,NA,NA,NA,0,0.0001,1,NA
1st Mode,1-Decanol,NA,NA,NA,0,0.0001,1,NA
1st Mode,1-Octanol,NA,NA,NA,0,0.001,10,NA
1st Mode,17betaestradiol,NA,NA,NA,0,0.00001,0.1,NA
1st Mode,24-DMP,NA,NA,NA,0,0.0001,1,NA
1st Mode,24-DNP,NA,NA,NA,0,0.001,10,NA
1st Mode,34-DCA,NA,NA,NA,0,0.0001,1,NA
1st Mode,4-TPP,NA,NA,NA,0,0.0001,1,NA
1st Mode,4C3MP,NA,NA,NA,0,0.0001,1,NA
1st Mode,4TOP,NA,NA,NA,0,0.00001,0.1,NA
1st Mode,Aniline,NA,NA,NA,0,0.001,10,NA
1st Mode,Clofibric-acid,NA,NA,NA,0,0.001,10,NA
1st Mode,DMSO,NA,NA,NA,0,0.001,10,NA
1st Mode,Fadrozole,NA,NA,NA,0,0.0001,1,NA
1st Mode,Fenitrothione,NA,NA,NA,0,0.0001,1,NA
1st Mode,Fluoxetine,NA,NA,NA,0,0.00001,0.1,NA
1st Mode,Flutamide,NA,NA,NA,0,0.0001,1,NA
1st Mode,Glyphosate,NA,NA,NA,0,0.0001,1,NA
1st Mode,Malathion,NA,NA,NA,0,0.0001,1,NA
1st Mode,NN-Dimethylformamide,NA,NA,NA,0,0.1,1000,NA
1st Mode,Prochloraz,NA,NA,NA,0,0.0001,1,NA
1st Mode,SDS,NA,NA,NA,0,0.00001,0.1,NA
1st Mode,TEG,NA,NA,NA,0,0.1,1000,NA
1st Mode,Trenbolone,NA,NA,NA,0,0.00001,0.1,NA
1st Mode,Vinclozolin,NA,NA,NA,0,0.0001,1,NA
GO Term,1-Decanol,NA,NA,NA,0,0.0001,1,NA
GO Term,1-Octanol,NA,NA,NA,0,0.001,10,NA
GO Term,17betaestradiol,NA,NA,NA,0,0.00001,0.1,NA
GO Term,24-DMP,NA,NA,NA,0,0.0001,1,NA
GO Term,24-DNP,NA,NA,NA,0,0.001,10,NA
GO Term,34-DCA,NA,NA,NA,0,0.0001,1,NA
GO Term,4-TPP,NA,NA,NA,0,0.0001,1,NA
GO Term,4C3MP,NA,NA,NA,0,0.0001,1,NA
GO Term,4TOP,NA,NA,NA,0,0.00001,0.1,NA
GO Term,Aniline,NA,NA,NA,0,0.001,10,NA
GO Term,Clofibric-acid,NA,NA,NA,0,0.001,10,NA
GO Term,DMSO,NA,NA,NA,0,0.001,10,NA
GO Term,Fadrozole,NA,NA,NA,0,0.0001,1,NA
GO Term,Fenitrothione,NA,NA,NA,0,0.0001,1,NA
GO Term,Fluoxetine,NA,NA,NA,0,0.00001,0.1,NA
GO Term,Flutamide,NA,NA,NA,0,0.0001,1,NA
GO Term,Glyphosate,NA,NA,NA,0,0.0001,1,NA
GO Term,Malathion,NA,NA,NA,0,0.0001,1,NA
GO Term,NN-Dimethylformamide,NA,NA,NA,0,0.1,1000,NA
GO Term,Prochloraz,NA,NA,NA,0,0.0001,1,NA
GO Term,SDS,NA,NA,NA,0,0.00001,0.1,NA
GO Term,TEG,NA,NA,NA,0,0.1,1000,NA
GO Term,Trenbolone,NA,NA,NA,0,0.00001,0.1,NA
GO Term,Vinclozolin,NA,NA,NA,0,0.0001,1,NA
Reactome,1-Decanol,NA,NA,NA,0,0.0001,1,NA
Reactome,1-Octanol,NA,NA,NA,0,0.001,10,NA
Reactome,17betaestradiol,NA,NA,NA,0,0.00001,0.1,NA
Reactome,24-DMP,NA,NA,NA,0,0.0001,1,NA
Reactome,24-DNP,NA,NA,NA,0,0.001,10,NA
Reactome,34-DCA,NA,NA,NA,0,0.0001,1,NA
Reactome,4-TPP,NA,NA,NA,0,0.0001,1,NA
Reactome,4C3MP,NA,NA,NA,0,0.0001,1,NA
Reactome,4TOP,NA,NA,NA,0,0.00001,0.1,NA
Reactome,Aniline,NA,NA,NA,0,0.001,10,NA
Reactome,Clofibric-acid,NA,NA,NA,0,0.001,10,NA
Reactome,DMSO,NA,NA,NA,0,0.001,10,NA
Reactome,Fadrozole,NA,NA,NA,0,0.0001,1,NA
Reactome,Fenitrothione,NA,NA,NA,0,0.0001,1,NA
Reactome,Fluoxetine,NA,NA,NA,0,0.00001,0.1,NA
Reactome,Flutamide,NA,NA,NA,0,0.0001,1,NA
Reactome,Glyphosate,NA,NA,NA,0,0.0001,1,NA
Reactome,Malathion,NA,NA,NA,0,0.0001,1,NA
Reactome,NN-Dimethylformamide,NA,NA,NA,0,0.1,1000,NA
Reactome,Prochloraz,NA,NA,NA,0,0.0001,1,NA
Reactome,SDS,NA,NA,NA,0,0.00001,0.1,NA
Reactome,TEG,NA,NA,NA,0,0.1,1000,NA
Reactome,Trenbolone,NA,NA,NA,0,0.00001,0.1,NA
Reactome,Vinclozolin,NA,NA,NA,0,0.0001,1,NA
