R-DRE-1266738	Developmental Biology	117	204	8	4	3	4	4	3	8	1	1	12	203	4676	0.90017	0.4256	0.4256	0.49	30513	myod1	ENSDARG00000030110		568.85	568.85	568.85		568.85		290.383	290.383	290.383		290.383		1114.36	1114.36	1114.36		1114.36						568.85	290.383	1114.36	1	0	1	30513	ENSDARG00000030110	568.85	568.85		290.383	290.383		1114.36	1114.36		568.85	290.383	1114.36	0															0						Linear,1(1)	7.9558210372924805	7.9558210372924805	7.9558210372924805	7.9558210372924805	0.0	7.9558210372924805	568.85	568.85	290.383	290.383	1114.36	1114.36	UP	1.0	0.0	0.0	
R-DRE-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	42	73	1	1	0	0	0	0	1	0	0	13	73	4806	0.82226	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-392499	Metabolism of proteins	544	976	23	16	13	12	12	9	23	6	6	7	970	3909	0.99317	0.029515	0.029515	0.61	556710;492331;447915;393748;321947;30678	taf10;ace2;mrpl53;mrpl57;psmc3;pcna	ENSDARG00000068641;ENSDARG00000016918;ENSDARG00000008920;ENSDARG00000007285;ENSDARG00000007141;ENSDARG00000054155		356.35932	478.03499999999997	1.01952	277.9238408073751	272.6978978899863	274.81051118253015	189.55425816666664	269.4165	0.450419	146.22557129617277	149.3597460725378	150.10539082843604	674.1644150000001	848.1995	2.30769	536.01824224368	500.52305561589935	507.4386864879849					1.01952;477.476;478.594;639.992;530.492;10.5824	0.450419;268.452;270.381;309.388;285.643;3.01113	2.30769;849.251;847.148;1323.87;985.219;37.1908	6	0	6	556710;492331;447915;393748;321947;30678	ENSDARG00000068641;ENSDARG00000016918;ENSDARG00000008920;ENSDARG00000007285;ENSDARG00000007141;ENSDARG00000054155	356.35932	478.03499999999997	277.9238408073751	189.55425816666664	269.4165	146.22557129617277	674.1644150000001	848.1995	536.01824224368	1.01952;477.476;478.594;639.992;530.492;10.5824	0.450419;268.452;270.381;309.388;285.643;3.01113	2.30769;849.251;847.148;1323.87;985.219;37.1908	0															0						Exp 5,1(0.17);Hill,1(0.17);Linear,4(0.67)	Infinity	Infinity	1.763182282447815	Infinity	NaN	3.9318301677703857	133.97393153802705	578.744708461973	72.5494327392887	306.5590835940446	245.2604941352826	1103.0683358647173	UP	1.0	0.0	0.0	
R-DRE-525793	Myogenesis	11	17	1	1	1	1	1	1	1	1	1	12	16	4863	0.99913	0.044299	0.044299	5.88	30513	myod1	ENSDARG00000030110		568.85	568.85	568.85		568.85		290.383	290.383	290.383		290.383		1114.36	1114.36	1114.36		1114.36		0.0	568.85			568.85	290.383	1114.36	1	0	1	30513	ENSDARG00000030110	568.85	568.85		290.383	290.383		1114.36	1114.36		568.85	290.383	1114.36	0															0						Linear,1(1)	7.9558210372924805	7.9558210372924805	7.9558210372924805	7.9558210372924805	0.0	7.9558210372924805	568.85	568.85	290.383	290.383	1114.36	1114.36	UP	1.0	0.0	0.0	
R-DRE-597592	Post-translational protein modification	369	751	16	11	8	9	9	6	16	3	3	10	748	4131	0.87428	0.32137	0.4356	0.4	556710;321947;30678	taf10;psmc3;pcna	ENSDARG00000068641;ENSDARG00000007141;ENSDARG00000054155		180.6979733333333	10.5824	1.01952	302.9682458397813	64.48043692147284	205.7398312818165	96.36818299999999	3.01113	0.450419	163.92180017616323	33.92717214076659	111.1046179258403	341.57249666666667	37.1908	2.30769	557.6870303142597	124.7825438082391	380.2115909132817					1.01952;530.492;10.5824	0.450419;285.643;3.01113	2.30769;985.219;37.1908	3	0	3	556710;321947;30678	ENSDARG00000068641;ENSDARG00000007141;ENSDARG00000054155	180.6979733333333	10.5824	302.9682458397813	96.36818299999999	3.01113	163.92180017616323	341.57249666666667	37.1908	557.6870303142597	1.01952;530.492;10.5824	0.450419;285.643;3.01113	2.30769;985.219;37.1908	0															0						Exp 5,1(0.34);Hill,1(0.34);Linear,1(0.34)	Infinity	Infinity	1.9148547649383545	Infinity	NaN	NaN	-162.14287131801922	523.5388179846859	-89.12679609720155	281.86316209720155	-289.509787201315	972.6547805346484	UP	1.0	0.0	0.0	
R-DRE-8957275	Post-translational protein phosphorylation	37	60	1	1	0	0	0	0	1	0	0	13	60	4819	0.85161	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1257604	PIP3 activates AKT signaling	80	159	6	4	3	3	3	2	6	1	1	12	158	4721	0.93525	0.34954	0.34954	0.63	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-1280215	Cytokine Signaling in Immune system	90	205	7	5	3	5	5	4	7	1	1	12	204	4675	0.89934	0.42719	0.42719	0.49	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-1280218	Adaptive Immune System	149	364	8	5	3	4	4	3	8	1	1	12	363	4516	0.74851	0.63449	1.0	0.27	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-162582	Signal Transduction	587	1352	24	15	10	12	12	9	24	1	1	12	1351	3528	0.088696	0.98517	0.12968	0.074	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-1640170	Cell Cycle	188	392	8	5	5	3	3	2	8	2	2	11	390	4489	0.92007	0.28001	0.28001	0.51	321947;30678	psmc3;pcna	ENSDARG00000007141;ENSDARG00000054155		270.5372	270.5372	10.5824	367.6316037639855	164.8634146178986	335.8855433806509	144.32706499999998	144.32706499999998	3.01113	199.85091185643472	86.8809636536852	182.59320318693767	511.2049	511.2049	37.1908	670.3571689760765	318.5142311933846	612.4698737957145					530.492;10.5824	285.643;3.01113	985.219;37.1908	2	0	2	321947;30678	ENSDARG00000007141;ENSDARG00000054155	270.5372	270.5372	367.6316037639855	144.32706499999998	144.32706499999998	199.85091185643472	511.2049	511.2049	670.3571689760765	530.492;10.5824	285.643;3.01113	985.219;37.1908	0															0						Exp 5,1(0.5);Linear,1(0.5)	Infinity	Infinity	1.9148547649383545	Infinity	NaN	Infinity	-238.97420799999998	780.048608	-132.6521676	421.3062976	-417.86273599999987	1440.272536	UP	1.0	0.0	0.0	
R-DRE-194138	Signaling by VEGF	30	62	1	1	0	1	1	1	1	0	0	13	62	4817	0.84703	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-199418	Negative regulation of the PI3K/AKT network	26	69	1	1	0	1	1	1	1	0	0	13	69	4810	0.83119	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-199991	Membrane Trafficking	171	314	1	1	0	1	1	1	1	0	0	13	314	4565	0.42168	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-212436	Generic Transcription Pathway	254	488	12	8	8	5	5	4	12	4	4	9	484	4395	0.99369	0.033686	0.033686	0.82	58013;556710;321947;30678	noc2l;taf10;psmc3;pcna	ENSDARG00000001754;ENSDARG00000068641;ENSDARG00000007141;ENSDARG00000054155		324.47873	270.5372	1.01952	379.32149417353907	160.55476843355768	329.62095325342074	153.25288725	144.32706499999998	0.450419	175.66174700002995	74.22513757405015	151.2063691691013	697.0968725	511.2049	2.30769	844.3539205218096	352.5357311462137	734.2763561368258					755.821;1.01952;530.492;10.5824	323.907;0.450419;285.643;3.01113	1763.67;2.30769;985.219;37.1908	3	1	3	556710;321947;30678	ENSDARG00000068641;ENSDARG00000007141;ENSDARG00000054155	180.6979733333333	10.5824	302.9682458397813	96.36818299999999	3.01113	163.92180017616323	341.57249666666667	37.1908	557.6870303142597	1.01952;530.492;10.5824	0.450419;285.643;3.01113	2.30769;985.219;37.1908	1	58013	ENSDARG00000001754	755.821	755.821		323.907	323.907		1763.67	1763.67		755.821	323.907	1763.67	0						Exp 5,1(0.25);Hill,1(0.25);Linear,2(0.5)	Infinity	Infinity	1.9148547649383545	Infinity	NaN	4.08582878112793	-47.25633429006842	696.2137942900683	-18.895624810029318	325.4013993100293	-130.36996961137345	1524.5637146113736	UP	0.75	0.25	0.0	
R-DRE-3700989	Transcriptional Regulation by TP53	119	210	7	5	5	3	3	3	7	3	3	10	207	4672	0.99826	0.01621	0.01621	1.43	58013;556710;30678	noc2l;taf10;pcna	ENSDARG00000001754;ENSDARG00000068641;ENSDARG00000054155		255.80764	10.5824	1.01952	433.05066943989453	119.92296186173421	332.61563469279463	109.12284966666665	3.01113	0.450419	186.0129370124974	51.004199104176976	142.7360056495114	601.0561633333333	37.1908	2.30769	1007.0041746424928	283.0453906026479	774.5878525518021					755.821;1.01952;10.5824	323.907;0.450419;3.01113	1763.67;2.30769;37.1908	2	1	2	556710;30678	ENSDARG00000068641;ENSDARG00000054155	5.80096	5.80096	6.761977295673212	1.7307745	1.7307745	1.8106961127589851	19.749245000000002	19.749245000000002	24.66608362987627	1.01952;10.5824	0.450419;3.01113	2.30769;37.1908	1	58013	ENSDARG00000001754	755.821	755.821		323.907	323.907		1763.67	1763.67		755.821	323.907	1763.67	0						Exp 5,1(0.34);Hill,1(0.34);Linear,1(0.34)	3.1731780158575247	10.086512327194214	1.9148547649383545	4.176272392272949	1.2566713067148398	3.99538516998291	-234.2353243247867	745.8506043247867	-101.37060407689313	319.61630341022646	-538.4763340243101	1740.588660690977	UP	0.6666666666666666	0.3333333333333333	0.0	
R-DRE-372790	Signaling by GPCR	82	374	4	3	2	1	1	1	4	0	0	13	374	4505	0.35514	1.0	0.6168	0.0																														0	0	0															0															0																							
R-DRE-388396	GPCR downstream signalling	79	360	4	3	2	1	1	1	4	0	0	13	360	4519	0.36974	1.0	0.61717	0.0																														0	0	0															0															0																							
R-DRE-388841	Costimulation by the CD28 family	13	34	1	1	0	1	1	1	1	0	0	13	34	4845	0.91322	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-389356	CD28 co-stimulation	7	24	1	1	0	1	1	1	1	0	0	13	24	4855	0.93799	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-4420097	VEGFA-VEGFR2 Pathway	30	58	1	1	0	1	1	1	1	0	0	13	58	4821	0.85621	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-453279	Mitotic G1 phase and G1/S transition	47	94	4	3	3	2	2	1	4	1	1	12	93	4786	0.97517	0.22317	0.22317	1.06	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-5218920	VEGFR2 mediated vascular permeability	6	13	1	1	0	1	1	1	1	0	0	13	13	4866	0.96596	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5628897	TP53 Regulates Metabolic Genes	38	53	1	1	1	0	0	0	1	0	0	13	53	4826	0.86781	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5633007	Regulation of TP53 Activity	56	107	5	3	3	2	2	2	5	2	2	11	105	4774	0.99752	0.031594	0.031594	1.87	58013;556710	noc2l;taf10	ENSDARG00000001754;ENSDARG00000068641		378.42026	378.42026	1.01952	533.7252449576423	158.39883329733257	433.64015114901514	162.1787095	162.1787095	0.450419	228.71834184451575	67.89248946239896	185.82867732981083	882.9888450000001	882.9888450000001	2.30769	1245.4712335274019	369.5592099832457	1011.9182839129811					755.821;1.01952	323.907;0.450419	1763.67;2.30769	1	1	1	556710	ENSDARG00000068641	1.01952	1.01952		0.450419	0.450419		2.30769	2.30769		1.01952	0.450419	2.30769	1	58013	ENSDARG00000001754	755.821	755.821		323.907	323.907		1763.67	1763.67		755.821	323.907	1763.67	0						Hill,1(0.5);Linear,1(0.5)	4.084827631846464	8.17165756225586	3.99538516998291	4.176272392272949	0.12790658151128503	4.08582878112793	-361.28519040000003	1118.1257104000001	-154.80873987999993	479.1661588799999	-843.1462187999996	2609.1239087999998	CONFLICT	0.5	0.5	0.0	
R-DRE-5653656	Vesicle-mediated transport	182	337	1	1	0	1	1	1	1	0	0	13	337	4542	0.39492	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6804759	Regulation of TP53 Activity through Association with Co-factors	5	10	1	0	0	0	0	0	1	0	0	13	10	4869	0.97372	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6807070	PTEN Regulation	49	79	5	3	3	2	2	1	5	1	1	12	78	4801	0.9821	0.19096	0.19096	1.27	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-69202	Cyclin E associated events during G1/S transition 	31	51	4	3	3	2	2	1	4	1	1	12	50	4829	0.99228	0.12751	0.12751	1.96	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-69206	G1/S Transition	43	77	4	3	3	2	2	1	4	1	1	12	76	4803	0.98295	0.18658	0.18658	1.3	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-69242	S Phase	59	101	5	4	4	3	3	2	5	2	2	11	99	4780	0.9979	0.028388	0.028388	1.98	321947;30678	psmc3;pcna	ENSDARG00000007141;ENSDARG00000054155		270.5372	270.5372	10.5824	367.6316037639855	164.8634146178986	335.8855433806509	144.32706499999998	144.32706499999998	3.01113	199.85091185643472	86.8809636536852	182.59320318693767	511.2049	511.2049	37.1908	670.3571689760765	318.5142311933846	612.4698737957145					530.492;10.5824	285.643;3.01113	985.219;37.1908	2	0	2	321947;30678	ENSDARG00000007141;ENSDARG00000054155	270.5372	270.5372	367.6316037639855	144.32706499999998	144.32706499999998	199.85091185643472	511.2049	511.2049	670.3571689760765	530.492;10.5824	285.643;3.01113	985.219;37.1908	0															0						Exp 5,1(0.5);Linear,1(0.5)	Infinity	Infinity	1.9148547649383545	Infinity	NaN	Infinity	-238.97420799999998	780.048608	-132.6521676	421.3062976	-417.86273599999987	1440.272536	UP	1.0	0.0	0.0	
R-DRE-69278	Cell Cycle, Mitotic	160	331	8	5	5	3	3	2	8	2	2	11	329	4550	0.94714	0.21823	0.21823	0.6	321947;30678	psmc3;pcna	ENSDARG00000007141;ENSDARG00000054155		270.5372	270.5372	10.5824	367.6316037639855	164.8634146178986	335.8855433806509	144.32706499999998	144.32706499999998	3.01113	199.85091185643472	86.8809636536852	182.59320318693767	511.2049	511.2049	37.1908	670.3571689760765	318.5142311933846	612.4698737957145					530.492;10.5824	285.643;3.01113	985.219;37.1908	2	0	2	321947;30678	ENSDARG00000007141;ENSDARG00000054155	270.5372	270.5372	367.6316037639855	144.32706499999998	144.32706499999998	199.85091185643472	511.2049	511.2049	670.3571689760765	530.492;10.5824	285.643;3.01113	985.219;37.1908	0															0						Exp 5,1(0.5);Linear,1(0.5)	Infinity	Infinity	1.9148547649383545	Infinity	NaN	Infinity	-238.97420799999998	780.048608	-132.6521676	421.3062976	-417.86273599999987	1440.272536	UP	1.0	0.0	0.0	
R-DRE-69656	Cyclin A:Cdk2-associated events at S phase entry	32	52	4	3	3	2	2	1	4	1	1	12	51	4828	0.99198	0.12986	0.12986	1.92	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
