Identifier,EE2-100ng/L-C
ENSDARG00000007387,4
ENSDARG00000024828,3
ENSDARG00000070162,4
ENSDARG00000104907,2
ENSDARG00000080987,0
ENSDARG00000079183,0
ENSDARG00000104437,14
ENSDARG00000103145,4
ENSDARG00000069701,0
ENSDARG00000020857,0
ENSDARG00000093120,1
ENSDARG00000074662,0
ENSDARG00000076585,3
ENSDARG00000079631,3
ENSDARG00000018587,0
ENSDARG00000078182,0
ENSDARG00000095065,1
ENSDARG00000109438,0
ENSDARG00000074610,0
ENSDARG00000069707,0
ENSDARG00000078251,1
ENSDARG00000008457,2
ENSDARG00000031435,79
ENSDARG00000077874,0
ENSDARG00000069710,0
ENSDARG00000079552,0
ENSDARG00000087333,5
ENSDARG00000009315,1
ENSDARG00000030368,5
ENSDARG00000117231,1
ENSDARG00000117450,0
ENSDARG00000117485,1
ENSDARG00000117707,1
ENSDARG00000052899,0
ENSDARG00000052900,0
ENSDARG00000052895,0
ENSDARG00000074600,2
ENSDARG00000075521,1
ENSDARG00000095566,0
ENSDARG00000007941,6
ENSDARG00000095651,2
ENSDARG00000069669,0
ENSDARG00000108025,0
ENSDARG00000033604,13
ENSDARG00000060236,1
ENSDARG00000036774,5
ENSDARG00000109727,0
ENSDARG00000052866,6
ENSDARG00000108028,0
ENSDARG00000091911,0
ENSDARG00000093237,0
ENSDARG00000008706,24
ENSDARG00000078108,0
ENSDARG00000075639,2
ENSDARG00000078016,2
ENSDARG00000092551,4
ENSDARG00000075194,4
ENSDARG00000098598,0
ENSDARG00000060252,4
ENSDARG00000078908,5
ENSDARG00000036965,7
ENSDARG00000036967,8
ENSDARG00000060264,1
ENSDARG00000024101,1
ENSDARG00000107253,0
ENSDARG00000024785,11
ENSDARG00000084202,0
ENSDARG00000087061,0
ENSDARG00000052713,1
ENSDARG00000107073,0
ENSDARG00000113563,0
ENSDARG00000081405,0
ENSDARG00000052712,48
ENSDARG00000052703,1
ENSDARG00000052700,0
ENSDARG00000052696,5
ENSDARG00000075112,0
ENSDARG00000029898,0
ENSDARG00000092730,1
ENSDARG00000078622,0
ENSDARG00000074132,0
ENSDARG00000075598,0
ENSDARG00000117264,0
ENSDARG00000094910,0
ENSDARG00000117756,0
ENSDARG00000074476,0
ENSDARG00000087178,1
ENSDARG00000095949,0
ENSDARG00000076277,0
ENSDARG00000075916,0
ENSDARG00000078558,0
ENSDARG00000052019,2
ENSDARG00000101106,3
ENSDARG00000103871,1
ENSDARG00000089345,0
ENSDARG00000099025,0
ENSDARG00000098805,0
ENSDARG00000052016,4
ENSDARG00000059682,0
ENSDARG00000078233,13
ENSDARG00000104759,0
ENSDARG00000075179,0
ENSDARG00000104249,0
ENSDARG00000111029,0
ENSDARG00000105108,0
ENSDARG00000112081,0
ENSDARG00000109574,0
ENSDARG00000115729,0
ENSDARG00000116661,0
ENSDARG00000111422,0
ENSDARG00000111051,0
ENSDARG00000112750,0
ENSDARG00000113452,0
ENSDARG00000069116,5
ENSDARG00000069114,0
ENSDARG00000014803,6
ENSDARG00000016793,103
ENSDARG00000052012,0
ENSDARG00000083573,0
ENSDARG00000016263,5
ENSDARG00000095781,0
ENSDARG00000007786,6
ENSDARG00000009472,1
ENSDARG00000111774,0
ENSDARG00000037748,7
ENSDARG00000002840,5
ENSDARG00000079632,6
ENSDARG00000016994,0
ENSDARG00000029718,2
ENSDARG00000051993,0
ENSDARG00000092459,0
ENSDARG00000094678,1
ENSDARG00000051989,0
ENSDARG00000095407,1
ENSDARG00000051986,15
ENSDARG00000051981,0
ENSDARG00000059653,1
ENSDARG00000016835,0
ENSDARG00000094133,10
ENSDARG00000093997,0
ENSDARG00000093289,1
ENSDARG00000078659,3
ENSDARG00000093954,0
ENSDARG00000031836,3
ENSDARG00000117392,0
ENSDARG00000098263,0
ENSDARG00000105005,0
ENSDARG00000030972,1
ENSDARG00000051970,0
ENSDARG00000019778,270
ENSDARG00000051965,0
ENSDARG00000087426,1
ENSDARG00000069559,5
ENSDARG00000093347,0
ENSDARG00000069566,2
ENSDARG00000095108,0
ENSDARG00000006588,9
ENSDARG00000006225,9
ENSDARG00000052766,0
ENSDARG00000117778,0
ENSDARG00000095463,0
ENSDARG00000069632,0
ENSDARG00000025518,0
ENSDARG00000105481,0
ENSDARG00000092240,2
ENSDARG00000030376,1
ENSDARG00000069619,13
ENSDARG00000030656,3
ENSDARG00000114294,0
ENSDARG00000032340,0
ENSDARG00000026068,5
ENSDARG00000002285,5
ENSDARG00000069595,3
ENSDARG00000060187,0
ENSDARG00000060184,1
ENSDARG00000113491,0
ENSDARG00000008279,0
ENSDARG00000010773,3
ENSDARG00000025233,0
ENSDARG00000016548,23
ENSDARG00000073848,2
ENSDARG00000052677,0
ENSDARG00000117377,0
ENSDARG00000008131,0
ENSDARG00000053340,0
ENSDARG00000095834,0
ENSDARG00000008413,4
ENSDARG00000095860,0
ENSDARG00000029133,6
ENSDARG00000075859,1
ENSDARG00000070858,1
ENSDARG00000036658,19
ENSDARG00000036650,0
ENSDARG00000036645,1
ENSDARG00000036637,1
ENSDARG00000036636,0
ENSDARG00000052641,17
ENSDARG00000052624,0
ENSDARG00000081252,0
ENSDARG00000080168,0
ENSDARG00000092950,1
ENSDARG00000095507,0
ENSDARG00000094160,0
ENSDARG00000036549,8
ENSDARG00000036546,2
ENSDARG00000116185,0
ENSDARG00000036545,0
ENSDARG00000036542,2
ENSDARG00000089853,1
ENSDARG00000000086,3
ENSDARG00000026902,3
ENSDARG00000036592,0
ENSDARG00000001470,4
ENSDARG00000086877,1
ENSDARG00000069471,3
ENSDARG00000036588,5
ENSDARG00000036587,2
ENSDARG00000043271,0
ENSDARG00000036687,7
ENSDARG00000069450,0
ENSDARG00000015076,0
ENSDARG00000015559,4
ENSDARG00000076773,0
ENSDARG00000007734,0
ENSDARG00000060148,11
ENSDARG00000069438,7
ENSDARG00000083014,0
ENSDARG00000069435,0
ENSDARG00000108154,0
ENSDARG00000114522,0
ENSDARG00000103535,2
ENSDARG00000112034,0
ENSDARG00000096191,0
ENSDARG00000096053,0
ENSDARG00000096589,0
ENSDARG00000075045,0
ENSDARG00000096031,6
ENSDARG00000036008,2
ENSDARG00000008886,0
ENSDARG00000094465,0
ENSDARG00000052468,0
ENSDARG00000018325,1
ENSDARG00000096003,13
ENSDARG00000052480,11
ENSDARG00000022891,5
ENSDARG00000005314,0
ENSDARG00000036479,0
ENSDARG00000092919,0
ENSDARG00000074052,0
ENSDARG00000074136,0
ENSDARG00000075389,0
ENSDARG00000069415,12
ENSDARG00000082615,0
ENSDARG00000012574,6
ENSDARG00000052512,0
ENSDARG00000079501,0
ENSDARG00000094063,0
ENSDARG00000031894,3
ENSDARG00000030765,19
ENSDARG00000026548,0
ENSDARG00000052520,1
ENSDARG00000036494,1
ENSDARG00000018721,1
ENSDARG00000114696,0
ENSDARG00000013667,1
ENSDARG00000060036,14
ENSDARG00000076420,0
ENSDARG00000057099,0
ENSDARG00000014098,0
ENSDARG00000016818,0
ENSDARG00000010655,6
ENSDARG00000075785,1
ENSDARG00000075887,0
ENSDARG00000075564,3
ENSDARG00000117385,0
ENSDARG00000116732,0
ENSDARG00000100792,7
ENSDARG00000075043,3
ENSDARG00000115918,0
ENSDARG00000030703,0
ENSDARG00000017772,63
ENSDARG00000005578,2
ENSDARG00000024933,1
ENSDARG00000004427,10
ENSDARG00000015540,1
ENSDARG00000043587,7
