Identifier,EE2-1000ng/L-A
ENSDARG00000073857,8
ENSDARG00000107682,0
ENSDARG00000070558,4
ENSDARG00000025754,11
ENSDARG00000096530,0
ENSDARG00000116636,0
ENSDARG00000063207,0
ENSDARG00000095087,0
ENSDARG00000096610,0
ENSDARG00000117465,0
ENSDARG00000102217,0
ENSDARG00000090408,2
ENSDARG00000013741,6
ENSDARG00000017441,3265
ENSDARG00000037713,21
ENSDARG00000021688,0
ENSDARG00000004953,0
ENSDARG00000074050,0
ENSDARG00000018319,8
ENSDARG00000098730,11
ENSDARG00000096630,0
ENSDARG00000117359,0
ENSDARG00000106375,0
ENSDARG00000079779,0
ENSDARG00000089090,0
ENSDARG00000109652,0
ENSDARG00000115102,0
ENSDARG00000115288,0
ENSDARG00000093857,0
ENSDARG00000095309,0
ENSDARG00000095673,0
ENSDARG00000099359,0
ENSDARG00000092361,3
ENSDARG00000103767,0
ENSDARG00000075791,0
ENSDARG00000107486,0
ENSDARG00000029720,0
ENSDARG00000100166,6
ENSDARG00000074212,0
ENSDARG00000062929,8
ENSDARG00000022668,0
ENSDARG00000099708,0
ENSDARG00000025034,20
ENSDARG00000078474,0
ENSDARG00000096583,0
ENSDARG00000063003,0
ENSDARG00000002377,3
ENSDARG00000015803,1
ENSDARG00000037739,0
ENSDARG00000076176,6
ENSDARG00000096526,0
ENSDARG00000113858,5
ENSDARG00000096599,0
ENSDARG00000100771,0
ENSDARG00000079873,0
ENSDARG00000079332,0
ENSDARG00000007443,0
ENSDARG00000037746,331
ENSDARG00000037747,6
ENSDARG00000079361,4
ENSDARG00000012458,46
ENSDARG00000070543,16
ENSDARG00000094298,1
ENSDARG00000089873,0
ENSDARG00000093438,3
ENSDARG00000094206,0
ENSDARG00000037758,0
ENSDARG00000008723,3
ENSDARG00000110570,0
ENSDARG00000058460,0
ENSDARG00000088975,2
ENSDARG00000100949,0
ENSDARG00000093053,0
ENSDARG00000058463,56
ENSDARG00000076716,0
ENSDARG00000058464,0
ENSDARG00000058471,4
ENSDARG00000096584,0
ENSDARG00000058475,0
ENSDARG00000080404,0
ENSDARG00000058480,3
ENSDARG00000024740,1
ENSDARG00000101597,5
ENSDARG00000058445,5
ENSDARG00000063169,2
ENSDARG00000092791,0
ENSDARG00000037760,7
ENSDARG00000117314,0
ENSDARG00000017834,0
ENSDARG00000074282,0
ENSDARG00000074372,0
ENSDARG00000104203,0
ENSDARG00000101495,3
ENSDARG00000091916,10
ENSDARG00000099276,5
ENSDARG00000104995,1
ENSDARG00000033852,5
ENSDARG00000037654,4
ENSDARG00000037652,0
ENSDARG00000037646,2
ENSDARG00000032795,0
ENSDARG00000018263,31
ENSDARG00000077542,0
ENSDARG00000070490,0
ENSDARG00000015678,0
ENSDARG00000079043,0
ENSDARG00000076174,11
ENSDARG00000037647,6
ENSDARG00000008969,31
ENSDARG00000020741,42
ENSDARG00000104660,2
ENSDARG00000096594,1
ENSDARG00000077652,11
ENSDARG00000079452,0
ENSDARG00000089943,0
ENSDARG00000096536,0
ENSDARG00000077533,101
ENSDARG00000030563,2
ENSDARG00000026387,2
ENSDARG00000070495,1
ENSDARG00000084766,0
ENSDARG00000034785,1
ENSDARG00000070512,9
ENSDARG00000070504,0
ENSDARG00000062057,0
ENSDARG00000067992,0
ENSDARG00000103508,0
ENSDARG00000070502,0
ENSDARG00000037679,4
ENSDARG00000076833,54
ENSDARG00000012297,3
ENSDARG00000087107,0
ENSDARG00000099342,0
ENSDARG00000008487,12
ENSDARG00000084839,0
ENSDARG00000100507,0
ENSDARG00000070239,3
ENSDARG00000074379,5
ENSDARG00000062854,0
ENSDARG00000112849,0
ENSDARG00000113410,0
ENSDARG00000092242,0
ENSDARG00000092200,0
ENSDARG00000093636,0
ENSDARG00000095482,0
ENSDARG00000094981,0
ENSDARG00000037619,0
ENSDARG00000062585,2
ENSDARG00000074213,0
ENSDARG00000062606,1
ENSDARG00000077198,0
ENSDARG00000007678,22
ENSDARG00000089930,3
ENSDARG00000078057,5
ENSDARG00000070448,13
ENSDARG00000070449,0
ENSDARG00000042988,35
ENSDARG00000096506,0
ENSDARG00000070452,3
ENSDARG00000070454,2
ENSDARG00000096515,0
ENSDARG00000038114,0
ENSDARG00000008637,38
ENSDARG00000091609,10
ENSDARG00000002634,0
ENSDARG00000062467,1
ENSDARG00000032808,0
ENSDARG00000078318,0
ENSDARG00000018997,47
ENSDARG00000099771,5
ENSDARG00000045620,11
ENSDARG00000045618,67
ENSDARG00000057248,2
ENSDARG00000017985,3
ENSDARG00000113585,0
ENSDARG00000106508,0
ENSDARG00000117227,0
ENSDARG00000104707,0
ENSDARG00000102049,0
ENSDARG00000116228,0
ENSDARG00000099729,10
ENSDARG00000105122,1
ENSDARG00000098668,0
ENSDARG00000098053,0
ENSDARG00000102604,0
ENSDARG00000102339,2
ENSDARG00000089805,4
ENSDARG00000117726,0
ENSDARG00000117541,2
ENSDARG00000112668,0
ENSDARG00000110084,0
ENSDARG00000078525,1
ENSDARG00000079626,11
ENSDARG00000057114,4
ENSDARG00000009026,14
ENSDARG00000085400,0
ENSDARG00000014273,16
ENSDARG00000104795,0
ENSDARG00000056806,3
ENSDARG00000056797,5
ENSDARG00000062341,0
ENSDARG00000107022,0
ENSDARG00000056742,1
ENSDARG00000037576,0
ENSDARG00000070431,4
ENSDARG00000022690,4
ENSDARG00000056677,4
ENSDARG00000012903,4
ENSDARG00000003398,13
ENSDARG00000074867,6
ENSDARG00000109597,3
ENSDARG00000111274,0
ENSDARG00000110922,4
ENSDARG00000116310,0
ENSDARG00000109592,0
ENSDARG00000117482,0
ENSDARG00000103921,0
ENSDARG00000114198,0
ENSDARG00000106947,0
ENSDARG00000039063,1
ENSDARG00000113383,0
ENSDARG00000109748,0
ENSDARG00000116279,0
ENSDARG00000109910,0
ENSDARG00000116174,0
ENSDARG00000116266,0
ENSDARG00000111171,0
ENSDARG00000111710,0
ENSDARG00000111723,0
ENSDARG00000115042,0
ENSDARG00000114262,0
ENSDARG00000078898,19
ENSDARG00000007534,0
ENSDARG00000077804,6
ENSDARG00000013881,7
ENSDARG00000079317,2
ENSDARG00000117428,0
ENSDARG00000106258,0
ENSDARG00000078854,13
ENSDARG00000108223,0
ENSDARG00000007356,0
ENSDARG00000078599,5
ENSDARG00000115704,0
ENSDARG00000109375,0
ENSDARG00000017119,9
ENSDARG00000070412,0
ENSDARG00000034105,6
ENSDARG00000062198,7
ENSDARG00000034817,4
ENSDARG00000056504,8
ENSDARG00000108673,0
ENSDARG00000110937,0
ENSDARG00000117129,0
ENSDARG00000116147,0
ENSDARG00000116406,0
ENSDARG00000111254,0
ENSDARG00000113731,0
ENSDARG00000115569,0
ENSDARG00000113149,0
ENSDARG00000116958,0
ENSDARG00000092109,0
ENSDARG00000017591,37
ENSDARG00000092708,0
ENSDARG00000017905,6
ENSDARG00000030514,17
ENSDARG00000056400,1
ENSDARG00000042937,0
ENSDARG00000092600,0
ENSDARG00000027355,136
ENSDARG00000092022,0
ENSDARG00000056381,2
ENSDARG00000056376,0
ENSDARG00000056369,6
ENSDARG00000011023,0
ENSDARG00000003046,0
ENSDARG00000095697,0
ENSDARG00000016065,0
ENSDARG00000062132,9
ENSDARG00000117687,1
ENSDARG00000117295,1
ENSDARG00000094943,0
ENSDARG00000115616,0
ENSDARG00000037545,0
ENSDARG00000062122,0
ENSDARG00000095111,0
ENSDARG00000008287,4
ENSDARG00000015495,21
ENSDARG00000062081,4
ENSDARG00000018178,3
ENSDARG00000093886,0
ENSDARG00000056163,0
ENSDARG00000079488,0
ENSDARG00000062055,6
ENSDARG00000074275,4
ENSDARG00000075330,0
ENSDARG00000006392,4
ENSDARG00000073902,1
ENSDARG00000019945,9
ENSDARG00000086957,9
ENSDARG00000056151,96
ENSDARG00000061985,18
ENSDARG00000061981,6
ENSDARG00000003631,4
ENSDARG00000056133,0
ENSDARG00000070321,0
ENSDARG00000017744,13
ENSDARG00000070320,0
ENSDARG00000061952,2
ENSDARG00000061936,0
ENSDARG00000006434,4
ENSDARG00000037484,2
ENSDARG00000094729,0
ENSDARG00000095388,2
ENSDARG00000085360,0
ENSDARG00000037487,0
ENSDARG00000008068,6
ENSDARG00000077648,1
ENSDARG00000096580,0
ENSDARG00000079250,1
ENSDARG00000019986,38
ENSDARG00000080019,2
ENSDARG00000099995,8
ENSDARG00000070278,5
ENSDARG00000061830,4
ENSDARG00000041776,4
ENSDARG00000095632,0
ENSDARG00000037455,9
ENSDARG00000093816,0
ENSDARG00000070266,46
ENSDARG00000037429,0
ENSDARG00000055874,82
ENSDARG00000055876,16
ENSDARG00000092321,0
ENSDARG00000061786,0
ENSDARG00000094202,7
ENSDARG00000109806,0
ENSDARG00000112850,0
ENSDARG00000110242,0
ENSDARG00000115895,0
ENSDARG00000061459,8
ENSDARG00000037411,0
ENSDARG00000084908,0
ENSDARG00000037410,8
ENSDARG00000037409,0
ENSDARG00000070173,1
ENSDARG00000052782,3
ENSDARG00000037406,1
ENSDARG00000034773,3
ENSDARG00000033273,1
ENSDARG00000055439,0
ENSDARG00000055443,8
ENSDARG00000112783,0
ENSDARG00000095593,0
ENSDARG00000037383,1
ENSDARG00000030759,0
ENSDARG00000079074,1
ENSDARG00000061504,2
ENSDARG00000000606,0
ENSDARG00000107258,0
ENSDARG00000087224,0
ENSDARG00000052764,1
ENSDARG00000092275,0
ENSDARG00000055559,2
ENSDARG00000114954,0
ENSDARG00000115778,0
ENSDARG00000026871,7
ENSDARG00000016470,23
ENSDARG00000103166,0
ENSDARG00000091660,0
ENSDARG00000038056,6
ENSDARG00000002406,0
ENSDARG00000034007,9
ENSDARG00000061143,10
ENSDARG00000034896,12
ENSDARG00000116099,0
ENSDARG00000037378,4
ENSDARG00000012672,13
ENSDARG00000093064,6
ENSDARG00000061121,10
ENSDARG00000094677,2
ENSDARG00000054799,8
ENSDARG00000116939,0
ENSDARG00000037350,526
ENSDARG00000022845,5
ENSDARG00000019838,5
ENSDARG00000005799,5
ENSDARG00000013505,22
ENSDARG00000055022,9
ENSDARG00000061451,1
ENSDARG00000070121,0
ENSDARG00000054680,0
ENSDARG00000092290,3
ENSDARG00000055099,12
ENSDARG00000070109,4
ENSDARG00000070098,14
ENSDARG00000094046,0
ENSDARG00000114096,0
ENSDARG00000004246,15
ENSDARG00000083023,0
ENSDARG00000031108,22
ENSDARG00000015266,32
ENSDARG00000100600,0
ENSDARG00000092542,0
ENSDARG00000035692,564
ENSDARG00000094885,0
ENSDARG00000090822,0
ENSDARG00000088202,0
ENSDARG00000086859,0
ENSDARG00000090118,0
ENSDARG00000061021,1
ENSDARG00000037309,1
ENSDARG00000054334,3
ENSDARG00000116715,0
ENSDARG00000060994,5
ENSDARG00000106456,0
ENSDARG00000074776,3
ENSDARG00000074451,0
ENSDARG00000079434,19
ENSDARG00000031817,0
ENSDARG00000074812,1
ENSDARG00000070055,5
ENSDARG00000070050,12
ENSDARG00000095408,0
ENSDARG00000037286,0
ENSDARG00000037283,3
ENSDARG00000037281,26
ENSDARG00000037278,1
ENSDARG00000070039,0
ENSDARG00000091184,0
ENSDARG00000094763,0
ENSDARG00000037276,5
ENSDARG00000013787,3
ENSDARG00000086790,1
ENSDARG00000006427,238
ENSDARG00000104824,0
ENSDARG00000076499,0
ENSDARG00000037266,3
ENSDARG00000077157,4
ENSDARG00000037256,0
ENSDARG00000116236,0
ENSDARG00000069998,3
ENSDARG00000053995,4
ENSDARG00000021702,26
ENSDARG00000054031,10
ENSDARG00000037259,33
ENSDARG00000037260,4
ENSDARG00000037261,7
ENSDARG00000037262,0
ENSDARG00000104309,0
ENSDARG00000077817,7
ENSDARG00000107180,0
ENSDARG00000076928,17
ENSDARG00000009685,4
ENSDARG00000079377,0
ENSDARG00000091678,4
ENSDARG00000014790,18
ENSDARG00000019581,14
ENSDARG00000096665,0
ENSDARG00000079925,0
ENSDARG00000053731,0
ENSDARG00000094127,0
ENSDARG00000005210,2
ENSDARG00000023330,25
ENSDARG00000096667,2
ENSDARG00000037245,3
ENSDARG00000096554,2
ENSDARG00000079266,3
ENSDARG00000023600,22
ENSDARG00000033345,2
ENSDARG00000069989,27
ENSDARG00000095189,0
ENSDARG00000104096,0
ENSDARG00000102639,0
ENSDARG00000006621,12
ENSDARG00000069996,7
ENSDARG00000100083,8
ENSDARG00000031632,3
ENSDARG00000101474,6
ENSDARG00000104710,1
ENSDARG00000095954,0
ENSDARG00000095895,0
ENSDARG00000089138,1
ENSDARG00000112052,0
ENSDARG00000089334,0
ENSDARG00000053456,1
ENSDARG00000053466,10
ENSDARG00000053463,6
ENSDARG00000037109,3
ENSDARG00000096538,0
ENSDARG00000005739,22
ENSDARG00000053496,6
ENSDARG00000053500,3
ENSDARG00000053502,8
ENSDARG00000035080,0
ENSDARG00000037100,0
ENSDARG00000096627,0
ENSDARG00000096648,0
ENSDARG00000075193,0
ENSDARG00000069804,1
ENSDARG00000078546,1
ENSDARG00000037099,7
ENSDARG00000060620,4
ENSDARG00000075858,2
ENSDARG00000096592,0
ENSDARG00000096643,0
ENSDARG00000093663,0
ENSDARG00000096555,0
ENSDARG00000096544,0
ENSDARG00000069799,0
ENSDARG00000074117,0
ENSDARG00000092653,0
ENSDARG00000061732,4
ENSDARG00000095590,0
ENSDARG00000031202,3
ENSDARG00000037144,2
ENSDARG00000037177,23
ENSDARG00000003866,22
ENSDARG00000037178,2
ENSDARG00000028982,13
ENSDARG00000055839,0
ENSDARG00000060477,4
ENSDARG00000082429,0
ENSDARG00000113839,0
ENSDARG00000110947,0
ENSDARG00000096572,0
ENSDARG00000091513,4
ENSDARG00000026771,2
ENSDARG00000096632,11
ENSDARG00000099758,16
ENSDARG00000093065,1
ENSDARG00000074302,0
ENSDARG00000003142,1
ENSDARG00000096668,8
ENSDARG00000042688,2
ENSDARG00000060559,1
ENSDARG00000114316,0
ENSDARG00000114817,0
ENSDARG00000096527,15
ENSDARG00000092278,0
ENSDARG00000019715,4
ENSDARG00000017174,2
ENSDARG00000069946,9
ENSDARG00000074575,10
ENSDARG00000069951,4
ENSDARG00000069953,0
ENSDARG00000093358,0
ENSDARG00000094957,0
ENSDARG00000078902,3
ENSDARG00000039616,2
ENSDARG00000095941,0
ENSDARG00000018611,0
ENSDARG00000053269,5
ENSDARG00000039615,3
ENSDARG00000060501,1
ENSDARG00000039613,0
ENSDARG00000029751,0
ENSDARG00000027572,4
ENSDARG00000078733,2
ENSDARG00000058231,14
ENSDARG00000053248,3
ENSDARG00000012896,16
ENSDARG00000100996,0
ENSDARG00000096540,0
ENSDARG00000053241,0
ENSDARG00000069834,0
ENSDARG00000096548,0
ENSDARG00000027826,2
ENSDARG00000107292,0
ENSDARG00000079455,6
ENSDARG00000089053,0
ENSDARG00000078810,0
ENSDARG00000115601,0
ENSDARG00000094318,0
ENSDARG00000060716,3
ENSDARG00000074815,6
ENSDARG00000033380,0
ENSDARG00000051975,12
ENSDARG00000079280,6
ENSDARG00000053586,14
ENSDARG00000002190,21
ENSDARG00000053580,0
ENSDARG00000003701,0
ENSDARG00000079350,8
ENSDARG00000012763,16
ENSDARG00000013023,0
ENSDARG00000106311,0
ENSDARG00000115905,0
ENSDARG00000022971,2
ENSDARG00000081597,0
ENSDARG00000032056,7
ENSDARG00000074860,4
ENSDARG00000053542,11
ENSDARG00000094556,0
ENSDARG00000053535,1
ENSDARG00000111052,0
ENSDARG00000015312,4
ENSDARG00000015506,4
ENSDARG00000013006,3
ENSDARG00000108956,0
ENSDARG00000058287,8
ENSDARG00000069910,9
ENSDARG00000109513,0
ENSDARG00000092693,403
ENSDARG00000084532,0
ENSDARG00000085301,0
ENSDARG00000081849,0
ENSDARG00000082811,0
ENSDARG00000095892,0
ENSDARG00000095934,0
ENSDARG00000079191,0
ENSDARG00000105033,0
ENSDARG00000102858,0
ENSDARG00000093282,0
ENSDARG00000101520,0
ENSDARG00000075798,1
ENSDARG00000037018,10
ENSDARG00000074677,1
ENSDARG00000094485,1
ENSDARG00000060397,18
ENSDARG00000094648,0
ENSDARG00000027199,8
ENSDARG00000115856,0
ENSDARG00000060383,2
ENSDARG00000037002,0
ENSDARG00000076171,24
ENSDARG00000112614,0
ENSDARG00000113986,0
ENSDARG00000036995,17
ENSDARG00000069737,13
ENSDARG00000095555,0
ENSDARG00000011876,8
ENSDARG00000078789,8
ENSDARG00000036755,1
ENSDARG00000078326,11
ENSDARG00000102082,0
ENSDARG00000081340,0
ENSDARG00000034093,4
ENSDARG00000102787,7
ENSDARG00000082897,0
ENSDARG00000074501,2
ENSDARG00000090416,1
ENSDARG00000074989,10
ENSDARG00000076343,0
ENSDARG00000077519,0
ENSDARG00000040048,3
ENSDARG00000082660,0
ENSDARG00000057303,6
ENSDARG00000113575,0
ENSDARG00000029722,128
ENSDARG00000008305,4
ENSDARG00000117649,0
ENSDARG00000007477,1
ENSDARG00000053106,0
ENSDARG00000012016,5
ENSDARG00000011066,7
ENSDARG00000004621,160
ENSDARG00000095811,0
ENSDARG00000075098,1
ENSDARG00000053222,16
ENSDARG00000089976,7
ENSDARG00000069640,0
ENSDARG00000104657,0
ENSDARG00000117532,0
ENSDARG00000085733,0
ENSDARG00000005479,44
ENSDARG00000110757,0
ENSDARG00000085080,0
ENSDARG00000093919,0
ENSDARG00000036990,0
ENSDARG00000085746,0
ENSDARG00000007387,12
ENSDARG00000024828,6
ENSDARG00000070162,22
ENSDARG00000104907,2
ENSDARG00000080987,0
ENSDARG00000079183,0
ENSDARG00000104437,16
ENSDARG00000103145,3
ENSDARG00000069701,0
ENSDARG00000020857,4
ENSDARG00000093120,1
ENSDARG00000074662,0
ENSDARG00000076585,4
ENSDARG00000079631,7
ENSDARG00000018587,0
ENSDARG00000078182,0
ENSDARG00000095065,0
ENSDARG00000109438,0
ENSDARG00000074610,0
ENSDARG00000069707,0
ENSDARG00000078251,0
ENSDARG00000008457,2
ENSDARG00000031435,134
ENSDARG00000077874,0
ENSDARG00000069710,0
ENSDARG00000079552,1
ENSDARG00000087333,8
ENSDARG00000009315,9
ENSDARG00000030368,12
ENSDARG00000117231,1
ENSDARG00000117450,6
ENSDARG00000117485,5
ENSDARG00000117707,6
ENSDARG00000052899,0
ENSDARG00000052900,0
ENSDARG00000052895,0
ENSDARG00000074600,0
ENSDARG00000075521,2
ENSDARG00000095566,0
ENSDARG00000007941,15
ENSDARG00000095651,1
ENSDARG00000069669,0
ENSDARG00000108025,0
ENSDARG00000033604,12
ENSDARG00000060236,0
ENSDARG00000036774,5
ENSDARG00000109727,0
ENSDARG00000052866,12
ENSDARG00000108028,0
ENSDARG00000091911,0
ENSDARG00000093237,1
ENSDARG00000008706,62
ENSDARG00000078108,0
ENSDARG00000075639,1
ENSDARG00000078016,0
ENSDARG00000092551,0
ENSDARG00000075194,7
ENSDARG00000098598,0
ENSDARG00000060252,4
ENSDARG00000078908,2
ENSDARG00000036965,8
ENSDARG00000036967,13
ENSDARG00000060264,1
ENSDARG00000024101,0
ENSDARG00000107253,0
ENSDARG00000024785,15
ENSDARG00000084202,0
ENSDARG00000087061,0
ENSDARG00000052713,8
ENSDARG00000107073,0
ENSDARG00000113563,0
ENSDARG00000081405,0
ENSDARG00000052712,83
ENSDARG00000052703,5
ENSDARG00000052700,0
ENSDARG00000052696,5
ENSDARG00000075112,0
ENSDARG00000029898,5
ENSDARG00000092730,2
ENSDARG00000078622,0
ENSDARG00000074132,0
ENSDARG00000075598,0
ENSDARG00000117264,0
ENSDARG00000094910,3
ENSDARG00000117756,0
ENSDARG00000074476,0
ENSDARG00000087178,1
ENSDARG00000095949,0
ENSDARG00000076277,1
ENSDARG00000075916,2
ENSDARG00000078558,0
ENSDARG00000052019,5
ENSDARG00000101106,6
ENSDARG00000103871,8
ENSDARG00000089345,0
ENSDARG00000099025,0
ENSDARG00000098805,1
ENSDARG00000052016,6
ENSDARG00000059682,0
ENSDARG00000078233,21
ENSDARG00000104759,0
ENSDARG00000075179,0
ENSDARG00000104249,0
ENSDARG00000111029,0
ENSDARG00000105108,0
ENSDARG00000112081,0
ENSDARG00000109574,0
ENSDARG00000115729,0
ENSDARG00000116661,0
ENSDARG00000111422,0
ENSDARG00000111051,0
ENSDARG00000112750,0
ENSDARG00000113452,0
ENSDARG00000069116,8
ENSDARG00000069114,0
ENSDARG00000014803,18
ENSDARG00000016793,242
ENSDARG00000052012,2
ENSDARG00000083573,0
ENSDARG00000016263,14
ENSDARG00000095781,0
ENSDARG00000007786,16
ENSDARG00000009472,4
ENSDARG00000111774,0
ENSDARG00000037748,7
ENSDARG00000002840,18
ENSDARG00000079632,13
ENSDARG00000016994,3
ENSDARG00000029718,2
ENSDARG00000051993,0
ENSDARG00000092459,0
ENSDARG00000094678,0
ENSDARG00000051989,0
ENSDARG00000095407,0
ENSDARG00000051986,25
ENSDARG00000051981,0
ENSDARG00000059653,4
ENSDARG00000016835,2
ENSDARG00000094133,14
ENSDARG00000093997,3
ENSDARG00000093289,0
ENSDARG00000078659,8
ENSDARG00000093954,0
ENSDARG00000031836,4
ENSDARG00000117392,0
ENSDARG00000098263,1
ENSDARG00000105005,0
ENSDARG00000030972,2
ENSDARG00000051970,3
ENSDARG00000019778,573
ENSDARG00000051965,0
ENSDARG00000087426,13
ENSDARG00000069559,8
ENSDARG00000093347,0
ENSDARG00000069566,3
ENSDARG00000095108,0
ENSDARG00000006588,47
ENSDARG00000006225,17
ENSDARG00000052766,6
ENSDARG00000117778,0
ENSDARG00000095463,0
ENSDARG00000069632,0
ENSDARG00000025518,5
ENSDARG00000105481,0
ENSDARG00000092240,4
ENSDARG00000030376,5
ENSDARG00000069619,25
ENSDARG00000030656,18
ENSDARG00000114294,0
ENSDARG00000032340,0
ENSDARG00000026068,13
ENSDARG00000002285,7
ENSDARG00000069595,2
ENSDARG00000060187,0
ENSDARG00000060184,2
ENSDARG00000113491,0
ENSDARG00000008279,1
ENSDARG00000010773,7
ENSDARG00000025233,1
ENSDARG00000016548,50
ENSDARG00000073848,4
ENSDARG00000052677,0
ENSDARG00000117377,0
ENSDARG00000008131,4
ENSDARG00000053340,0
ENSDARG00000095834,0
ENSDARG00000008413,17
ENSDARG00000095860,0
ENSDARG00000029133,9
ENSDARG00000075859,1
ENSDARG00000070858,2
ENSDARG00000036658,20
ENSDARG00000036650,0
ENSDARG00000036645,1
ENSDARG00000036637,0
ENSDARG00000036636,1
ENSDARG00000052641,35
ENSDARG00000052624,3
ENSDARG00000081252,0
ENSDARG00000080168,0
ENSDARG00000092950,1
ENSDARG00000095507,0
ENSDARG00000094160,1
ENSDARG00000036549,24
ENSDARG00000036546,0
ENSDARG00000116185,0
ENSDARG00000036545,0
ENSDARG00000036542,2
ENSDARG00000089853,2
ENSDARG00000000086,7
ENSDARG00000026902,5
ENSDARG00000036592,1
ENSDARG00000001470,4
ENSDARG00000086877,3
ENSDARG00000069471,7
ENSDARG00000036588,6
ENSDARG00000036587,11
ENSDARG00000043271,0
ENSDARG00000036687,13
ENSDARG00000069450,0
ENSDARG00000015076,0
ENSDARG00000015559,4
ENSDARG00000076773,1
ENSDARG00000007734,1
ENSDARG00000060148,14
ENSDARG00000069438,8
ENSDARG00000083014,0
ENSDARG00000069435,0
ENSDARG00000108154,0
ENSDARG00000114522,0
ENSDARG00000103535,1
ENSDARG00000112034,1
ENSDARG00000096191,0
ENSDARG00000096053,2
ENSDARG00000096589,0
ENSDARG00000075045,2
ENSDARG00000096031,3
ENSDARG00000036008,4
ENSDARG00000008886,0
ENSDARG00000094465,0
ENSDARG00000052468,1
ENSDARG00000018325,6
ENSDARG00000096003,42
ENSDARG00000052480,21
ENSDARG00000022891,11
ENSDARG00000005314,0
ENSDARG00000036479,0
ENSDARG00000092919,0
ENSDARG00000074052,0
ENSDARG00000074136,0
ENSDARG00000075389,0
ENSDARG00000069415,20
ENSDARG00000082615,0
ENSDARG00000012574,15
ENSDARG00000052512,0
ENSDARG00000079501,0
ENSDARG00000094063,0
ENSDARG00000031894,5
ENSDARG00000030765,33
ENSDARG00000026548,1
ENSDARG00000052520,0
ENSDARG00000036494,1
ENSDARG00000018721,0
ENSDARG00000114696,0
ENSDARG00000013667,2
ENSDARG00000060036,22
ENSDARG00000076420,0
ENSDARG00000057099,0
ENSDARG00000014098,0
ENSDARG00000016818,1
ENSDARG00000010655,12
ENSDARG00000075785,0
ENSDARG00000075887,0
ENSDARG00000075564,7
ENSDARG00000117385,0
ENSDARG00000116732,0
ENSDARG00000100792,10
ENSDARG00000075043,4
ENSDARG00000115918,0
ENSDARG00000030703,0
ENSDARG00000017772,157
ENSDARG00000005578,6
ENSDARG00000024933,0
ENSDARG00000004427,12
ENSDARG00000015540,5
ENSDARG00000043587,8
