.id,GO.Pathway.Gene.Set.Gene.ID,GO.Level,GO.Pathway.Gene.Set.Gene.Name,All.Genes..Expression.Data.,Genes.That.Passed.All.Filters,Fisher.s.Exact.Two.Tail,Percentage,BMD.Mean,BMD.Median,BMD.List,logBMD,rank,Note,Discussion?
Decanol,GO:0015718,8,monocarboxylic acid transport,44,3,0.020103,6.38,0.135235496666667,0.00424868,0.399247;0.00424868;0.00221081,-2.37174597765788,1,Corresponds to earlier than low dose effects in multimodal distribution of gene BMDs. Could have more than two modes!! Looks like it could be 4 modes,Transcriptional effects observed early on before first mode. First mode tPOD not sensitive enough... probability density problem? 20th gene tPOD or GSEA tPOD likely better measure of most sensitive effects
Decanol,GO:0050730,9,regulation of peptidyl-tyrosine phosphorylation,40,3,0.018989,6.52,0.0176209066666667,0.0141559,0.0342741;0.00443272;0.0141559,-1.84906251396343,3,Developmental Toxicity Effects. First Mode,
Decanol,GO:0060216,7,definitive hemopoiesis,58,3,0.041042,4.84,0.0242048666666667,0.0158766,0.0429641;0.0137739;0.0158766,-1.79924249682929,4,Developmental Toxicity Effects. First Mode,
Decanol,GO:0035014,5,phosphatidylinositol 3-kinase regulator activity,18,3,0.0027246,13.04,0.0225718066666667,0.0162274,0.0470553;0.00443272;0.0162274,-1.78975105849214,5,Developmental Toxicity Effects. First Mode,
Decanol,GO:0046854,8,phosphatidylinositol phosphate biosynthetic process,54,3,0.034691,5.17,0.0225718066666667,0.0162274,0.0470553;0.00443272;0.0162274,-1.78975105849214,5,Developmental Toxicity Effects. First Mode,
Decanol,GO:0046935,6,1-phosphatidylinositol-3-kinase regulator activity,16,3,0.0020836,14.29,0.0225718066666667,0.0162274,0.0470553;0.00443272;0.0162274,-1.78975105849214,5,Developmental Toxicity Effects. First Mode,
Decanol,GO:0051093,5,negative regulation of developmental process,170,6,0.026067,3.28,0.0734220138333333,0.0168203,0.0193266;0.0146322;0.0162274;6.74683E-4;0.0174132;0.372258,-1.77416626257005,8,Developmental Toxicity Effects. First Mode,
Decanol,GO:0010453,5,regulation of cell fate commitment,18,3,0.0034749,12,0.130115294333333,0.0174132,6.74683E-4;0.0174132;0.372258,-1.75912141184426,9,Developmental Toxicity Effects. First Mode,
Decanol,GO:0010454,6,negative regulation of cell fate commitment,12,3,0.0006077,21.43,0.130115294333333,0.0174132,6.74683E-4;0.0174132;0.372258,-1.75912141184426,9,Developmental Toxicity Effects. First Mode,
Decanol,GO:0045596,6,negative regulation of cell differentiation,108,5,0.015464,4.24,0.0848609366,0.0174132,0.0193266;0.0146322;6.74683E-4;0.0174132;0.372258,-1.75912141184426,9,Developmental Toxicity Effects. First Mode,
Decanol,GO:0055008,6,cardiac muscle tissue morphogenesis,18,3,0.0013136,16.67,0.0156134276666667,0.0174132,0.0287524;6.74683E-4;0.0174132,-1.75912141184426,9,Developmental Toxicity Effects. First Mode,
Decanol,GO:0060415,5,muscle tissue morphogenesis,22,3,0.0023908,13.64,0.0156134276666667,0.0174132,0.0287524;6.74683E-4;0.0174132,-1.75912141184426,9,Developmental Toxicity Effects. First Mode,
Decanol,GO:0014032,6,neural crest cell development,45,3,0.018989,6.52,0.128197956666667,0.0193266,0.00162827;0.363639;0.0193266,-1.71384454178703,14,Developmental Toxicity Effects. First Mode,
Decanol,GO:0048864,5,stem cell development,45,3,0.018989,6.52,0.128197956666667,0.0193266,0.00162827;0.363639;0.0193266,-1.71384454178703,14,Developmental Toxicity Effects. First Mode,
Decanol,GO:0000978,8,RNA polymerase II cis-regulatory region sequence-specific DNA binding,839,19,0.032704,2.02,0.0892500787368421,0.0274636,0.0218363;0.388213;0.0554614;0.338932;0.0272275;4.92343E-4;0.00162827;0.0429641;0.0493766;0.0137739;0.0695392;0.0181731;0.083533;0.0398067;0.0274636;0.0158766;6.74683E-4;0.0174132;0.483366,-1.5612425349194,16,Developmental Toxicity Effects. First Mode,
Decanol,GO:0000987,7,cis-regulatory region sequence-specific DNA binding,856,19,0.04844,1.98,0.0892500787368421,0.0274636,0.0218363;0.388213;0.0554614;0.338932;0.0272275;4.92343E-4;0.00162827;0.0429641;0.0493766;0.0137739;0.0695392;0.0181731;0.083533;0.0398067;0.0274636;0.0158766;6.74683E-4;0.0174132;0.483366,-1.5612425349194,16,Developmental Toxicity Effects. First Mode,
Decanol,GO:0006936,5,muscle contraction,86,4,0.034101,4.04,0.031868875,0.02949375,0.0273429;0.0300479;0.0411451;0.0289396,-1.53027000531298,18,Developmental Toxicity Effects. First Mode,
Decanol,GO:0032982,6,myosin filament,21,4,0.00013793,18.18,0.031868875,0.02949375,0.0273429;0.0300479;0.0411451;0.0289396,-1.53027000531298,18,Developmental Toxicity Effects. First Mode,
Decanol,GO:0048703,5,embryonic viscerocranium morphogenesis,99,4,0.042153,3.77,0.02659207,0.030894,0.041098;0.0213686;0.00348228;0.0404194,-1.51012585778912,20,Developmental Toxicity Effects. First Mode,
Decanol,GO:0043232,5,intracellular non-membrane-bounded organelle,1399,10,0.037868,0.66,0.1177004051,0.03151685,0.484426;0.0434271;4.07257E-4;0.435697;0.00456855;0.0196066;0.0805881;5.27164E-4;0.00348228;0.104274,-1.50145719524278,21,Developmental Toxicity Effects. First Mode,
Decanol,GO:0008514,6,organic anion transmembrane transporter activity,130,5,0.038307,3.33,0.096738228,0.0354839,0.399247;0.0454555;0.00129393;0.00221081;0.0354839,-1.44996865334434,22,Developmental Toxicity Effects. First Mode,
Decanol,GO:0002025,7,norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure,4,3,0.000018125,60,0.135248333333333,0.0356222,0.0219888;0.0356222;0.348134,-1.44827926234735,23,Developmental Toxicity Effects. First Mode,
Decanol,GO:0003085,6,negative regulation of systemic arterial blood pressure,6,3,0.000062288,42.86,0.135248333333333,0.0356222,0.0219888;0.0356222;0.348134,-1.44827926234735,23,Developmental Toxicity Effects. First Mode,
Decanol,GO:0004939,8,beta-adrenergic receptor activity,4,3,0.000018125,60,0.135248333333333,0.0356222,0.0219888;0.0356222;0.348134,-1.44827926234735,23,Developmental Toxicity Effects. First Mode,
Decanol,GO:0042311,7,vasodilation,6,3,0.0006077,21.43,0.135248333333333,0.0356222,0.0219888;0.0356222;0.348134,-1.44827926234735,23,Developmental Toxicity Effects. First Mode,
Decanol,GO:0045776,5,negative regulation of blood pressure,8,3,0.00028311,27.27,0.135248333333333,0.0356222,0.0219888;0.0356222;0.348134,-1.44827926234735,23,Developmental Toxicity Effects. First Mode,
Decanol,GO:0004027,6,alcohol sulfotransferase activity,42,3,0.022438,6.12,0.0461491666666667,0.0390222,0.0390222;0.0344183;0.065007,-1.40868824952565,28,Developmental Toxicity Effects. First Mode,
Decanol,GO:0004394,7,heparan sulfate 2-O-sulfotransferase activity,44,3,0.024915,5.88,0.0461491666666667,0.0390222,0.0390222;0.0344183;0.065007,-1.40868824952565,28,Developmental Toxicity Effects. First Mode,
Decanol,GO:0017095,7,heparan sulfate 6-O-sulfotransferase activity,42,3,0.022438,6.12,0.0461491666666667,0.0390222,0.0390222;0.0344183;0.065007,-1.40868824952565,28,Developmental Toxicity Effects. First Mode,
Decanol,GO:0034483,6,heparan sulfate sulfotransferase activity,49,3,0.031723,5.36,0.0461491666666667,0.0390222,0.0390222;0.0344183;0.065007,-1.40868824952565,28,Developmental Toxicity Effects. First Mode,
Decanol,GO:0051922,7,cholesterol sulfotransferase activity,42,3,0.022438,6.12,0.0461491666666667,0.0390222,0.0390222;0.0344183;0.065007,-1.40868824952565,28,Developmental Toxicity Effects. First Mode,
Decanol,GO:0043231,5,intracellular membrane-bounded organelle,6312,69,0.046787,1.02,0.12134285415942,0.0398067,0.0460933;0.0218363;0.0267242;0.387445;0.086825;0.00126843;0.0279657;0.504953;0.388213;0.0393824;0.331021;0.0876213;0.0302789;0.0972271;0.390847;0.487786;0.639923;0.0347167;0.043116;0.0205724;4.92343E-4;0.0454555;0.00456855;0.0473926;0.0015883;0.369714;0.0213686;0.00129393;0.0346576;0.00162827;0.00173249;0.0429641;0.0507983;0.0435863;0.485829;0.0589182;0.0196066;0.0452417;0.0493766;0.262042;0.542592;0.00545206;0.0372104;0.0361092;0.0197078;0.375898;0.416829;0.026805;0.0216556;0.0287524;0.0137739;0.0222316;0.0641048;0.0278143;0.0284538;0.0695392;5.27164E-4;0.0181731;0.027072;0.083533;0.268773;0.104274;0.0398067;0.0274636;0.0158766;0.0404194;0.227361;0.483366;0.0170116,-1.40004382420425,33,Developmental Toxicity Effects. First Mode,
Decanol,GO:0001570,5,vasculogenesis,46,3,0.027532,5.66,0.14753756,0.0404194,0.398711;0.00348228;0.0404194,-1.39341013759516,34,Developmental Toxicity Effects. First Mode,
Decanol,GO:0006996,5,organelle organization,1410,9,0.014881,0.59,0.177991041777778,0.0437884,0.484426;0.0437884;0.0302789;0.369714;0.00173249;9.40186E-4;0.104274;0.0404194;0.526346,-1.35864092335928,35,Developmental Toxicity Effects. First Mode,
Decanol,GO:0003950,6,NAD+ ADP-ribosyltransferase activity,21,3,0.0058631,10,0.142927333333333,0.0503684,0.0503684;0.331021;0.0473926,-1.29784184469932,36,Developmental Toxicity Effects. First Mode,
Decanol,GO:0006471,6,protein ADP-ribosylation,18,3,0.0015458,15.79,0.142927333333333,0.0503684,0.0503684;0.331021;0.0473926,-1.29784184469932,36,Developmental Toxicity Effects. First Mode,
Decanol,GO:0016763,5,pentosyltransferase activity,52,3,0.042715,4.76,0.142927333333333,0.0503684,0.0503684;0.331021;0.0473926,-1.29784184469932,36,Developmental Toxicity Effects. First Mode,
Decanol,GO:0007188,6,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,139,7,0.010687,3.59,0.160496757142857,0.0522352,0.0219888;0.0356222;0.553442;0.348134;0.0522352;0.0275487;0.0845064,-1.28203673811296,39,Developmental Toxicity Effects. First Mode,
Decanol,GO:0007189,7,adenylate cyclase-activating G protein-coupled receptor signaling pathway,93,7,0.0013754,5.22,0.160496757142857,0.0522352,0.0219888;0.0356222;0.553442;0.348134;0.0522352;0.0275487;0.0845064,-1.28203673811296,39,Developmental Toxicity Effects. First Mode,
Decanol,GO:0071396,6,cellular response to lipid,36,4,0.0046831,7.27,0.136190975,0.0528823,0.437411;0.0015883;0.0222316;0.083533,-1.27668966442283,41,Developmental Toxicity Effects. First Mode,
Decanol,GO:0004935,7,adrenergic receptor activity,14,5,0.0000014911,29.41,0.20282254,0.0549257,0.0219888;0.0549257;0.0356222;0.553442;0.348134,-1.26022439951077,42,Developmental Toxicity Effects. First Mode,
Decanol,GO:0008227,6,G protein-coupled amine receptor activity,29,5,0.024541,3.76,0.20282254,0.0549257,0.0219888;0.0549257;0.0356222;0.553442;0.348134,-1.26022439951077,42,Developmental Toxicity Effects. First Mode,
Decanol,GO:0033993,5,response to lipid,79,5,0.02185,3.88,0.12093696,0.0599209,0.437411;0.0015883;0.0222316;0.083533;0.0599209,-1.22242167224286,44,Developmental Toxicity Effects. First Mode,
Decanol,GO:0006508,5,proteolysis,836,5,0.046865,0.53,0.23794242,0.0661417,0.53444;0.0661417;0.0439498;0.0213686;0.523812,-1.1795246468712,45,Developmental Toxicity Effects. First Mode,
Decanol,GO:0043408,7,regulation of MAPK cascade,151,6,0.035513,3.05,0.2017402,0.127083,0.0127793;0.553442;0.375898;0.026805;0.227361;0.0141559,-0.895912541499381,46,Death. Second Mode,
Decanol,GO:0003018,5,vascular process in circulatory system,49,4,0.017129,5,0.23979675,0.1918781,0.0219888;0.0356222;0.553442;0.348134,-0.716974590620988,47,Death. Second Mode,
Decanol,GO:0035150,5,regulation of tube size,32,4,0.0075789,6.35,0.23979675,0.1918781,0.0219888;0.0356222;0.553442;0.348134,-0.716974590620988,47,Death. Second Mode,
Decanol,GO:0035296,6,regulation of tube diameter,32,4,0.0075789,6.35,0.23979675,0.1918781,0.0219888;0.0356222;0.553442;0.348134,-0.716974590620988,47,Death. Second Mode,
Decanol,GO:0071875,6,adrenergic receptor signaling pathway,22,4,0.00041856,13.79,0.23979675,0.1918781,0.0219888;0.0356222;0.553442;0.348134,-0.716974590620988,47,Death. Second Mode,
Decanol,GO:0071880,7,adenylate cyclase-activating adrenergic receptor signaling pathway,19,4,0.0002317,16,0.23979675,0.1918781,0.0219888;0.0356222;0.553442;0.348134,-0.716974590620988,47,Death. Second Mode,
Decanol,GO:0097746,6,blood vessel diameter maintenance,32,4,0.0075789,6.35,0.23979675,0.1918781,0.0219888;0.0356222;0.553442;0.348134,-0.716974590620988,47,Death. Second Mode,
Decanol,GO:0002027,6,regulation of heart rate,20,4,0.00013793,18.18,0.2520178,0.2163202,0.0219888;0.553442;0.348134;0.0845064,-0.664902924208982,53,Death. Second Mode,
Decanol,GO:0008016,7,regulation of heart contraction,66,6,0.00024072,8.45,0.232235233333333,0.2163202,0.0219888;0.0370692;0.348271;0.553442;0.348134;0.0845064,-0.664902924208982,53,Death. Second Mode,
Decanol,GO:0044057,5,regulation of system process,122,6,0.0075713,4.32,0.232235233333333,0.2163202,0.0219888;0.0370692;0.348271;0.553442;0.348134;0.0845064,-0.664902924208982,53,Death. Second Mode,
Decanol,GO:1903522,6,regulation of blood circulation,76,6,0.00081287,6.74,0.232235233333333,0.2163202,0.0219888;0.0370692;0.348271;0.553442;0.348134;0.0845064,-0.664902924208982,53,Death. Second Mode,
Decanol,GO:0008104,5,protein localization,933,4,0.015059,0.42,0.32334785,0.342151,0.331021;0.540023;0.0690664;0.353281,-0.465782186359334,57,Death. Second Mode,
Decanol,GO:0010460,6,positive regulation of heart rate,6,3,0.000062288,42.86,0.328694133333333,0.348134,0.553442;0.348134;0.0845064,-0.458253559906431,58,Death. Second Mode,
Decanol,GO:0045823,7,positive regulation of heart contraction,9,3,0.00028311,27.27,0.328694133333333,0.348134,0.553442;0.348134;0.0845064,-0.458253559906431,58,Death. Second Mode,
Decanol,GO:1903524,6,positive regulation of blood circulation,9,3,0.00028311,27.27,0.328694133333333,0.348134,0.553442;0.348134;0.0845064,-0.458253559906431,58,Death. Second Mode,
Decanol,GO:0005125,6,cytokine activity,70,5,0.040183,3.29,0.253623,0.372258,0.386503;0.437411;0.0127793;0.0591637;0.372258,-0.429155960282241,61,Death. Second Mode,
Decanol,GO:0005856,6,cytoskeleton,695,3,0.038382,0.41,0.333570366666667,0.435697,0.484426;0.435697;0.0805881,-0.360815430396886,62,Death. Second Mode,
EE2,GO:0006633,6,fatty acid biosynthetic process,68,4,0.047222,5.26,0.0000154710925,0.00001150507,1.02273E-6;3.78515E-5;3.84814E-6;1.9162E-5,-4.93911073462061,1,Earlier than First mode. ,
EE2,GO:0035250,6,UDP-galactosyltransferase activity,11,3,0.0017803,21.43,0.0000287964,0.0000234943,2.23699E-5;4.0525E-5;2.34943E-5,-4.62903749001818,2,First Mode,
EE2,GO:0001523,8,retinoid metabolic process,35,4,0.0041613,10.81,0.000027598325,0.0000245543,2.52097E-5;2.38989E-5;2.12587E-5;4.0026E-5,-4.60987244232939,3,First Mode,
EE2,GO:0006720,5,isoprenoid metabolic process,55,4,0.018858,7.02,0.000027598325,0.0000245543,2.52097E-5;2.38989E-5;2.12587E-5;4.0026E-5,-4.60987244232939,3,First Mode,
EE2,GO:0006721,6,terpenoid metabolic process,40,4,0.0065775,9.52,0.000027598325,0.0000245543,2.52097E-5;2.38989E-5;2.12587E-5;4.0026E-5,-4.60987244232939,3,First Mode,
EE2,GO:0016101,7,diterpenoid metabolic process,36,4,0.0045864,10.53,0.000027598325,0.0000245543,2.52097E-5;2.38989E-5;2.12587E-5;4.0026E-5,-4.60987244232939,3,First Mode,
EE2,GO:0005251,8,delayed rectifier potassium channel activity,23,3,0.010856,11.54,2.13289586666667E-05,0.0000257281,3.72799E-5;2.57281E-5;9.78876E-7,-4.58959228491222,7,First Mode,
EE2,GO:0005283,6,amino acid:sodium symporter activity,20,3,0.010856,11.54,2.97209666666667E-05,0.0000298212,2.98212E-5;3.08929E-5;2.84488E-5,-4.52547488459555,8,First Mode,
EE2,GO:0005313,7,L-glutamate transmembrane transporter activity,20,3,0.0067768,13.64,2.97209666666667E-05,0.0000298212,2.98212E-5;3.08929E-5;2.84488E-5,-4.52547488459555,8,First Mode,
EE2,GO:0005416,7,amino acid:cation symporter activity,22,3,0.013325,10.71,2.97209666666667E-05,0.0000298212,2.98212E-5;3.08929E-5;2.84488E-5,-4.52547488459555,8,First Mode,
EE2,GO:0015172,7,acidic amino acid transmembrane transporter activity,22,3,0.0086755,12.5,2.97209666666667E-05,0.0000298212,2.98212E-5;3.08929E-5;2.84488E-5,-4.52547488459555,8,First Mode,
EE2,GO:0015175,7,neutral amino acid transmembrane transporter activity,41,3,0.036614,7.32,2.97209666666667E-05,0.0000298212,2.98212E-5;3.08929E-5;2.84488E-5,-4.52547488459555,8,First Mode,
EE2,GO:0015501,7,glutamate:sodium symporter activity,10,3,0.00061894,30,2.97209666666667E-05,0.0000298212,2.98212E-5;3.08929E-5;2.84488E-5,-4.52547488459555,8,First Mode,
EE2,GO:0015800,7,acidic amino acid transport,16,3,0.0031964,17.65,2.97209666666667E-05,0.0000298212,2.98212E-5;3.08929E-5;2.84488E-5,-4.52547488459555,8,First Mode,
EE2,GO:0015813,7,L-glutamate transmembrane transport,16,3,0.0031964,17.65,2.97209666666667E-05,0.0000298212,2.98212E-5;3.08929E-5;2.84488E-5,-4.52547488459555,8,First Mode,
EE2,GO:0051938,7,L-glutamate import,16,3,0.0031964,17.65,2.97209666666667E-05,0.0000298212,2.98212E-5;3.08929E-5;2.84488E-5,-4.52547488459555,8,First Mode,
EE2,GO:0003333,6,amino acid transmembrane transport,59,4,0.022338,6.67,0.000030519775,0.00003035705,3.29162E-5;2.98212E-5;3.08929E-5;2.84488E-5,-4.51774043406014,17,First Mode,
EE2,GO:0005343,5,organic acid:sodium symporter activity,27,4,0.0033925,11.43,0.000164591225,0.00003035705,2.98212E-5;3.08929E-5;2.84488E-5;5.69202E-4,-4.51774043406014,17,First Mode,
EE2,GO:0006835,8,dicarboxylic acid transport,24,4,0.0010989,15.38,0.000031417075,0.00003035705,3.65054E-5;2.98212E-5;3.08929E-5;2.84488E-5,-4.51774043406014,17,First Mode,
EE2,GO:0006865,6,amino acid transport,73,4,0.047222,5.26,0.000030519775,0.00003035705,3.29162E-5;2.98212E-5;3.08929E-5;2.84488E-5,-4.51774043406014,17,First Mode,
EE2,GO:0015179,7,L-amino acid transmembrane transporter activity,65,4,0.03343,5.88,0.000030519775,0.00003035705,3.29162E-5;2.98212E-5;3.08929E-5;2.84488E-5,-4.51774043406014,17,First Mode,
EE2,GO:0015807,6,L-amino acid transport,31,4,0.0024298,12.5,0.000030519775,0.00003035705,3.29162E-5;2.98212E-5;3.08929E-5;2.84488E-5,-4.51774043406014,17,First Mode,
EE2,GO:1902475,7,L-alpha-amino acid transmembrane transport,34,4,0.0033925,11.43,0.000030519775,0.00003035705,3.29162E-5;2.98212E-5;3.08929E-5;2.84488E-5,-4.51774043406014,17,First Mode,
EE2,GO:0015294,6,solute:cation symporter activity,69,5,0.021717,5.62,0.0001384506,0.0000308929,2.98212E-5;3.08929E-5;2.84488E-5;5.69202E-4;3.38881E-5,-4.51014132138837,24,First Mode,
EE2,GO:0015370,7,solute:sodium symporter activity,52,5,0.0078293,7.25,0.0001384506,0.0000308929,2.98212E-5;3.08929E-5;2.84488E-5;5.69202E-4;3.38881E-5,-4.51014132138837,24,First Mode,
EE2,GO:0030903,6,notochord development,42,4,0.012961,7.84,0.000031352675,0.0000311768,3.29443E-5;2.94093E-5;2.63558E-5;3.67013E-5,-4.50616846302984,26,First Mode,
EE2,GO:0098656,6,anion transmembrane transport,127,6,0.036675,4.38,0.00006755115,0.00003190455,2.37996E-4;3.29162E-5;2.98212E-5;3.08929E-5;2.84488E-5;4.52318E-5,-4.49614737653587,27,First Mode,
EE2,GO:0008378,6,galactosyltransferase activity,19,4,0.00056885,18.18,0.0001195528,0.00003200965,2.23699E-5;4.0525E-5;2.34943E-5;3.91822E-4,-4.49471907449378,28,First Mode,
EE2,GO:0030198,6,extracellular matrix organization,140,7,0.031654,4.17,0.000148194828571429,0.0000329443,2.60908E-5;3.29443E-5;3.78364E-4;2.76864E-5;2.63558E-5;4.91659E-4;5.42635E-5,-4.48221971590115,29,First Mode,
EE2,GO:0043062,5,extracellular structure organization,140,7,0.031654,4.17,0.000148194828571429,0.0000329443,2.60908E-5;3.29443E-5;3.78364E-4;2.76864E-5;2.63558E-5;4.91659E-4;5.42635E-5,-4.48221971590115,29,First Mode,
EE2,GO:0045229,5,external encapsulating structure organization,140,7,0.031654,4.17,0.000148194828571429,0.0000329443,2.60908E-5;3.29443E-5;3.78364E-4;2.76864E-5;2.63558E-5;4.91659E-4;5.42635E-5,-4.48221971590115,29,First Mode,
EE2,GO:0008395,5,steroid hydroxylase activity,40,5,0.0049865,8.06,0.00017030556,0.0000330924,5.97113E-5;2.73119E-5;3.30924E-5;2.54182E-5;7.05994E-4,-4.48027173483593,32,First Mode,
EE2,GO:0015849,6,organic acid transport,144,10,0.00048568,6.45,0.00008913316,0.00003343955,3.65054E-5;3.29162E-5;2.98212E-5;3.08929E-5;2.84488E-5;3.39629E-5;4.01932E-5;6.42126E-5;5.69202E-4;2.51764E-5,-4.47573957554617,33,First Mode,
EE2,GO:0043627,5,response to estrogen,24,5,0.00032208,14.71,0.000028840872,0.0000334551,3.34551E-5;4.32075E-5;2.25146E-5;4.3208E-5;1.81916E-6,-4.47553766764128,34,First Mode,
EE2,GO:0015293,6,symporter activity,112,7,0.012129,5.07,0.000108920185714286,0.0000338881,2.98212E-5;3.08929E-5;2.84488E-5;3.55901E-5;5.69202E-4;3.45982E-5;3.38881E-5,-4.46995278001618,35,First Mode,
EE2,GO:0055088,6,lipid homeostasis,50,5,0.0034684,8.77,0.000035397272,0.0000340768,2.87779E-5;3.40768E-5;9.72586E-6;4.01932E-5;6.42126E-5,-4.46754119464455,36,First Mode,
EE2,GO:0046943,5,carboxylic acid transmembrane transporter activity,128,8,0.005205,5.41,0.000172124325,0.00003425315,3.65054E-5;3.29162E-5;2.98212E-5;3.08929E-5;2.84488E-5;6.13618E-4;3.55901E-5;5.69202E-4,-4.46529948359601,37,First Mode,
EE2,GO:0015711,6,organic anion transport,137,8,0.0076373,5.06,0.0001040240375,0.0000347108,3.65054E-5;3.29162E-5;2.98212E-5;3.08929E-5;2.84488E-5;4.01932E-5;6.42126E-5;5.69202E-4,-4.45953537677567,38,First Mode,
