.id,GO.Pathway.Gene.Set.Gene.ID,GO.Pathway.Gene.Set.Gene.Name,All.Genes..Expression.Data.,Genes.That.Passed.All.Filters,Fisher.s.Exact.Two.Tail,Percentage,BMD.Mean,BMD.Median,BMD.List,logBMD,count,rank,rank_count
EE2,R-DRE-70326,Glucose metabolism,34,3,0.017414,8.82,4.5184533333333334e-5,4.3208e-5,2.40072E-5;6.83384E-5;4.3208E-5,-4.364435835726863,9,9,1
EE2,R-DRE-162582,Signal Transduction,1146,10,0.0014902,0.74,1.4329891e-4,4.37e-5,3.43647E-4;3.59892E-4;2.94093E-5;2.38989E-5;2.55552E-5;4.67315E-4;4.0026E-5;3.57905E-5;4.7374E-5;6.00812E-5,-4.359518563029578,10,10,1
EE2,R-DRE-109582,Hemostasis,260,10,0.032377,3.25,4.574954000000001e-5,4.55363e-5,3.22872E-5;4.938E-5;4.99408E-5;2.7784E-5;3.39629E-5;4.16926E-5;3.57905E-5;6.25674E-5;5.09144E-5;7.31756E-5,-4.341642260388954,11,11,1
EE2,R-DRE-1430728,Metabolism,948,25,0.026929,2.43,1.37805592e-4,5.04495e-5,5.79959E-4;3.65054E-5;4.93011E-4;4.0525E-5;6.37761E-5;3.38395E-5;5.04495E-5;3.68949E-5;5.43413E-4;2.40072E-5;5.39987E-4;6.12252E-5;2.73119E-5;3.91822E-4;2.55552E-5;5.48916E-5;4.58984E-5;3.39629E-5;4.45103E-5;6.83384E-5;3.57905E-5;5.39758E-5;4.3208E-5;5.65707E-5;5.97113E-5,-4.297143133655356,12,12,1
EE2,R-DRE-1630316,Glycosaminoglycan metabolism,63,4,0.037761,5.13,1.325194e-4,5.08751e-5,3.65054E-5;4.0525E-5;6.12252E-5;3.91822E-4,-4.293494724117475,13,13,1
EE2,R-DRE-983231,Factors involved in megakaryocyte development and platelet production,69,5,0.010984,6.02,5.5546e-5,5.09144e-5,4.938E-5;4.16926E-5;6.25674E-5;5.09144E-5;7.31756E-5,-4.293159369803192,14,14,1
EE2,R-DRE-71387,Metabolism of carbohydrates,129,8,0.0026312,5.41,1.51130525e-4,5.22166e-5,3.65054E-5;4.0525E-5;5.43413E-4;2.40072E-5;6.12252E-5;3.91822E-4;6.83384E-5;4.3208E-5,-4.282191409979767,15,15,1
EE2,R-DRE-1474244,Extracellular matrix organization,104,6,0.018129,4.65,1.7327945e-4,5.402375e-5,4.74127E-5;4.91659E-4;3.84656E-4;6.06348E-5;3.29443E-5;2.23699E-5,-4.267415273021912,16,16,1
EE2,R-DRE-74160,Gene expression (Transcription),580,4,0.040248,0.64,1.2970940000000002e-4,5.451015e-5,2.94093E-5;3.61193E-5;7.2901E-5;3.80408E-4,-4.263522622887316,17,17,1
EE2,R-DRE-392499,Metabolism of proteins,912,8,0.023437,0.82,1.718979875e-4,5.5440100000000005e-5,4.0525E-5;3.22872E-5;4.938E-5;2.96564E-4;6.15002E-5;3.91822E-4;4.67315E-4;3.57905E-5,-4.256175995037501,18,18,1
EE2,R-DRE-1474290,Collagen formation,31,4,0.0021027,11.76,2.329073e-4,2.0880015e-4,4.91659E-4;3.84656E-4;3.29443E-5;2.23699E-5,-3.6802691936767253,19,19,1
Fadrozole,R-DRE-373076,Class A/1 (Rhodopsin-like receptors),98,3,0.0016369,1.37,0.1410979,0.0530497,0.033971;0.0530497;0.336273,-1.2753170677232997,1,1,1
Fadrozole,R-DRE-500792,GPCR ligand binding,139,3,1.9296e-4,1.14,0.1410979,0.0530497,0.033971;0.0530497;0.336273,-1.2753170677232997,2,1,2
Fadrozole,R-DRE-2453902,The canonical retinoid cycle in rods (twilight vision),13,3,0.035683,23.08,0.09113276666666666,0.0878441,0.113754;0.0718002;0.0878441,-1.0562874023359063,3,3,1
Fadrozole,R-DRE-75109,Triglyceride biosynthesis,6,3,0.003376,50,0.25068359999999995,0.0899929,0.580796;0.0812619;0.0899929,-1.0457917529212806,4,4,1
Fadrozole,R-DRE-156580,Phase II - Conjugation of compounds,46,10,3.3272e-4,20.83,0.15852901,0.09826285,0.724381;0.102473;0.0881111;0.104576;0.115979;0.119937;0.0767149;0.0805861;0.0784793;0.0940527,-1.007610643810767,5,5,1
Fadrozole,R-DRE-189085,Digestion of dietary carbohydrate,5,3,0.0017634,60,0.17660966666666666,0.101309,0.328299;0.100221;0.101309,-0.9943519714539806,6,6,1
Fadrozole,R-DRE-8935690,Digestion,6,3,0.003376,50,0.17660966666666666,0.101309,0.328299;0.100221;0.101309,-0.9943519714539806,7,6,2
Fadrozole,R-DRE-8963743,Digestion and absorption,6,3,0.003376,50,0.17660966666666666,0.101309,0.328299;0.100221;0.101309,-0.9943519714539806,8,6,3
Fadrozole,R-DRE-211859,Biological oxidations,104,27,8.892e-11,24.11,0.1839574925925926,0.104576,0.254867;0.0765683;0.724381;0.102473;0.0881111;0.472682;0.113754;0.0468769;0.110946;0.113575;0.0848462;0.441469;0.254128;0.104576;0.0985352;0.303802;0.63777;0.115979;0.119937;0.0767149;0.0920482;0.0805861;0.0784793;0.0912136;0.0810268;0.107454;0.0940527,-0.9805679738197162,9,9,1
Fadrozole,R-DRE-189483,Heme degradation,8,3,0.022428,27.27,0.15832803333333334,0.104576,0.0937751;0.104576;0.276633,-0.9805679738197162,10,9,2
Fadrozole,R-DRE-9748784,Drug ADME,57,16,8.0916e-7,23.88,0.17143625625,0.10466,0.254867;0.0937751;0.724381;0.0881111;0.472682;0.110946;0.113575;0.104576;0.0985352;0.0874155;0.119937;0.0767149;0.0912136;0.104744;0.107454;0.0940527,-0.9802192695963535,11,11,1
Fadrozole,R-DRE-9754706,Atorvastatin ADME,8,3,0.022428,27.27,0.10403136666666668,0.104744,0.0937751;0.113575;0.104744,-0.9798708451303777,12,12,1
Fadrozole,R-DRE-9749641,Aspirin ADME,14,9,5.1867e-8,56.25,0.15844232222222224,0.107454,0.254867;0.0937751;0.472682;0.110946;0.113575;0.0874155;0.0912136;0.107454;0.0940527,-0.968777413159101,13,13,1
Fadrozole,R-DRE-211981,Xenobiotics,14,7,2.394e-5,41.18,0.12049827142857142,0.107454,0.254867;0.110946;0.113575;0.0848462;0.0805861;0.0912136;0.107454,-0.968777413159101,14,13,2
Fadrozole,R-DRE-211945,Phase I - Functionalization of compounds,56,18,4.3223e-9,29.51,0.19234157222222223,0.1092,0.254867;0.0765683;0.472682;0.113754;0.0468769;0.110946;0.113575;0.0848462;0.441469;0.254128;0.0985352;0.303802;0.63777;0.0920482;0.0805861;0.0912136;0.0810268;0.107454,-0.9617773616312816,15,15,1
Fadrozole,R-DRE-211935,Fatty acids,9,4,0.002631,36.36,0.14112015,0.1092,0.254867;0.110946;0.0912136;0.107454,-0.9617773616312816,16,15,2
Fadrozole,R-DRE-211958,Miscellaneous substrates,12,6,1.1509e-4,40,0.12715030000000002,0.1092,0.254867;0.110946;0.113575;0.0848462;0.0912136;0.107454,-0.9617773616312816,17,15,3
Fadrozole,R-DRE-211999,CYP2E1 reactions,8,4,0.0017535,40,0.14112015,0.1092,0.254867;0.110946;0.0912136;0.107454,-0.9617773616312816,18,15,4
Fadrozole,R-DRE-9018677,Biosynthesis of DHA-derived SPMs,13,6,1.7525e-4,37.5,0.12644028333333335,0.1092,0.254867;0.110946;0.113575;0.0805861;0.0912136;0.107454,-0.9617773616312816,19,15,5
Fadrozole,R-DRE-9018678,Biosynthesis of specialized proresolving mediators (SPMs),13,6,2.5779e-4,35.29,0.12644028333333335,0.1092,0.254867;0.110946;0.113575;0.0805861;0.0912136;0.107454,-0.9617773616312816,20,15,6
Fadrozole,R-DRE-9018682,Biosynthesis of maresins,10,6,2.4653e-5,50,0.12644028333333335,0.1092,0.254867;0.110946;0.113575;0.0805861;0.0912136;0.107454,-0.9617773616312816,21,15,7
Fadrozole,R-DRE-9027307,Biosynthesis of maresin-like SPMs,10,6,2.4653e-5,50,0.12644028333333335,0.1092,0.254867;0.110946;0.113575;0.0805861;0.0912136;0.107454,-0.9617773616312816,22,15,8
Fadrozole,R-DRE-211897,Cytochrome P450 - arranged by substrate type,33,11,4.4942e-6,29.73,0.19572199090909093,0.113575,0.254867;0.113754;0.110946;0.113575;0.0848462;0.254128;0.303802;0.63777;0.0805861;0.0912136;0.107454,-0.9447172545133363,23,23,1
Fadrozole,R-DRE-2672351,Stimuli-sensing channels,31,5,0.039398,15.15,0.21417881999999996,0.11442,0.0985293;0.11442;0.534277;0.0859348;0.237733,-0.9414980565703508,24,24,1
Fadrozole,R-DRE-2022377,Metabolism of Angiotensinogen to Angiotensins,10,3,0.035683,23.08,0.230549,0.11477,0.11477;0.472682;0.104195,-0.9401716183590172,25,25,1
Fadrozole,R-DRE-70263,Gluconeogenesis,22,4,0.035283,18.18,0.248581375,0.1181165,0.671564;0.131065;0.0865285;0.105168,-0.9276894304269645,26,26,1
Fadrozole,R-DRE-1430728,Metabolism,958,114,3.249e-14,11.08,0.2588249052631579,0.12743,0.111269;0.254867;0.671564;0.0765683;0.368223;0.0776977;0.0937751;0.724381;0.102473;0.433866;0.781634;0.470618;0.302742;0.394765;0.431533;0.0593329;0.368054;0.709871;0.105178;0.450784;0.108601;0.101588;0.233052;0.580796;0.302328;0.318617;0.0881111;0.0944459;0.258563;0.472682;0.699922;0.0695596;0.113754;0.396931;0.345875;0.253429;0.121217;0.0468769;0.0479657;0.734424;0.110946;0.127298;0.282021;0.0718002;0.084573;0.290325;0.305872;0.423294;0.297022;0.0812619;0.103095;0.402783;0.113575;0.100618;0.0899929;0.0848462;0.441469;0.127562;0.466818;0.765269;0.0921886;0.121386;0.792037;0.109741;0.10243;0.194005;0.254128;0.104576;0.737021;0.407212;0.131065;0.0975793;0.125101;0.781538;0.0985352;0.303802;0.778536;0.63777;0.0604859;0.302469;0.113823;0.0772981;0.265842;0.122929;0.111979;0.631822;0.0659426;0.297274;0.115979;0.0503649;0.119937;0.292761;0.0767149;0.0920482;0.0865285;0.105168;0.0805861;0.0784793;0.0912136;0.0923391;0.0579185;0.406224;0.358725;0.409333;0.276633;0.349752;0.272526;0.0810268;0.1059;0.107454;0.255991;0.306601;0.0940527;0.0748915,-0.8947283168932063,27,27,1
Fadrozole,R-DRE-196854,Metabolism of vitamins and cofactors,85,10,0.038567,11.11,0.21832618,0.181015,0.0776977;0.431533;0.450784;0.108601;0.0695596;0.253429;0.0718002;0.0975793;0.349752;0.272526,-0.7422854353666771,28,28,1
Fadrozole,R-DRE-196836,Vitamin C (ascorbate) metabolism,5,4,5.2691e-5,80,0.197354225,0.18505265,0.0695596;0.0975793;0.349752;0.272526,-0.7327046913192798,29,29,1
Fadrozole,R-DRE-8979227,Triglyceride metabolism,13,4,0.0051981,30.77,0.2636982,0.19636745,0.302742;0.580796;0.0812619;0.0899929,-0.7069304995273853,30,30,1
Fadrozole,R-DRE-1483166,Synthesis of PA,22,4,0.046841,16.67,0.305358075,0.1974653,0.302742;0.0479657;0.0921886;0.778536,-0.704509210632709,31,31,1
Fadrozole,R-DRE-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,13,4,0.0051981,30.77,0.276439975,0.2088125,0.303802;0.63777;0.113823;0.0503649,-0.6802435070177935,32,32,1
Fadrozole,R-DRE-390918,Peroxisomal lipid metabolism,17,4,0.014404,23.53,0.24558725,0.2135285,0.233052;0.441469;0.194005;0.113823,-0.6705441507715942,33,33,1
Fadrozole,R-DRE-2046104,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,11,4,0.002631,36.36,0.23391125,0.2135285,0.394765;0.233052;0.194005;0.113823,-0.6705441507715942,34,33,2
Fadrozole,R-DRE-2046106,alpha-linolenic acid (ALA) metabolism,11,4,0.002631,36.36,0.23391125,0.2135285,0.394765;0.233052;0.194005;0.113823,-0.6705441507715942,35,33,3
Fadrozole,R-DRE-1187000,Fertilization,7,4,0.0090525,26.67,0.32786575,0.214804,0.781634;0.328299;0.100221;0.101309,-0.6679576356272633,36,36,1
Fadrozole,R-DRE-1474165,Reproduction,7,4,0.0090525,26.67,0.32786575,0.214804,0.781634;0.328299;0.100221;0.101309,-0.6679576356272633,37,36,2
Fadrozole,R-DRE-2534343,Interaction With Cumulus Cells And The Zona Pellucida,4,4,0.002631,36.36,0.32786575,0.214804,0.781634;0.328299;0.100221;0.101309,-0.6679576356272633,38,36,3
Fadrozole,R-DRE-1369062,ABC transporters in lipid homeostasis,6,4,1.5086e-4,66.67,0.319931,0.222358,0.233052;0.211664;0.73206;0.102948,-0.6529472408795203,39,39,1
Fadrozole,R-DRE-8957275,Post-translational protein phosphorylation,55,8,0.021251,13.33,0.26426682500000004,0.2250495,0.108601;0.458851;0.580448;0.321141;0.128958;0.328929;0.0948675;0.0923391,-0.647721947611004,40,40,1
Fadrozole,R-DRE-382551,Transport of small molecules,331,36,0.0017168,9.68,0.2325670611111111,0.2353925,0.0937751;0.102473;0.0985293;0.0984445;0.0593329;0.108601;0.323415;0.246452;0.11442;0.233052;0.37385;0.211664;0.318617;0.472682;0.73206;0.309233;0.263824;0.534277;0.249181;0.13194;0.259247;0.303862;0.0874155;0.365959;0.0859348;0.0976689;0.304498;0.103891;0.360344;0.237733;0.276633;0.349752;0.104744;0.102948;0.206945;0.0490162,-0.6282073786230166,41,41,1
Fadrozole,R-DRE-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",31,7,0.0063034,17.95,0.23758035714285716,0.249181,0.37385;0.309233;0.249181;0.13194;0.0874155;0.304498;0.206945,-0.6034850756153535,42,42,1
Fadrozole,R-DRE-425407,SLC-mediated transmembrane transport,103,16,0.0021564,13.22,0.225838425,0.2565025,0.0937751;0.102473;0.323415;0.37385;0.309233;0.263824;0.249181;0.13194;0.303862;0.0874155;0.304498;0.103891;0.360344;0.349752;0.206945;0.0490162,-0.5909083976831058,43,43,1
Fadrozole,R-DRE-196849,Metabolism of water-soluble vitamins and cofactors,60,8,0.030154,12.5,0.250357575,0.2629775,0.0776977;0.431533;0.450784;0.0695596;0.253429;0.0975793;0.349752;0.272526,-0.5800814075705253,44,44,1
Fadrozole,R-DRE-556833,Metabolism of lipids,317,49,2.6178e-9,14.04,0.30567301836734695,0.265842,0.254867;0.671564;0.433866;0.470618;0.302742;0.394765;0.709871;0.233052;0.580796;0.302328;0.472682;0.345875;0.121217;0.0479657;0.734424;0.110946;0.290325;0.305872;0.0812619;0.103095;0.113575;0.0899929;0.441469;0.127562;0.466818;0.0921886;0.792037;0.194005;0.254128;0.737021;0.303802;0.778536;0.63777;0.302469;0.113823;0.0772981;0.265842;0.122929;0.631822;0.297274;0.0503649;0.0805861;0.0912136;0.0923391;0.0579185;0.358725;0.107454;0.255991;0.0748915,-0.5753764044042758,45,45,1
Fadrozole,R-DRE-211976,Endogenous sterols,15,4,0.01153,25,0.32736350000000003,0.278965,0.113754;0.254128;0.303802;0.63777,-0.5544502815305982,46,46,1
Fadrozole,R-DRE-983168,Antigen processing: Ubiquitination & Proteasome degradation,182,4,0.017982,2.07,0.24726339999999997,0.292834,0.321482;0.300643;0.285025;0.0819036,-0.5333785001712456,47,47,1
Fadrozole,R-DRE-983169,Class I MHC mediated antigen processing & presentation,209,6,0.029796,2.6,0.2427776,0.292834,0.321482;0.300643;0.365182;0.10243;0.285025;0.0819036,-0.5333785001712456,48,47,2
Fadrozole,R-DRE-8956321,Nucleotide salvage,14,3,0.043519,21.43,0.399982,0.297022,0.297022;0.121386;0.781538,-0.5272113819125863,49,49,1
Fadrozole,R-DRE-192105,Synthesis of bile acids and bile salts,18,5,0.0047512,25,0.28060678,0.297274,0.303802;0.63777;0.113823;0.297274;0.0503649,-0.5268430731371649,50,50,1
Fadrozole,R-DRE-194068,Bile acid and bile salt metabolism,21,5,0.015165,19.23,0.28060678,0.297274,0.303802;0.63777;0.113823;0.297274;0.0503649,-0.5268430731371649,51,50,2
Fadrozole,R-DRE-445989,TAK1-dependent IKK and NF-kappa-B activation  ,11,3,0.022428,27.27,0.31313266666666667,0.30008,0.366877;0.30008;0.272441,-0.5227629488573335,52,52,1
Fadrozole,R-DRE-933542,TRAF6 mediated NF-kB activation,11,3,0.022428,27.27,0.31313266666666667,0.30008,0.366877;0.30008;0.272441,-0.5227629488573335,53,52,2
Fadrozole,R-DRE-8957322,Metabolism of steroids,58,11,0.0014214,16.42,0.38575444545454546,0.302328,0.302328;0.792037;0.254128;0.737021;0.303802;0.63777;0.113823;0.122929;0.631822;0.297274;0.0503649,-0.5195216289307919,54,54,1
Fadrozole,R-DRE-1483257,Phospholipid metabolism,100,13,0.011106,11.93,0.31754199999999994,0.302469,0.302742;0.580796;0.472682;0.0479657;0.734424;0.305872;0.0921886;0.778536;0.302469;0.0772981;0.265842;0.0923391;0.0748915,-0.5193191295035203,55,55,1
Fadrozole,R-DRE-1483206,Glycerophospholipid biosynthesis,62,12,5.0833e-4,17.39,0.32185033333333335,0.30260549999999997,0.302742;0.580796;0.472682;0.0479657;0.734424;0.305872;0.0921886;0.778536;0.302469;0.0772981;0.0923391;0.0748915,-0.519123182730733,56,56,1
Fadrozole,R-DRE-193807,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,7,3,0.0056561,42.86,0.33064563333333336,0.303802,0.303802;0.63777;0.0503649,-0.51740937140113,57,57,1
Fadrozole,R-DRE-2555396,Mitotic Metaphase and Anaphase,150,3,0.034561,1.92,0.299314,0.312159,0.455293;0.13049;0.312159,-0.5056241392078142,58,58,1
Fadrozole,R-DRE-68882,Mitotic Anaphase,149,3,0.034353,1.94,0.299314,0.312159,0.455293;0.13049;0.312159,-0.5056241392078142,59,58,2
Fadrozole,R-DRE-68886,M Phase,228,5,0.005112,1.98,0.31677239999999995,0.318617,0.455293;0.13049;0.367303;0.318617;0.312159,-0.49673105587567046,60,60,1
Fadrozole,R-DRE-372790,Signaling by GPCR,247,9,0.001797,2.38,0.3430949666666667,0.320515,0.033971;0.0530497;0.527505;0.318617;0.452225;0.320515;0.28043;0.765269;0.336273,-0.4941516408260067,61,61,1
Fadrozole,R-DRE-388396,GPCR downstream signalling,235,9,0.0032698,2.47,0.3430949666666667,0.320515,0.033971;0.0530497;0.527505;0.318617;0.452225;0.320515;0.28043;0.765269;0.336273,-0.4941516408260067,62,61,2
Fadrozole,R-DRE-75105,Fatty acyl-CoA biosynthesis,20,4,0.030202,19.05,0.3624705,0.325378,0.671564;0.394765;0.127562;0.255991,-0.4876118146493176,63,63,1
Fadrozole,R-DRE-446728,Cell junction organization,31,5,0.039398,15.15,0.34215568,0.327296,0.447751;0.0922888;0.327296;0.0879746;0.755468,-0.4850593023257962,64,64,1
Fadrozole,R-DRE-4090294,SUMOylation of intracellular receptors,20,4,0.035283,18.18,0.3028515,0.32887299999999997,0.302328;0.444512;0.109148;0.355418,-0.48297178000576146,65,65,1
Fadrozole,R-DRE-162582,Signal Transduction,1147,51,1.2104e-4,3.76,0.32040895686274506,0.336273,0.513358;0.48853;0.433618;0.0964445;0.033971;0.369545;0.0625181;0.455293;0.709871;0.365989;0.688336;0.356325;0.287487;0.0970221;0.0530497;0.125811;0.13049;0.527505;0.367303;0.318617;0.30008;0.258563;0.360803;0.0589118;0.0488844;0.430076;0.0479657;0.311185;0.452225;0.341717;0.320515;0.755468;0.423294;0.28043;0.441469;0.765269;0.0985352;0.547521;0.0878441;0.336273;0.355418;0.257395;0.202122;0.283897;0.0948675;0.0781667;0.354223;0.338458;0.415085;0.276633;0.536479,-0.4733080016171166,66,66,1
Fadrozole,R-DRE-9603798,Class I peroxisomal membrane protein import,13,3,0.035683,23.08,0.3372843333333333,0.337332,0.233052;0.441469;0.337332,-0.4719424587982544,67,67,1
Fadrozole,R-DRE-1280215,Cytokine Signaling in Immune system,162,5,0.031911,2.43,0.32801100000000005,0.341717,0.366877;0.30008;0.341717;0.272441;0.35894,-0.4663334150480573,68,68,1
Fadrozole,R-DRE-202424,Downstream TCR signaling,13,3,0.035683,23.08,0.36467399999999994,0.341717,0.30008;0.452225;0.341717,-0.4663334150480573,69,68,2
Fadrozole,R-DRE-69278,"Cell Cycle, Mitotic",306,6,5.4245e-4,1.81,0.34145033333333336,0.34296,0.455293;0.13049;0.367303;0.318617;0.312159;0.46484,-0.46475652949742374,70,70,1
Fadrozole,R-DRE-8953854,Metabolism of RNA,372,6,4.8259e-5,1.6,0.31228,0.3529365,0.433618;0.109327;0.272255;0.448741;0.05444;0.555299,-0.45230342543463875,71,71,1
Fadrozole,R-DRE-212436,Generic Transcription Pathway,445,16,0.010439,3.27,0.34392043125,0.3548205,0.433618;0.401714;0.709871;0.0970221;0.302328;0.444512;0.499921;0.109148;0.0627558;0.352742;0.122085;0.355418;0.509578;0.354223;0.338458;0.409333,-0.44999129645112157,72,72,1
Fadrozole,R-DRE-73857,RNA Polymerase II Transcription,518,16,7.4715e-4,2.84,0.34392043125,0.3548205,0.433618;0.401714;0.709871;0.0970221;0.302328;0.444512;0.499921;0.109148;0.0627558;0.352742;0.122085;0.355418;0.509578;0.354223;0.338458;0.409333,-0.44999129645112157,73,72,2
Fadrozole,R-DRE-74160,Gene expression (Transcription),579,16,7.1686e-5,2.56,0.34392043125,0.3548205,0.433618;0.401714;0.709871;0.0970221;0.302328;0.444512;0.499921;0.109148;0.0627558;0.352742;0.122085;0.355418;0.509578;0.354223;0.338458;0.409333,-0.44999129645112157,74,72,3
Fadrozole,R-DRE-1640170,Cell Cycle,366,7,1.0308e-4,1.79,0.35877914285714285,0.367303,0.455293;0.13049;0.367303;0.318617;0.312159;0.46484;0.462752,-0.4349755244776713,75,75,1
Fadrozole,R-DRE-2262752,Cellular responses to stress,308,8,0.0018747,2.28,0.3620195000000001,0.3736295,0.321482;0.388319;0.455293;0.262157;0.423999;0.409333;0.276633;0.35894,-0.42755884127109833,76,76,1
Fadrozole,R-DRE-8953897,Cellular responses to stimuli,308,8,0.0018747,2.28,0.3620195000000001,0.3736295,0.321482;0.388319;0.455293;0.262157;0.423999;0.409333;0.276633;0.35894,-0.42755884127109833,77,76,2
Fadrozole,R-DRE-8978868,Fatty acid metabolism,89,15,2.787e-4,15.96,0.3488469733333333,0.394765,0.671564;0.433866;0.470618;0.394765;0.709871;0.233052;0.580796;0.441469;0.127562;0.466818;0.194005;0.113823;0.0805861;0.0579185;0.255991,-0.4036613589929756,78,78,1
Fadrozole,R-DRE-3700989,Transcriptional Regulation by TP53,201,5,0.0237,2.37,0.45195740000000006,0.409333,0.433618;0.709871;0.352742;0.354223;0.409333,-0.3879232415746591,79,79,1
Fadrozole,R-DRE-195258,RHO GTPase Effectors,159,3,0.01312,1.68,0.3740873333333334,0.455293,0.455293;0.13049;0.536479,-0.34170902679425524,80,80,1
Fadrozole,R-DRE-191273,Cholesterol biosynthesis,10,3,0.017029,30,0.5409903333333334,0.631822,0.254128;0.737021;0.631822,-0.1994052560626255,81,81,1
Fenitrothion,R-DRE-977443,GABA receptor activation,38,3,0.015505,7.5,0.15603468,0.0312711,0.0312711;0.435717;0.00111594,-1.5048568416375359,1,1,1
Fenitrothion,R-DRE-977444,GABA B receptor activation,28,3,0.006358,10.34,0.15603468,0.0312711,0.0312711;0.435717;0.00111594,-1.5048568416375359,2,1,2
Fenitrothion,R-DRE-991365,Activation of GABAB receptors,28,3,0.006358,10.34,0.15603468,0.0312711,0.0312711;0.435717;0.00111594,-1.5048568416375359,3,1,3
Fenitrothion,R-DRE-1296041,Activation of G protein gated Potassium channels,21,3,0.0028625,13.64,0.15603468,0.0312711,0.0312711;0.435717;0.00111594,-1.5048568416375359,4,1,4
Fenitrothion,R-DRE-1296059,G protein gated Potassium channels,21,3,0.0028625,13.64,0.15603468,0.0312711,0.0312711;0.435717;0.00111594,-1.5048568416375359,5,1,5
Fenitrothion,R-DRE-997272,Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,21,3,0.0028625,13.64,0.15603468,0.0312711,0.0312711;0.435717;0.00111594,-1.5048568416375359,6,1,6
Fenitrothion,R-DRE-4086398,Ca2+ pathway,30,3,0.0069983,10,0.16679586666666668,0.0333995,0.0333995;0.0312711;0.435717,-1.4762600346514991,7,7,1
Fenitrothion,R-DRE-3858494,Beta-catenin independent WNT signaling,89,4,0.034125,4.3,0.134429925,0.0353658,0.0333995;0.0312711;0.435717;0.0373321,-1.4514165134148191,8,8,1
Fenitrothion,R-DRE-211981,Xenobiotics,17,4,5.8884e-5,23.53,0.059605525,0.0416208,0.0420542;0.0411874;0.0330355;0.122145,-1.380689576401027,9,9,1
