.id,GO.Pathway.Gene.Set.Gene.ID,GO.Level,GO.Pathway.Gene.Set.Gene.Name,All.Genes..Expression.Data.,Genes.That.Passed.All.Filters,Fisher.s.Exact.Two.Tail,Percentage,BMD.Mean,BMD.Median,BMD.List,logBMD,rank
Decanol,GO:0009889,5,regulation of biosynthetic process,51,26,0.010796,1.08,0.03544765696153846,0.01693985,0.0218363;0.0554614;0.338932;0.0272275;0.183192;0.0265155;4.92343E-4;0.00162827;0.00485435;0.00239828;0.0146322;0.00158747;0.0137739;0.0181731;0.00285693;0.0164665;0.027072;0.0274636;0.0158766;6.74683E-4;0.0174132;8.94555E-4;0.0141559;0.038862;0.0304495;0.018749,-1.7710904396051175,26
Decanol,GO:0019219,6,regulation of nucleobase-containing compound metabolic process,51,26,0.015669,1.06,0.03527014926923077,0.01693985,0.0218363;0.0554614;0.338932;0.0272275;0.183192;0.0265155;4.92343E-4;0.00162827;0.00485435;0.0342468;0.00239828;0.0146322;0.00158747;0.0137739;0.0181731;0.00285693;0.0164665;0.027072;0.0274636;0.0158766;6.74683E-4;0.0174132;8.94555E-4;0.0141559;0.0304495;0.018749,-1.7710904396051175,26
Decanol,GO:1903506,8,regulation of nucleic acid-templated transcription,47,24,0.010509,1.12,0.03674510525,0.01693985,0.0218363;0.0554614;0.338932;0.0272275;0.183192;0.0265155;4.92343E-4;0.00162827;0.00485435;0.00239828;0.0146322;0.00158747;0.0137739;0.0181731;0.00285693;0.0164665;0.027072;0.0274636;0.0158766;6.74683E-4;0.0174132;0.0141559;0.0304495;0.018749,-1.7710904396051175,26
Decanol,GO:2001141,7,regulation of RNA biosynthetic process,47,24,0.010564,1.12,0.03674510525,0.01693985,0.0218363;0.0554614;0.338932;0.0272275;0.183192;0.0265155;4.92343E-4;0.00162827;0.00485435;0.00239828;0.0146322;0.00158747;0.0137739;0.0181731;0.00285693;0.0164665;0.027072;0.0274636;0.0158766;6.74683E-4;0.0174132;0.0141559;0.0304495;0.018749,-1.7710904396051175,26
Decanol,GO:0031101,5,fin regeneration,3,3,0.019157,3.53,0.01268054333333333,0.0170116,0.0181731;0.00285693;0.0170116,-1.769254837563651,31
Decanol,GO:0055008,6,cardiac muscle tissue morphogenesis,3,3,2.1858e-4,16.67,0.01561342766666666,0.0174132,0.0287524;6.74683E-4;0.0174132,-1.7591214118442575,32
Decanol,GO:0060415,5,muscle tissue morphogenesis,3,3,4.0456e-4,13.64,0.01561342766666666,0.0174132,0.0287524;6.74683E-4;0.0174132,-1.7591214118442575,32
Decanol,GO:0080090,5,regulation of primary metabolic process,62,31,0.022198,0.98,0.03945654196774193,0.0174132,0.0218363;0.223591;0.0554614;0.338932;0.0272275;0.183192;0.0265155;4.92343E-4;0.00162827;0.00485435;0.0342468;0.00239828;0.00443272;0.0146322;0.00158747;0.0137739;0.0222316;0.0181731;0.00285693;0.0164665;0.027072;0.0274636;0.0158766;6.74683E-4;0.0174132;8.94555E-4;0.0141559;0.038862;0.0304495;0.0170116;0.018749,-1.7591214118442575,32
Decanol,GO:0000976,6,transcription cis-regulatory region binding,33,18,0.0014393,1.47,0.03463927755555555,0.01779315,0.0218363;0.0554614;0.338932;0.0272275;0.0265155;4.92343E-4;0.00162827;0.00485435;0.00239828;0.00158747;0.0137739;0.0181731;0.0274636;0.0158766;6.74683E-4;0.0174132;0.0304495;0.018749,-1.749747160037668,35
Decanol,GO:0000977,7,RNA polymerase II transcription regulatory region sequence-specific DNA binding,31,18,0.0010382,1.54,0.03463927755555555,0.01779315,0.0218363;0.0554614;0.338932;0.0272275;0.0265155;4.92343E-4;0.00162827;0.00485435;0.00239828;0.00158747;0.0137739;0.0181731;0.0274636;0.0158766;6.74683E-4;0.0174132;0.0304495;0.018749,-1.749747160037668,35
Decanol,GO:0001067,5,transcription regulatory region nucleic acid binding,33,18,0.0014393,1.47,0.03463927755555555,0.01779315,0.0218363;0.0554614;0.338932;0.0272275;0.0265155;4.92343E-4;0.00162827;0.00485435;0.00239828;0.00158747;0.0137739;0.0181731;0.0274636;0.0158766;6.74683E-4;0.0174132;0.0304495;0.018749,-1.749747160037668,35
Decanol,GO:0006357,8,regulation of transcription by RNA polymerase II,44,22,0.002448,1.3,0.03867199209090909,0.01779315,0.0218363;0.0554614;0.338932;0.0272275;0.183192;0.0265155;4.92343E-4;0.00162827;0.00485435;0.00239828;0.00158747;0.0137739;0.0181731;0.00285693;0.027072;0.0274636;0.0158766;6.74683E-4;0.0174132;0.0141559;0.0304495;0.018749,-1.749747160037668,35
Decanol,GO:1990837,7,sequence-specific double-stranded DNA binding,33,18,0.0017783,1.44,0.03463927755555555,0.01779315,0.0218363;0.0554614;0.338932;0.0272275;0.0265155;4.92343E-4;0.00162827;0.00485435;0.00239828;0.00158747;0.0137739;0.0181731;0.0274636;0.0158766;6.74683E-4;0.0174132;0.0304495;0.018749,-1.749747160037668,35
Decanol,GO:0000978,8,RNA polymerase II cis-regulatory region sequence-specific DNA binding,27,17,1.7071e-4,1.8,0.03658350152941176,0.0181731,0.0218363;0.0554614;0.338932;0.0272275;0.0265155;4.92343E-4;0.00162827;0.00485435;0.00239828;0.0137739;0.0181731;0.0274636;0.0158766;6.74683E-4;0.0174132;0.0304495;0.018749,-1.74057098364083,40
Decanol,GO:0000987,7,cis-regulatory region sequence-specific DNA binding,27,17,2.135e-4,1.77,0.03658350152941176,0.0181731,0.0218363;0.0554614;0.338932;0.0272275;0.0265155;4.92343E-4;0.00162827;0.00485435;0.00239828;0.0137739;0.0181731;0.0274636;0.0158766;6.74683E-4;0.0174132;0.0304495;0.018749,-1.74057098364083,40
Decanol,GO:0003690,6,double-stranded DNA binding,34,19,0.0012803,1.44,0.03461862084210526,0.0181731,0.0218363;0.0554614;0.338932;0.0272275;0.0265155;4.92343E-4;0.00162827;0.00485435;0.0342468;0.00239828;0.00158747;0.0137739;0.0181731;0.0274636;0.0158766;6.74683E-4;0.0174132;0.0304495;0.018749,-1.74057098364083,40
Decanol,GO:0043565,6,sequence-specific DNA binding,34,19,0.0024779,1.4,0.03424099978947368,0.0181731,0.0218363;0.0554614;0.338932;0.0272275;0.0265155;4.92343E-4;0.00162827;0.00485435;0.00239828;0.00158747;0.0137739;0.0181731;0.027072;0.0274636;0.0158766;6.74683E-4;0.0174132;0.0304495;0.018749,-1.74057098364083,40
Decanol,GO:0009968,6,negative regulation of signal transduction,9,7,0.027057,1.6,0.07620678857142857,0.018749,0.0148896;0.388239;0.00443272;0.026805;0.0641048;0.0162274;0.018749,-1.7270218909263158,44
Decanol,GO:0010648,6,negative regulation of cell communication,9,7,0.031998,1.55,0.07620678857142857,0.018749,0.0148896;0.388239;0.00443272;0.026805;0.0641048;0.0162274;0.018749,-1.7270218909263158,44
Decanol,GO:0023057,5,negative regulation of signaling,9,7,0.031998,1.55,0.07620678857142857,0.018749,0.0148896;0.388239;0.00443272;0.026805;0.0641048;0.0162274;0.018749,-1.7270218909263158,44
Decanol,GO:0003677,5,DNA binding,42,22,0.017692,1.12,0.04067009072727273,0.02029265,0.0218363;0.0267242;0.0554614;0.338932;0.0272275;0.183192;0.0265155;4.92343E-4;0.00162827;0.00485435;0.0342468;0.00239828;0.00158747;0.0137739;0.0181731;0.027072;0.0274636;0.0158766;6.74683E-4;0.0174132;0.0304495;0.018749,-1.6926612351141392,47
Decanol,GO:0031667,5,response to nutrient levels,4,3,0.02701,3.09,0.0246755,0.0205584,0.0205584;0.0015883;0.0518798,-1.6870106882278435,48
Decanol,GO:0031669,5,cellular response to nutrient levels,3,3,0.0085573,4.76,0.0246755,0.0205584,0.0205584;0.0015883;0.0518798,-1.6870106882278435,48
Decanol,GO:0008064,7,regulation of actin polymerization or depolymerization,4,3,0.032271,2.88,0.01570522866666666,0.0211986,0.0211986;9.40186E-4;0.0249769,-1.6736928198425423,50
Decanol,GO:0030832,6,regulation of actin filament length,4,3,0.033866,2.83,0.01570522866666666,0.0211986,0.0211986;9.40186E-4;0.0249769,-1.6736928198425423,50
Decanol,GO:0048703,5,embryonic viscerocranium morphogenesis,4,3,0.033866,2.83,0.01843346,0.0213686,0.0213686;0.00348228;0.0304495,-1.6702239304420001,52
Decanol,GO:0070646,6,protein modification by small protein removal,3,3,0.031489,2.91,0.02318912666666666,0.0235989,0.0439498;0.00201868;0.0235989,-1.627108240041073,53
Decanol,GO:0015293,6,symporter activity,8,4,0.013666,2.9,0.0231974275,0.02504485,0.0235804;0.0404892;0.00221081;0.0265093,-1.6012815650671945,54
Decanol,GO:0016791,6,phosphatase activity,6,5,0.04203,1.75,0.0184794312,0.026805,0.00174757;0.0300563;0.026805;0.0328481;9.40186E-4,-1.5717841884386745,55
Decanol,GO:0004674,5,protein serine/threonine kinase activity,17,9,0.0059073,1.82,0.02590336722222222,0.0276821,0.00126843;0.0205724;0.0205584;6.66475E-4;0.0276821;0.045478;0.0518798;0.0372104;0.0278143,-1.5578009668230228,56
Decanol,GO:0006468,6,protein phosphorylation,20,9,0.04422,1.36,0.02590336722222222,0.0276821,0.00126843;0.0205724;0.0205584;6.66475E-4;0.0276821;0.045478;0.0518798;0.0372104;0.0278143,-1.5578009668230228,56
Decanol,GO:0036211,5,protein modification process,37,21,0.044146,1.02,0.04351219957142856,0.0276821,0.00126843;0.210578;0.0205724;0.0205584;6.66475E-4;0.0276821;0.0439498;0.0346576;0.045478;0.0366802;0.0518798;0.0372104;0.251985;0.00443272;0.026805;0.0287524;0.00201868;0.0278143;0.0162274;0.0235989;9.40186E-4,-1.5578009668230228,56
Decanol,GO:0006796,5,phosphate-containing compound metabolic process,34,20,0.0044314,1.31,0.03252301905,0.0277482,0.00126843;0.0279657;0.0205724;0.0205584;0.00174757;6.66475E-4;0.0276821;0.045478;0.0300563;0.0518798;0.0372104;0.00443272;0.0326811;0.026805;0.0328481;0.0278143;0.0162274;9.40186E-4;0.198275;0.045351,-1.556765183907861,59
Decanol,GO:0016773,5,"phosphotransferase activity, alcohol group as acceptor",22,11,0.020488,1.4,0.0269122459090909,0.0278143,0.00126843;0.0205724;0.0205584;6.66475E-4;0.0276821;0.045478;0.0300563;0.0518798;0.0372104;0.0328481;0.0278143,-1.5557318654359968,60
Decanol,GO:0016301,5,kinase activity,24,12,0.018947,1.33,0.02844880875,0.0289353,0.00126843;0.0205724;0.0205584;6.66475E-4;0.0276821;0.045478;0.0300563;0.0518798;0.0372104;0.0328481;0.0278143;0.045351,-1.5385720105297704,61
Decanol,GO:0016310,6,phosphorylation,24,12,0.017392,1.36,0.02844880875,0.0289353,0.00126843;0.0205724;0.0205584;6.66475E-4;0.0276821;0.045478;0.0300563;0.0518798;0.0372104;0.0328481;0.0278143;0.045351,-1.5385720105297704,61
Decanol,GO:0005524,6,ATP binding,35,17,0.02672,1.17,0.05841465323529411,0.0289396,0.00126843;0.0271538;0.0273429;0.0205724;0.0205584;6.66475E-4;0.0276821;0.045478;0.0300563;0.0518798;0.0372104;0.251985;0.0326811;0.0328481;0.0278143;0.328912;0.0289396,-1.538507475946536,63
Decanol,GO:0030554,6,adenyl nucleotide binding,35,17,0.029213,1.14,0.05841465323529411,0.0289396,0.00126843;0.0271538;0.0273429;0.0205724;0.0205584;6.66475E-4;0.0276821;0.045478;0.0300563;0.0518798;0.0372104;0.251985;0.0326811;0.0328481;0.0278143;0.328912;0.0289396,-1.538507475946536,63
Decanol,GO:0032559,6,adenyl ribonucleotide binding,35,17,0.028635,1.14,0.05841465323529411,0.0289396,0.00126843;0.0271538;0.0273429;0.0205724;0.0205584;6.66475E-4;0.0276821;0.045478;0.0300563;0.0518798;0.0372104;0.251985;0.0326811;0.0328481;0.0278143;0.328912;0.0289396,-1.538507475946536,63
Decanol,GO:0036293,5,response to decreased oxygen levels,7,5,9.6576e-5,7.25,0.105726054,0.045478,0.045478;0.398711;0.00158747;0.0641048;0.018749,-1.3421986426664188,66
Decanol,GO:0051346,6,negative regulation of hydrolase activity,4,3,0.044273,2.54,0.14629253333333334,0.198275,0.223591;0.198275;0.0170116,-0.7027320414503083,67
Decanol,GO:0055088,6,lipid homeostasis,3,3,0.0064897,5.26,0.18706053333333336,0.198275,0.340675;0.0222316;0.198275,-0.7027320414503083,67
EE2,GO:0001523,8,retinoid metabolic process,5,3,1.4718e-4,8.11,2.345576666666667e-5,2.38989e-5,2.52097E-5;2.38989E-5;2.12587E-5,-4.621622087960819,1
EE2,GO:0006720,5,isoprenoid metabolic process,5,3,5.3295e-4,5.26,2.345576666666667e-5,2.38989e-5,2.52097E-5;2.38989E-5;2.12587E-5,-4.621622087960819,1
EE2,GO:0006721,6,terpenoid metabolic process,5,3,2.1534e-4,7.14,2.345576666666667e-5,2.38989e-5,2.52097E-5;2.38989E-5;2.12587E-5,-4.621622087960819,1
EE2,GO:0016101,7,diterpenoid metabolic process,5,3,1.5949e-4,7.89,2.345576666666667e-5,2.38989e-5,2.52097E-5;2.38989E-5;2.12587E-5,-4.621622087960819,1
EE2,GO:0043627,5,response to estrogen,7,4,2.3148e-6,11.76,2.524909e-5,2.798485e-5,3.34551E-5;4.32075E-5;2.25146E-5;1.81916E-6,-4.55307701658812,5
EE2,GO:0032870,5,cellular response to hormone stimulus,6,3,0.0012812,3.9,3.305906666666667e-5,3.34551e-5,3.34551E-5;4.32075E-5;2.25146E-5,-4.475537667641275,6
EE2,GO:0071391,6,cellular response to estrogen stimulus,6,3,7.7971e-5,10,3.305906666666667e-5,3.34551e-5,3.34551E-5;4.32075E-5;2.25146E-5,-4.475537667641275,6
EE2,GO:0005789,5,endoplasmic reticulum membrane,5,4,0.02865,0.96,3.6804975e-5,3.59927e-5,2.87779E-5;4.32075E-5;2.12587E-5;5.39758E-5,-4.443785573432701,8
EE2,GO:0071310,5,cellular response to organic substance,7,4,0.0049574,1.61,3.6020275e-5,3.83313e-5,3.34551E-5;4.32075E-5;4.49039E-5;2.25146E-5,-4.41644645146695,9
EE2,GO:0016758,5,hexosyltransferase activity,3,3,0.024904,1.33,3.6995133333333334e-5,4.0525e-5,2.23699E-5;4.80905E-5;4.0525E-5,-4.392276976479447,10
EE2,GO:0051093,5,negative regulation of developmental process,3,3,0.01432,1.64,7.14967e-5,4.49039e-5,4.49039E-5;1.35056E-4;3.45302E-5,-4.347715937951589,11
EE2,GO:0006650,6,glycerophospholipid metabolic process,6,3,0.015168,1.6,6.777913333333332e-5,4.60361e-5,2.22453E-5;4.60361E-5;1.35056E-4,-4.336901475229503,12
EE2,GO:0006796,5,phosphate-containing compound metabolic process,16,9,0.03572,0.59,5.453315555555555e-5,4.60361e-5,2.22453E-5;3.77418E-5;3.35687E-5;4.85821E-5;4.60361E-5;6.83384E-5;4.52542E-5;1.35056E-4;5.39758E-5,-4.336901475229503,12
EE2,GO:0008610,5,lipid biosynthetic process,9,7,6.0842e-5,1.93,4.752224857142857e-5,4.60361e-5,2.38989E-5;3.84814E-6;4.85821E-5;4.60361E-5;2.12587E-5;1.35056E-4;5.39758E-5,-4.336901475229503,12
EE2,GO:0046486,5,glycerolipid metabolic process,6,3,0.024904,1.33,6.777913333333332e-5,4.60361e-5,2.22453E-5;4.60361E-5;1.35056E-4,-4.336901475229503,12
EE2,GO:0046488,7,phosphatidylinositol metabolic process,5,3,0.0055314,2.33,6.777913333333332e-5,4.60361e-5,2.22453E-5;4.60361E-5;1.35056E-4,-4.336901475229503,12
EE2,GO:0090407,5,organophosphate biosynthetic process,8,5,0.0030315,1.4,6.427836e-5,4.85821e-5,3.77418E-5;4.85821E-5;4.60361E-5;1.35056E-4;5.39758E-5,-4.313523716399963,17
EE2,GO:0006644,5,phospholipid metabolic process,7,4,0.0055421,1.56,6.432829999999999e-5,5.000595e-5,2.22453E-5;4.60361E-5;1.35056E-4;5.39758E-5,-4.300978317695413,18
EE2,GO:0008654,5,phospholipid biosynthetic process,5,3,0.0076348,2.07,7.835596666666665e-5,5.39758e-5,4.60361E-5;1.35056E-4;5.39758E-5,-4.26780091206903,19
Fadrozole,GO:0000976,6,transcription cis-regulatory region binding,6,3,0.004529,0.25,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:0000977,7,RNA polymerase II transcription regulatory region sequence-specific DNA binding,6,3,0.0039612,0.26,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:0000978,8,RNA polymerase II cis-regulatory region sequence-specific DNA binding,6,3,0.0021454,0.32,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:0000987,7,cis-regulatory region sequence-specific DNA binding,6,3,0.0022659,0.31,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:0001067,5,transcription regulatory region nucleic acid binding,6,3,0.004529,0.25,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:0003677,5,DNA binding,6,3,0.017157,0.15,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:0003690,6,double-stranded DNA binding,6,3,0.005653,0.23,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:0006355,7,"regulation of transcription, DNA-templated",8,3,0.021931,0.14,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:0006357,8,regulation of transcription by RNA polymerase II,7,3,0.011462,0.18,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:0009889,5,regulation of biosynthetic process,8,3,0.030027,0.12,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:0010468,6,regulation of gene expression,10,3,0.042897,0.11,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:0010556,6,regulation of macromolecule biosynthetic process,8,3,0.027991,0.13,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:0019219,6,regulation of nucleobase-containing compound metabolic process,9,3,0.031316,0.12,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:0031326,6,regulation of cellular biosynthetic process,8,3,0.029295,0.13,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:0043565,6,sequence-specific DNA binding,6,3,0.0060756,0.22,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:0051252,6,regulation of RNA metabolic process,9,3,0.027767,0.13,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:1903506,8,regulation of nucleic acid-templated transcription,8,3,0.021959,0.14,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:1990837,7,sequence-specific double-stranded DNA binding,6,3,0.0048531,0.24,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:2001141,7,regulation of RNA biosynthetic process,8,3,0.022015,0.14,0.02854586666666666,0.0274472,0.0314188;0.0274472;0.0267716,-1.5615019530926877,1
Fadrozole,GO:0043231,5,intracellular membrane-bounded organelle,14,5,0.024046,0.074,0.24348472,0.0314188,0.394765;0.0314188;0.0274472;0.737021;0.0267716,-1.5028104062893792,20
Fadrozole,GO:0046914,6,transition metal ion binding,8,3,0.0023347,0.31,0.2975940666666667,0.128314,0.128314;0.0274472;0.737021,-0.8917259563215519,21
Fenitrothion,GO:0019318,5,hexose metabolic process,8,3,0.0096227,4.35,0.03409119999999999,0.0293456,0.0502349;0.0226931;0.0293456,-1.53245700647669,1
Fenitrothion,GO:0045017,5,glycerolipid biosynthetic process,4,3,0.047096,2.36,0.0927327,0.0307384,0.0307384;0.0251587;0.222301,-1.5123187422121847,2
Fenitrothion,GO:0046474,6,glycerophospholipid biosynthetic process,4,3,0.038436,2.56,0.0927327,0.0307384,0.0307384;0.0251587;0.222301,-1.5123187422121847,2
Fenitrothion,GO:0050660,5,flavin adenine dinucleotide binding,11,3,0.015832,3.61,0.0400671,0.0339328,0.0585987;0.0276698;0.0339328,-1.4693803026190382,4
Fenitrothion,GO:0015036,5,disulfide oxidoreductase activity,5,3,0.0022259,7.32,0.08017883333333334,0.0401477,0.0276698;0.172719;0.0401477,-1.3963393297357336,5
Fenitrothion,GO:0015038,6,glutathione disulfide oxidoreductase activity,3,3,2.4665e-6,60,0.08017883333333334,0.0401477,0.0276698;0.172719;0.0401477,-1.3963393297357336,5
Fenitrothion,GO:0044242,5,cellular lipid catabolic process,16,3,0.04619,2.38,0.03870513333333333,0.0432338,0.0432338;0.043536;0.0293456,-1.3641765908253032,7
Fenitrothion,GO:0016042,5,lipid catabolic process,18,4,0.025858,2.27,0.0856066,0.0433849,0.226311;0.0432338;0.043536;0.0293456,-1.3626613992378345,8
Fenitrothion,GO:0043434,5,response to peptide hormone,7,3,0.002909,6.67,0.1275691333333333,0.0438118,0.0438118;0.0293456;0.30955,-1.3584089035438383,9
Fenitrothion,GO:1901652,5,response to peptide,7,3,0.0030977,6.52,0.1275691333333333,0.0438118,0.0438118;0.0293456;0.30955,-1.3584089035438383,9
