GO Term,GO Level,Pathway Name,n-Genes,p-value,%,Median BMD
GO:0006694,6,steroid biosynthetic process,6,0.0025732,9.38,458.6195
GO:1901617,5,organic hydroxy compound biosynthetic process,6,0.020562,6.06,458.6195
GO:1902652,5,secondary alcohol metabolic process,8,1.31E-04,11.43,458.6195
GO:0019395,7,fatty acid oxidation,4,0.0081143,10.81,464.562
GO:0005783,6,endoplasmic reticulum,27,0.0032039,3.88,465.067
GO:0046165,5,alcohol biosynthetic process,5,0.014925,7.46,465.835
GO:0006351,7,"transcription, DNA-templated",7,0.023063,5.38,468
GO:0097659,7,nucleic acid-templated transcription,7,0.023063,5.38,468
GO:0004198,7,calcium-dependent cysteine-type endopeptidase activity,3,0.01291,13.04,471.38
GO:0008380,8,RNA splicing,9,0.044504,4.43,480.956
GO:0046903,5,secretion,9,0.0167,5,488.88
GO:0008328,6,ionotropic glutamate receptor complex,3,0.042401,8.33,492.274
GO:0098878,5,neurotransmitter receptor complex,3,0.042401,8.33,492.274
GO:0006635,7,fatty acid beta-oxidation,3,0.024223,10.34,492.659
GO:0030258,5,lipid modification,7,0.014299,5.93,492.659
GO:0033293,6,monocarboxylic acid binding,3,0.016243,12,492.659
GO:0034440,6,lipid oxidation,5,0.0022642,11.63,492.659
GO:0055088,6,lipid homeostasis,5,0.0056621,9.43,492.659
GO:0072329,7,monocarboxylic acid catabolic process,4,0.027511,7.55,496.433
GO:0007507,5,heart development,14,5.56E-04,6.03,496.9455
GO:0006006,6,glucose metabolic process,5,0.0016319,12.5,501.455
GO:0019318,5,hexose metabolic process,6,0.0037599,8.7,505.7615
GO:0005739,6,mitochondrion,26,0.031258,3.33,508.6675
GO:0006493,7,protein O-linked glycosylation,3,0.020013,11.11,519.215
GO:0000422,6,autophagy of mitochondrion,3,0.039481,8.57,521.171
GO:0061726,7,mitochondrion disassembly,3,0.039481,8.57,521.171
GO:0008016,7,regulation of heart contraction,4,0.047412,6.35,522.2725
GO:0007186,5,G protein-coupled receptor signaling pathway,11,0.045422,1.22,523.374
GO:0016616,5,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",9,6.88E-04,8.11,524.931
GO:0042383,5,sarcolemma,4,0.0097702,10.26,536.425
GO:0003015,5,heart process,5,0.015832,7.35,542.132
GO:0060047,6,heart contraction,5,0.013216,7.69,542.132
GO:0043171,5,peptide catabolic process,3,0.0075287,15.79,547.603
GO:0009225,6,nucleotide-sugar metabolic process,3,0.014522,12.5,577.053
GO:0009226,6,nucleotide-sugar biosynthetic process,3,0.0064421,16.67,577.053
GO:0016702,5,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",3,0.039481,8.57,604.666
GO:0016073,8,snRNA metabolic process,3,0.031363,9.38,651.265
