Identifier,DES-100ug/L-B
ENSDARG00000092708,0
ENSDARG00000017905,7
ENSDARG00000030514,5
ENSDARG00000056400,3
ENSDARG00000042937,1
ENSDARG00000092600,0
ENSDARG00000027355,90
ENSDARG00000092022,0
ENSDARG00000056381,2
ENSDARG00000056376,0
ENSDARG00000056369,2
ENSDARG00000011023,2
ENSDARG00000003046,0
ENSDARG00000095697,0
ENSDARG00000016065,0
ENSDARG00000062132,13
ENSDARG00000117687,0
ENSDARG00000117295,0
ENSDARG00000094943,0
ENSDARG00000115616,0
ENSDARG00000037545,0
ENSDARG00000062122,0
ENSDARG00000095111,0
ENSDARG00000008287,2
ENSDARG00000015495,17
ENSDARG00000062081,4
ENSDARG00000018178,2
ENSDARG00000093886,0
ENSDARG00000056163,1
ENSDARG00000079488,0
ENSDARG00000062055,0
ENSDARG00000074275,0
ENSDARG00000075330,0
ENSDARG00000006392,0
ENSDARG00000073902,3
ENSDARG00000019945,0
ENSDARG00000086957,1
ENSDARG00000056151,71
ENSDARG00000061985,5
ENSDARG00000061981,5
ENSDARG00000003631,1
ENSDARG00000056133,1
ENSDARG00000070321,1
ENSDARG00000017744,5
ENSDARG00000070320,0
ENSDARG00000061952,1
ENSDARG00000061936,0
ENSDARG00000006434,1
ENSDARG00000037484,1
ENSDARG00000094729,0
ENSDARG00000095388,1
ENSDARG00000085360,0
ENSDARG00000037487,1
ENSDARG00000008068,5
ENSDARG00000077648,0
ENSDARG00000096580,0
ENSDARG00000079250,0
ENSDARG00000019986,33
ENSDARG00000080019,3
ENSDARG00000099995,0
ENSDARG00000070278,1
ENSDARG00000061830,1
ENSDARG00000041776,0
ENSDARG00000095632,0
ENSDARG00000037455,9
ENSDARG00000093816,0
ENSDARG00000070266,18
ENSDARG00000037429,0
ENSDARG00000055874,20
ENSDARG00000055876,10
ENSDARG00000092321,0
ENSDARG00000061786,0
ENSDARG00000094202,13
ENSDARG00000109806,0
ENSDARG00000112850,0
ENSDARG00000110242,0
ENSDARG00000115895,0
ENSDARG00000061459,5
ENSDARG00000037411,1
ENSDARG00000084908,0
ENSDARG00000037410,4
ENSDARG00000037409,1
ENSDARG00000070173,2
ENSDARG00000052782,3
ENSDARG00000037406,1
ENSDARG00000034773,4
ENSDARG00000033273,3
ENSDARG00000055439,2
ENSDARG00000055443,2
ENSDARG00000112783,0
ENSDARG00000095593,0
ENSDARG00000037383,0
ENSDARG00000030759,1
ENSDARG00000079074,0
ENSDARG00000061504,2
ENSDARG00000000606,0
ENSDARG00000107258,0
ENSDARG00000087224,0
ENSDARG00000052764,1
ENSDARG00000092275,0
ENSDARG00000055559,0
ENSDARG00000114954,0
ENSDARG00000115778,0
ENSDARG00000026871,3
ENSDARG00000016470,26
ENSDARG00000103166,1
ENSDARG00000091660,0
ENSDARG00000038056,14
ENSDARG00000002406,0
ENSDARG00000034007,1
ENSDARG00000061143,2
ENSDARG00000034896,3
ENSDARG00000116099,0
ENSDARG00000037378,5
ENSDARG00000012672,7
ENSDARG00000093064,4
ENSDARG00000061121,5
ENSDARG00000094677,0
ENSDARG00000054799,1
ENSDARG00000116939,0
ENSDARG00000037350,348
ENSDARG00000022845,4
ENSDARG00000019838,15
ENSDARG00000005799,3
ENSDARG00000013505,4
ENSDARG00000055022,6
ENSDARG00000061451,0
ENSDARG00000070121,0
ENSDARG00000054680,1
ENSDARG00000092290,3
ENSDARG00000055099,2
ENSDARG00000070109,1
ENSDARG00000070098,3
ENSDARG00000094046,0
ENSDARG00000114096,0
ENSDARG00000004246,11
ENSDARG00000083023,0
ENSDARG00000031108,24
ENSDARG00000015266,9
ENSDARG00000100600,0
ENSDARG00000092542,0
ENSDARG00000035692,350
ENSDARG00000094885,0
ENSDARG00000090822,0
ENSDARG00000088202,1
ENSDARG00000086859,0
ENSDARG00000090118,0
ENSDARG00000061021,2
ENSDARG00000037309,0
ENSDARG00000054334,0
ENSDARG00000116715,0
ENSDARG00000060994,3
ENSDARG00000106456,0
ENSDARG00000074776,2
ENSDARG00000074451,0
ENSDARG00000079434,9
ENSDARG00000031817,1
ENSDARG00000074812,4
ENSDARG00000070055,3
ENSDARG00000070050,7
ENSDARG00000095408,0
ENSDARG00000037286,0
ENSDARG00000037283,6
ENSDARG00000037281,80
ENSDARG00000037278,1
ENSDARG00000070039,0
ENSDARG00000091184,0
ENSDARG00000094763,0
ENSDARG00000037276,0
ENSDARG00000013787,1
ENSDARG00000086790,0
ENSDARG00000006427,728
ENSDARG00000104824,0
ENSDARG00000076499,1
ENSDARG00000037266,6
ENSDARG00000077157,6
ENSDARG00000037256,0
ENSDARG00000116236,0
ENSDARG00000069998,1
ENSDARG00000053995,2
ENSDARG00000021702,20
ENSDARG00000054031,2
ENSDARG00000037259,39
ENSDARG00000037260,2
ENSDARG00000037261,6
ENSDARG00000037262,0
ENSDARG00000104309,0
ENSDARG00000077817,0
ENSDARG00000107180,0
ENSDARG00000076928,3
ENSDARG00000009685,3
ENSDARG00000079377,1
ENSDARG00000091678,1
ENSDARG00000014790,7
ENSDARG00000019581,7
ENSDARG00000096665,0
ENSDARG00000079925,0
ENSDARG00000053731,0
ENSDARG00000094127,0
ENSDARG00000005210,3
ENSDARG00000023330,19
ENSDARG00000096667,5
ENSDARG00000037245,0
ENSDARG00000096554,0
ENSDARG00000079266,1
ENSDARG00000023600,5
ENSDARG00000033345,1
ENSDARG00000069989,6
ENSDARG00000095189,0
ENSDARG00000104096,0
ENSDARG00000102639,0
ENSDARG00000006621,5
ENSDARG00000069996,2
ENSDARG00000100083,7
ENSDARG00000031632,0
ENSDARG00000101474,3
ENSDARG00000104710,1
ENSDARG00000095954,0
ENSDARG00000095895,0
ENSDARG00000089138,3
ENSDARG00000112052,1
ENSDARG00000089334,0
ENSDARG00000053456,2
ENSDARG00000053466,8
ENSDARG00000053463,0
ENSDARG00000037109,4
ENSDARG00000096538,0
ENSDARG00000005739,5
ENSDARG00000053496,5
ENSDARG00000053500,3
ENSDARG00000053502,0
ENSDARG00000035080,0
ENSDARG00000037100,1
ENSDARG00000096627,0
ENSDARG00000096648,0
ENSDARG00000075193,0
ENSDARG00000069804,0
ENSDARG00000078546,0
ENSDARG00000037099,6
ENSDARG00000060620,1
ENSDARG00000075858,0
ENSDARG00000096592,0
ENSDARG00000096643,0
ENSDARG00000093663,0
ENSDARG00000096555,0
ENSDARG00000096544,0
ENSDARG00000069799,0
ENSDARG00000074117,0
ENSDARG00000092653,0
ENSDARG00000061732,4
ENSDARG00000095590,0
ENSDARG00000031202,4
ENSDARG00000037144,2
ENSDARG00000037177,8
ENSDARG00000003866,13
ENSDARG00000037178,0
ENSDARG00000028982,8
ENSDARG00000055839,0
ENSDARG00000060477,2
ENSDARG00000082429,0
ENSDARG00000113839,0
ENSDARG00000110947,0
ENSDARG00000096572,0
ENSDARG00000091513,7
ENSDARG00000026771,6
ENSDARG00000096632,12
ENSDARG00000099758,7
ENSDARG00000093065,0
ENSDARG00000074302,0
ENSDARG00000003142,2
ENSDARG00000096668,6
ENSDARG00000042688,0
ENSDARG00000060559,1
ENSDARG00000114316,0
ENSDARG00000114817,0
ENSDARG00000096527,8
ENSDARG00000092278,0
ENSDARG00000019715,3
ENSDARG00000017174,1
ENSDARG00000069946,13
ENSDARG00000074575,12
ENSDARG00000069951,3
ENSDARG00000069953,0
ENSDARG00000093358,0
ENSDARG00000094957,0
ENSDARG00000078902,0
ENSDARG00000039616,3
ENSDARG00000095941,0
ENSDARG00000018611,0
ENSDARG00000053269,3
ENSDARG00000039615,0
ENSDARG00000060501,4
ENSDARG00000039613,0
ENSDARG00000029751,1
ENSDARG00000027572,5
ENSDARG00000078733,1
ENSDARG00000058231,6
ENSDARG00000053248,2
ENSDARG00000012896,3
ENSDARG00000100996,0
ENSDARG00000096540,0
ENSDARG00000053241,0
ENSDARG00000069834,0
ENSDARG00000096548,0
ENSDARG00000027826,0
ENSDARG00000107292,0
ENSDARG00000079455,6
ENSDARG00000089053,0
ENSDARG00000078810,0
ENSDARG00000115601,0
ENSDARG00000094318,0
ENSDARG00000060716,3
ENSDARG00000074815,3
ENSDARG00000033380,0
ENSDARG00000051975,27
ENSDARG00000079280,0
ENSDARG00000053586,2
ENSDARG00000002190,15
ENSDARG00000053580,0
ENSDARG00000003701,0
ENSDARG00000079350,5
ENSDARG00000012763,4
ENSDARG00000013023,0
ENSDARG00000106311,0
ENSDARG00000115905,0
ENSDARG00000022971,0
ENSDARG00000081597,0
ENSDARG00000032056,5
ENSDARG00000074860,2
ENSDARG00000053542,1
ENSDARG00000094556,0
ENSDARG00000053535,1
ENSDARG00000111052,0
ENSDARG00000015312,1
ENSDARG00000015506,5
ENSDARG00000013006,2
ENSDARG00000108956,0
ENSDARG00000058287,3
ENSDARG00000069910,3
ENSDARG00000109513,0
ENSDARG00000092693,407
ENSDARG00000084532,0
ENSDARG00000085301,0
ENSDARG00000081849,0
ENSDARG00000082811,1
ENSDARG00000095892,0
ENSDARG00000095934,0
ENSDARG00000079191,0
ENSDARG00000105033,0
ENSDARG00000102858,0
ENSDARG00000093282,0
ENSDARG00000101520,0
ENSDARG00000075798,0
ENSDARG00000037018,10
ENSDARG00000074677,0
ENSDARG00000094485,0
ENSDARG00000060397,8
ENSDARG00000094648,0
ENSDARG00000027199,8
ENSDARG00000115856,0
ENSDARG00000060383,1
ENSDARG00000037002,0
ENSDARG00000076171,12
ENSDARG00000112614,0
ENSDARG00000113986,0
ENSDARG00000036995,22
ENSDARG00000069737,1
ENSDARG00000095555,0
ENSDARG00000011876,6
ENSDARG00000078789,3
ENSDARG00000036755,1
ENSDARG00000078326,4
ENSDARG00000102082,1
ENSDARG00000081340,0
ENSDARG00000034093,3
ENSDARG00000102787,2
ENSDARG00000082897,0
ENSDARG00000074501,0
ENSDARG00000090416,2
ENSDARG00000074989,4
ENSDARG00000076343,0
ENSDARG00000077519,0
ENSDARG00000040048,2
ENSDARG00000082660,0
ENSDARG00000057303,4
ENSDARG00000113575,0
ENSDARG00000029722,101
ENSDARG00000008305,5
ENSDARG00000117649,0
ENSDARG00000007477,1
ENSDARG00000053106,0
ENSDARG00000012016,5
ENSDARG00000011066,1
ENSDARG00000004621,38
ENSDARG00000095811,0
ENSDARG00000075098,0
ENSDARG00000053222,8
ENSDARG00000089976,8
ENSDARG00000069640,0
ENSDARG00000104657,0
ENSDARG00000117532,0
ENSDARG00000085733,0
ENSDARG00000005479,16
ENSDARG00000110757,0
ENSDARG00000085080,0
ENSDARG00000093919,0
ENSDARG00000036990,1
ENSDARG00000085746,0
ENSDARG00000007387,1
ENSDARG00000024828,5
ENSDARG00000070162,8
ENSDARG00000104907,5
ENSDARG00000080987,0
ENSDARG00000079183,0
ENSDARG00000104437,13
ENSDARG00000103145,5
ENSDARG00000069701,0
ENSDARG00000020857,0
ENSDARG00000093120,0
ENSDARG00000074662,1
ENSDARG00000076585,0
ENSDARG00000079631,2
ENSDARG00000018587,1
ENSDARG00000078182,0
ENSDARG00000095065,0
ENSDARG00000109438,0
ENSDARG00000074610,0
ENSDARG00000069707,0
ENSDARG00000078251,0
ENSDARG00000008457,0
ENSDARG00000031435,109
ENSDARG00000077874,0
ENSDARG00000069710,0
ENSDARG00000079552,0
ENSDARG00000087333,3
ENSDARG00000009315,5
ENSDARG00000030368,4
ENSDARG00000117231,2
ENSDARG00000117450,4
ENSDARG00000117485,2
ENSDARG00000117707,2
ENSDARG00000052899,0
ENSDARG00000052900,0
ENSDARG00000052895,0
ENSDARG00000074600,0
ENSDARG00000075521,2
ENSDARG00000095566,0
ENSDARG00000007941,4
ENSDARG00000095651,1
ENSDARG00000069669,0
ENSDARG00000108025,0
ENSDARG00000033604,6
ENSDARG00000060236,0
ENSDARG00000036774,5
ENSDARG00000109727,0
ENSDARG00000052866,6
ENSDARG00000108028,0
ENSDARG00000091911,0
ENSDARG00000093237,1
ENSDARG00000008706,49
ENSDARG00000078108,0
ENSDARG00000075639,2
ENSDARG00000078016,0
ENSDARG00000092551,1
ENSDARG00000075194,0
ENSDARG00000098598,0
ENSDARG00000060252,6
ENSDARG00000078908,0
ENSDARG00000036965,0
ENSDARG00000036967,8
ENSDARG00000060264,0
ENSDARG00000024101,1
ENSDARG00000107253,0
ENSDARG00000024785,4
ENSDARG00000084202,0
ENSDARG00000087061,0
ENSDARG00000052713,3
ENSDARG00000107073,0
ENSDARG00000113563,0
ENSDARG00000081405,0
ENSDARG00000052712,109
ENSDARG00000052703,7
ENSDARG00000052700,0
ENSDARG00000052696,7
ENSDARG00000075112,0
ENSDARG00000029898,1
ENSDARG00000092730,4
ENSDARG00000078622,8
ENSDARG00000074132,0
ENSDARG00000075598,0
ENSDARG00000117264,0
ENSDARG00000094910,2
ENSDARG00000117756,0
ENSDARG00000074476,1
ENSDARG00000087178,3
ENSDARG00000095949,1
ENSDARG00000076277,2
ENSDARG00000075916,3
ENSDARG00000078558,0
ENSDARG00000052019,1
ENSDARG00000101106,2
ENSDARG00000103871,1
ENSDARG00000089345,0
ENSDARG00000099025,0
ENSDARG00000098805,2
ENSDARG00000052016,2
ENSDARG00000059682,0
ENSDARG00000078233,16
ENSDARG00000104759,0
ENSDARG00000075179,0
ENSDARG00000104249,0
ENSDARG00000111029,0
ENSDARG00000105108,0
ENSDARG00000112081,0
ENSDARG00000109574,0
ENSDARG00000115729,0
ENSDARG00000116661,0
ENSDARG00000111422,0
ENSDARG00000111051,0
ENSDARG00000112750,0
ENSDARG00000113452,0
ENSDARG00000069116,7
ENSDARG00000069114,0
ENSDARG00000014803,1
ENSDARG00000016793,59
ENSDARG00000052012,0
ENSDARG00000083573,0
ENSDARG00000016263,4
ENSDARG00000095781,0
ENSDARG00000007786,8
ENSDARG00000009472,2
ENSDARG00000111774,0
ENSDARG00000037748,4
ENSDARG00000002840,0
ENSDARG00000079632,13
ENSDARG00000016994,2
ENSDARG00000029718,1
ENSDARG00000051993,0
ENSDARG00000092459,0
ENSDARG00000094678,1
ENSDARG00000051989,0
ENSDARG00000095407,0
ENSDARG00000051986,24
ENSDARG00000051981,1
ENSDARG00000059653,2
ENSDARG00000016835,0
ENSDARG00000094133,11
ENSDARG00000093997,2
ENSDARG00000093289,0
ENSDARG00000078659,8
ENSDARG00000093954,0
ENSDARG00000031836,6
ENSDARG00000117392,0
ENSDARG00000098263,0
ENSDARG00000105005,0
ENSDARG00000030972,0
ENSDARG00000051970,0
ENSDARG00000019778,356
ENSDARG00000051965,0
ENSDARG00000087426,7
ENSDARG00000069559,11
ENSDARG00000093347,3
ENSDARG00000069566,6
ENSDARG00000095108,0
ENSDARG00000006588,49
ENSDARG00000006225,14
ENSDARG00000052766,0
ENSDARG00000117778,0
ENSDARG00000095463,0
ENSDARG00000069632,0
ENSDARG00000025518,2
ENSDARG00000105481,0
ENSDARG00000092240,5
ENSDARG00000030376,3
ENSDARG00000069619,18
ENSDARG00000030656,7
ENSDARG00000114294,0
ENSDARG00000032340,4
ENSDARG00000026068,9
ENSDARG00000002285,3
ENSDARG00000069595,2
ENSDARG00000060187,0
ENSDARG00000060184,0
ENSDARG00000113491,0
ENSDARG00000008279,0
ENSDARG00000010773,2
ENSDARG00000025233,0
ENSDARG00000016548,16
ENSDARG00000073848,2
ENSDARG00000052677,0
ENSDARG00000117377,0
ENSDARG00000008131,2
ENSDARG00000053340,0
ENSDARG00000095834,0
ENSDARG00000008413,5
ENSDARG00000095860,0
ENSDARG00000029133,5
ENSDARG00000075859,0
ENSDARG00000070858,2
ENSDARG00000036658,8
ENSDARG00000036650,3
ENSDARG00000036645,0
ENSDARG00000036637,2
ENSDARG00000036636,1
ENSDARG00000052641,11
ENSDARG00000052624,4
ENSDARG00000081252,0
ENSDARG00000080168,0
ENSDARG00000092950,0
ENSDARG00000095507,0
ENSDARG00000094160,0
ENSDARG00000036549,18
ENSDARG00000036546,0
ENSDARG00000116185,0
ENSDARG00000036545,0
ENSDARG00000036542,0
ENSDARG00000089853,3
ENSDARG00000000086,2
ENSDARG00000026902,3
ENSDARG00000036592,1
ENSDARG00000001470,3
ENSDARG00000086877,3
ENSDARG00000069471,5
ENSDARG00000036588,13
ENSDARG00000036587,3
ENSDARG00000043271,0
ENSDARG00000036687,5
ENSDARG00000069450,0
ENSDARG00000015076,0
ENSDARG00000015559,1
ENSDARG00000076773,1
ENSDARG00000007734,1
ENSDARG00000060148,6
ENSDARG00000069438,3
ENSDARG00000083014,0
ENSDARG00000069435,0
ENSDARG00000108154,0
ENSDARG00000114522,0
ENSDARG00000103535,0
ENSDARG00000112034,2
ENSDARG00000096191,0
ENSDARG00000096053,0
ENSDARG00000096589,0
ENSDARG00000075045,0
ENSDARG00000096031,2
ENSDARG00000036008,4
ENSDARG00000008886,1
ENSDARG00000094465,0
ENSDARG00000052468,0
ENSDARG00000018325,1
ENSDARG00000096003,52
ENSDARG00000052480,16
ENSDARG00000022891,3
ENSDARG00000005314,0
ENSDARG00000036479,0
ENSDARG00000092919,0
ENSDARG00000074052,0
ENSDARG00000074136,0
ENSDARG00000075389,0
ENSDARG00000069415,32
ENSDARG00000082615,0
ENSDARG00000012574,1
ENSDARG00000052512,0
ENSDARG00000079501,0
ENSDARG00000094063,0
ENSDARG00000031894,5
ENSDARG00000030765,32
ENSDARG00000026548,0
ENSDARG00000052520,1
ENSDARG00000036494,0
ENSDARG00000018721,2
ENSDARG00000114696,0
ENSDARG00000013667,1
ENSDARG00000060036,23
ENSDARG00000076420,1
ENSDARG00000057099,0
ENSDARG00000014098,0
ENSDARG00000016818,0
ENSDARG00000010655,2
ENSDARG00000075785,0
ENSDARG00000075887,0
ENSDARG00000075564,2
ENSDARG00000117385,1
ENSDARG00000116732,0
ENSDARG00000100792,9
ENSDARG00000075043,1
ENSDARG00000115918,0
ENSDARG00000030703,0
ENSDARG00000017772,105
ENSDARG00000005578,5
ENSDARG00000024933,0
ENSDARG00000004427,19
ENSDARG00000015540,6
ENSDARG00000043587,22
