Identifier,DES-1ug/L-C
ENSDARG00000096526,0
ENSDARG00000113858,1
ENSDARG00000096599,0
ENSDARG00000100771,0
ENSDARG00000079873,1
ENSDARG00000079332,0
ENSDARG00000007443,3
ENSDARG00000037746,367
ENSDARG00000037747,1
ENSDARG00000079361,0
ENSDARG00000012458,20
ENSDARG00000070543,0
ENSDARG00000094298,0
ENSDARG00000089873,0
ENSDARG00000093438,3
ENSDARG00000094206,0
ENSDARG00000037758,0
ENSDARG00000008723,1
ENSDARG00000110570,0
ENSDARG00000058460,0
ENSDARG00000088975,0
ENSDARG00000100949,0
ENSDARG00000093053,0
ENSDARG00000058463,68
ENSDARG00000076716,2
ENSDARG00000058464,3
ENSDARG00000058471,2
ENSDARG00000096584,0
ENSDARG00000058475,0
ENSDARG00000080404,0
ENSDARG00000058480,3
ENSDARG00000024740,9
ENSDARG00000101597,2
ENSDARG00000058445,12
ENSDARG00000063169,1
ENSDARG00000092791,0
ENSDARG00000037760,2
ENSDARG00000117314,0
ENSDARG00000017834,1
ENSDARG00000074282,3
ENSDARG00000074372,2
ENSDARG00000104203,0
ENSDARG00000101495,3
ENSDARG00000091916,11
ENSDARG00000099276,5
ENSDARG00000104995,0
ENSDARG00000033852,4
ENSDARG00000037654,4
ENSDARG00000037652,0
ENSDARG00000037646,0
ENSDARG00000032795,1
ENSDARG00000018263,26
ENSDARG00000077542,1
ENSDARG00000070490,0
ENSDARG00000015678,0
ENSDARG00000079043,0
ENSDARG00000076174,0
ENSDARG00000037647,2
ENSDARG00000008969,45
ENSDARG00000020741,26
ENSDARG00000104660,2
ENSDARG00000096594,2
ENSDARG00000077652,4
ENSDARG00000079452,0
ENSDARG00000089943,0
ENSDARG00000096536,0
ENSDARG00000077533,82
ENSDARG00000030563,2
ENSDARG00000026387,0
ENSDARG00000070495,0
ENSDARG00000084766,0
ENSDARG00000034785,1
ENSDARG00000070512,3
ENSDARG00000070504,0
ENSDARG00000062057,1
ENSDARG00000067992,0
ENSDARG00000103508,0
ENSDARG00000070502,0
ENSDARG00000037679,1
ENSDARG00000076833,45
ENSDARG00000012297,0
ENSDARG00000087107,0
ENSDARG00000099342,0
ENSDARG00000008487,11
ENSDARG00000084839,0
ENSDARG00000100507,0
ENSDARG00000070239,0
ENSDARG00000074379,2
ENSDARG00000062854,0
ENSDARG00000112849,0
ENSDARG00000113410,0
ENSDARG00000092242,0
ENSDARG00000092200,0
ENSDARG00000093636,0
ENSDARG00000095482,0
ENSDARG00000094981,0
ENSDARG00000037619,0
ENSDARG00000062585,0
ENSDARG00000074213,0
ENSDARG00000062606,0
ENSDARG00000077198,0
ENSDARG00000007678,5
ENSDARG00000089930,2
ENSDARG00000078057,2
ENSDARG00000070448,13
ENSDARG00000070449,1
ENSDARG00000042988,8
ENSDARG00000096506,0
ENSDARG00000070452,5
ENSDARG00000070454,2
ENSDARG00000096515,0
ENSDARG00000038114,0
ENSDARG00000008637,42
ENSDARG00000091609,14
ENSDARG00000002634,1
ENSDARG00000062467,3
ENSDARG00000032808,0
ENSDARG00000078318,0
ENSDARG00000018997,11
ENSDARG00000099771,2
ENSDARG00000045620,4
ENSDARG00000045618,43
ENSDARG00000057248,2
ENSDARG00000017985,8
ENSDARG00000113585,0
ENSDARG00000106508,0
ENSDARG00000117227,0
ENSDARG00000104707,0
ENSDARG00000102049,0
ENSDARG00000116228,0
ENSDARG00000099729,6
ENSDARG00000105122,0
ENSDARG00000098668,0
ENSDARG00000098053,0
ENSDARG00000102604,0
ENSDARG00000102339,0
ENSDARG00000089805,1
ENSDARG00000117726,0
ENSDARG00000117541,1
ENSDARG00000112668,0
ENSDARG00000110084,0
ENSDARG00000078525,0
ENSDARG00000079626,8
ENSDARG00000057114,4
ENSDARG00000009026,0
ENSDARG00000085400,0
ENSDARG00000014273,4
ENSDARG00000104795,0
ENSDARG00000056806,0
ENSDARG00000056797,1
ENSDARG00000062341,1
ENSDARG00000107022,0
ENSDARG00000056742,0
ENSDARG00000037576,0
ENSDARG00000070431,3
ENSDARG00000022690,2
ENSDARG00000056677,2
ENSDARG00000012903,19
ENSDARG00000003398,10
ENSDARG00000074867,2
ENSDARG00000109597,0
ENSDARG00000111274,0
ENSDARG00000110922,3
ENSDARG00000116310,0
ENSDARG00000109592,0
ENSDARG00000117482,0
ENSDARG00000103921,0
ENSDARG00000114198,0
ENSDARG00000106947,0
ENSDARG00000039063,0
ENSDARG00000113383,0
ENSDARG00000109748,0
ENSDARG00000116279,0
ENSDARG00000109910,0
ENSDARG00000116174,0
ENSDARG00000116266,0
ENSDARG00000111171,0
ENSDARG00000111710,0
ENSDARG00000111723,0
ENSDARG00000115042,0
ENSDARG00000114262,0
ENSDARG00000078898,5
ENSDARG00000007534,0
ENSDARG00000077804,2
ENSDARG00000013881,4
ENSDARG00000079317,0
ENSDARG00000117428,0
ENSDARG00000106258,0
ENSDARG00000078854,1
ENSDARG00000108223,0
ENSDARG00000007356,0
ENSDARG00000078599,0
ENSDARG00000115704,0
ENSDARG00000109375,0
ENSDARG00000017119,8
ENSDARG00000070412,0
ENSDARG00000034105,2
ENSDARG00000062198,1
ENSDARG00000034817,4
ENSDARG00000056504,3
ENSDARG00000108673,0
ENSDARG00000110937,0
ENSDARG00000117129,0
ENSDARG00000116147,0
ENSDARG00000116406,0
ENSDARG00000111254,0
ENSDARG00000113731,0
ENSDARG00000115569,0
ENSDARG00000113149,0
ENSDARG00000116958,0
ENSDARG00000092109,0
ENSDARG00000017591,16
ENSDARG00000092708,0
ENSDARG00000017905,12
ENSDARG00000030514,6
ENSDARG00000056400,1
ENSDARG00000042937,0
ENSDARG00000092600,0
ENSDARG00000027355,107
ENSDARG00000092022,0
ENSDARG00000056381,1
ENSDARG00000056376,0
ENSDARG00000056369,3
ENSDARG00000011023,0
ENSDARG00000003046,0
ENSDARG00000095697,0
ENSDARG00000016065,0
ENSDARG00000062132,12
ENSDARG00000117687,0
ENSDARG00000117295,1
ENSDARG00000094943,0
ENSDARG00000115616,0
ENSDARG00000037545,1
ENSDARG00000062122,0
ENSDARG00000095111,0
ENSDARG00000008287,2
ENSDARG00000015495,22
ENSDARG00000062081,2
ENSDARG00000018178,2
ENSDARG00000093886,0
ENSDARG00000056163,0
ENSDARG00000079488,0
ENSDARG00000062055,2
ENSDARG00000074275,3
ENSDARG00000075330,0
ENSDARG00000006392,3
ENSDARG00000073902,1
ENSDARG00000019945,2
ENSDARG00000086957,0
ENSDARG00000056151,151
ENSDARG00000061985,5
ENSDARG00000061981,2
ENSDARG00000003631,0
ENSDARG00000056133,0
ENSDARG00000070321,0
ENSDARG00000017744,6
ENSDARG00000070320,0
ENSDARG00000061952,5
ENSDARG00000061936,0
ENSDARG00000006434,5
ENSDARG00000037484,2
ENSDARG00000094729,0
ENSDARG00000095388,1
ENSDARG00000085360,0
ENSDARG00000037487,0
ENSDARG00000008068,3
ENSDARG00000077648,0
ENSDARG00000096580,0
ENSDARG00000079250,0
ENSDARG00000019986,43
ENSDARG00000080019,0
ENSDARG00000099995,1
ENSDARG00000070278,3
ENSDARG00000061830,0
ENSDARG00000041776,1
ENSDARG00000095632,0
ENSDARG00000037455,8
ENSDARG00000093816,0
ENSDARG00000070266,20
ENSDARG00000037429,0
ENSDARG00000055874,27
ENSDARG00000055876,17
ENSDARG00000092321,0
ENSDARG00000061786,0
ENSDARG00000094202,13
ENSDARG00000109806,0
ENSDARG00000112850,0
ENSDARG00000110242,0
ENSDARG00000115895,0
ENSDARG00000061459,5
ENSDARG00000037411,0
ENSDARG00000084908,0
ENSDARG00000037410,9
ENSDARG00000037409,0
ENSDARG00000070173,0
ENSDARG00000052782,1
ENSDARG00000037406,6
ENSDARG00000034773,1
ENSDARG00000033273,2
ENSDARG00000055439,0
ENSDARG00000055443,3
ENSDARG00000112783,0
ENSDARG00000095593,0
ENSDARG00000037383,0
ENSDARG00000030759,1
ENSDARG00000079074,0
ENSDARG00000061504,5
ENSDARG00000000606,0
ENSDARG00000107258,0
ENSDARG00000087224,0
ENSDARG00000052764,0
ENSDARG00000092275,0
ENSDARG00000055559,0
ENSDARG00000114954,0
ENSDARG00000115778,0
ENSDARG00000026871,3
ENSDARG00000016470,25
ENSDARG00000103166,0
ENSDARG00000091660,0
ENSDARG00000038056,12
ENSDARG00000002406,0
ENSDARG00000034007,2
ENSDARG00000061143,3
ENSDARG00000034896,2
ENSDARG00000116099,0
ENSDARG00000037378,8
ENSDARG00000012672,5
ENSDARG00000093064,2
ENSDARG00000061121,5
ENSDARG00000094677,0
ENSDARG00000054799,4
ENSDARG00000116939,0
ENSDARG00000037350,361
ENSDARG00000022845,3
ENSDARG00000019838,19
ENSDARG00000005799,1
ENSDARG00000013505,5
ENSDARG00000055022,3
ENSDARG00000061451,1
ENSDARG00000070121,0
ENSDARG00000054680,0
ENSDARG00000092290,0
ENSDARG00000055099,7
ENSDARG00000070109,4
ENSDARG00000070098,6
ENSDARG00000094046,0
ENSDARG00000114096,0
ENSDARG00000004246,9
ENSDARG00000083023,0
ENSDARG00000031108,18
ENSDARG00000015266,9
ENSDARG00000100600,0
ENSDARG00000092542,0
ENSDARG00000035692,396
ENSDARG00000094885,0
ENSDARG00000090822,0
ENSDARG00000088202,1
ENSDARG00000086859,0
ENSDARG00000090118,0
ENSDARG00000061021,5
ENSDARG00000037309,3
ENSDARG00000054334,1
ENSDARG00000116715,0
ENSDARG00000060994,1
ENSDARG00000106456,0
ENSDARG00000074776,1
ENSDARG00000074451,0
ENSDARG00000079434,5
ENSDARG00000031817,0
ENSDARG00000074812,1
ENSDARG00000070055,7
ENSDARG00000070050,9
ENSDARG00000095408,0
ENSDARG00000037286,0
ENSDARG00000037283,7
ENSDARG00000037281,70
ENSDARG00000037278,1
ENSDARG00000070039,0
ENSDARG00000091184,0
ENSDARG00000094763,0
ENSDARG00000037276,2
ENSDARG00000013787,3
ENSDARG00000086790,0
ENSDARG00000006427,600
ENSDARG00000104824,0
ENSDARG00000076499,0
ENSDARG00000037266,6
ENSDARG00000077157,2
ENSDARG00000037256,0
ENSDARG00000116236,0
ENSDARG00000069998,2
ENSDARG00000053995,1
ENSDARG00000021702,11
ENSDARG00000054031,8
ENSDARG00000037259,31
ENSDARG00000037260,0
ENSDARG00000037261,9
ENSDARG00000037262,0
ENSDARG00000104309,0
ENSDARG00000077817,2
ENSDARG00000107180,0
ENSDARG00000076928,4
ENSDARG00000009685,1
ENSDARG00000079377,0
ENSDARG00000091678,0
ENSDARG00000014790,11
ENSDARG00000019581,5
ENSDARG00000096665,0
ENSDARG00000079925,0
ENSDARG00000053731,0
ENSDARG00000094127,0
ENSDARG00000005210,5
ENSDARG00000023330,23
ENSDARG00000096667,7
ENSDARG00000037245,1
ENSDARG00000096554,2
ENSDARG00000079266,2
ENSDARG00000023600,5
ENSDARG00000033345,0
ENSDARG00000069989,6
ENSDARG00000095189,0
ENSDARG00000104096,0
ENSDARG00000102639,0
ENSDARG00000006621,6
ENSDARG00000069996,3
ENSDARG00000100083,16
ENSDARG00000031632,2
ENSDARG00000101474,5
ENSDARG00000104710,3
ENSDARG00000095954,0
ENSDARG00000095895,0
ENSDARG00000089138,6
ENSDARG00000112052,0
ENSDARG00000089334,1
ENSDARG00000053456,2
ENSDARG00000053466,11
ENSDARG00000053463,3
ENSDARG00000037109,11
ENSDARG00000096538,0
ENSDARG00000005739,8
ENSDARG00000053496,4
ENSDARG00000053500,6
ENSDARG00000053502,0
ENSDARG00000035080,0
ENSDARG00000037100,1
ENSDARG00000096627,0
ENSDARG00000096648,0
ENSDARG00000075193,1
ENSDARG00000069804,0
ENSDARG00000078546,0
ENSDARG00000037099,6
ENSDARG00000060620,1
ENSDARG00000075858,0
ENSDARG00000096592,0
ENSDARG00000096643,0
ENSDARG00000093663,0
ENSDARG00000096555,0
ENSDARG00000096544,0
ENSDARG00000069799,0
ENSDARG00000074117,0
ENSDARG00000092653,0
ENSDARG00000061732,2
ENSDARG00000095590,0
ENSDARG00000031202,1
ENSDARG00000037144,2
ENSDARG00000037177,13
ENSDARG00000003866,17
ENSDARG00000037178,0
ENSDARG00000028982,6
ENSDARG00000055839,0
ENSDARG00000060477,2
ENSDARG00000082429,0
ENSDARG00000113839,0
ENSDARG00000110947,0
ENSDARG00000096572,0
ENSDARG00000091513,2
ENSDARG00000026771,3
ENSDARG00000096632,9
ENSDARG00000099758,2
ENSDARG00000093065,0
ENSDARG00000074302,0
ENSDARG00000003142,1
ENSDARG00000096668,11
ENSDARG00000042688,1
ENSDARG00000060559,1
ENSDARG00000114316,0
ENSDARG00000114817,0
ENSDARG00000096527,12
ENSDARG00000092278,0
ENSDARG00000019715,1
ENSDARG00000017174,1
ENSDARG00000069946,17
ENSDARG00000074575,8
ENSDARG00000069951,1
ENSDARG00000069953,1
ENSDARG00000093358,0
ENSDARG00000094957,0
ENSDARG00000078902,0
ENSDARG00000039616,0
ENSDARG00000095941,0
ENSDARG00000018611,0
ENSDARG00000053269,2
ENSDARG00000039615,1
ENSDARG00000060501,2
ENSDARG00000039613,0
ENSDARG00000029751,0
ENSDARG00000027572,3
ENSDARG00000078733,1
ENSDARG00000058231,4
ENSDARG00000053248,2
ENSDARG00000012896,3
ENSDARG00000100996,0
ENSDARG00000096540,1
ENSDARG00000053241,0
ENSDARG00000069834,0
ENSDARG00000096548,1
ENSDARG00000027826,2
ENSDARG00000107292,0
ENSDARG00000079455,6
ENSDARG00000089053,0
ENSDARG00000078810,0
ENSDARG00000115601,0
ENSDARG00000094318,0
ENSDARG00000060716,6
ENSDARG00000074815,3
ENSDARG00000033380,0
ENSDARG00000051975,18
ENSDARG00000079280,3
ENSDARG00000053586,3
ENSDARG00000002190,14
ENSDARG00000053580,0
ENSDARG00000003701,0
ENSDARG00000079350,3
ENSDARG00000012763,3
ENSDARG00000013023,0
ENSDARG00000106311,0
ENSDARG00000115905,0
ENSDARG00000022971,0
ENSDARG00000081597,0
ENSDARG00000032056,4
ENSDARG00000074860,0
ENSDARG00000053542,8
ENSDARG00000094556,0
ENSDARG00000053535,1
ENSDARG00000111052,0
ENSDARG00000015312,3
ENSDARG00000015506,3
ENSDARG00000013006,0
ENSDARG00000108956,0
ENSDARG00000058287,5
ENSDARG00000069910,7
ENSDARG00000109513,0
ENSDARG00000092693,509
ENSDARG00000084532,0
ENSDARG00000085301,0
ENSDARG00000081849,0
ENSDARG00000082811,0
ENSDARG00000095892,0
ENSDARG00000095934,0
ENSDARG00000079191,0
ENSDARG00000105033,0
ENSDARG00000102858,0
ENSDARG00000093282,0
ENSDARG00000101520,0
ENSDARG00000075798,0
ENSDARG00000037018,8
ENSDARG00000074677,2
ENSDARG00000094485,0
ENSDARG00000060397,11
ENSDARG00000094648,0
ENSDARG00000027199,4
ENSDARG00000115856,0
ENSDARG00000060383,1
ENSDARG00000037002,0
ENSDARG00000076171,6
ENSDARG00000112614,0
ENSDARG00000113986,0
ENSDARG00000036995,15
ENSDARG00000069737,1
ENSDARG00000095555,0
ENSDARG00000011876,7
ENSDARG00000078789,1
ENSDARG00000036755,0
ENSDARG00000078326,9
ENSDARG00000102082,0
ENSDARG00000081340,0
ENSDARG00000034093,1
ENSDARG00000102787,7
ENSDARG00000082897,0
ENSDARG00000074501,0
ENSDARG00000090416,0
ENSDARG00000074989,2
ENSDARG00000076343,0
ENSDARG00000077519,0
ENSDARG00000040048,1
ENSDARG00000082660,0
ENSDARG00000057303,22
ENSDARG00000113575,0
ENSDARG00000029722,108
ENSDARG00000008305,0
ENSDARG00000117649,0
ENSDARG00000007477,4
ENSDARG00000053106,0
ENSDARG00000012016,9
ENSDARG00000011066,2
ENSDARG00000004621,49
ENSDARG00000095811,0
ENSDARG00000075098,0
ENSDARG00000053222,0
ENSDARG00000089976,20
ENSDARG00000069640,2
ENSDARG00000104657,0
ENSDARG00000117532,0
ENSDARG00000085733,0
ENSDARG00000005479,7
ENSDARG00000110757,0
ENSDARG00000085080,0
ENSDARG00000093919,0
ENSDARG00000036990,1
ENSDARG00000085746,0
ENSDARG00000007387,4
ENSDARG00000024828,8
ENSDARG00000070162,8
ENSDARG00000104907,7
ENSDARG00000080987,0
ENSDARG00000079183,3
ENSDARG00000104437,19
ENSDARG00000103145,1
ENSDARG00000069701,0
ENSDARG00000020857,2
ENSDARG00000093120,0
ENSDARG00000074662,0
ENSDARG00000076585,1
ENSDARG00000079631,1
ENSDARG00000018587,0
ENSDARG00000078182,0
ENSDARG00000095065,0
ENSDARG00000109438,0
ENSDARG00000074610,0
ENSDARG00000069707,0
ENSDARG00000078251,0
ENSDARG00000008457,0
ENSDARG00000031435,108
ENSDARG00000077874,0
ENSDARG00000069710,0
ENSDARG00000079552,0
ENSDARG00000087333,1
ENSDARG00000009315,3
ENSDARG00000030368,4
ENSDARG00000117231,1
ENSDARG00000117450,3
ENSDARG00000117485,11
ENSDARG00000117707,1
ENSDARG00000052899,0
ENSDARG00000052900,0
ENSDARG00000052895,0
ENSDARG00000074600,1
ENSDARG00000075521,1
ENSDARG00000095566,0
ENSDARG00000007941,5
ENSDARG00000095651,1
ENSDARG00000069669,0
ENSDARG00000108025,0
ENSDARG00000033604,11
ENSDARG00000060236,0
ENSDARG00000036774,5
ENSDARG00000109727,0
ENSDARG00000052866,4
ENSDARG00000108028,0
ENSDARG00000091911,0
ENSDARG00000093237,0
ENSDARG00000008706,54
ENSDARG00000078108,0
ENSDARG00000075639,1
ENSDARG00000078016,1
ENSDARG00000092551,2
ENSDARG00000075194,3
ENSDARG00000098598,0
ENSDARG00000060252,7
ENSDARG00000078908,0
ENSDARG00000036965,2
ENSDARG00000036967,9
ENSDARG00000060264,2
ENSDARG00000024101,0
ENSDARG00000107253,0
ENSDARG00000024785,4
ENSDARG00000084202,0
ENSDARG00000087061,0
ENSDARG00000052713,2
ENSDARG00000107073,0
ENSDARG00000113563,0
ENSDARG00000081405,0
ENSDARG00000052712,105
ENSDARG00000052703,4
ENSDARG00000052700,0
ENSDARG00000052696,4
ENSDARG00000075112,0
ENSDARG00000029898,2
ENSDARG00000092730,4
ENSDARG00000078622,10
ENSDARG00000074132,1
ENSDARG00000075598,0
ENSDARG00000117264,0
ENSDARG00000094910,2
ENSDARG00000117756,0
ENSDARG00000074476,4
ENSDARG00000087178,3
ENSDARG00000095949,0
ENSDARG00000076277,0
ENSDARG00000075916,4
ENSDARG00000078558,0
ENSDARG00000052019,2
ENSDARG00000101106,1
ENSDARG00000103871,0
ENSDARG00000089345,0
ENSDARG00000099025,0
ENSDARG00000098805,1
ENSDARG00000052016,0
ENSDARG00000059682,0
ENSDARG00000078233,21
ENSDARG00000104759,0
ENSDARG00000075179,0
ENSDARG00000104249,0
ENSDARG00000111029,0
ENSDARG00000105108,0
ENSDARG00000112081,0
ENSDARG00000109574,0
ENSDARG00000115729,0
ENSDARG00000116661,0
ENSDARG00000111422,0
ENSDARG00000111051,0
ENSDARG00000112750,0
ENSDARG00000113452,0
ENSDARG00000069116,12
ENSDARG00000069114,2
ENSDARG00000014803,3
ENSDARG00000016793,45
ENSDARG00000052012,0
ENSDARG00000083573,0
ENSDARG00000016263,7
ENSDARG00000095781,0
ENSDARG00000007786,6
ENSDARG00000009472,3
ENSDARG00000111774,0
ENSDARG00000037748,5
ENSDARG00000002840,7
ENSDARG00000079632,18
ENSDARG00000016994,1
ENSDARG00000029718,1
ENSDARG00000051993,0
ENSDARG00000092459,0
ENSDARG00000094678,0
ENSDARG00000051989,0
ENSDARG00000095407,0
ENSDARG00000051986,14
ENSDARG00000051981,1
ENSDARG00000059653,2
ENSDARG00000016835,0
ENSDARG00000094133,13
ENSDARG00000093997,2
ENSDARG00000093289,0
ENSDARG00000078659,17
ENSDARG00000093954,1
ENSDARG00000031836,3
ENSDARG00000117392,0
ENSDARG00000098263,1
ENSDARG00000105005,0
ENSDARG00000030972,3
ENSDARG00000051970,0
ENSDARG00000019778,437
ENSDARG00000051965,0
ENSDARG00000087426,5
ENSDARG00000069559,4
ENSDARG00000093347,2
ENSDARG00000069566,3
ENSDARG00000095108,0
ENSDARG00000006588,58
ENSDARG00000006225,19
ENSDARG00000052766,0
ENSDARG00000117778,0
ENSDARG00000095463,0
ENSDARG00000069632,1
ENSDARG00000025518,0
ENSDARG00000105481,0
ENSDARG00000092240,8
ENSDARG00000030376,0
ENSDARG00000069619,9
ENSDARG00000030656,4
ENSDARG00000114294,0
ENSDARG00000032340,0
ENSDARG00000026068,10
ENSDARG00000002285,3
ENSDARG00000069595,1
ENSDARG00000060187,0
ENSDARG00000060184,3
ENSDARG00000113491,0
ENSDARG00000008279,1
ENSDARG00000010773,8
ENSDARG00000025233,1
ENSDARG00000016548,30
ENSDARG00000073848,4
ENSDARG00000052677,0
ENSDARG00000117377,0
ENSDARG00000008131,0
ENSDARG00000053340,0
ENSDARG00000095834,0
ENSDARG00000008413,7
ENSDARG00000095860,0
ENSDARG00000029133,2
ENSDARG00000075859,1
ENSDARG00000070858,2
ENSDARG00000036658,14
ENSDARG00000036650,4
ENSDARG00000036645,1
ENSDARG00000036637,1
ENSDARG00000036636,0
ENSDARG00000052641,21
ENSDARG00000052624,3
ENSDARG00000081252,0
ENSDARG00000080168,0
ENSDARG00000092950,0
ENSDARG00000095507,0
ENSDARG00000094160,0
ENSDARG00000036549,17
ENSDARG00000036546,0
ENSDARG00000116185,0
ENSDARG00000036545,0
ENSDARG00000036542,1
ENSDARG00000089853,1
ENSDARG00000000086,4
ENSDARG00000026902,2
ENSDARG00000036592,1
ENSDARG00000001470,7
ENSDARG00000086877,3
ENSDARG00000069471,7
ENSDARG00000036588,11
ENSDARG00000036587,3
ENSDARG00000043271,0
ENSDARG00000036687,4
ENSDARG00000069450,0
ENSDARG00000015076,0
ENSDARG00000015559,5
ENSDARG00000076773,0
ENSDARG00000007734,0
ENSDARG00000060148,5
ENSDARG00000069438,3
ENSDARG00000083014,0
ENSDARG00000069435,1
ENSDARG00000108154,0
ENSDARG00000114522,0
ENSDARG00000103535,1
ENSDARG00000112034,0
ENSDARG00000096191,0
ENSDARG00000096053,0
ENSDARG00000096589,0
ENSDARG00000075045,0
ENSDARG00000096031,4
ENSDARG00000036008,1
ENSDARG00000008886,6
ENSDARG00000094465,0
ENSDARG00000052468,0
ENSDARG00000018325,1
ENSDARG00000096003,63
ENSDARG00000052480,15
ENSDARG00000022891,4
ENSDARG00000005314,0
ENSDARG00000036479,0
ENSDARG00000092919,0
ENSDARG00000074052,0
ENSDARG00000074136,0
ENSDARG00000075389,0
ENSDARG00000069415,23
ENSDARG00000082615,0
ENSDARG00000012574,10
ENSDARG00000052512,2
ENSDARG00000079501,0
ENSDARG00000094063,0
ENSDARG00000031894,2
ENSDARG00000030765,36
ENSDARG00000026548,0
ENSDARG00000052520,0
ENSDARG00000036494,2
ENSDARG00000018721,0
ENSDARG00000114696,0
ENSDARG00000013667,0
ENSDARG00000060036,21
ENSDARG00000076420,0
ENSDARG00000057099,0
ENSDARG00000014098,0
ENSDARG00000016818,0
ENSDARG00000010655,5
ENSDARG00000075785,2
ENSDARG00000075887,0
ENSDARG00000075564,3
ENSDARG00000117385,0
ENSDARG00000116732,0
ENSDARG00000100792,7
ENSDARG00000075043,0
ENSDARG00000115918,0
ENSDARG00000030703,0
ENSDARG00000017772,112
ENSDARG00000005578,4
ENSDARG00000024933,0
ENSDARG00000004427,19
ENSDARG00000015540,2
ENSDARG00000043587,22
