sample,chemical,dose
DEHP_10-3_A-GQReadsPerGene.out.tab,DEHP,0.003
DEHP_10-3_B-GQReadsPerGene.out.tab,DEHP,0.003
DEHP_10-3_C-GQReadsPerGene.out.tab,DEHP,0.003
DEHP_10-4_A-GQReadsPerGene.out.tab,DEHP,0.0003
DEHP_10-4_B-GQReadsPerGene.out.tab,DEHP,0.0003
DEHP_10-4_C-GQReadsPerGene.out.tab,DEHP,0.0003
DEHP_3uM_A-GQReadsPerGene.out.tab,DEHP,3
DEHP_3uM_B-GQReadsPerGene.out.tab,DEHP,3
DEHP_3uM_C-GQReadsPerGene.out.tab,DEHP,3
P1400_10-1_B-GQReadsPerGene.out.tab,P1400,0.3
P1400_10-1_C-GQReadsPerGene.out.tab,P1400,0.3
P1400_10-2_A-GQReadsPerGene.out.tab,P1400,0.03
P1400_10-2_B-GQReadsPerGene.out.tab,P1400,0.03
P1400_10-2_C-GQReadsPerGene.out.tab,P1400,0.03
P1400_10-3_A-GQReadsPerGene.out.tab,P1400,0.003
P1400_10-3_B-GQReadsPerGene.out.tab,P1400,0.003
P1400_10-3_C-GQReadsPerGene.out.tab,P1400,0.003
P1400_10-4_A-GQReadsPerGene.out.tab,P1400,0.0003
P1400_10-4_B-GQReadsPerGene.out.tab,P1400,0.0003
P1400_10-4_C-GQReadsPerGene.out.tab,P1400,0.0003
P1400_10-5_A-GQReadsPerGene.out.tab,P1400,0.00003
P1400_10-5_B-GQReadsPerGene.out.tab,P1400,0.00003
P1400_10-5_C-GQReadsPerGene.out.tab,P1400,0.00003
P1400_3uM_A-GQReadsPerGene.out.tab,P1400,3
P1400_3uM_B-GQReadsPerGene.out.tab,P1400,3
P1400_3uM_C-GQReadsPerGene.out.tab,P1400,3
SANT_10-1_A-GQReadsPerGene.out.tab,SANT,0.3
SANT_10-1_B-GQReadsPerGene.out.tab,SANT,0.3
SANT_10-1_C-GQReadsPerGene.out.tab,SANT,0.3
SANT_10-2_A-GQReadsPerGene.out.tab,SANT,0.03
SANT_10-2_B-GQReadsPerGene.out.tab,SANT,0.03
SANT_10-2_C-GQReadsPerGene.out.tab,SANT,0.03
SANT_10-3_B-GQReadsPerGene.out.tab,SANT,0.003
SANT_10-3_C-GQReadsPerGene.out.tab,SANT,0.003
SANT_10-4_A-GQReadsPerGene.out.tab,SANT,0.0003
SANT_10-4_B-GQReadsPerGene.out.tab,SANT,0.0003
SANT_10-4_C-GQReadsPerGene.out.tab,SANT,0.0003
SANT_3uM_A-GQReadsPerGene.out.tab,SANT,3
SANT_3uM_B-GQReadsPerGene.out.tab,SANT,3
SANT_3uM_C-GQReadsPerGene.out.tab,SANT,3
