,rRNA,not rRNA,Percent_rRNA
Individual_Gene_countsX1.Decanol_0_B_Gene_Counts_Illuminaseq-Salmon.csv,8190,13476451,0.0607357659725609
Individual_Gene_countsX1.Decanol_0_C_Gene_Counts_Illuminaseq-Salmon.csv,8848,15169509,0.0582935293984718
Individual_Gene_countsX1.Decanol_1_A_Gene_Counts_Illuminaseq-Salmon.csv,15455,15286819,0.100998060811093
Individual_Gene_countsX1.Decanol_1_B_Gene_Counts_Illuminaseq-Salmon.csv,9272,11234379,0.0824643169731967
Individual_Gene_countsX1.Decanol_1_C_Gene_Counts_Illuminaseq-Salmon.csv,6244,10703807,0.0583003759739333
Individual_Gene_countsEE2_0.0000001_A_Gene_Counts_Illuminaseq-Salmon.csv,55133,14014239,0.391865393849846
Individual_Gene_countsEE2_0.0000001_B_Gene_Counts_Illuminaseq-Salmon.csv,52302,12961359,0.40190074107509
Individual_Gene_countsEE2_0.0000001_C_Gene_Counts_Illuminaseq-Salmon.csv,41003,10445016,0.391025421563703
Individual_Gene_countsEE2_0.000001_A_Gene_Counts_Illuminaseq-Salmon.csv,75470,13699305,0.547885537150335
Individual_Gene_countsEE2_0.000001_B_Gene_Counts_Illuminaseq-Salmon.csv,55854,11744279,0.473333648019052
Individual_Gene_countsEE2_0.000001_C_Gene_Counts_Illuminaseq-Salmon.csv,81555,12952066,0.625727877157085
Individual_Gene_countsEE2_0.00001_A_Gene_Counts_Illuminaseq-Salmon.csv,44717,13494746,0.33027159201218
Individual_Gene_countsEE2_0.00001_B_Gene_Counts_Illuminaseq-Salmon.csv,81932,14248425,0.571737326571836
Individual_Gene_countsEE2_0.00001_C_Gene_Counts_Illuminaseq-Salmon.csv,82081,15399233,0.530194013247196
Individual_Gene_countsEE2_0.0001_A_Gene_Counts_Illuminaseq-Salmon.csv,68525,11718937,0.581338035278502
Individual_Gene_countsEE2_0.0001_B_Gene_Counts_Illuminaseq-Salmon.csv,89125,12104275,0.730928207062837
Individual_Gene_countsEE2_0.0001_C_Gene_Counts_Illuminaseq-Salmon.csv,6639,12500142,0.0530832034238067
Individual_Gene_countsEE2_0.001_A_Gene_Counts_Illuminaseq-Salmon.csv,52462,11838950,0.441175530710735
Individual_Gene_countsEE2_0.001_B_Gene_Counts_Illuminaseq-Salmon.csv,79216,10597179,0.741973297166319
Individual_Gene_countsEE2_0.001_C_Gene_Counts_Illuminaseq-Salmon.csv,72110,14607229,0.491234653004471
Individual_Gene_countsEE2_0_A_Gene_Counts_Illuminaseq-Salmon.csv,92668,13994935,0.657798207402636
Individual_Gene_countsEE2_0_B_Gene_Counts_Illuminaseq-Salmon.csv,61510,13740948,0.445645261155658
Individual_Gene_countsEE2_0_C_Gene_Counts_Illuminaseq-Salmon.csv,77952,12431129,0.623163284337195
Individual_Gene_countsFadrozole_0.0001_A_Gene_Counts_Illuminaseq-Salmon.csv,12546,13912868,0.0900942693696575
Individual_Gene_countsFadrozole_0.0001_B_Gene_Counts_Illuminaseq-Salmon.csv,18508,13179776,0.140230351157772
Individual_Gene_countsFadrozole_0.0001_C_Gene_Counts_Illuminaseq-Salmon.csv,24036,14475197,0.16577428612948
Individual_Gene_countsFadrozole_0.001_A_Gene_Counts_Illuminaseq-Salmon.csv,21171,13504608,0.156523332223601
Individual_Gene_countsFadrozole_0.001_B_Gene_Counts_Illuminaseq-Salmon.csv,9938,10299510,0.0963970136907427
Individual_Gene_countsFadrozole_0.001_C_Gene_Counts_Illuminaseq-Salmon.csv,13866,12714221,0.108940173020502
Individual_Gene_countsFadrozole_0.01_A_Gene_Counts_Illuminaseq-Salmon.csv,18795,11045005,0.169878341980151
Individual_Gene_countsFadrozole_0.01_B_Gene_Counts_Illuminaseq-Salmon.csv,23293,15668347,0.148442100379565
Individual_Gene_countsFadrozole_0.01_C_Gene_Counts_Illuminaseq-Salmon.csv,19305,14802152,0.130250352580047
Individual_Gene_countsFadrozole_0.1_A_Gene_Counts_Illuminaseq-Salmon.csv,19353,11607593,0.166449556057111
Individual_Gene_countsFadrozole_0.1_B_Gene_Counts_Illuminaseq-Salmon.csv,12721,11386330,0.111597009259806
Individual_Gene_countsFadrozole_0.1_C_Gene_Counts_Illuminaseq-Salmon.csv,14932,14606498,0.102124074047477
Individual_Gene_countsFadrozole_0_A_Gene_Counts_Illuminaseq-Salmon.csv,11682,14075388,0.0829271097538381
Individual_Gene_countsFadrozole_0_B_Gene_Counts_Illuminaseq-Salmon.csv,9315,12781631,0.072824949773066
Individual_Gene_countsFadrozole_0_C_Gene_Counts_Illuminaseq-Salmon.csv,26106,12937564,0.201378159116978
Individual_Gene_countsFadrozole_1_A_Gene_Counts_Illuminaseq-Salmon.csv,24924,14201215,0.175198625572265
Individual_Gene_countsFadrozole_1_B_Gene_Counts_Illuminaseq-Salmon.csv,12766,12760438,0.0999436006815518
Individual_Gene_countsFadrozole_1_C_Gene_Counts_Illuminaseq-Salmon.csv,11229,11466697,0.0978312632438996
Individual_Gene_countsFenitrothion_0.0001_A_Gene_Counts_Illuminaseq-Salmon.csv,10383,11155239,0.0929907890487427
Individual_Gene_countsFenitrothion_0.0001_B_Gene_Counts_Illuminaseq-Salmon.csv,17321,12487207,0.138517823303686
Individual_Gene_countsFenitrothion_0.0001_C_Gene_Counts_Illuminaseq-Salmon.csv,12175,13037724,0.0932957412160815
Individual_Gene_countsFenitrothion_0.001_A_Gene_Counts_Illuminaseq-Salmon.csv,7412,11053296,0.067011985127896
Individual_Gene_countsFenitrothion_0.001_B_Gene_Counts_Illuminaseq-Salmon.csv,6988,11665604,0.0598667373964583
Individual_Gene_countsFenitrothion_0.001_C_Gene_Counts_Illuminaseq-Salmon.csv,7842,12568881,0.0623532855100649
Individual_Gene_countsFenitrothion_0.01_A_Gene_Counts_Illuminaseq-Salmon.csv,7258,11887888,0.061016485211699
Individual_Gene_countsFenitrothion_0.01_B_Gene_Counts_Illuminaseq-Salmon.csv,11517,13400549,0.0858704393491652
Individual_Gene_countsFenitrothion_0.01_C_Gene_Counts_Illuminaseq-Salmon.csv,10691,15381705,0.0694563731338513
Individual_Gene_countsFenitrothion_0.1_A_Gene_Counts_Illuminaseq-Salmon.csv,7837,14480233,0.0540927811640888
Individual_Gene_countsFenitrothion_0.1_B_Gene_Counts_Illuminaseq-Salmon.csv,8049,12330397,0.0652351195604374
Individual_Gene_countsFenitrothion_0.1_C_Gene_Counts_Illuminaseq-Salmon.csv,8218,11228804,0.0731332554123326
Individual_Gene_countsFenitrothion_0_A_Gene_Counts_Illuminaseq-Salmon.csv,12068,13566621,0.0888745592450052
Individual_Gene_countsFenitrothion_0_B_Gene_Counts_Illuminaseq-Salmon.csv,13293,12406169,0.107033621907294
Individual_Gene_countsFenitrothion_0_C_Gene_Counts_Illuminaseq-Salmon.csv,15175,12957039,0.116980802197682
Individual_Gene_countsFenitrothion_1_A_Gene_Counts_Illuminaseq-Salmon.csv,9248,11446058,0.0807311476445937
Individual_Gene_countsFenitrothion_1_B_Gene_Counts_Illuminaseq-Salmon.csv,9370,16506222,0.0567342666251382
Individual_Gene_countsFenitrothion_1_C_Gene_Counts_Illuminaseq-Salmon.csv,10419,11807628,0.0881617749531712
Individual_Gene_countsGlyphosate_0.0001_A_Gene_Counts_Illuminaseq-Salmon.csv,12629,11335245,0.111289568424887
Individual_Gene_countsGlyphosate_0.0001_B_Gene_Counts_Illuminaseq-Salmon.csv,35439,14612400,0.241940125092855
Individual_Gene_countsGlyphosate_0.0001_C_Gene_Counts_Illuminaseq-Salmon.csv,30359,13061062,0.231899959523111
Individual_Gene_countsGlyphosate_0.001_A_Gene_Counts_Illuminaseq-Salmon.csv,11604,11797048,0.0982669317378478
Individual_Gene_countsGlyphosate_0.001_B_Gene_Counts_Illuminaseq-Salmon.csv,19432,16683249,0.116340604241918
Individual_Gene_countsGlyphosate_0.001_C_Gene_Counts_Illuminaseq-Salmon.csv,14615,15889567,0.0918940691196819
Individual_Gene_countsGlyphosate_0.01_A_Gene_Counts_Illuminaseq-Salmon.csv,11468,12444014,0.0920719085780863
Individual_Gene_countsGlyphosate_0.01_B_Gene_Counts_Illuminaseq-Salmon.csv,10201,10966216,0.0929356091336545
Individual_Gene_countsGlyphosate_0.01_C_Gene_Counts_Illuminaseq-Salmon.csv,10851,13789966,0.0786257799085373
Individual_Gene_countsGlyphosate_0.1_A_Gene_Counts_Illuminaseq-Salmon.csv,9886,12708382,0.0777307098733884
Individual_Gene_countsGlyphosate_0.1_B_Gene_Counts_Illuminaseq-Salmon.csv,27199,13632689,0.199115834624706
Individual_Gene_countsGlyphosate_0.1_C_Gene_Counts_Illuminaseq-Salmon.csv,28939,14823554,0.194842710917285
Individual_Gene_countsGlyphosate_0_A_Gene_Counts_Illuminaseq-Salmon.csv,18190,13688111,0.132712684479934
Individual_Gene_countsGlyphosate_0_B_Gene_Counts_Illuminaseq-Salmon.csv,22045,14166640,0.155370282728808
Individual_Gene_countsGlyphosate_0_C_Gene_Counts_Illuminaseq-Salmon.csv,19520,12076191,0.161379517086676
Individual_Gene_countsGlyphosate_1_A_Gene_Counts_Illuminaseq-Salmon.csv,16607,13296499,0.124741739455841
Individual_Gene_countsGlyphosate_1_C_Gene_Counts_Illuminaseq-Salmon.csv,15026,13698648,0.109569470588261
Individual_Gene_countsMalathion_0.0001_A_Gene_Counts_Illuminaseq-Salmon.csv,10139,15951317,0.0635217739534539
Individual_Gene_countsMalathion_0.0001_B_Gene_Counts_Illuminaseq-Salmon.csv,7629,12981374,0.0587343000844638
Individual_Gene_countsMalathion_0.0001_C_Gene_Counts_Illuminaseq-Salmon.csv,8464,14623423,0.0578462641216406
Individual_Gene_countsMalathion_0.001_A_Gene_Counts_Illuminaseq-Salmon.csv,10807,15930325,0.0677931780503417
Individual_Gene_countsMalathion_0.001_B_Gene_Counts_Illuminaseq-Salmon.csv,8132,13447962,0.0604335849615795
Individual_Gene_countsMalathion_0.001_C_Gene_Counts_Illuminaseq-Salmon.csv,8620,14947932,0.0576336043227075
Individual_Gene_countsMalathion_0.01_A_Gene_Counts_Illuminaseq-Salmon.csv,10272,14929677,0.0687552547870143
Individual_Gene_countsMalathion_0.01_B_Gene_Counts_Illuminaseq-Salmon.csv,9053,14967000,0.0604498394870798
Individual_Gene_countsMalathion_0.01_C_Gene_Counts_Illuminaseq-Salmon.csv,8580,12703865,0.0674929173734872
Individual_Gene_countsMalathion_0.1_A_Gene_Counts_Illuminaseq-Salmon.csv,8895,15670222,0.0567315110921106
Individual_Gene_countsMalathion_0.1_B_Gene_Counts_Illuminaseq-Salmon.csv,17979,13881296,0.129352070521664
Individual_Gene_countsMalathion_0.1_C_Gene_Counts_Illuminaseq-Salmon.csv,8245,13206978,0.06239016927675
Individual_Gene_countsMalathion_0_A_Gene_Counts_Illuminaseq-Salmon.csv,8020,13771613,0.0582018403538033
Individual_Gene_countsMalathion_0_B_Gene_Counts_Illuminaseq-Salmon.csv,8608,15043931,0.0571863657021583
Individual_Gene_countsMalathion_0_C_Gene_Counts_Illuminaseq-Salmon.csv,7845,13856081,0.0565857030685247
Individual_Gene_countsMalathion_1_A_Gene_Counts_Illuminaseq-Salmon.csv,7579,12559786,0.0603069935503584
Individual_Gene_countsMalathion_1_B_Gene_Counts_Illuminaseq-Salmon.csv,7559,13841277,0.0545822045982782
Individual_Gene_countsMalathion_1_C_Gene_Counts_Illuminaseq-Salmon.csv,6084,10707050,0.0567901045576393
Individual_Gene_countsProchloraz_0.0001_A_Gene_Counts_Illuminaseq-Salmon.csv,10179,13010451,0.0781759407954915
Individual_Gene_countsProchloraz_0.0001_B_Gene_Counts_Illuminaseq-Salmon.csv,8798,16614338,0.0529262348572496
Individual_Gene_countsProchloraz_0.0001_C_Gene_Counts_Illuminaseq-Salmon.csv,7942,12499055,0.0635004549853174
Individual_Gene_countsProchloraz_0.001_A_Gene_Counts_Illuminaseq-Salmon.csv,12057,12328675,0.0977008495120063
Individual_Gene_countsProchloraz_0.001_B_Gene_Counts_Illuminaseq-Salmon.csv,18653,15374193,0.121179670088299
Individual_Gene_countsProchloraz_0.001_C_Gene_Counts_Illuminaseq-Salmon.csv,7499,12215006,0.0613540350361894
Individual_Gene_countsProchloraz_0.01_A_Gene_Counts_Illuminaseq-Salmon.csv,9236,15318767,0.0602557293340822
Individual_Gene_countsProchloraz_0.01_B_Gene_Counts_Illuminaseq-Salmon.csv,5346,11736960,0.0455276842555457
Individual_Gene_countsProchloraz_0.01_C_Gene_Counts_Illuminaseq-Salmon.csv,7176,15187485,0.047227114839877
Individual_Gene_countsProchloraz_0.1_A_Gene_Counts_Illuminaseq-Salmon.csv,5807,11292669,0.0513963122106026
Individual_Gene_countsProchloraz_0.1_B_Gene_Counts_Illuminaseq-Salmon.csv,11646,14269951,0.0815455022291975
Individual_Gene_countsProchloraz_0.1_C_Gene_Counts_Illuminaseq-Salmon.csv,5889,12158163,0.0484131439096117
Individual_Gene_countsProchloraz_0_A_Gene_Counts_Illuminaseq-Salmon.csv,8448,12948574,0.0652001671371709
Individual_Gene_countsProchloraz_0_B_Gene_Counts_Illuminaseq-Salmon.csv,11399,12662276,0.0899423411125818
Individual_Gene_countsProchloraz_0_C_Gene_Counts_Illuminaseq-Salmon.csv,7540,14216856,0.0530075231313864
Individual_Gene_countsProchloraz_1_A_Gene_Counts_Illuminaseq-Salmon.csv,6618,12781251,0.0517521723126817
Individual_Gene_countsProchloraz_1_B_Gene_Counts_Illuminaseq-Salmon.csv,8075,12750662,0.0632899635755483
Individual_Gene_countsProchloraz_1_C_Gene_Counts_Illuminaseq-Salmon.csv,7101,13180492,0.0538460657680291
Individual_Gene_countsTGSH_0.0001_A_Gene_Counts_Illuminaseq-Salmon.csv,173338,14348739,1.19361713892579
Individual_Gene_countsTGSH_0.0001_B_Gene_Counts_Illuminaseq-Salmon.csv,134799,15946710,0.838223577153114
Individual_Gene_countsTGSH_0.0001_C_Gene_Counts_Illuminaseq-Salmon.csv,109466,13582105,0.799513803054449
Individual_Gene_countsTGSH_0.001_A_Gene_Counts_Illuminaseq-Salmon.csv,67422,11618736,0.576938973441913
Individual_Gene_countsTGSH_0.001_B_Gene_Counts_Illuminaseq-Salmon.csv,116871,15116364,0.767210641731714
Individual_Gene_countsTGSH_0.001_C_Gene_Counts_Illuminaseq-Salmon.csv,81080,12513427,0.643772717741155
Individual_Gene_countsTGSH_0.01_A_Gene_Counts_Illuminaseq-Salmon.csv,90448,11237359,0.798459931388309
Individual_Gene_countsTGSH_0.01_B_Gene_Counts_Illuminaseq-Salmon.csv,164450,9730599,1.66194225010912
Individual_Gene_countsTGSH_0.01_C_Gene_Counts_Illuminaseq-Salmon.csv,177267,14393613,1.21658403610489
Individual_Gene_countsTGSH_0.1_A_Gene_Counts_Illuminaseq-Salmon.csv,81705,10834269,0.74849024008302
Individual_Gene_countsTGSH_0.1_B_Gene_Counts_Illuminaseq-Salmon.csv,80118,12327815,0.645699811564102
Individual_Gene_countsTGSH_0.1_C_Gene_Counts_Illuminaseq-Salmon.csv,85514,11993252,0.707969671736335
Individual_Gene_countsTGSH_0_A_Gene_Counts_Illuminaseq-Salmon.csv,95862,14484037,0.657494266592656
Individual_Gene_countsTGSH_0_B_Gene_Counts_Illuminaseq-Salmon.csv,121561,13869836,0.868826751181458
Individual_Gene_countsTGSH_0_C_Gene_Counts_Illuminaseq-Salmon.csv,114609,15168128,0.749924571757009
Individual_Gene_countsTGSH_1_A_Gene_Counts_Illuminaseq-Salmon.csv,76176,14184683,0.534161371345162
Individual_Gene_countsTGSH_1_B_Gene_Counts_Illuminaseq-Salmon.csv,92653,13809612,0.666459745947873
Individual_Gene_countsTGSH_1_C_Gene_Counts_Illuminaseq-Salmon.csv,94863,10494452,0.895836982845444
Individual_Gene_countsTrenbolone_0.00001_A_Gene_Counts_Illuminaseq-Salmon.csv,5973,12049391,0.0495464093825786
Individual_Gene_countsTrenbolone_0.00001_B_Gene_Counts_Illuminaseq-Salmon.csv,7153,11706261,0.0610667393810208
Individual_Gene_countsTrenbolone_0.00001_C_Gene_Counts_Illuminaseq-Salmon.csv,7944,15844867,0.0501109866256527
Individual_Gene_countsTrenbolone_0.0001_A_Gene_Counts_Illuminaseq-Salmon.csv,10108,16517056,0.0611599183017728
Individual_Gene_countsTrenbolone_0.0001_B_Gene_Counts_Illuminaseq-Salmon.csv,6278,12545906,0.0500152005419933
Individual_Gene_countsTrenbolone_0.0001_C_Gene_Counts_Illuminaseq-Salmon.csv,7216,13148715,0.054849786001462
Individual_Gene_countsTrenbolone_0.001_A_Gene_Counts_Illuminaseq-Salmon.csv,9244,14362244,0.0643218016116355
Individual_Gene_countsTrenbolone_0.001_B_Gene_Counts_Illuminaseq-Salmon.csv,8357,13462476,0.0620377373841692
Individual_Gene_countsTrenbolone_0.001_C_Gene_Counts_Illuminaseq-Salmon.csv,10223,13617569,0.075015820611292
Individual_Gene_countsTrenbolone_0.01_A_Gene_Counts_Illuminaseq-Salmon.csv,7982,13704859,0.0582082152050038
Individual_Gene_countsTrenbolone_0.01_B_Gene_Counts_Illuminaseq-Salmon.csv,7261,12692341,0.0571750201305521
Individual_Gene_countsTrenbolone_0.01_C_Gene_Counts_Illuminaseq-Salmon.csv,8496,13583218,0.0625086725632985
Individual_Gene_countsTrenbolone_0.1_A_Gene_Counts_Illuminaseq-Salmon.csv,7738,13443871,0.0575247169316325
Individual_Gene_countsTrenbolone_0.1_B_Gene_Counts_Illuminaseq-Salmon.csv,7937,14126212,0.0561547780485405
Individual_Gene_countsTrenbolone_0.1_C_Gene_Counts_Illuminaseq-Salmon.csv,7876,15072296,0.0522275210123598
Individual_Gene_countsTrenbolone_0_A_Gene_Counts_Illuminaseq-Salmon.csv,5055,10456929,0.0483177951715468
Individual_Gene_countsTrenbolone_0_B_Gene_Counts_Illuminaseq-Salmon.csv,9136,15249742,0.0598733406217679
Individual_Gene_countsTrenbolone_0_C_Gene_Counts_Illuminaseq-Salmon.csv,7300,12206812,0.0597669318899319
