Identifier,TGSH-1ug/L-B
ENSDARG00000115102,0
ENSDARG00000115288,0
ENSDARG00000093857,0
ENSDARG00000095309,0
ENSDARG00000095673,0
ENSDARG00000099359,0
ENSDARG00000092361,5
ENSDARG00000103767,0
ENSDARG00000075791,0
ENSDARG00000107486,1
ENSDARG00000029720,3
ENSDARG00000100166,14
ENSDARG00000074212,0
ENSDARG00000062929,7
ENSDARG00000022668,2
ENSDARG00000099708,0
ENSDARG00000025034,46
ENSDARG00000078474,0
ENSDARG00000096583,0
ENSDARG00000063003,4
ENSDARG00000002377,4
ENSDARG00000015803,1
ENSDARG00000037739,5
ENSDARG00000076176,6
ENSDARG00000096526,0
ENSDARG00000113858,5
ENSDARG00000096599,0
ENSDARG00000100771,0
ENSDARG00000079873,0
ENSDARG00000079332,0
ENSDARG00000007443,2
ENSDARG00000037746,543
ENSDARG00000037747,20
ENSDARG00000079361,3
ENSDARG00000012458,78
ENSDARG00000070543,36
ENSDARG00000094298,0
ENSDARG00000089873,0
ENSDARG00000093438,4
ENSDARG00000094206,3
ENSDARG00000037758,0
ENSDARG00000008723,5
ENSDARG00000110570,0
ENSDARG00000058460,0
ENSDARG00000088975,7
ENSDARG00000100949,0
ENSDARG00000093053,0
ENSDARG00000058463,63
ENSDARG00000076716,2
ENSDARG00000058464,2
ENSDARG00000058471,9
ENSDARG00000096584,0
ENSDARG00000058475,1
ENSDARG00000080404,0
ENSDARG00000058480,6
ENSDARG00000024740,3
ENSDARG00000101597,8
ENSDARG00000058445,8
ENSDARG00000063169,3
ENSDARG00000092791,0
ENSDARG00000037760,9
ENSDARG00000117314,0
ENSDARG00000017834,4
ENSDARG00000074282,5
ENSDARG00000074372,5
ENSDARG00000104203,0
ENSDARG00000101495,10
ENSDARG00000091916,9
ENSDARG00000099276,2
ENSDARG00000104995,0
ENSDARG00000033852,9
ENSDARG00000037654,4
ENSDARG00000037652,3
ENSDARG00000037646,6
ENSDARG00000032795,0
ENSDARG00000018263,41
ENSDARG00000077542,0
ENSDARG00000070490,0
ENSDARG00000015678,0
ENSDARG00000079043,2
ENSDARG00000076174,10
ENSDARG00000037647,13
ENSDARG00000008969,31
ENSDARG00000020741,28
ENSDARG00000104660,1
ENSDARG00000096594,1
ENSDARG00000077652,23
ENSDARG00000079452,0
ENSDARG00000089943,0
ENSDARG00000096536,0
ENSDARG00000077533,139
ENSDARG00000030563,7
ENSDARG00000026387,4
ENSDARG00000070495,1
ENSDARG00000084766,0
ENSDARG00000034785,3
ENSDARG00000070512,13
ENSDARG00000070504,0
ENSDARG00000062057,0
ENSDARG00000067992,0
ENSDARG00000103508,0
ENSDARG00000070502,0
ENSDARG00000037679,1
ENSDARG00000076833,97
ENSDARG00000012297,8
ENSDARG00000087107,0
ENSDARG00000099342,0
ENSDARG00000008487,21
ENSDARG00000084839,0
ENSDARG00000100507,0
ENSDARG00000070239,5
ENSDARG00000074379,8
ENSDARG00000062854,1
ENSDARG00000112849,0
ENSDARG00000113410,0
ENSDARG00000092242,0
ENSDARG00000092200,0
ENSDARG00000093636,0
ENSDARG00000095482,0
ENSDARG00000094981,0
ENSDARG00000037619,0
ENSDARG00000062585,8
ENSDARG00000074213,0
ENSDARG00000062606,2
ENSDARG00000077198,0
ENSDARG00000007678,88
ENSDARG00000089930,7
ENSDARG00000078057,5
ENSDARG00000070448,34
ENSDARG00000070449,6
ENSDARG00000042988,63
ENSDARG00000096506,0
ENSDARG00000070452,5
ENSDARG00000070454,4
ENSDARG00000096515,1
ENSDARG00000038114,0
ENSDARG00000008637,43
ENSDARG00000091609,25
ENSDARG00000002634,1
ENSDARG00000062467,2
ENSDARG00000032808,0
ENSDARG00000078318,2
ENSDARG00000018997,70
ENSDARG00000099771,21
ENSDARG00000045620,15
ENSDARG00000045618,86
ENSDARG00000057248,0
ENSDARG00000017985,10
ENSDARG00000113585,0
ENSDARG00000106508,0
ENSDARG00000117227,0
ENSDARG00000104707,0
ENSDARG00000102049,0
ENSDARG00000116228,0
ENSDARG00000099729,19
ENSDARG00000105122,6
ENSDARG00000098668,0
ENSDARG00000098053,0
ENSDARG00000102604,0
ENSDARG00000102339,3
ENSDARG00000089805,5
ENSDARG00000117726,0
ENSDARG00000117541,5
ENSDARG00000112668,0
ENSDARG00000110084,0
ENSDARG00000078525,1
ENSDARG00000079626,26
ENSDARG00000057114,8
ENSDARG00000009026,29
ENSDARG00000085400,0
ENSDARG00000014273,36
ENSDARG00000104795,1
ENSDARG00000056806,4
ENSDARG00000056797,10
ENSDARG00000062341,1
ENSDARG00000107022,0
ENSDARG00000056742,2
ENSDARG00000037576,0
ENSDARG00000070431,18
ENSDARG00000022690,10
ENSDARG00000056677,1
ENSDARG00000012903,9
ENSDARG00000003398,11
ENSDARG00000074867,10
ENSDARG00000109597,1
ENSDARG00000111274,0
ENSDARG00000110922,10
ENSDARG00000116310,0
ENSDARG00000109592,0
ENSDARG00000117482,1
ENSDARG00000103921,0
ENSDARG00000114198,0
ENSDARG00000106947,0
ENSDARG00000039063,2
ENSDARG00000113383,0
ENSDARG00000109748,0
ENSDARG00000116279,0
ENSDARG00000109910,0
ENSDARG00000116174,0
ENSDARG00000116266,0
ENSDARG00000111171,0
ENSDARG00000111710,0
ENSDARG00000111723,0
ENSDARG00000115042,0
ENSDARG00000114262,0
ENSDARG00000078898,49
ENSDARG00000007534,0
ENSDARG00000077804,23
ENSDARG00000013881,10
ENSDARG00000079317,1
ENSDARG00000117428,2
ENSDARG00000106258,0
ENSDARG00000078854,22
ENSDARG00000108223,0
ENSDARG00000007356,0
ENSDARG00000078599,21
ENSDARG00000115704,1
ENSDARG00000109375,0
ENSDARG00000017119,12
ENSDARG00000070412,3
ENSDARG00000034105,9
ENSDARG00000062198,12
ENSDARG00000034817,7
ENSDARG00000056504,15
ENSDARG00000108673,0
ENSDARG00000110937,0
ENSDARG00000117129,0
ENSDARG00000116147,0
ENSDARG00000116406,0
ENSDARG00000111254,0
ENSDARG00000113731,0
ENSDARG00000115569,0
ENSDARG00000113149,0
ENSDARG00000116958,0
ENSDARG00000092109,0
ENSDARG00000017591,112
ENSDARG00000092708,0
ENSDARG00000017905,34
ENSDARG00000030514,21
ENSDARG00000056400,4
ENSDARG00000042937,0
ENSDARG00000092600,0
ENSDARG00000027355,237
ENSDARG00000092022,2
ENSDARG00000056381,6
ENSDARG00000056376,0
ENSDARG00000056369,23
ENSDARG00000011023,1
ENSDARG00000003046,0
ENSDARG00000095697,1
ENSDARG00000016065,0
ENSDARG00000062132,18
ENSDARG00000117687,0
ENSDARG00000117295,1
ENSDARG00000094943,0
ENSDARG00000115616,0
ENSDARG00000037545,2
ENSDARG00000062122,1
ENSDARG00000095111,0
ENSDARG00000008287,7
ENSDARG00000015495,32
ENSDARG00000062081,4
ENSDARG00000018178,12
ENSDARG00000093886,0
ENSDARG00000056163,0
ENSDARG00000079488,0
ENSDARG00000062055,14
ENSDARG00000074275,5
ENSDARG00000075330,0
ENSDARG00000006392,8
ENSDARG00000073902,3
ENSDARG00000019945,21
ENSDARG00000086957,8
ENSDARG00000056151,150
ENSDARG00000061985,21
ENSDARG00000061981,12
ENSDARG00000003631,15
ENSDARG00000056133,0
ENSDARG00000070321,1
ENSDARG00000017744,20
ENSDARG00000070320,0
ENSDARG00000061952,9
ENSDARG00000061936,0
ENSDARG00000006434,10
ENSDARG00000037484,6
ENSDARG00000094729,1
ENSDARG00000095388,5
ENSDARG00000085360,0
ENSDARG00000037487,0
ENSDARG00000008068,11
ENSDARG00000077648,2
ENSDARG00000096580,0
ENSDARG00000079250,1
ENSDARG00000019986,48
ENSDARG00000080019,4
ENSDARG00000099995,16
ENSDARG00000070278,9
ENSDARG00000061830,4
ENSDARG00000041776,0
ENSDARG00000095632,0
ENSDARG00000037455,28
ENSDARG00000093816,0
ENSDARG00000070266,111
ENSDARG00000037429,0
ENSDARG00000055874,246
ENSDARG00000055876,10
ENSDARG00000092321,0
ENSDARG00000061786,0
ENSDARG00000094202,11
ENSDARG00000109806,0
ENSDARG00000112850,0
ENSDARG00000110242,0
ENSDARG00000115895,0
ENSDARG00000061459,20
ENSDARG00000037411,0
ENSDARG00000084908,0
ENSDARG00000037410,9
ENSDARG00000037409,1
ENSDARG00000070173,5
ENSDARG00000052782,3
ENSDARG00000037406,4
ENSDARG00000034773,7
ENSDARG00000033273,0
ENSDARG00000055439,1
ENSDARG00000055443,10
ENSDARG00000112783,0
ENSDARG00000095593,0
ENSDARG00000037383,2
ENSDARG00000030759,2
ENSDARG00000079074,0
ENSDARG00000061504,13
ENSDARG00000000606,0
ENSDARG00000107258,0
ENSDARG00000087224,0
ENSDARG00000052764,2
ENSDARG00000092275,0
ENSDARG00000055559,6
ENSDARG00000114954,0
ENSDARG00000115778,4
ENSDARG00000026871,20
ENSDARG00000016470,42
ENSDARG00000103166,0
ENSDARG00000091660,0
ENSDARG00000038056,11
ENSDARG00000002406,0
ENSDARG00000034007,31
ENSDARG00000061143,18
ENSDARG00000034896,22
ENSDARG00000116099,0
ENSDARG00000037378,10
ENSDARG00000012672,23
ENSDARG00000093064,13
ENSDARG00000061121,32
ENSDARG00000094677,5
ENSDARG00000054799,13
ENSDARG00000116939,0
ENSDARG00000037350,1012
ENSDARG00000022845,2
ENSDARG00000019838,10
ENSDARG00000005799,3
ENSDARG00000013505,20
ENSDARG00000055022,29
ENSDARG00000061451,11
ENSDARG00000070121,0
ENSDARG00000054680,1
ENSDARG00000092290,7
ENSDARG00000055099,33
ENSDARG00000070109,18
ENSDARG00000070098,26
ENSDARG00000094046,0
ENSDARG00000114096,0
ENSDARG00000004246,39
ENSDARG00000083023,0
ENSDARG00000031108,46
ENSDARG00000015266,65
ENSDARG00000100600,0
ENSDARG00000092542,0
ENSDARG00000035692,934
ENSDARG00000094885,0
ENSDARG00000090822,0
ENSDARG00000088202,1
ENSDARG00000086859,0
ENSDARG00000090118,0
ENSDARG00000061021,6
ENSDARG00000037309,4
ENSDARG00000054334,0
ENSDARG00000116715,0
ENSDARG00000060994,7
ENSDARG00000106456,0
ENSDARG00000074776,0
ENSDARG00000074451,2
ENSDARG00000079434,35
ENSDARG00000031817,6
ENSDARG00000074812,3
ENSDARG00000070055,9
ENSDARG00000070050,10
ENSDARG00000095408,0
ENSDARG00000037286,0
ENSDARG00000037283,9
ENSDARG00000037281,28
ENSDARG00000037278,4
ENSDARG00000070039,0
ENSDARG00000091184,0
ENSDARG00000094763,0
ENSDARG00000037276,4
ENSDARG00000013787,13
ENSDARG00000086790,5
ENSDARG00000006427,228
ENSDARG00000104824,0
ENSDARG00000076499,2
ENSDARG00000037266,7
ENSDARG00000077157,10
ENSDARG00000037256,2
ENSDARG00000116236,0
ENSDARG00000069998,1
ENSDARG00000053995,10
ENSDARG00000021702,41
ENSDARG00000054031,26
ENSDARG00000037259,52
ENSDARG00000037260,10
ENSDARG00000037261,17
ENSDARG00000037262,0
ENSDARG00000104309,0
ENSDARG00000077817,12
ENSDARG00000107180,0
ENSDARG00000076928,35
ENSDARG00000009685,8
ENSDARG00000079377,0
ENSDARG00000091678,4
ENSDARG00000014790,47
ENSDARG00000019581,38
ENSDARG00000096665,0
ENSDARG00000079925,0
ENSDARG00000053731,0
ENSDARG00000094127,0
ENSDARG00000005210,2
ENSDARG00000023330,51
ENSDARG00000096667,3
ENSDARG00000037245,1
ENSDARG00000096554,12
ENSDARG00000079266,0
ENSDARG00000023600,48
ENSDARG00000033345,1
ENSDARG00000069989,51
ENSDARG00000095189,0
ENSDARG00000104096,0
ENSDARG00000102639,0
ENSDARG00000006621,17
ENSDARG00000069996,15
ENSDARG00000100083,18
ENSDARG00000031632,7
ENSDARG00000101474,9
ENSDARG00000104710,6
ENSDARG00000095954,0
ENSDARG00000095895,0
ENSDARG00000089138,17
ENSDARG00000112052,0
ENSDARG00000089334,1
ENSDARG00000053456,1
ENSDARG00000053466,15
ENSDARG00000053463,2
ENSDARG00000037109,9
ENSDARG00000096538,0
ENSDARG00000005739,46
ENSDARG00000053496,7
ENSDARG00000053500,11
ENSDARG00000053502,5
ENSDARG00000035080,0
ENSDARG00000037100,1
ENSDARG00000096627,0
ENSDARG00000096648,0
ENSDARG00000075193,0
ENSDARG00000069804,1
ENSDARG00000078546,4
ENSDARG00000037099,20
ENSDARG00000060620,2
ENSDARG00000075858,1
ENSDARG00000096592,0
ENSDARG00000096643,0
ENSDARG00000093663,0
ENSDARG00000096555,0
ENSDARG00000096544,0
ENSDARG00000069799,0
ENSDARG00000074117,0
ENSDARG00000092653,0
ENSDARG00000061732,26
ENSDARG00000095590,0
ENSDARG00000031202,8
ENSDARG00000037144,2
ENSDARG00000037177,55
ENSDARG00000003866,40
ENSDARG00000037178,5
ENSDARG00000028982,21
ENSDARG00000055839,0
ENSDARG00000060477,12
ENSDARG00000082429,0
ENSDARG00000113839,0
ENSDARG00000110947,0
ENSDARG00000096572,0
ENSDARG00000091513,17
ENSDARG00000026771,6
ENSDARG00000096632,41
ENSDARG00000099758,28
ENSDARG00000093065,2
ENSDARG00000074302,0
ENSDARG00000003142,5
ENSDARG00000096668,18
ENSDARG00000042688,1
ENSDARG00000060559,10
ENSDARG00000114316,0
ENSDARG00000114817,0
ENSDARG00000096527,34
ENSDARG00000092278,0
ENSDARG00000019715,4
ENSDARG00000017174,2
ENSDARG00000069946,18
ENSDARG00000074575,22
ENSDARG00000069951,5
ENSDARG00000069953,2
ENSDARG00000093358,0
ENSDARG00000094957,0
ENSDARG00000078902,9
ENSDARG00000039616,6
ENSDARG00000095941,3
ENSDARG00000018611,0
ENSDARG00000053269,7
ENSDARG00000039615,2
ENSDARG00000060501,3
ENSDARG00000039613,0
ENSDARG00000029751,1
ENSDARG00000027572,4
ENSDARG00000078733,3
ENSDARG00000058231,21
ENSDARG00000053248,8
ENSDARG00000012896,16
ENSDARG00000100996,0
ENSDARG00000096540,0
ENSDARG00000053241,0
ENSDARG00000069834,0
ENSDARG00000096548,0
ENSDARG00000027826,5
ENSDARG00000107292,0
ENSDARG00000079455,23
ENSDARG00000089053,0
ENSDARG00000078810,0
ENSDARG00000115601,0
ENSDARG00000094318,0
ENSDARG00000060716,5
ENSDARG00000074815,10
ENSDARG00000033380,0
ENSDARG00000051975,21
ENSDARG00000079280,22
ENSDARG00000053586,38
ENSDARG00000002190,31
ENSDARG00000053580,0
ENSDARG00000003701,0
ENSDARG00000079350,37
ENSDARG00000012763,15
ENSDARG00000013023,1
ENSDARG00000106311,0
ENSDARG00000115905,0
ENSDARG00000022971,11
ENSDARG00000081597,0
ENSDARG00000032056,16
ENSDARG00000074860,25
ENSDARG00000053542,14
ENSDARG00000094556,0
ENSDARG00000053535,1
ENSDARG00000111052,0
ENSDARG00000015312,7
ENSDARG00000015506,11
ENSDARG00000013006,5
ENSDARG00000108956,0
ENSDARG00000058287,15
ENSDARG00000069910,14
ENSDARG00000109513,0
ENSDARG00000092693,710
ENSDARG00000084532,0
ENSDARG00000085301,0
ENSDARG00000081849,0
ENSDARG00000082811,0
ENSDARG00000095892,0
ENSDARG00000095934,0
ENSDARG00000079191,0
ENSDARG00000105033,0
ENSDARG00000102858,5
ENSDARG00000093282,0
ENSDARG00000101520,0
ENSDARG00000075798,5
ENSDARG00000037018,15
ENSDARG00000074677,4
ENSDARG00000094485,1
ENSDARG00000060397,21
ENSDARG00000094648,0
ENSDARG00000027199,17
ENSDARG00000115856,0
ENSDARG00000060383,6
ENSDARG00000037002,0
ENSDARG00000076171,50
ENSDARG00000112614,0
ENSDARG00000113986,0
ENSDARG00000036995,34
ENSDARG00000069737,24
ENSDARG00000095555,0
ENSDARG00000011876,11
ENSDARG00000078789,24
ENSDARG00000036755,2
ENSDARG00000078326,17
ENSDARG00000102082,3
ENSDARG00000081340,0
ENSDARG00000034093,15
ENSDARG00000102787,23
ENSDARG00000082897,0
ENSDARG00000074501,0
ENSDARG00000090416,2
ENSDARG00000074989,19
ENSDARG00000076343,0
ENSDARG00000077519,0
ENSDARG00000040048,14
ENSDARG00000082660,0
ENSDARG00000057303,18
ENSDARG00000113575,0
ENSDARG00000029722,251
ENSDARG00000008305,2
ENSDARG00000117649,0
ENSDARG00000007477,10
ENSDARG00000053106,0
ENSDARG00000012016,7
ENSDARG00000011066,12
ENSDARG00000004621,424
ENSDARG00000095811,0
ENSDARG00000075098,1
ENSDARG00000053222,16
ENSDARG00000089976,24
ENSDARG00000069640,2
ENSDARG00000104657,0
ENSDARG00000117532,0
ENSDARG00000085733,0
ENSDARG00000005479,99
ENSDARG00000110757,0
ENSDARG00000085080,0
ENSDARG00000093919,0
ENSDARG00000036990,6
ENSDARG00000085746,0
ENSDARG00000007387,12
ENSDARG00000024828,9
ENSDARG00000070162,82
ENSDARG00000104907,8
ENSDARG00000080987,0
ENSDARG00000079183,3
ENSDARG00000104437,27
ENSDARG00000103145,4
ENSDARG00000069701,0
ENSDARG00000020857,4
ENSDARG00000093120,4
ENSDARG00000074662,0
ENSDARG00000076585,4
ENSDARG00000079631,13
ENSDARG00000018587,1
ENSDARG00000078182,1
ENSDARG00000095065,0
ENSDARG00000109438,0
ENSDARG00000074610,0
ENSDARG00000069707,0
ENSDARG00000078251,1
ENSDARG00000008457,6
ENSDARG00000031435,185
ENSDARG00000077874,0
ENSDARG00000069710,0
ENSDARG00000079552,8
ENSDARG00000087333,15
ENSDARG00000009315,20
ENSDARG00000030368,23
ENSDARG00000117231,7
ENSDARG00000117450,3
ENSDARG00000117485,13
ENSDARG00000117707,20
ENSDARG00000052899,0
ENSDARG00000052900,0
ENSDARG00000052895,0
ENSDARG00000074600,2
ENSDARG00000075521,5
ENSDARG00000095566,0
ENSDARG00000007941,17
ENSDARG00000095651,1
ENSDARG00000069669,3
ENSDARG00000108025,0
ENSDARG00000033604,18
ENSDARG00000060236,1
ENSDARG00000036774,18
ENSDARG00000109727,0
ENSDARG00000052866,21
ENSDARG00000108028,0
ENSDARG00000091911,0
ENSDARG00000093237,3
ENSDARG00000008706,104
ENSDARG00000078108,0
ENSDARG00000075639,3
ENSDARG00000078016,2
ENSDARG00000092551,2
ENSDARG00000075194,10
ENSDARG00000098598,0
ENSDARG00000060252,10
ENSDARG00000078908,9
ENSDARG00000036965,12
ENSDARG00000036967,32
ENSDARG00000060264,3
ENSDARG00000024101,8
ENSDARG00000107253,0
ENSDARG00000024785,55
ENSDARG00000084202,0
ENSDARG00000087061,0
ENSDARG00000052713,32
ENSDARG00000107073,0
ENSDARG00000113563,0
ENSDARG00000081405,0
ENSDARG00000052712,113
ENSDARG00000052703,8
ENSDARG00000052700,4
ENSDARG00000052696,10
ENSDARG00000075112,1
ENSDARG00000029898,11
ENSDARG00000092730,0
ENSDARG00000078622,1
ENSDARG00000074132,1
ENSDARG00000075598,0
ENSDARG00000117264,0
ENSDARG00000094910,0
ENSDARG00000117756,0
ENSDARG00000074476,0
ENSDARG00000087178,2
ENSDARG00000095949,2
ENSDARG00000076277,1
ENSDARG00000075916,6
ENSDARG00000078558,0
ENSDARG00000052019,12
ENSDARG00000101106,7
ENSDARG00000103871,10
ENSDARG00000089345,0
ENSDARG00000099025,0
ENSDARG00000098805,0
ENSDARG00000052016,10
ENSDARG00000059682,2
ENSDARG00000078233,30
ENSDARG00000104759,0
ENSDARG00000075179,1
ENSDARG00000104249,0
ENSDARG00000111029,0
ENSDARG00000105108,0
ENSDARG00000112081,0
ENSDARG00000109574,0
ENSDARG00000115729,0
ENSDARG00000116661,0
ENSDARG00000111422,0
ENSDARG00000111051,0
ENSDARG00000112750,0
ENSDARG00000113452,0
ENSDARG00000069116,10
ENSDARG00000069114,1
ENSDARG00000014803,39
ENSDARG00000016793,415
ENSDARG00000052012,4
ENSDARG00000083573,0
ENSDARG00000016263,27
ENSDARG00000095781,0
ENSDARG00000007786,18
ENSDARG00000009472,16
ENSDARG00000111774,0
ENSDARG00000037748,17
ENSDARG00000002840,37
ENSDARG00000079632,25
ENSDARG00000016994,8
ENSDARG00000029718,4
ENSDARG00000051993,0
ENSDARG00000092459,0
ENSDARG00000094678,0
ENSDARG00000051989,0
ENSDARG00000095407,0
ENSDARG00000051986,40
ENSDARG00000051981,4
ENSDARG00000059653,12
ENSDARG00000016835,7
ENSDARG00000094133,44
ENSDARG00000093997,6
ENSDARG00000093289,0
ENSDARG00000078659,30
ENSDARG00000093954,2
ENSDARG00000031836,20
ENSDARG00000117392,0
ENSDARG00000098263,4
ENSDARG00000105005,0
ENSDARG00000030972,6
ENSDARG00000051970,3
ENSDARG00000019778,1037
ENSDARG00000051965,1
ENSDARG00000087426,17
ENSDARG00000069559,8
ENSDARG00000093347,1
ENSDARG00000069566,2
ENSDARG00000095108,0
ENSDARG00000006588,46
ENSDARG00000006225,26
ENSDARG00000052766,7
ENSDARG00000117778,0
ENSDARG00000095463,0
ENSDARG00000069632,0
ENSDARG00000025518,7
ENSDARG00000105481,0
ENSDARG00000092240,5
ENSDARG00000030376,20
ENSDARG00000069619,72
ENSDARG00000030656,35
ENSDARG00000114294,0
ENSDARG00000032340,2
ENSDARG00000026068,12
ENSDARG00000002285,8
ENSDARG00000069595,16
ENSDARG00000060187,0
ENSDARG00000060184,8
ENSDARG00000113491,0
ENSDARG00000008279,5
ENSDARG00000010773,24
ENSDARG00000025233,1
ENSDARG00000016548,72
ENSDARG00000073848,24
ENSDARG00000052677,0
ENSDARG00000117377,0
ENSDARG00000008131,8
ENSDARG00000053340,0
ENSDARG00000095834,0
ENSDARG00000008413,34
ENSDARG00000095860,0
ENSDARG00000029133,24
ENSDARG00000075859,3
ENSDARG00000070858,1
ENSDARG00000036658,34
ENSDARG00000036650,2
ENSDARG00000036645,4
ENSDARG00000036637,3
ENSDARG00000036636,2
ENSDARG00000052641,60
ENSDARG00000052624,4
ENSDARG00000081252,0
ENSDARG00000080168,0
ENSDARG00000092950,3
ENSDARG00000095507,0
ENSDARG00000094160,3
ENSDARG00000036549,63
ENSDARG00000036546,0
ENSDARG00000116185,0
ENSDARG00000036545,0
ENSDARG00000036542,2
ENSDARG00000089853,5
ENSDARG00000000086,7
ENSDARG00000026902,6
ENSDARG00000036592,6
ENSDARG00000001470,3
ENSDARG00000086877,6
ENSDARG00000069471,15
ENSDARG00000036588,13
ENSDARG00000036587,13
ENSDARG00000043271,0
ENSDARG00000036687,48
ENSDARG00000069450,1
ENSDARG00000015076,2
ENSDARG00000015559,5
ENSDARG00000076773,0
ENSDARG00000007734,4
ENSDARG00000060148,22
ENSDARG00000069438,31
ENSDARG00000083014,0
ENSDARG00000069435,1
ENSDARG00000108154,0
ENSDARG00000114522,0
ENSDARG00000103535,3
ENSDARG00000112034,1
ENSDARG00000096191,0
ENSDARG00000096053,1
ENSDARG00000096589,0
ENSDARG00000075045,0
ENSDARG00000096031,18
ENSDARG00000036008,23
ENSDARG00000008886,5
ENSDARG00000094465,0
ENSDARG00000052468,0
ENSDARG00000018325,7
ENSDARG00000096003,81
ENSDARG00000052480,34
ENSDARG00000022891,20
ENSDARG00000005314,0
ENSDARG00000036479,0
ENSDARG00000092919,0
ENSDARG00000074052,0
ENSDARG00000074136,1
ENSDARG00000075389,0
ENSDARG00000069415,41
ENSDARG00000082615,0
ENSDARG00000012574,29
ENSDARG00000052512,2
ENSDARG00000079501,0
ENSDARG00000094063,0
ENSDARG00000031894,6
ENSDARG00000030765,39
ENSDARG00000026548,3
ENSDARG00000052520,0
ENSDARG00000036494,1
ENSDARG00000018721,3
ENSDARG00000114696,0
ENSDARG00000013667,6
ENSDARG00000060036,30
ENSDARG00000076420,0
ENSDARG00000057099,1
ENSDARG00000014098,1
ENSDARG00000016818,0
ENSDARG00000010655,39
ENSDARG00000075785,3
ENSDARG00000075887,3
ENSDARG00000075564,15
ENSDARG00000117385,3
ENSDARG00000116732,0
ENSDARG00000100792,22
ENSDARG00000075043,17
ENSDARG00000115918,0
ENSDARG00000030703,0
ENSDARG00000017772,311
ENSDARG00000005578,8
ENSDARG00000024933,6
ENSDARG00000004427,31
ENSDARG00000015540,4
