1011	Apoptosis regulation	68	74	19	16	4	19	15	15	19	4	4	384	70	8529	0.78539	0.39741	0.56183	5.41	20422;12447;22123;19181	sem1;ccne1;psmd3;psmc2	Sem1_53882;Ccne1_80378;Psmd3_74969;Psmc2_60765	12447(-0.1638)	6.4111475	5.529975	3.08764	3.7862637359748628	6.5684837953149255	2.84888365406295	4.4260625	3.869795	2.14162	2.5938483241235097	4.598360831701883	1.9872148703498902	11.282567499999999	9.407465	5.30624	6.910063396821457	11.157174869371497	5.054496338401511	2.5	9.26705			7.0371;3.08764;11.497;4.02285	5.05452;2.14162;7.82304;2.68507	11.124;5.30624;21.0091;7.69093	0	4	0															4	20422;12447;22123;19181	Sem1_53882;Ccne1_80378;Psmd3_74969;Psmc2_60765	6.4111475	5.529975	3.7862637359748628	4.4260625	3.869795	2.5938483241235097	11.282567499999999	9.407465	6.910063396821457	7.0371;3.08764;11.497;4.02285	5.05452;2.14162;7.82304;2.68507	11.124;5.30624;21.0091;7.69093	0						Linear,2(0.5);Poly 2,2(0.5)	6.902993626598498	52.04782795906067	2.0759806632995605	37.21827697753906	16.49387011956769	6.376785159111023	2.7006090387446333	10.121685961255366	1.8840911423589621	6.968033857641039	4.510705371114975	18.054429628885025	DOWN	0.0	1.0	0.0	
1012	Apoptosis intrinsic pathway	27	27	10	10	2	10	10	10	10	2	2	386	25	8574	0.89111	0.3263	0.3263	7.41	54401;12048	ywhab;bcl2l1	Ywhab_60393;Bcl2l1_29914	12048(-0.007109)	10.719625	10.719625	8.18755	3.5808948059458507	12.014098604829437	3.0775775837580053	7.4541249999999994	7.4541249999999994	5.80768	2.3284248487013697	8.295837664239171	2.0011501337402944	13.95815	13.95815	13.3611	0.8443562074148511	14.263380084323494	0.7256766471699156	0.5	10.719625			8.18755;13.2517	5.80768;9.10057	13.3611;14.5552	1	1	1	12048	Bcl2l1_29914	13.2517	13.2517		9.10057	9.10057		14.5552	14.5552		13.2517	9.10057	14.5552	1	54401	Ywhab_60393	8.18755	8.18755		5.80768	5.80768		13.3611	13.3611		8.18755	5.80768	13.3611	0						Hill,1(0.5);Linear,1(0.5)	3.380295157672268	6.776726722717285	3.1546735763549805	3.6220531463623047	0.33048726334023165	3.3883633613586426	5.7567580000000005	15.682492	4.227092800000001	10.681157199999998	12.787932000000001	15.128367999999998	CONFLICT	0.5	0.5	0.0	
1014	Mitochondrial pathway of apoptosis: antiapoptotic Bcl-2 family	21	23	8	8	1	8	7	7	8	1	1	387	22	8577	0.73848	0.63808	1.0	4.35	12048	bcl2l1	Bcl2l1_29914	12048(-0.007109)	13.2517	13.2517	13.2517		13.2517		9.10057	9.10057	9.10057		9.10057		14.5552	14.5552	14.5552		14.5552						13.2517	9.10057	14.5552	1	0	1	12048	Bcl2l1_29914	13.2517	13.2517		9.10057	9.10057		14.5552	14.5552		13.2517	9.10057	14.5552	0															0						Hill,1(1)	3.6220531463623047	3.6220531463623047	3.6220531463623047	3.6220531463623047	0.0	3.6220531463623047	13.2517	13.2517	9.10057	9.10057	14.5552	14.5552	UP	1.0	0.0	0.0	
1015	Mitochondrial pathway of apoptosis: multidomain Bcl-2 family	50	64	16	15	5	16	14	14	16	4	4	384	60	8539	0.85832	0.29843	0.35716	6.25	50497;26408;12048;12336	hspa14;map3k5;bcl2l1;capns1	Gm45902_54292;Map3k5_71001;Bcl2l1_29914;Capns1_74461	50497(-0.614);26408(-0.004897);12048(-0.007109)	9.121085	10.623360000000002	1.98592	5.147589774574117	11.164463972354406	4.3977442612812405	6.0516095	7.276925	0.552018	3.873307409977638	7.5340176680262845	3.2957960203286216	15.84685	14.5411	10.53	5.613614147469221	15.975729662361204	4.9191005740617575	2.5	12.8734			1.98592;8.75162;13.2517;12.4951	0.552018;6.16718;9.10057;8.38667	10.53;14.527;14.5552;23.7752	2	2	2	50497;12048	Gm45902_54292;Bcl2l1_29914	7.61881	7.61881	7.966109433355784	4.826294	4.826294	6.044739088525823	12.5426	12.5426	2.8462462156320814	1.98592;13.2517	0.552018;9.10057	10.53;14.5552	2	26408;12336	Map3k5_71001;Capns1_74461	10.623360000000002	10.623360000000002	2.6470400932362135	7.276925	7.276925	1.569416429775731	19.1511	19.1511	6.5394649337694295	8.75162;12.4951	6.16718;8.38667	14.527;23.7752	0						Hill,2(0.5);Linear,2(0.5)	3.7390643429895287	15.294807195663452	2.6536552906036377	4.53502893447876	0.8853894121271999	4.053061485290527	4.076447020917367	14.165722979082634	2.255768238221916	9.847450761778083	10.345508135480156	21.348191864519844	CONFLICT	0.5	0.5	0.0	
1016	Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family	72	91	30	27	3	29	26	25	30	2	2	386	89	8510	0.24081	0.90909	0.44008	2.2	15251;12336	hif1a;capns1	Hif1a_30830;Capns1_74461		13.40365	13.40365	12.4951	1.284883732094083	13.044699944092438	1.180354150129464	9.421535	9.421535	8.38667	1.4635201182252326	9.012680396943722	1.3444578697636271	24.2318	24.2318	23.7752	0.6457299125795406	24.051406410734252	0.5931976280326907					14.3122;12.4951	10.4564;8.38667	24.6884;23.7752	0	2	0															2	15251;12336	Hif1a_30830;Capns1_74461	13.40365	13.40365	1.284883732094083	9.421535	9.421535	1.4635201182252326	24.2318	24.2318	0.6457299125795406	14.3122;12.4951	10.4564;8.38667	24.6884;23.7752	0						Hill,1(0.5);Linear,1(0.5)	2.8328318375426824	5.677761793136597	2.6536552906036377	3.024106502532959	0.2619485640539979	2.8388808965682983	11.622892	15.184408000000001	7.393199600000001	11.4498704	23.336864	25.126736	DOWN	0.0	1.0	0.0	
1017	Mitochondrial pathway of apoptosis: caspases	63	72	18	16	5	18	14	14	18	5	5	383	67	8532	0.91012	0.19914	0.24029	6.94	56369;18952;50497;16150;12336	apip;sept4;hspa14;ikbkb;capns1	Apip_70013;Gm11492_57083;Gm45902_54292;Ikbkb_67891,Ikbkb_80666;Capns1_74461	50497(-0.614)	13.574094000000002	13.74705	1.98592	8.280988438204705	15.975641465547572	8.30292538687069	9.4146816	10.93842	0.552018	5.47075290706707	10.704653511886214	4.863343340201642	20.36653	22.5892	10.53	6.188582270156873	21.732090149268736	5.588667545811238	2.5	14.028075000000001			14.3091;25.3333;1.98592;13.74705;12.4951	12.4174;14.7789;0.552018;10.93842;8.38667	22.5892;26.4084;10.53;18.52985;23.7752	4	2	3	18952;50497;16150	Gm11492_57083;Gm45902_54292;Ikbkb_67891,Ikbkb_80666	13.688756666666668	13.74705	11.673799158827144	8.756446	10.93842	7.360149506836664	18.489416666666667	18.52985	7.939277220303706	25.3333;1.98592;13.74705	14.7789;0.552018;10.93842	26.4084;10.53;18.52985	2	56369;12336	Apip_70013;Capns1_74461	13.4021	13.4021	1.282691701072407	10.402035000000001	10.402035000000001	2.8501565161320483	23.1822	23.1822	0.8386286424871883	14.3091;12.4951	12.4174;8.38667	22.5892;23.7752	0						Hill,5(0.84);Linear,1(0.17)	7.18218123329337	66.19613432884216	2.6536552906036377	39.02676010131836	13.815418632954897	6.352514028549194	6.31548759706351	20.832700402936492	4.619355247783831	14.210007952216172	14.94199846895507	25.79106153104493	UP	0.6	0.4	0.0	
1019	DCC role in regulating apoptosis	8	10	2	2	0	2	2	2	2	0	0	388	10	8589	0.64303	1.0	1.0	0.0																														0	0	0															0															0																							
102	Phosphoinositides and their downstream targets	23	25	9	8	2	9	7	7	9	2	2	386	23	8576	0.90891	0.29401	0.29401	8.0	11773;18803	ap2m1;plcg1	Ap2m1_65255;Plcg1_66733	11773(-0.8298);18803(-0.4784)	7.156185	7.156185	0.26027	9.752296517972061	8.82713814703676	9.461665737874378	5.5809555	5.5809555	0.101611	7.748963304814425	6.908658630907727	7.518034390165832	12.223049	12.223049	0.936398	15.961734917971855	14.957923923480868	15.486055014025789	0.5	7.156185			14.0521;0.26027	11.0603;0.101611	23.5097;0.936398	1	1	1	18803	Plcg1_66733	0.26027	0.26027		0.101611	0.101611		0.936398	0.936398		0.26027	0.101611	0.936398	1	11773	Ap2m1_65255	14.0521	14.0521		11.0603	11.0603		23.5097	23.5097		14.0521	11.0603	23.5097	0						Hill,2(1)	3.5835192488758607	7.389068365097046	2.795661211013794	4.593407154083252	1.2711983471950188	3.694534182548523	-6.359808399999998	20.672178399999996	-5.158559719999998	16.320470719999996	-9.898786959999995	34.344884959999995	CONFLICT	0.5	0.5	0.0	
1020	Breakdown of the nuclear lamina	3	3	1	1	0	1	1	1	1	0	0	388	3	8596	0.87598	1.0	1.0	0.0																														0	0	0															0															0																							
1021	Activation of DNA fragmentation factor	7	9	2	2	0	2	2	1	2	0	0	388	9	8590	0.67208	1.0	1.0	0.0																														0	0	0															0															0																							
1022	Caspase-mediated cleavage of cytoskeletal proteins	12	12	3	2	0	3	2	2	3	0	0	388	12	8587	0.58865	1.0	1.0	0.0																														0	0	0															0															0																							
1023	Inactivation of BCL-2 by BH3-only proteins	6	6	3	3	1	3	3	3	3	1	1	387	5	8594	0.97515	0.2327	0.2327	16.67	12048	bcl2l1	Bcl2l1_29914	12048(-0.007109)	13.2517	13.2517	13.2517		13.2517		9.10057	9.10057	9.10057		9.10057		14.5552	14.5552	14.5552		14.5552		0.0	13.2517	0.0	13.2517	13.2517	9.10057	14.5552	1	0	1	12048	Bcl2l1_29914	13.2517	13.2517		9.10057	9.10057		14.5552	14.5552		13.2517	9.10057	14.5552	0															0						Hill,1(1)	3.6220531463623047	3.6220531463623047	3.6220531463623047	3.6220531463623047	0.0	3.6220531463623047	13.2517	13.2517	9.10057	9.10057	14.5552	14.5552	UP	1.0	0.0	0.0	
1024	Activation and myristolyation of BID and its translocation to mitochondria	3	3	1	1	0	1	1	1	1	0	0	388	3	8596	0.87598	1.0	1.0	0.0																														0	0	0															0															0																							
1025	Cell cycle	386	439	164	157	35	162	153	150	164	35	35	353	404	8195	0.99985	3.1065E-4	4.0606E-4	7.97	225659;76464;74470;68014;67037;20873;71819;12442;56505;103573;22390;22145;20878;20135;226849;18974;18817;18536;18286;101706;17420;17219;17127;17126;15182;102920;13197;27373;66671;434175;12235;12447;54401;22123;19181	cep76;knl1;cep72;zwilch;pmf1;plk4;kif23;ccnb2;ruvbl1;xpo1;wee1;tuba4a;aurka;rrm2;ppp2r5a;pole2;plk1;pcm1;odf2;numa1;mnat1;mcm6;smad3;smad2;hdac2;cenpi;gadd45a;csnk1e;ccnh;ccnb1-ps;bub1;ccne1;ywhab;psmd3;psmc2	Cep76_59355;Knl1_79682;Cep72_79912;Zwilch_32048;Pmf1_73273;Plk4_70311;Kif23_31277;Ccnb2_29477;Ruvbl1_29584;Xpo1_78569;Wee1_57745;Tuba4a_29527;Aurka_78821;Rrm2_67823;Ppp2r5a_74553,Ppp2r5a_79150;Pole2_75604;Plk1_29780;Pcm1_80469;Odf2_76108;Numa1_67895;Mnat1_31677;Mcm6_29352;Smad3_64977;Smad2_61849;Hdac2_65110;Cenpi_30714;Gadd45a_31917;Csnk1e_31607,Csnk1e_63627;Ccnh_73712;Ccnb1_31338;Bub1_29853;Ccne1_80378;Ywhab_60393;Psmd3_74969;Psmc2_60765	74470(0.4496);67037(-0.5634);20873(0.1876);56505(-0.08688);22145(-0.5363);226849(-0.7203);18974(-0.3419);18536(-0.4816);101706(-0.8936);17420(-0.7394);17219(0.367);17127(-0.5676);15182(-0.4055);13197(-0.317);66671(-0.8399);12447(-0.1638)	8.48828442857143	8.18755	0.208618	5.900990404689383	10.27945935892576	6.572432673189673	5.648778871428571	5.80768	0.0887355	4.116529226370556	6.634116591961132	4.246774373307497	14.063856571428573	13.3611	0.778771	9.0188929588598	15.675003633482309	8.922300209994415	20.5	11.75935			11.6894;0.898752;14.3153;2.20773;3.47337;2.49685;3.36894;13.1399;4.39263;12.6277;3.7626;16.3621;0.31251;0.208618;6.852233;13.9815;0.601078;13.8704;13.905;13.9379;7.44871;14.1816;10.9223;13.9822;5.07522;3.31782;13.927;14.812850000000001;22.0468;11.8293;0.346604;3.08764;8.18755;11.497;4.02285	7.93329;0.361743;10.5372;1.57588;2.37249;1.76683;2.31184;5.99081;2.89142;7.3515;1.09997;10.2415;0.132671;0.0887355;3.206339;9.65256;0.149395;11.157;9.108;10.7677;5.32701;9.2939;7.48932;11.0841;3.26712;2.28098;8.30325;11.9756;13.3459;8.01296;0.172837;2.14162;5.80768;7.82304;2.68507	21.523;2.58555;24.9057;3.53021;6.21939;4.08007;5.95373;14.2946;8.69851;13.5548;12.3039;25.5297;0.990835;0.778771;8.71745;23.8074;3.24465;22.62;24.6351;23.8085;11.9041;29.0955;19.526;22.8432;10.4357;5.83596;23.2312;24.76815;22.638;21.9022;0.905734;5.30624;13.3611;21.0091;7.69093	7	30	6	22145;18286;101706;13197;27373;66671	Tuba4a_29527;Odf2_76108;Numa1_67895;Gadd45a_31917;Csnk1e_31607,Csnk1e_63627;Ccnh_73712	15.831941666666667	14.375375000000002	3.189776812320367	10.623658333333333	10.5046	1.8486023894868924	24.101775	24.2218	1.0727543342956893	16.3621;13.905;13.9379;13.927;14.812850000000001;22.0468	10.2415;9.108;10.7677;8.30325;11.9756;13.3459	25.5297;24.6351;23.8085;23.2312;24.76815;22.638	29	225659;76464;74470;68014;67037;20873;71819;12442;56505;103573;22390;20878;20135;226849;18974;18817;18536;17420;17219;17127;17126;15182;102920;434175;12235;12447;54401;22123;19181	Cep76_59355;Knl1_79682;Cep72_79912;Zwilch_32048;Pmf1_73273;Plk4_70311;Kif23_31277;Ccnb2_29477;Ruvbl1_29584;Xpo1_78569;Wee1_57745;Aurka_78821;Rrm2_67823;Ppp2r5a_74553,Ppp2r5a_79150;Pole2_75604;Plk1_29780;Pcm1_80469;Mnat1_31677;Mcm6_29352;Smad3_64977;Smad2_61849;Hdac2_65110;Cenpi_30714;Ccnb1_31338;Bub1_29853;Ccne1_80378;Ywhab_60393;Psmd3_74969;Psmc2_60765	6.9689070689655175	5.07522	5.149693035583244	4.619493465517241	3.206339	3.6832196937128985	11.987045862068966	10.4357	8.515072016265222	11.6894;0.898752;14.3153;2.20773;3.47337;2.49685;3.36894;13.1399;4.39263;12.6277;3.7626;0.31251;0.208618;6.852233;13.9815;0.601078;13.8704;7.44871;14.1816;10.9223;13.9822;5.07522;3.31782;11.8293;0.346604;3.08764;8.18755;11.497;4.02285	7.93329;0.361743;10.5372;1.57588;2.37249;1.76683;2.31184;5.99081;2.89142;7.3515;1.09997;0.132671;0.0887355;3.206339;9.65256;0.149395;11.157;5.32701;9.2939;7.48932;11.0841;3.26712;2.28098;8.01296;0.172837;2.14162;5.80768;7.82304;2.68507	21.523;2.58555;24.9057;3.53021;6.21939;4.08007;5.95373;14.2946;8.69851;13.5548;12.3039;0.990835;0.778771;8.71745;23.8074;3.24465;22.62;11.9041;29.0955;19.526;22.8432;10.4357;5.83596;21.9022;0.905734;5.30624;13.3611;21.0091;7.69093	0						Hill,21(0.57);Linear,7(0.19);Poly 2,9(0.25)	6.263103656636202	343.3156192302704	1.7919368743896484	44.2344856262207	10.259081507550386	5.663845539093018	6.533283546698357	10.443285310444498	4.284970812799078	7.012586930058068	11.075893114636973	17.051820028220167	DOWN	0.17142857142857143	0.8285714285714286	0.0	
