1515	Down syndrome cell adhesion molecule (DSCAM) interactions	7	11	2	2	1	2	2	2	2	1	1	893	10	8083	0.69959	0.68439	1.0	9.09	19353	rac1	Rac1_30873	19353(0.02082)	7.12354	7.12354	7.12354		7.123539999999999		3.64681	3.64681	3.64681		3.64681		31.6955	31.6955	31.6955		31.6955		0.0	7.12354			7.12354	3.64681	31.6955	0	1	0															1	19353	Rac1_30873	7.12354	7.12354		3.64681	3.64681		31.6955	31.6955		7.12354	3.64681	31.6955	0						Poly 2,1(1)	1.967911720275879	1.967911720275879	1.967911720275879	1.967911720275879	0.0	1.967911720275879	7.12354	7.12354	3.64681	3.64681	31.6955	31.6955	DOWN	0.0	1.0	0.0	
1516	Opening of calcium channels triggered by depolarization of the presynaptic terminal	4	12	3	3	3	3	3	3	3	3	3	891	9	8084	0.9749	0.10941	0.10941	25.0	12298;12296;12293	cacnb4;cacnb2;cacna2d1	Cacnb4_58587;Cacnb2_78966;Cacna2d1_62319		30.778533333333332	35.6646	17.4217	11.705394741030027	34.9518863680112	8.37183498101224	19.01086666666667	23.0516	10.9049	7.0199837438083295	21.54358229941377	4.925511604345429	39.61536666666667	40.0738	36.4047	3.007767435047609	38.755429206404756	2.6858780727850418	0.0	17.4217	0.5	26.54315	39.2493;35.6646;17.4217	23.0516;23.0761;10.9049	40.0738;36.4047;42.3676	3	0	3	12298;12296;12293	Cacnb4_58587;Cacnb2_78966;Cacna2d1_62319	30.778533333333332	35.6646	11.705394741030027	19.01086666666667	23.0516	7.0199837438083295	39.61536666666667	40.0738	3.007767435047609	39.2493;35.6646;17.4217	23.0516;23.0761;10.9049	40.0738;36.4047;42.3676	0															0						Linear,1(0.34);Power,2(0.67)	4.252427393398169	12.776827335357666	4.036566257476807	4.58894681930542	0.29149432443111317	4.1513142585754395	17.532632236112484	44.02443443055418	11.067007238445367	26.95472609488797	36.2117574036289	43.01897592970443	UP	1.0	0.0	0.0	
1517	Developmental biology	274	409	147	143	55	136	140	129	139	52	52	842	357	7736	0.97406	0.037014	0.0624	12.71	11603;243743;20351;14270;20742;110876;19197;18844;18738;18643;11352;57810;53310;12298;12296;66172;98932;11735;18553;11450;15516;216439;18186;53378;13800;227377;73086;15376;81004;20602;51813;13429;12834;12833;12832;12831;12830;12828;12825;11770;12912;76707;12445;12534;11350;19122;54401;20779;19353;14784;330662;12843	agrn;plxna4;sema4a;srgap2;sptbn1;scn2a;pspn;plxna1;pitpna;pfn1;abl2;cdon;dlg3;cacnb4;cacnb2;med11;myl9;ank3;pcsk6;adipoq;hsp90ab1;agap2;nrp1;sdcbp;enah;farp2;rps6ka5;foxa2;tbl1xr1;ncor2;ccnc;dnm1;col6a2;col6a1;col5a2;col5a1;col4a5;col4a3;col3a1;fabp4;creb1;clasp1;ccnd3;cdk1;abl1;prnp;ywhab;src;rac1;grb2;dock1;col1a2	Agrn_77330;Plxna4_57092;Sema4a_64283;Srgap2_79300;Sptbn1_57353;Scn2a_31557,Scn2a_69840;Pspn_55652;Plxna1_70819;Pitpna_58370;Pfn1_80407;Abl2_63938;Cdon_64083,Cdon_76475;Dlg3_31930;Cacnb4_58587;Cacnb2_78966;Med11_70328;Myl9_29990;Ank3_68052;Pcsk6_69907,Pcsk6_72136;Adipoq_79998;Hsp90ab1_70484;Agap2_57183;Nrp1_30889;Sdcbp_53811,Sdcbp_77206;Enah_67786;Farp2_58966;Rps6ka5_79179;Foxa2_56614;Tbl1xr1_67830;Ncor2_31924;Ccnc_75884;Dnm1_29660;Col6a2_29638,Col6a2_31834;Col6a1_29782,Col6a1_67900;Col5a2_72378;Col5a1_64844;Col4a5_54851;Col4a3_67476;Col3a1_72032;Fabp4_78024;Creb1_64373;Clasp1_71151;Ccnd3_68992;Cdk1_76534;Abl1_29114,Abl1_71120;Prnp_82119;Ywhab_60393;Src_61324;Rac1_30873;Grb2_31853,Grb2_29420;Dock1_73668;Col1a2_31136,Col1a2_63239	14270(-0.7199);110876(0.3503);18844(0.03753);53310(0.06609);98932(0.06773);11735(0.1423);15516(0.2822);13800(0.4982);81004(0.1513);20602(-0.05561);12912(-0.3088);12445(-0.0654);12534(0.4062);19122(0.3629);19353(0.02082);14784(-0.8492);330662(0.1254);12843(-0.03007)	18.137505807692303	15.0326025	0.237892	11.39617486574089	20.326567091968776	11.643561120651587	10.450015132692304	8.946349999999999	0.0412319	6.046403405251202	12.143321588903596	6.710785797579165	26.580299326923075	25.4818725	1.0111	11.947298865278722	27.801449038403494	11.37548569755551	19.5	12.94965	39.5	25.112949999999998	34.8638;4.07643;39.7115;16.9395;10.4899;32.6182;23.6545;17.5386;13.6627;0.237892;12.285;7.287585;42.5322;39.2493;35.6646;13.2286;12.6896;11.4555;19.36255;11.6174;12.8751;35.4095;22.9078;18.0583;13.0242;19.7093;24.0642;20.6257;8.14079;20.9622;12.6804;28.9084;5.48598;14.863859999999999;13.9011;3.34504;42.0032;40.7879;26.1617;3.33315;11.5426;15.2416;7.29613;3.1665;16.18685;11.5291;3.1964;14.8715;7.12354;15.193705000000001;21.6882;29.701	18.6652;2.86903;24.0948;10.6812;7.13487;15.617349999999998;18.8169;9.93494;8.72408;0.0412319;8.42971;4.989345;15.9224;23.0516;23.0761;8.35042;8.27202;7.83424;12.1709;7.92685;8.78008;23.1108;8.96902;10.565854999999999;8.92368;6.16143;11.0525;9.79321;5.81481;12.7317;8.52148;15.2536;3.8907249999999998;8.395825;8.92261;2.47255;18.5681;21.8823;14.6289;1.83016;7.88409;9.64741;5.00138;1.53678;9.174055000000001;7.87642;2.00434;10.0734;3.64681;10.31448;12.8789;16.4902	43.3541;6.62085;40.582;40.0217;18.9768;39.4728;32.4912;28.4561;29.2754;1.0111;22.308;12.78237;44.4397;40.0738;36.4047;28.7386;25.6448;20.7256;33.207499999999996;21.1548;23.8628;36.0994;31.2523;24.3321;23.9615;22.5561;42.2953;42.1075;13.1232;22.5313;24.1392;38.1028;8.10646;17.6066;29.5662;4.94756;43.5167;41.8337;42.4578;7.86184;20.9555;34.2707;12.647;8.09045;21.24565;20.92;6.18304;28.9011;31.6955;25.318945;23.775;42.1704	14	45	14	20351;19197;11352;12298;12296;11450;15516;216439;13800;13429;12828;11770;12912;20779	Sema4a_64283;Pspn_55652;Abl2_63938;Cacnb4_58587;Cacnb2_78966;Adipoq_79998;Hsp90ab1_70484;Agap2_57183;Enah_67786;Dnm1_29660;Col4a3_67476;Fabp4_78024;Creb1_64373;Src_61324	23.066760714285714	19.262999999999998	13.126370477345606	14.50957642857143	12.663499999999999	7.617507541423248	29.613795714285715	30.69615	9.946528594792575	39.7115;23.6545;12.285;39.2493;35.6646;11.6174;12.8751;35.4095;13.0242;28.9084;40.7879;3.33315;11.5426;14.8715	24.0948;18.8169;8.42971;23.0516;23.0761;7.92685;8.78008;23.1108;8.92368;15.2536;21.8823;1.83016;7.88409;10.0734	40.582;32.4912;22.308;40.0738;36.4047;21.1548;23.8628;36.0994;23.9615;38.1028;41.8337;7.86184;20.9555;28.9011	37	11603;243743;14270;20742;110876;18844;18738;18643;57810;53310;66172;98932;11735;18553;18186;53378;227377;73086;15376;81004;20602;51813;12834;12833;12832;12831;12830;12825;76707;12445;12534;11350;19122;54401;19353;330662;12843	Agrn_77330;Plxna4_57092;Srgap2_79300;Sptbn1_57353;Scn2a_31557,Scn2a_69840;Plxna1_70819;Pitpna_58370;Pfn1_80407;Cdon_64083,Cdon_76475;Dlg3_31930;Med11_70328;Myl9_29990;Ank3_68052;Pcsk6_69907,Pcsk6_72136;Nrp1_30889;Sdcbp_53811,Sdcbp_77206;Farp2_58966;Rps6ka5_79179;Foxa2_56614;Tbl1xr1_67830;Ncor2_31924;Ccnc_75884;Col6a2_29638,Col6a2_31834;Col6a1_29782,Col6a1_67900;Col5a2_72378;Col5a1_64844;Col4a5_54851;Col3a1_72032;Clasp1_71151;Ccnd3_68992;Cdk1_76534;Abl1_29114,Abl1_71120;Prnp_82119;Ywhab_60393;Rac1_30873;Dock1_73668;Col1a2_31136,Col1a2_63239	16.351944513513512	14.863859999999999	10.430718334441142	8.917628024324324	8.72408	4.692022030340333	25.46658054054054	24.3321	12.711747369473274	34.8638;4.07643;16.9395;10.4899;32.6182;17.5386;13.6627;0.237892;7.287585;42.5322;13.2286;12.6896;11.4555;19.36255;22.9078;18.0583;19.7093;24.0642;20.6257;8.14079;20.9622;12.6804;5.48598;14.863859999999999;13.9011;3.34504;42.0032;26.1617;15.2416;7.29613;3.1665;16.18685;11.5291;3.1964;7.12354;21.6882;29.701	18.6652;2.86903;10.6812;7.13487;15.617349999999998;9.93494;8.72408;0.0412319;4.989345;15.9224;8.35042;8.27202;7.83424;12.1709;8.96902;10.565854999999999;6.16143;11.0525;9.79321;5.81481;12.7317;8.52148;3.8907249999999998;8.395825;8.92261;2.47255;18.5681;14.6289;9.64741;5.00138;1.53678;9.174055000000001;7.87642;2.00434;3.64681;12.8789;16.4902	43.3541;6.62085;40.0217;18.9768;39.4728;28.4561;29.2754;1.0111;12.78237;44.4397;28.7386;25.6448;20.7256;33.207499999999996;31.2523;24.3321;22.5561;42.2953;42.1075;13.1232;22.5313;24.1392;8.10646;17.6066;29.5662;4.94756;43.5167;42.4578;34.2707;12.647;8.09045;21.24565;20.92;6.18304;31.6955;23.775;42.1704	1	14784	Grb2_31853,Grb2_29420	6.23831,24.1491	4.55056,16.0784	9.55159,41.0863	Exp 2,16(0.27);Exp 3,1(0.02);Exp 4,4(0.07);Hill,9(0.15);Linear,10(0.17);Poly 2,2(0.04);Power,19(0.32)	3.5287228506094954	282.24172830581665	1.5316741466522217	18.460886001586914	4.029602948110722	2.6702425479888916	15.039990194912994	21.235021420471618	8.806583966570939	12.093446298813676	23.33298650470661	29.82761214913954	DOWN	0.2692307692307692	0.7115384615384616	0.019230769230769232	
1518	Diabetes pathways	107	144	60	60	18	52	57	49	54	15	15	879	129	7964	0.64133	0.46588	0.77989	10.42	50527;231997;105785;381801;12282;14583;56453;211446;58991;66286;319765;64209;22642;11518;20416	ero1l;fkbp14;kdelr3;tatdn2;hyou1;gfpt1;mbtps1;exoc3;ghrl;sec11c;igf2bp2;herpud1;zbtb17;add1;shc1	Ero1l_29075;Fkbp14_65477;Kdelr3_56063;Tatdn2_31072;Hyou1_66530;Gfpt1_30928;Mbtps1_30831;Exoc3_73393;Ghrl_77249;Sec11c_64696;Igf2bp2_31560;Herpud1_31617;Zbtb17_66729;Add1_70712;Shc1_69720,Shc1_77672	14583(-0.07253);11518(0.1045);20416(0.04758)	16.355371	13.2387	5.20442	8.697384074781212	16.50513813626314	9.343175443979312	10.904475999999999	8.8245	3.59844	5.617804298184226	10.888766487985984	6.044818969023808	23.015684000000004	22.2351	7.73091	8.563068748797107	23.027307909018862	8.606923085783752	6.5	12.66525	13.5	31.242	11.3855;40.8988;15.8826;21.1697;12.0918;21.5852;21.1036;11.527;21.4112;20.3255;5.20442;11.6723;13.2387;6.77386;11.060385	7.79401;26.225;12.1741;11.7688;8.19509;12.8942;12.3953;7.87518;17.0747;14.7984;3.59844;8.60337;8.8245;4.83198;6.51407	20.542;41.9718;21.1091;22.2351;22.4497;23.278;23.0335;20.9143;28.7483;37.3044;7.73091;20.7577;25.833;10.8649;18.46255	10	6	10	50527;105785;381801;12282;14583;58991;66286;319765;64209;22642	Ero1l_29075;Kdelr3_56063;Tatdn2_31072;Hyou1_66530;Gfpt1_30928;Ghrl_77249;Sec11c_64696;Igf2bp2_31560;Herpud1_31617;Zbtb17_66729	15.396692000000002	14.560649999999999	5.595148892446024	10.572560999999999	10.29665	3.9223852944277886	22.998821	22.342399999999998	7.412003470180349	11.3855;15.8826;21.1697;12.0918;21.5852;21.4112;20.3255;5.20442;11.6723;13.2387	7.79401;12.1741;11.7688;8.19509;12.8942;17.0747;14.7984;3.59844;8.60337;8.8245	20.542;21.1091;22.2351;22.4497;23.278;28.7483;37.3044;7.73091;20.7577;25.833	5	231997;56453;211446;11518;20416	Fkbp14_65477;Mbtps1_30831;Exoc3_73393;Add1_70712;Shc1_69720,Shc1_77672	18.272728999999998	11.527	13.69032206990234	11.568306	7.87518	8.661194595139868	23.04941	20.9143	11.533834572162027	40.8988;21.1036;11.527;6.77386;11.060385	26.225;12.3953;7.87518;4.83198;6.51407	41.9718;23.0335;20.9143;10.8649;18.46255	0						Exp 2,3(0.19);Exp 3,1(0.07);Hill,6(0.38);Linear,5(0.32);Power,1(0.07)	2.943177270297657	60.51028776168823	1.6989132165908813	19.314496994018555	4.267975743401148	2.6934598684310913	11.953887372846225	20.75685462715377	8.06147476808833	13.747477231911676	18.68217330621467	27.349194693785332	UP	0.6666666666666666	0.3333333333333333	0.0	
1519	Disinhibition of SNARE formation	4	5	1	1	1	1	1	1	1	1	1	893	4	8089	0.91935	0.40787	0.40787	20.0	18750	prkca	Prkca_56923		2.8669	2.8669	2.8669		2.8669		1.54729	1.54729	1.54729		1.54729		6.60506	6.60506	6.60506		6.60506		0.0	2.8669	0.0	2.8669	2.8669	1.54729	6.60506	0	1	0															1	18750	Prkca_56923	2.8669	2.8669		1.54729	1.54729		6.60506	6.60506		2.8669	1.54729	6.60506	0						Exp 4,1(1)	2.0713131427764893	2.0713131427764893	2.0713131427764893	2.0713131427764893	0.0	2.0713131427764893	2.8669	2.8669	1.54729	1.54729	6.60506	6.60506	DOWN	0.0	1.0	0.0	
152	Skeletal myogenesis control by HDAC and calcium/calmodulin-dependent kinase (CaMK)	18	25	8	8	2	7	7	6	8	2	2	892	23	8070	0.5405	0.72642	1.0	8.0	16337;19055	insr;ppp3ca	Insr_75317;Ppp3ca_59808	16337(0.4171)	5.8098	5.8098	3.94394	2.6387245174894622	4.726621055733505	2.1485608738398416	3.6201499999999998	3.6201499999999998	1.9334	2.3854247263328188	2.6409489429852666	1.9423134929466068	11.77965	11.77965	10.4277	1.9119460256503076	10.994808814862267	1.5567871509051021	0.5	5.8098			3.94394;7.67566	1.9334;5.3069	10.4277;13.1316	1	1	1	16337	Insr_75317	3.94394	3.94394		1.9334	1.9334		10.4277	10.4277		3.94394	1.9334	10.4277	1	19055	Ppp3ca_59808	7.67566	7.67566		5.3069	5.3069		13.1316	13.1316		7.67566	5.3069	13.1316	0						Exp 2,1(0.5);Exp 4,1(0.5)	2.716477689490337	5.535534858703613	2.2374038696289062	3.298130989074707	0.7500473391485987	2.7677674293518066	2.1527144000000007	9.4668856	0.3141200000000004	6.926179999999999	9.129828	14.429472	CONFLICT	0.5	0.5	0.0	
1520	Dissolution of fibrin clot	6	7	4	4	3	4	4	4	4	3	3	891	4	8089	0.99734	0.025279	0.025279	42.86	18816;18788;18792	serpinf2;serpinb2;plau	Serpinf2_60955;Serpinb2_74877;Plau_31587	18792(0.4579)	22.304503333333333	23.9237	7.58031	13.98507427216721	30.708117066045407	10.919774829036788	15.179310000000001	16.977	5.45013	8.966525704769936	20.307188517861103	6.77946925111657	29.86426666666667	36.0994	12.0219	15.683666688734915	34.41638691664818	9.669440211319172	0.0	7.58031	0.0	7.58031	7.58031;35.4095;23.9237	5.45013;23.1108;16.977	12.0219;36.0994;41.4715	2	1	2	18816;18788	Serpinf2_60955;Serpinb2_74877	21.494905	21.494905	19.67820896392886	14.280465	14.280465	12.487979517297829	24.060650000000003	24.060650000000003	17.0253635240191	7.58031;35.4095	5.45013;23.1108	12.0219;36.0994	1	18792	Plau_31587	23.9237	23.9237		16.977	16.977		41.4715	41.4715		23.9237	16.977	41.4715	0						Hill,1(0.34);Linear,1(0.34);Power,1(0.34)	3.7407373389483136	12.055702686309814	2.678844451904297	6.250922679901123	1.9461576612583928	3.1259355545043945	6.478901997814935	38.13010466885173	5.032730982484541	25.32588901751546	12.116527064808587	47.61200626852475	UP	0.6666666666666666	0.3333333333333333	0.0	
1521	Dopamine neurotransmitter release cycle	6	12	3	3	1	3	3	3	3	1	1	893	11	8082	0.66139	0.71583	1.0	8.33	19339	rab3a	Rab3a_29817	19339(-0.07967)	8.66449	8.66449	8.66449		8.66449		6.14954	6.14954	6.14954		6.149539999999999		14.194	14.194	14.194		14.194		0.0	8.66449			8.66449	6.14954	14.194	0	1	0															1	19339	Rab3a_29817	8.66449	8.66449		6.14954	6.14954		14.194	14.194		8.66449	6.14954	14.194	0						Linear,1(1)	2.940255641937256	2.940255641937256	2.940255641937256	2.940255641937256	0.0	2.940255641937256	8.66449	8.66449	6.14954	6.14954	14.194	14.194	DOWN	0.0	1.0	0.0	
1522	Dual incision reaction in GG-NER	19	20	7	6	2	5	6	5	5	2	2	892	18	8075	0.67994	0.60555	1.0	10.0	14884;13870	gtf2h1;ercc1	Gtf2h1_74444;Ercc1_76724,Ercc1_80785		11.72527	11.72527	5.87418	8.274690832665595	10.372197250951421	8.050397297510495	7.4162125	7.4162125	2.91548	6.364996942113365	6.375411812178195	6.19246751542322	18.322139999999997	18.322139999999997	9.63853	12.280479032358642	16.314043037832995	11.947604715811089	0.0	5.87418	1.0	17.57636	5.87418;17.57636	2.91548;11.916945	9.63853;27.00575	3	0	2	14884;13870	Gtf2h1_74444;Ercc1_76724,Ercc1_80785	11.72527	11.72527	8.274690832665595	7.4162125	7.4162125	6.364996942113365	18.322139999999997	18.322139999999997	12.280479032358642	5.87418;17.57636	2.91548;11.916945	9.63853;27.00575	0															0						Exp 2,1(0.34);Hill,1(0.34);Power,1(0.34)	3.49770517001708	11.866211175918579	1.6533873081207275	5.5477776527404785	2.0418774171120253	4.665046215057373	0.2571335999999995	23.193406400000004	-1.4052231999999982	16.2376482	1.3022643999999985	35.342015599999996	UP	1.0	0.0	0.0	
1523	Dual incision reaction in TC-NER	26	27	6	6	3	5	5	5	6	3	3	891	24	8069	0.72129	0.51198	0.74678	11.11	14884;319955;13870	gtf2h1;ercc6;ercc1	Gtf2h1_74444;Ercc6_60890;Ercc1_76724,Ercc1_80785		12.931246666666667	15.3432	5.87418	6.212760525702995	12.350952421506536	6.175735570765507	8.248015	9.91162	2.91548	4.725704099240133	7.7830332899878725	4.669707468295315	23.272360000000003	27.00575	9.63853	12.203242060096157	23.024832428244174	12.907145980189188	0.5	10.60869	1.5	16.459780000000002	5.87418;15.3432;17.57636	2.91548;9.91162;11.916945	9.63853;33.1728;27.00575	4	0	3	14884;319955;13870	Gtf2h1_74444;Ercc6_60890;Ercc1_76724,Ercc1_80785	12.931246666666667	15.3432	6.212760525702995	8.248015	9.91162	4.725704099240133	23.272360000000003	27.00575	12.203242060096157	5.87418;15.3432;17.57636	2.91548;9.91162;11.916945	9.63853;33.1728;27.00575	0															0						Exp 2,1(0.25);Hill,1(0.25);Linear,1(0.25);Power,1(0.25)	3.03477379579388	13.848448753356934	1.6533873081207275	5.5477776527404785	1.9372287129077674	3.3236418962478638	5.900846301293069	19.961647032040265	2.900377393738653	13.595652606261345	9.463091626769941	37.08162837323006	UP	1.0	0.0	0.0	
1524	ER quality control compartment (ERQC)	6	6	1	1	0	1	1	1	1	0	0	894	6	8087	0.5332	1.0	1.0	0.0																														0	0	0															0															0																							
1526	Acetylcholine neurotransmitter release cycle	4	11	3	3	1	3	3	3	3	1	1	893	10	8083	0.69959	0.68439	1.0	9.09	19339	rab3a	Rab3a_29817	19339(-0.07967)	8.66449	8.66449	8.66449		8.66449		6.14954	6.14954	6.14954		6.149539999999999		14.194	14.194	14.194		14.194		0.0	8.66449			8.66449	6.14954	14.194	0	1	0															1	19339	Rab3a_29817	8.66449	8.66449		6.14954	6.14954		14.194	14.194		8.66449	6.14954	14.194	0						Linear,1(1)	2.940255641937256	2.940255641937256	2.940255641937256	2.940255641937256	0.0	2.940255641937256	8.66449	8.66449	6.14954	6.14954	14.194	14.194	DOWN	0.0	1.0	0.0	
1527	Elevation of cytosolic calcium levels	6	9	3	3	1	2	2	1	3	1	1	893	8	8085	0.77668	0.61072	0.61072	11.11	16439	itpr2	Itpr2_69649	16439(-0.09289)	4.76712	4.76712	4.76712		4.76712		2.25051	2.25051	2.25051		2.2505099999999993		13.6675	13.6675	13.6675		13.6675		0.0	4.76712	0.0	4.76712	4.76712	2.25051	13.6675	1	0	1	16439	Itpr2_69649	4.76712	4.76712		2.25051	2.25051		13.6675	13.6675		4.76712	2.25051	13.6675	0															0						Exp 4,1(1)	2.7886264324188232	2.7886264324188232	2.7886264324188232	2.7886264324188232	0.0	2.7886264324188232	4.76712	4.76712	2.25051	2.25051	13.6675	13.6675	UP	1.0	0.0	0.0	
1528	Cytochrome P450 metabolism of endogenous sterols	4	15	3	3	2	2	3	2	2	1	1	893	14	8079	0.55172	0.79258	1.0	6.67	13074	cyp17a1	Cyp17a1_80340		26.2006	26.2006	26.2006		26.2006		20.7233	20.7233	20.7233		20.7233		39.6321	39.6321	39.6321		39.6321		0.0	26.2006			26.2006	20.7233	39.6321	1	0	1	13074	Cyp17a1_80340	26.2006	26.2006		20.7233	20.7233		39.6321	39.6321		26.2006	20.7233	39.6321	0															0						Exp 2,1(1)	6.148975372314454	6.148975372314453	6.148975372314453	6.148975372314453	0.0	6.148975372314453	26.2006	26.2006	20.7233	20.7233	39.6321	39.6321	UP	1.0	0.0	0.0	
1529	Endosomal/vacuolar pathway	8	19	7	6	3	7	6	6	7	3	3	891	16	8077	0.88688	0.29168	0.42797	15.79	15006;14972;14964	h2-q1;h2-k1;h2-d1	H2-Q1_72924;H2-K1_74158;H2-D1_72476	14972(-0.2947)	17.093233333333334	11.0097	1.7402	19.13441142035295	21.434496391752578	19.931986014432255	10.331783	7.57632	0.258429	11.697084738796544	12.954169834633602	12.091435689561266	22.66114333333333	19.5756	9.10053	15.33794874501259	26.077313199126962	15.79910449698946	0.0	1.7402	0.5	6.37495	38.5298;11.0097;1.7402	23.1606;7.57632;0.258429	39.3073;19.5756;9.10053	3	0	3	15006;14972;14964	H2-Q1_72924;H2-K1_74158;H2-D1_72476	17.093233333333334	11.0097	19.13441142035295	10.331783	7.57632	11.697084738796544	22.66114333333333	19.5756	15.33794874501259	38.5298;11.0097;1.7402	23.1606;7.57632;0.258429	39.3073;19.5756;9.10053	0															0						Exp 4,1(0.34);Linear,1(0.34);Power,1(0.34)	3.199187267346993	10.602041721343994	2.1868298053741455	5.8602142333984375	2.0229416365659274	2.554997682571411	-4.5593915319452805	38.74585819861195	-2.9047144444489756	23.568280444448973	5.304620413303915	40.01766625336275	UP	1.0	0.0	0.0	
153	Keratinocyte differentiation	48	57	25	25	10	23	24	23	24	9	9	885	48	8045	0.94739	0.10864	0.17626	15.79	23872;20683;26408;18750;26398;18035;11796;20416;14784	ets2;sp1;map3k5;prkca;map2k4;nfkbia;birc3;shc1;grb2	Ets2_55773;Sp1_69023;Map3k5_65275;Prkca_56923;Map2k4_70072;Nfkbia_55629;Birc3_31711;Shc1_69720,Shc1_77672;Grb2_31853,Grb2_29420	20683(0.133);26408(0.2672);20416(0.04758);14784(-0.8492)	13.664663333333332	15.193705000000001	2.73978	8.58410061431562	17.29648333464856	9.313815880918654	8.190154444444444	9.23449	1.31789	4.702459848284491	10.090718594247464	4.540409907111754	25.213504999999998	24.997	6.60506	14.84548773401366	28.573059567879397	12.683017723352398	1.5	6.6479	4.5	15.313902500000001	2.73978;10.4289;31.0478;2.8669;18.6832;15.4341;15.5272;11.060385;15.193705000000001	1.31789;7.23397;16.0749;1.54729;11.4716;9.23449;10.0027;6.51407;10.31448	6.84839;18.1433;43.3906;6.60506;49.2572;24.997;33.8985;18.46255;25.318945	4	5	4	23872;20683;18035;11796	Ets2_55773;Sp1_69023;Nfkbia_55629;Birc3_31711	11.032495	12.9315	6.0196884916164874	6.9472625	8.23423	3.930188455510118	20.9717975	21.570149999999998	11.413047069152547	2.73978;10.4289;15.4341;15.5272	1.31789;7.23397;9.23449;10.0027	6.84839;18.1433;24.997;33.8985	4	26408;18750;26398;20416	Map3k5_65275;Prkca_56923;Map2k4_70072;Shc1_69720,Shc1_77672	15.914571249999998	14.8717925	11.978936607686547	8.901965	8.992835	6.267570168044921	29.4288525	30.926575	20.242521684472962	31.0478;2.8669;18.6832;11.060385	16.0749;1.54729;11.4716;6.51407	43.3906;6.60506;49.2572;18.46255	1	14784	Grb2_31853,Grb2_29420	6.23831,24.1491	4.55056,16.0784	9.55159,41.0863	Exp 3,1(0.1);Exp 4,2(0.19);Hill,1(0.1);Linear,5(0.46);Power,2(0.19)	3.5729284537961954	49.33640158176422	1.5225757360458374	12.040188789367676	3.315198899066689	2.797323226928711	8.056384265313799	19.272942401352868	5.117880676898578	11.26242821199031	15.514453013777741	34.912556986222256	CONFLICT	0.4444444444444444	0.4444444444444444	0.1111111111111111	
1531	Activated AMPK stimulation of fatty-acid oxidation in muscle	16	18	6	6	2	5	6	5	6	2	2	892	16	8077	0.73652	0.54696	0.69835	11.11	12894;19082	cpt1a;prkag1	Cpt1a_61022;Prkag1_58275		13.49558	13.49558	8.14736	7.56352525855504	14.466666016260165	7.437801976044264	8.680475	8.680475	5.81905	4.046666042713435	9.200029132791329	3.979401094065398	31.6798	31.6798	13.1363	26.224469193865495	35.04677696476965	25.788557864630985	0.0	8.14736	0.5	13.49558	18.8438;8.14736	11.5419;5.81905	50.2233;13.1363	1	1	1	12894	Cpt1a_61022	18.8438	18.8438		11.5419	11.5419		50.2233	50.2233		18.8438	11.5419	50.2233	1	19082	Prkag1_58275	8.14736	8.14736		5.81905	5.81905		13.1363	13.1363		8.14736	5.81905	13.1363	0						Linear,2(1)	3.66135458428345	8.784604787826538	1.9660289287567139	6.818575859069824	3.4312688404503655	4.392302393913269	3.013068799999999	23.9780912	3.072082	14.288867999999999	-4.665460000000003	68.02506	CONFLICT	0.5	0.5	0.0	
1532	Ethanol oxidation	4	7	1	1	1	1	1	1	1	0	0	894	7	8086	0.48012	1.0	1.0	0.0																														0	0	0															0															0																							
1533	Extension of telomeres	26	28	17	16	4	14	16	14	14	3	3	891	25	8068	0.69809	0.53719	0.75445	10.71	19076;18973;16881	prim2;pole;lig1	Prim2_56868;Pole_70579;Lig1_29706	16881(0.3152)	2.0966926666666663	2.81415	0.265188	1.5984767483580529	1.8157535537634408	1.6733867423680933	0.9444270000000001	1.1126	0.119631	0.754892165701168	0.8147859717741937	0.7789035858182871	6.104674333333333	8.35125	0.792343	4.6188106818137005	5.309656288978494	4.860680778143377	0.5	1.539669	1.5	3.012445	3.21074;2.81415;0.265188	1.60105;1.1126;0.119631	8.35125;9.17043;0.792343	0	3	0															3	19076;18973;16881	Prim2_56868;Pole_70579;Lig1_29706	2.0966926666666663	2.81415	1.5984767483580529	0.9444270000000001	1.1126	0.754892165701168	6.104674333333333	8.35125	4.6188106818137005	3.21074;2.81415;0.265188	1.60105;1.1126;0.119631	8.35125;9.17043;0.792343	0						Exp 4,3(1)	4.866241693336021	16.553947925567627	2.9187960624694824	9.463200569152832	3.473637557221936	4.1719512939453125	0.2878459439892229	3.905539389344111	0.09018609764965035	1.79866790235035	0.8779980159904586	11.331350650676209	DOWN	0.0	1.0	0.0	
