1509	Cooperation of prefoldin and TriC/CCT  in actin and tubulin folding	23	26	21	21	4	21	21	21	21	4	4	1075	22	7886	0.80506	0.3815	0.5446	15.38	67951;12464;22327;22145	tubb6;cct4;vbp1;tuba4a	Tubb6_30743;Cct4_71398;Vbp1_31850;Tuba4a_29527,Tuba4a_75858	67951(0.4669);12464(-0.7928);22145(-0.02643)	14.208699000000001	18.528150000000004	0.290296	9.296980816143344	13.533768174749353	9.321088062371953	10.464659	13.43455	0.142636	6.917357426632707	10.136157116363472	7.03828613202166	20.52929075	24.198375	0.665013	13.888859997620711	18.52486490396044	12.905284692925242	0.5	9.188098000000002	1.5	18.528150000000004	0.290296;18.9704;19.4882;18.085900000000002	0.142636;13.151;14.8469;13.7181	0.665013;33.0554;24.5752;23.821550000000002	3	2	2	12464;22145	Cct4_71398;Tuba4a_29527,Tuba4a_75858	18.528150000000004	18.528150000000004	0.6254359479594348	13.43455	13.43455	0.4010002556108715	28.438475	28.438475	6.52931795145941	18.9704;18.085900000000002	13.151;13.7181	33.0554;23.821550000000002	2	67951;22327	Tubb6_30743;Vbp1_31850	9.889248	9.889248	13.574968102968343	7.494768	7.494768	10.397484786757227	12.620106499999999	12.620106499999999	16.907055367138433	0.290296;19.4882	0.142636;14.8469	0.665013;24.5752	0						Exp 4,1(0.2);Hill,3(0.6);Linear,1(0.2)	4.991371359827635	28.444090723991394	1.7509106397628784	7.934218406677246	2.644455520934836	6.661343097686768	5.097657800179524	23.319740199820473	3.6856487218999465	17.24366927810005	6.918207952331697	34.1403735476683	CONFLICT	0.5	0.5	0.0	
151	Gamma-secretase-mediated ErbB4 signaling pathway	4	7	2	2	0	2	2	2	2	0	0	1079	7	7901	0.40834	1.0	1.0	0.0																														0	0	0															0															0																							
1510	Cross-presentation of particulate exogenous antigens (phagosomes)	6	8	2	2	1	2	2	2	2	1	1	1078	7	7901	0.7518	0.64072	1.0	12.5	16410	itgav	Itgav_68117	16410(0.04088)	22.3247	22.3247	22.3247		22.3247		18.876	18.876	18.876		18.876		34.3671	34.3671	34.3671		34.3671		0.0	22.3247	0.0	22.3247	22.3247	18.876	34.3671	0	1	0															1	16410	Itgav_68117	22.3247	22.3247		18.876	18.876		34.3671	34.3671		22.3247	18.876	34.3671	0						Hill,1(1)	7.4558982849121085	7.455898284912109	7.455898284912109	7.455898284912109	0.0	7.455898284912109	22.3247	22.3247	18.876	18.876	34.3671	34.3671	DOWN	0.0	1.0	0.0	
1511	Cyclin A/B1-associated events during G2/M transition	15	16	14	14	12	14	14	14	14	12	12	1067	4	7904	1.0	9.722E-9	9.722E-9	75.0	12442;103573;22390;18817;17420;12572;12532;66671;268697;12428;12534;12530	ccnb2;xpo1;wee1;plk1;mnat1;cdk7;cdc25c;ccnh;ccnb1;ccna2;cdk1;cdc25a	Ccnb2_29477;Xpo1_78569;Wee1_57745;Plk1_29780,Plk1_63177;Mnat1_31677,Mnat1_31890;Cdk7_30620;Cdc25c_30344;Ccnh_29679,Ccnh_71386;Ccnb1_31979;Ccna2_65309;Cdk1_76534;Cdc25a_32088	17420(-0.7694);12572(-0.8011);12532(-0.3068);66671(-0.7374);12428(-0.3764);12534(-0.2347);12530(0.1107)	10.1335325	4.714245	1.02732	10.26930453189161	8.02705178480999	8.225893873692534	6.939282583333333	2.636515	0.580011	7.463486417525605	5.379829296376506	5.869489030498343	16.407977083333332	10.553615	2.75624	13.938152203975061	14.107455212636431	12.495169180059175	0.0	1.02732	0.5	1.33206	4.36142;18.4641;2.98734;1.02732;28.2268;26.8351;1.6368;20.281950000000002;2.66634;5.06707;2.99882;7.04933	3.05443;12.4825;1.44052;0.580011;18.48705;20.4813;1.11797;15.104099999999999;1.94801;2.2186;1.86137;4.49553	7.35073;33.6945;7.78843;2.9139649999999997;37.6867;35.5883;2.75624;31.09015;4.0531;14.8558;5.79901;13.3188	1	10	1	12572	Cdk7_30620	26.8351	26.8351		20.4813	20.4813		35.5883	35.5883		26.8351	20.4813	35.5883	9	12442;103573;22390;18817;12532;268697;12428;12534;12530	Ccnb2_29477;Xpo1_78569;Wee1_57745;Plk1_29780,Plk1_63177;Cdc25c_30344;Ccnb1_31979;Ccna2_65309;Cdk1_76534;Cdc25a_32088	5.139837777777777	2.99882	5.318750145820862	3.2443267777777773	1.94801	3.6480170544277812	10.281175	7.35073	9.765491435733662	4.36142;18.4641;2.98734;1.02732;1.6368;2.66634;5.06707;2.99882;7.04933	3.05443;12.4825;1.44052;0.580011;1.11797;1.94801;2.2186;1.86137;4.49553	7.35073;33.6945;7.78843;2.9139649999999997;2.75624;4.0531;14.8558;5.79901;13.3188	2	17420;66671	Mnat1_31677,Mnat1_31890;Ccnh_29679,Ccnh_71386	22.1791,34.2745;19.4528,21.1111	16.8224,20.1517;15.8109,14.3973	35.2431,40.1303;23.6816,38.4987	Exp 2,2(0.14);Exp 4,5(0.34);Hill,5(0.34);Linear,1(0.07);Poly 2,2(0.14)	8.051768659180679	284.2670850753784	1.7732863426208496	145.98065185546875	36.03445982837617	9.566125869750977	4.323126478839692	15.943938521160307	2.7164176089268404	11.162147557739825	8.521725074901775	24.29422909176489	DOWN	0.08333333333333333	0.75	0.16666666666666666	
1513	Cyclin B2-mediated events	5	5	4	4	4	4	4	4	4	4	4	1075	1	7907	0.99998	9.349E-4	9.349E-4	80.0	12442;12532;12534;12530	ccnb2;cdc25c;cdk1;cdc25a	Ccnb2_29477;Cdc25c_30344;Cdk1_76534;Cdc25a_32088	12532(-0.3068);12534(-0.2347);12530(0.1107)	4.0115925	3.6801199999999996	1.6368	2.310524900931605	4.6708307335669925	1.8192313052215503	2.632325	2.4579	1.11797	1.4761829359421093	3.1291798702576403	1.1323440151410604	7.306195000000001	6.574870000000001	2.75624	4.439485682617598	8.323722311996557	3.617023941558929	0.0	1.6368	0.0	1.6368	4.36142;1.6368;2.99882;7.04933	3.05443;1.11797;1.86137;4.49553	7.35073;2.75624;5.79901;13.3188	0	4	0															4	12442;12532;12534;12530	Ccnb2_29477;Cdc25c_30344;Cdk1_76534;Cdc25a_32088	4.0115925	3.6801199999999996	2.310524900931605	2.632325	2.4579	1.4761829359421093	7.306195000000001	6.574870000000001	4.439485682617598	4.36142;1.6368;2.99882;7.04933	3.05443;1.11797;1.86137;4.49553	7.35073;2.75624;5.79901;13.3188	0						Exp 2,1(0.25);Exp 4,2(0.5);Poly 2,1(0.25)	14.632220957188522	63.82894992828369	7.247385025024414	22.73965835571289	6.832809220976922	16.920953273773193	1.7472780970870274	6.275906902912972	1.1856657227767324	4.078984277223267	2.955499031034752	11.65689096896525	DOWN	0.0	1.0	0.0	
1514	Cyclin D-associated events in G1	33	36	22	22	11	22	21	21	22	11	11	1068	25	7883	0.99933	0.0024699	0.0024699	30.56	26965;211586;27401;19650;17420;13557;12572;66671;12444;12443;19052	cul1;tfdp2;skp2;rbl1;mnat1;e2f3;cdk7;ccnh;ccnd2;ccnd1;ppp2ca	Cul1_29134,Cul1_31957;Tfdp2_75238;Skp2_29041;Rbl1_75918;Mnat1_31677,Mnat1_31890;E2f3_61661;Cdk7_30620;Ccnh_29679,Ccnh_71386;Ccnd2_30507,Ccnd2_65355;Ccnd1_31337;Ppp2ca_31086	26965(-0.9311);211586(-0.5708);27401(-0.1105);17420(-0.7694);12572(-0.8011);66671(-0.7374);12444(0.4772)	15.122461818181819	8.43165	1.80029	11.812130779276714	11.018275515020816	11.024858597750574	10.043928000000001	6.060525	0.557123	7.971008670731264	7.104012467277683	7.299192268712506	22.32673318181818	17.1717	8.07849	11.982959722670001	17.734120721538325	11.15680860066383	0.5	3.2301900000000003	2.5	6.210905	19.0426;4.66009;6.264;1.80029;28.2268;6.15781;26.8351;20.281950000000002;8.43165;37.3253;7.32149	14.302700000000002;2.78851;4.14744;0.557123;18.48705;2.99408;20.4813;15.104099999999999;6.060525;21.5395;4.02088	22.764699999999998;9.69696;12.3366;8.07849;37.6867;17.1717;35.5883;31.09015;13.379265;40.9782;16.823	2	7	2	12572;12443	Cdk7_30620;Ccnd1_31337	32.0802	32.0802	7.417691556003138	21.0104	21.0104	0.7482603958516215	38.283249999999995	38.283249999999995	3.8112348399174616	26.8351;37.3253	20.4813;21.5395	35.5883;40.9782	6	26965;211586;27401;19650;13557;19052	Cul1_29134,Cul1_31957;Tfdp2_75238;Skp2_29041;Rbl1_75918;E2f3_61661;Ppp2ca_31086	7.5410466666666665	6.210905	5.952047118350684	4.801788833333333	3.50748	4.829981261290375	14.478575000000001	14.5798	5.4739767131026325	19.0426;4.66009;6.264;1.80029;6.15781;7.32149	14.302700000000002;2.78851;4.14744;0.557123;2.99408;4.02088	22.764699999999998;9.69696;12.3366;8.07849;17.1717;16.823	3	17420;66671;12444	Mnat1_31677,Mnat1_31890;Ccnh_29679,Ccnh_71386;Ccnd2_30507,Ccnd2_65355	22.1791,34.2745;19.4528,21.1111;3.4912,13.3721	16.8224,20.1517;15.8109,14.3973;2.48504,9.63601	35.2431,40.1303;23.6816,38.4987;5.66893,21.0896	Exp 4,4(0.27);Hill,7(0.47);Linear,2(0.14);Poly 2,2(0.14)	4.283664812778899	206.15814018249512	1.6600645780563354	145.98065185546875	36.812084102467516	3.301088571548462	8.141938608349125	22.102985028014512	5.333362897771736	14.754493102228263	15.245256517731487	29.408209845904874	CONFLICT	0.18181818181818182	0.5454545454545454	0.2727272727272727	
1515	Down syndrome cell adhesion molecule (DSCAM) interactions	8	11	3	3	2	3	3	3	3	2	2	1077	9	7899	0.86331	0.3876	0.63229	18.18	114873;18479	dscaml1;pak1	Dscaml1_80364;Pak1_79482	18479(-0.05002)	45.697	45.697	17.3412	40.101156931939016	25.19441674059788	27.701822081996134	27.2003	27.2003	12.1664	21.26114527536088	16.330079922854388	14.687168868398063	52.58285000000001	52.58285000000001	29.2678	32.97245991740682	35.72496717454195	22.7773283396287	0.0	17.3412	0.5	45.697	74.0528;17.3412	42.2342;12.1664	75.8979;29.2678	1	1	1	114873	Dscaml1_80364	74.0528	74.0528		42.2342	42.2342		75.8979	75.8979		74.0528	42.2342	75.8979	1	18479	Pak1_79482	17.3412	17.3412		12.1664	12.1664		29.2678	29.2678		17.3412	12.1664	29.2678	0						Linear,1(0.5);Power,1(0.5)	11.357450277377035	24.386566638946533	7.756563663482666	16.630002975463867	6.2744691099492	12.193283319473267	-9.88036799999999	101.274368	-2.266143999999997	56.666743999999994	6.885352000000005	98.280348	CONFLICT	0.5	0.5	0.0	
1517	Developmental biology	274	409	183	181	61	176	178	172	179	58	58	1021	351	7557	0.92572	0.097503	0.16166	14.18	243743;20351;80297;66556;20563;18222;20271;110876;18845;18844;17967;17909;11479;57810;53310;381379;192191;12331;14026;18553;15516;13004;18186;18187;13800;21410;17973;21413;18012;20112;69790;67381;69792;20185;26896;21372;12608;12569;245026;12834;12833;12832;12831;16956;76499;17126;12995;12534;11350;54401;20740;224105;18479;16410;16402;14784;330662;12843	plxna4;sema4a;sptbn4;drap1;slit2;numb;scn5a;scn2a;plxna2;plxna1;ncam1;myo10;acvr1b;cdon;dlg3;med19;med9;cap1;evl;pcsk6;hsp90ab1;ncan;nrp1;nrp2;enah;hnf1b;nck1;tcf4;neurod1;rps6ka2;med30;med4;med6;ncor1;med14;tbl1x;cebpb;cdk5r1;col6a6;col6a2;col6a1;col5a2;col5a1;lpl;clasp2;smad2;csnk2a1;cdk1;abl1;ywhab;sptan1;pak2;pak1;itgav;itga5;grb2;dock1;col1a2	Plxna4_57092;Sema4a_63860,Sema4a_64283;Sptbn4_77265;Drap1_31126;Slit2_72176;Numb_68749;Scn5a_67272;Scn2a_31557;Plxna2_61752;Plxna1_77963;Ncam1_71673,Ncam1_73451;Myo10_63592;Acvr1b_62134;Cdon_64083;Dlg3_31930,Dlg3_32206;Med19_60027;Med9_54056;Cap1_68890;Evl_71174;Pcsk6_72136;Hsp90ab1_70484;Ncan_57096;Nrp1_30889;Nrp2_58545;Enah_68688;Hnf1b_68738;Nck1_29117;Tcf4_30776;Neurod1_70904;Rps6ka2_57589;Med30_60105;Med4_62911;Med6_75862;Ncor1_74346;Med14_77786;Tbl1x_79633;Cebpb_30534;Cdk5r1_66537;Col6a6_62163;Col6a2_31834;Col6a1_29782,Col6a1_67900;Col5a2_31305;Col5a1_64844;Lpl_31494;Clasp2_66847;Smad2_61849;Csnk2a1_71750;Cdk1_76534;Abl1_29114,Abl1_71120;Ywhab_60393;Sptan1_31084;Pak2_58714;Pak1_79482;Itgav_68117;Itga5_61476;Grb2_31853,Grb2_29420;Dock1_73668;Col1a2_75004	20563(0.05594);18222(-0.6254);18844(-0.8173);17909(0.4643);53310(-0.3589);14026(-0.2085);18553(0.3717);15516(-0.6984);17973(-0.5909);20185(0.3357);12832(0.3478);76499(-0.05833);12995(-0.02746);12534(-0.2347);11350(-0.5024);18479(-0.05002);16410(0.04088);14784(-0.811);330662(0.2028);12843(0.4495)	27.128943793103446	20.1009	2.49422	20.26980359216617	27.449559003363255	20.857749210774184	16.685420431034483	14.587679999999999	1.25768	11.399395209820142	16.90742033040404	11.931247769537482	36.93028370689656	35.083600000000004	5.18495	21.117969392903905	36.880805020884736	20.527938149575633	19.5	18.40575	39.5	25.31335	6.44386;70.48025;75.8052;14.8132;27.4652;16.7655;70.8885;21.0608;2.66126;8.09837;30.11145;17.3398;9.65864;14.1257;40.22124;18.8145;25.4935;19.8515;19.1009;21.8378;22.0597;73.0148;11.2112;57.707;20.1479;63.5949;21.2667;34.3951;22.086;23.8548;18.3804;15.952;12.0196;6.68299;17.664;2.49422;18.4311;21.3942;70.8989;25.1332;27.96025;18.1254;18.9428;65.8348;20.0539;17.7637;18.9864;2.99882;69.4765;3.96359;19.4185;29.3785;17.3412;22.3247;61.6714;26.9127;19.8643;23.0354	4.25352;41.098;42.5001;10.8171;16.7128;11.1238;41.5539;14.1701;1.65223;4.0173;16.92065;7.23939;6.1959;9.33315;23.052985;11.1526;13.9367;11.7955;13.2285;14.8082;11.6181;41.7562;7.83548;30.923;15.7094;38.5781;14.4858;16.3131;14.9472;15.9172;11.6296;8.83194;8.58179;2.93881;8.47093;1.25768;14.0854;15.8284;39.3298;15.7136;18.5862;13.7622;15.5036;39.741;16.2608;8.47642;14.2385;1.86137;42.246700000000004;2.57038;15.249;18.3226;12.1664;18.876;31.5271;14.68956;15.2655;18.0971	12.7067;71.9285;78.19;19.5651;37.8628;31.3332;72.3521;36.7429;5.18495;21.72;45.9483;37.2431;14.5051;19.6887;43.375325;21.116;39.0197;32.4525;33.3711;40.4823;38.4852;74.681;18.6228;81.5227;35.7528;70.3924;38.9173;39.2501;41.1771;46.4009;35.7923;19.7294;19.2341;20.6795;19.4813;6.0888;19.2507;38.229;72.3511;37.1793;35.789699999999996;18.8716;20.31;68.8304;34.0895;18.9048;21.1981;5.79901;79.11269999999999;7.26942;23.5491;69.7672;29.2678;34.3671;81.6268;37.09765;34.4144;33.685	27	33	25	20351;80297;66556;20271;18845;18844;17909;11479;53310;192191;14026;15516;13004;13800;21410;17973;18012;20112;20185;12608;12569;245026;16956;76499;20740	Sema4a_63860,Sema4a_64283;Sptbn4_77265;Drap1_31126;Scn5a_67272;Plxna2_61752;Plxna1_77963;Myo10_63592;Acvr1b_62134;Dlg3_31930,Dlg3_32206;Med9_54056;Evl_71174;Hsp90ab1_70484;Ncan_57096;Enah_68688;Hnf1b_68738;Nck1_29117;Neurod1_70904;Rps6ka2_57589;Ncor1_74346;Cebpb_30534;Cdk5r1_66537;Col6a6_62163;Lpl_31494;Clasp2_66847;Sptan1_31084	32.932002000000004	21.3942	24.752161446110954	20.0694926	15.249	13.935398070568581	42.369639	38.4852	21.643453023287524	70.48025;75.8052;14.8132;70.8885;2.66126;8.09837;17.3398;9.65864;40.22124;25.4935;19.1009;22.0597;73.0148;20.1479;63.5949;21.2667;22.086;23.8548;6.68299;18.4311;21.3942;70.8989;65.8348;20.0539;19.4185	41.098;42.5001;10.8171;41.5539;1.65223;4.0173;7.23939;6.1959;23.052985;13.9367;13.2285;11.6181;41.7562;15.7094;38.5781;14.4858;14.9472;15.9172;2.93881;14.0854;15.8284;39.3298;39.741;16.2608;15.249	71.9285;78.19;19.5651;72.3521;5.18495;21.72;37.2431;14.5051;43.375325;39.0197;33.3711;38.4852;74.681;35.7528;70.3924;38.9173;41.1771;46.4009;20.6795;19.2507;38.229;72.3511;68.8304;34.0895;23.5491	31	243743;20563;18222;110876;17967;57810;381379;12331;18553;18186;18187;21413;69790;67381;69792;26896;21372;12834;12833;12832;12831;17126;12995;12534;54401;224105;18479;16410;16402;330662;12843	Plxna4_57092;Slit2_72176;Numb_68749;Scn2a_31557;Ncam1_71673,Ncam1_73451;Cdon_64083;Med19_60027;Cap1_68890;Pcsk6_72136;Nrp1_30889;Nrp2_58545;Tcf4_30776;Med30_60105;Med4_62911;Med6_75862;Med14_77786;Tbl1x_79633;Col6a2_31834;Col6a1_29782,Col6a1_67900;Col5a2_31305;Col5a1_64844;Smad2_61849;Csnk2a1_71750;Cdk1_76534;Ywhab_60393;Pak2_58714;Pak1_79482;Itgav_68117;Itga5_61476;Dock1_73668;Col1a2_75004	21.089983548387096	18.9428	12.844510992320298	13.196155161290324	13.7622	6.892414069835942	31.177584838709677	31.3332	18.826157152751918	6.44386;27.4652;16.7655;21.0608;30.11145;14.1257;18.8145;19.8515;21.8378;11.2112;57.707;34.3951;18.3804;15.952;12.0196;17.664;2.49422;25.1332;27.96025;18.1254;18.9428;17.7637;18.9864;2.99882;3.96359;29.3785;17.3412;22.3247;61.6714;19.8643;23.0354	4.25352;16.7128;11.1238;14.1701;16.92065;9.33315;11.1526;11.7955;14.8082;7.83548;30.923;16.3131;11.6296;8.83194;8.58179;8.47093;1.25768;15.7136;18.5862;13.7622;15.5036;8.47642;14.2385;1.86137;2.57038;18.3226;12.1664;18.876;31.5271;15.2655;18.0971	12.7067;37.8628;31.3332;36.7429;45.9483;19.6887;21.116;32.4525;40.4823;18.6228;81.5227;39.2501;35.7923;19.7294;19.2341;19.4813;6.0888;37.1793;35.789699999999996;18.8716;20.31;18.9048;21.1981;5.79901;7.26942;69.7672;29.2678;34.3671;81.6268;34.4144;33.685	2	11350;14784	Abl1_29114,Abl1_71120;Grb2_31853,Grb2_29420	65.5473,73.4057;20.8,33.0254	44.8343,39.6591;9.09442,20.2847	79.4841,78.7413;38.3172,35.8781	Exp 2,4(0.07);Exp 3,3(0.05);Exp 4,6(0.1);Exp 5,6(0.1);Hill,27(0.43);Linear,6(0.1);Poly 2,3(0.05);Power,9(0.15)	5.409247053590909	454.94261944293976	1.515146017074585	35.78193664550781	6.242515401465508	5.586852312088013	21.912294808372575	32.34559277783433	13.751665144385484	19.619175717683476	31.49535025565944	42.36521715813365	CONFLICT	0.43103448275862066	0.5344827586206896	0.034482758620689655	
1518	Diabetes pathways	112	144	78	75	24	76	74	73	78	24	24	1055	120	7788	0.96403	0.058903	0.0919	16.67	50527;52808;52639;381801;56494;27362;226641;20336;105504;11911;16618;16613;58991;20293;319765;12505;72544;66362;11972;66500;13191;16002;11518;20416	ero1l;tspyl2;wipi1;tatdn2;gosr2;dnajb9;atf6;exoc4;exoc5;atf4;klk1b26;klk1b11;ghrl;ccl12;igf2bp2;cd44;exosc6;exosc3;atp6v0d1;slc30a7;dctn1;igf2;add1;shc1	Ero1l_68424;Tspyl2_75965;Wipi1_60811;Tatdn2_77382;Gosr2_77441;Dnajb9_68270;Atf6_30137;Exoc4_64376;Exoc5_66902,Exoc5_67736;Atf4_29798;Klk1b26_62830;Klk1b11_31379;Ghrl_77249;Ccl12_30706;Igf2bp2_31560;Cd44_29635;Exosc6_79539;Exosc3_29716;Atp6v0d1_30182;Slc30a7_30834;Dctn1_31125;Igf2_60821;Add1_70712;Shc1_30382,Shc1_77672	50527(-0.8048);52639(-0.6101);27362(-0.6819);12505(-0.7475);66362(0.04768);66500(0.3272);13191(-0.6953);11518(-0.6677);20416(-0.8227)	31.16284770833333	20.34555	2.99721	24.004632197134008	36.149999799000575	26.272029601591246	18.054286041666664	14.96735	2.17396	11.48278192314315	20.745397172454705	12.904875150016174	41.98539291666666	35.42445	4.63373	23.151093648364316	45.520344331320096	23.05827139585834	6.5	16.0686	13.5	21.769550000000002	18.0893;22.1511;15.4026;37.3529;26.4598;16.6447;13.9166;18.6481;14.291615;7.71559;70.3308;72.6535;19.8589;73.3003;2.99721;15.4925;21.388;76.5048;8.50583;20.8322;36.8173;74.1981;19.1871;45.1695	9.85279;14.9834;9.28475;20.2996;20.4547;11.7358;9.99412;13.7952;9.294235;4.79565;38.2147;41.2782;11.959;37.9093;2.17396;11.0109;17.2043;22.1052;5.26154;18.0931;21.0529;41.4971;14.9513;26.101119999999998	19.0124;41.3606;24.969;76.081;34.3892;27.7318;22.1349;19.6388;17.583849999999998;66.0683;71.7533;74.2727;36.9588;75.0086;4.63373;25.2903;36.4597;79.2426;20.6261;33.3957;39.0579;76.0748;33.5179;52.38745	14	12	14	50527;52808;381801;56494;226641;16618;16613;58991;20293;319765;12505;72544;11972;16002	Ero1l_68424;Tspyl2_75965;Tatdn2_77382;Gosr2_77441;Atf6_30137;Klk1b26_62830;Klk1b11_31379;Ghrl_77249;Ccl12_30706;Igf2bp2_31560;Cd44_29635;Exosc6_79539;Atp6v0d1_30182;Igf2_60821	34.04963142857143	21.769550000000002	26.533084203617257	20.149543571428573	16.09385	13.822796324675807	43.861152142857144	36.70925	25.51056391335954	18.0893;22.1511;37.3529;26.4598;13.9166;70.3308;72.6535;19.8589;73.3003;2.99721;15.4925;21.388;8.50583;74.1981	9.85279;14.9834;20.2996;20.4547;9.99412;38.2147;41.2782;11.959;37.9093;2.17396;11.0109;17.2043;5.26154;41.4971	19.0124;41.3606;76.081;34.3892;22.1349;71.7533;74.2727;36.9588;75.0086;4.63373;25.2903;36.4597;20.6261;76.0748	10	52639;27362;20336;105504;11911;66362;66500;13191;11518;20416	Wipi1_60811;Dnajb9_68270;Exoc4_64376;Exoc5_66902,Exoc5_67736;Atf4_29798;Exosc3_29716;Slc30a7_30834;Dctn1_31125;Add1_70712;Shc1_30382,Shc1_77672	27.1213505	18.9176	20.604877829204057	15.120925500000002	14.373249999999999	6.676949408550804	39.35932999999999	33.4568	20.40943721385337	15.4026;16.6447;18.6481;14.291615;7.71559;76.5048;20.8322;36.8173;19.1871;45.1695	9.28475;11.7358;13.7952;9.294235;4.79565;22.1052;18.0931;21.0529;14.9513;26.101119999999998	24.969;27.7318;19.6388;17.583849999999998;66.0683;79.2426;33.3957;39.0579;33.5179;52.38745	0						Exp 2,1(0.04);Exp 5,2(0.08);Hill,9(0.35);Linear,4(0.16);Poly 2,3(0.12);Power,7(0.27)	4.6819424303966155	179.4437699317932	1.5412712097167969	32.965877532958984	7.425897349974475	3.869052290916443	21.558994651793448	40.76670076487322	13.460216473571975	22.648355609761353	32.7230264004394	51.24775943289392	CONFLICT	0.5833333333333334	0.4166666666666667	0.0	
1519	Disinhibition of SNARE formation	3	5	2	2	0	2	2	2	2	0	0	1079	5	7903	0.52746	1.0	1.0	0.0																														0	0	0															0															0																							
152	Skeletal myogenesis control by HDAC and calcium/calmodulin-dependent kinase (CaMK)	18	25	12	12	3	12	11	11	12	3	3	1076	22	7886	0.6472	0.59185	1.0	12.0	22629;19055;16001	ywhah;ppp3ca;igf1r	Ywhah_66373;Ppp3ca_59808;Igf1r_30022		19.460066666666666	19.4658	18.5695	0.887713885964052	19.152236590173167	0.9256434140967019	13.2206	12.7876	12.5677	0.9468226391463425	12.971509503026889	0.7148679367746561	26.428966666666668	24.5747	19.5358	7.983471722460931	24.220580121075606	8.0248635591948	0.5	19.017650000000003	1.5	19.90535	20.3449;18.5695;19.4658	12.5677;12.7876;14.3065	35.1764;19.5358;24.5747	0	3	0															3	22629;19055;16001	Ywhah_66373;Ppp3ca_59808;Igf1r_30022	19.460066666666666	19.4658	0.887713885964052	13.2206	12.7876	0.9468226391463425	26.428966666666668	24.5747	7.983471722460931	20.3449;18.5695;19.4658	12.5677;12.7876;14.3065	35.1764;19.5358;24.5747	0						Hill,3(1)	13.029786285803052	46.92838382720947	7.731801986694336	29.496990203857422	12.038359552306112	9.699591636657715	18.45552383865827	20.464609494675063	12.14916932105152	14.292030678948478	17.394817952526715	35.46311538080661	DOWN	0.0	1.0	0.0	
1520	Dissolution of fibrin clot	6	7	4	4	2	4	4	4	4	2	2	1077	5	7903	0.95837	0.20135	0.20135	28.57	18816;18791	serpinf2;plat	Serpinf2_60955;Plat_68592		11.452475	11.452475	5.23905	8.78710990378805	10.201418619011976	8.607149140361651	5.790850000000001	5.790850000000001	2.69358	4.380201240331316	5.167223031437127	4.290494343774637	19.19125	19.19125	12.5259	9.426228367963505	17.84919973802395	9.23317840365169	0.0	5.23905	0.0	5.23905	17.6659;5.23905	8.88812;2.69358	25.8566;12.5259	1	1	1	18816	Serpinf2_60955	17.6659	17.6659		8.88812	8.88812		25.8566	25.8566		17.6659	8.88812	25.8566	1	18791	Plat_68592	5.23905	5.23905		2.69358	2.69358		12.5259	12.5259		5.23905	2.69358	12.5259	0						Exp 4,1(0.5);Hill,1(0.5)	10.013180917545018	20.03874683380127	9.667163848876953	10.371582984924316	0.4980995478966598	10.019373416900635	-0.7258380000000013	23.630788000000003	-0.27979919999999847	11.8614992	6.1271640000000005	32.255336	CONFLICT	0.5	0.5	0.0	
1521	Dopamine neurotransmitter release cycle	7	12	3	3	1	3	3	3	3	1	1	1078	11	7897	0.56823	0.78473	1.0	8.33	20910	stxbp1	Stxbp1_70802	20910(-0.7232)	19.975	19.975	19.975		19.975		12.9803	12.9803	12.9803		12.9803		39.6149	39.6149	39.6149		39.6149		0.0	19.975			19.975	12.9803	39.6149	0	1	0															1	20910	Stxbp1_70802	19.975	19.975		12.9803	12.9803		39.6149	39.6149		19.975	12.9803	39.6149	0						Exp 2,1(1)	3.124063968658447	3.1240639686584473	3.1240639686584473	3.1240639686584473	0.0	3.1240639686584473	19.975	19.975	12.9803	12.9803	39.6149	39.6149	DOWN	0.0	1.0	0.0	
