1480	TAK1-mediated activation of p38 MAPK	13	16	7	7	5	7	7	7	7	4	4	633	12	8338	0.99601	0.022922	0.022922	25.0	192656;26416;16151;108960	ripk2;mapk14;ikbkg;irak2	Ripk2_54442;Mapk14_31848;Ikbkg_80620;Irak2_68753	16151(0.3827)	17.9581425	19.324550000000002	6.23417	8.892202522953747	18.049023345735886	6.993255397130869	11.7232025	12.62265	3.02401	6.577311266165306	11.64773678065202	4.993530156497799	32.21598	35.645700000000005	6.66562	18.706072036754986	36.92226509803921	18.233474023532647	0.0	6.23417	0.5	11.401534999999999	6.23417;26.9493;22.0802;16.5689	3.02401;18.6235;14.1839;11.0614	6.66562;39.1137;50.9069;32.1777	2	2	2	192656;16151	Ripk2_54442;Ikbkg_80620	14.157185	14.157185	11.204835267885471	8.603955	8.603955	7.89123389629594	28.78626	28.78626	31.283309096372783	6.23417;22.0802	3.02401;14.1839	6.66562;50.9069	2	26416;108960	Mapk14_31848;Irak2_68753	21.7591	21.7591	7.340051231428842	14.84245	14.84245	5.347212190010794	35.645700000000005	35.645700000000005	4.904492634309844	26.9493;16.5689	18.6235;11.0614	39.1137;32.1777	0						Exp 2,1(0.25);Exp 5,1(0.25);Hill,1(0.25);Linear,1(0.25)	2.107393148730316	8.748770952224731	1.592160940170288	3.1050384044647217	0.7016749686197243	2.025785803794861	9.243784027505328	26.672500972494674	5.277437459158004	18.168967540841994	13.884029403980119	50.54793059601988	CONFLICT	0.5	0.5	0.0	
1481	Endothelial NOS activation	6	6	4	4	2	3	3	3	3	1	1	636	5	8345	0.93785	0.35676	0.35676	16.67	18127	nos3	Nos3_29714		8.47903	8.47903	8.47903		8.47903		4.335	4.335	4.335		4.335		22.1248	22.1248	22.1248		22.1248		0.0	8.47903	0.0	8.47903	8.47903	4.335	22.1248	0	1	0															1	18127	Nos3_29714	8.47903	8.47903		4.335	4.335		22.1248	22.1248		8.47903	4.335	22.1248	0						Exp 2,1(1)	3.9416794776916504	3.9416794776916504	3.9416794776916504	3.9416794776916504	0.0	3.9416794776916504	8.47903	8.47903	4.335	4.335	22.1248	22.1248	DOWN	0.0	1.0	0.0	
1482	Mitochondrial beta-oxidation of saturated fatty acids	8	8	6	6	3	6	6	6	6	3	3	634	5	8345	0.99861	0.015159	0.015159	37.5	93747;11370;11364	echs1;acadvl;acadm	Echs1_78943;Acadvl_29377;Acadm_31166	11364(0.09383)	22.688133333333337	20.1799	17.5351	6.765352685805311	24.601962736477486	6.91289564143838	13.888	12.9083	11.5751	2.9283556187731	14.723825459632296	2.9701290296669893	69.17853333333333	45.1846	35.278	50.382160869233594	82.95806333599788	52.52513170443127	0.0	17.5351	0.0	17.5351	17.5351;20.1799;30.3494	11.5751;12.9083;17.1806	35.278;45.1846;127.073	1	2	1	11370	Acadvl_29377	20.1799	20.1799		12.9083	12.9083		45.1846	45.1846		20.1799	12.9083	45.1846	2	93747;11364	Echs1_78943;Acadm_31166	23.94225	23.94225	9.061078426158767	14.377849999999999	14.377849999999999	3.963687061941201	81.1755	81.1755	64.90886697901912	17.5351;30.3494	11.5751;17.1806	35.278;127.073	0						Linear,3(1)	1.9466063965028078	5.9148945808410645	1.5453131198883057	2.189167022705078	0.3692285065937917	2.1804144382476807	15.032416072480906	30.34385059418576	10.574253666628058	17.201746333371943	12.165751218527525	126.19131544813914	DOWN	0.3333333333333333	0.6666666666666666	0.0	
1483	Mitochondrial beta-oxidation of unsaturated fatty acids	6	6	3	3	1	3	3	3	3	1	1	636	5	8345	0.93785	0.35676	0.35676	16.67	11364	acadm	Acadm_31166	11364(0.09383)	30.3494	30.3494	30.3494		30.3494		17.1806	17.1806	17.1806		17.1806		127.073	127.073	127.073		127.073		0.0	30.3494	0.0	30.3494	30.3494	17.1806	127.073	0	1	0															1	11364	Acadm_31166	30.3494	30.3494		17.1806	17.1806		127.073	127.073		30.3494	17.1806	127.073	0						Linear,1(1)	2.1804144382476807	2.1804144382476807	2.1804144382476807	2.1804144382476807	0.0	2.1804144382476807	30.3494	30.3494	17.1806	17.1806	127.073	127.073	DOWN	0.0	1.0	0.0	
1484	Attachment of GPI anchor to uPAR	7	7	2	2	0	2	1	1	2	0	0	637	7	8343	0.59762	1.0	1.0	0.0																														0	0	0															0															0																							
1485	AKT-mediated inactivation of FOXO1A	4	4	3	3	1	3	3	3	3	1	1	636	3	8347	0.97266	0.25481	0.25481	25.0	23797	akt3	Akt3_31925		12.2674	12.2674	12.2674		12.2674		8.40845	8.40845	8.40845		8.40845		21.6951	21.6951	21.6951		21.695100000000004		0.0	12.2674	0.0	12.2674	12.2674	8.40845	21.6951	0	1	0															1	23797	Akt3_31925	12.2674	12.2674		8.40845	8.40845		21.6951	21.6951		12.2674	8.40845	21.6951	0						Exp 2,1(1)	1.9688888788223267	1.9688888788223267	1.9688888788223267	1.9688888788223267	0.0	1.9688888788223267	12.2674	12.2674	8.40845	8.40845	21.6951	21.6951	DOWN	0.0	1.0	0.0	
1486	BMAL1-CLOCK/NPAS2 activates circadian expression	30	36	13	11	5	12	11	10	13	4	4	633	32	8318	0.89205	0.24956	0.32007	11.11	81004;17978;19883;12952	tbl1xr1;ncoa2;rora;cry1	Tbl1xr1_67830;Ncoa2_65934;Rora_75714;Cry1_64965	81004(-0.363);17978(-0.2114);12952(0.4585)	11.466635	11.8819	9.02544	1.7378683427981507	11.27405582851018	1.6018418937269285	8.048855	8.298145	6.52035	1.0879544624201862	7.948023642015005	1.0105278820591803	19.319025000000003	20.216	14.1461	3.713662694586906	18.801447259735617	3.3777279706641976	0.5	10.31137	2.5	12.6219	12.1665;13.0773;11.5973;9.02544	8.41974;9.07878;8.17655;6.52035	21.1071;22.698;19.3249;14.1461	2	2	2	19883;12952	Rora_75714;Cry1_64965	10.31137	10.31137	1.8185796462624333	7.34845	7.34845	1.1711102510011617	16.735500000000002	16.735500000000002	3.6619645984088782	11.5973;9.02544	8.17655;6.52035	19.3249;14.1461	2	81004;17978	Tbl1xr1_67830;Ncoa2_65934	12.6219	12.6219	0.6440328563046495	8.74926	8.74926	0.46601165307318887	21.902549999999998	21.902549999999998	1.124936178189705	12.1665;13.0773	8.41974;9.07878	21.1071;22.698	0						Exp 2,1(0.25);Linear,3(0.75)	2.72539231697348	12.306267619132996	1.624958872795105	5.489345073699951	1.7793676100193485	2.5959818363189697	9.763524024057809	13.169745975942192	6.982659626828216	9.115050373171783	15.679635559304808	22.958414440695194	CONFLICT	0.5	0.5	0.0	
1487	Basigin interactions	16	25	9	9	4	9	9	9	9	4	4	633	21	8329	0.97141	0.09669	0.09669	16.0	11931;26570;20539;16400	atp1b1;slc7a11;slc7a5;itga3	Atp1b1_31637;Slc7a11_30093;Slc7a5_60630;Itga3_73165	11931(-0.3611)	9.057812250000001	7.8894	0.508449	8.856403784844062	5.820847437208252	7.660415459880821	5.904156	5.37692	0.376984	5.66410959919009	3.88562712362596	5.03981380668865	13.90494325	13.898085000000002	0.745303	12.27327581359634	9.377619902650203	11.539583641937574	0.5	1.9357245	1.5	7.8894	3.363;0.508449;19.944;12.4158	2.07368;0.376984;12.4858;8.68016	6.64597;0.745303;27.0783;21.1502	2	2	2	26570;20539	Slc7a11_30093;Slc7a5_60630	10.226224499999999	10.226224499999999	13.743009908196985	6.431392	6.431392	8.562225905740165	13.9118015	13.9118015	18.62024074766501	0.508449;19.944	0.376984;12.4858	0.745303;27.0783	2	11931;16400	Atp1b1_31637;Itga3_73165	7.8894	7.8894	6.401296268725577	5.37692	5.37692	4.671486807773303	13.898085000000002	13.898085000000002	10.256039388889358	3.363;12.4158	2.07368;8.68016	6.64597;21.1502	0						Exp 4,2(0.5);Exp 5,1(0.25);Linear,1(0.25)	5.776593416847675	53.39591348171234	1.8427797555923462	44.14686584472656	20.5510677438335	3.7031339406967163	0.3785365408528172	17.737087959147182	0.3533285927937104	11.454983407206289	1.877132952675586	25.93275354732441	CONFLICT	0.5	0.5	0.0	
1488	Beta-oxidation of butanoyl-CoA to acetyl-CoA	3	3	2	2	1	2	2	2	2	1	1	636	2	8348	0.98566	0.19795	0.19795	33.33	93747	echs1	Echs1_78943		17.5351	17.5351	17.5351		17.5351		11.5751	11.5751	11.5751		11.5751		35.278	35.278	35.278		35.278		0.0	17.5351	0.0	17.5351	17.5351	11.5751	35.278	0	1	0															1	93747	Echs1_78943	17.5351	17.5351		11.5751	11.5751		35.278	35.278		17.5351	11.5751	35.278	0						Linear,1(1)	2.189167022705078	2.189167022705078	2.189167022705078	2.189167022705078	0.0	2.189167022705078	17.5351	17.5351	11.5751	11.5751	35.278	35.278	DOWN	0.0	1.0	0.0	
1489	Beta-oxidation of myristoyl-CoA to lauroyl-CoA	5	5	4	4	2	4	4	4	4	2	2	635	3	8347	0.99682	0.043444	0.043444	40.0	11370;11364	acadvl;acadm	Acadvl_29377;Acadm_31166	11364(0.09383)	25.26465	25.26465	20.1799	7.190922411276594	26.26085616055272	7.051560940412681	15.04445	15.04445	12.9083	3.020972301263291	15.462965323243951	2.962425272208582	86.1288	86.1288	45.1846	57.9038429405165	94.15060329001481	56.781655235054686	0.0	20.1799	0.0	20.1799	20.1799;30.3494	12.9083;17.1806	45.1846;127.073	1	1	1	11370	Acadvl_29377	20.1799	20.1799		12.9083	12.9083		45.1846	45.1846		20.1799	12.9083	45.1846	1	11364	Acadm_31166	30.3494	30.3494		17.1806	17.1806		127.073	127.073		30.3494	17.1806	127.073	0						Linear,2(1)	1.8355988227872753	3.7257275581359863	1.5453131198883057	2.1804144382476807	0.44908444895243044	1.8628637790679932	15.298540000000001	35.23076	10.857596000000001	19.231303999999998	5.8781680000000165	166.37943199999998	CONFLICT	0.5	0.5	0.0	
149	Melanocyte development and pigmentation pathway	12	13	6	6	1	6	6	6	6	1	1	636	12	8338	0.76593	0.61572	0.61572	7.69	26395	map2k1	Map2k1_71481		19.2923	19.2923	19.2923		19.2923		12.4724	12.4724	12.4724		12.4724		41.599	41.599	41.599		41.599		0.0	19.2923			19.2923	12.4724	41.599	1	0	1	26395	Map2k1_71481	19.2923	19.2923		12.4724	12.4724		41.599	41.599		19.2923	12.4724	41.599	0															0						Linear,1(1)	3.143820285797119	3.143820285797119	3.143820285797119	3.143820285797119	0.0	3.143820285797119	19.2923	19.2923	12.4724	12.4724	41.599	41.599	UP	1.0	0.0	0.0	
1491	Biological oxidations	58	140	22	21	9	21	19	18	21	8	8	629	132	8218	0.33169	0.78476	0.62057	5.71	228608;13076;108645;232087;14859;14630;14629;14598	smox;cyp1a1;mat2b;mat2a;gsta3;gclm;gclc;ggt1	Smox_78867;Cyp1a1_29719;Mat2b_58140;Mat2a_78176;Gsta3_69531;Gclm_29258;Gclc_31268;Ggt1_80192	228608(0.1902);232087(-0.2229);14859(0.4698);14629(0.3891);14598(0.2374)	13.3700125	11.546845000000001	1.0771	11.216643710113175	10.954097596682647	10.213141456467119	8.189908124999999	7.996715	0.292285	6.658143788215808	6.829810108078699	6.1770436024390785	31.206182499999997	20.1276	3.80606	33.01599786097199	19.85618433373526	20.7869286979331	6.0	25.384			25.384;27.3454;2.62014;13.9559;9.13779;2.40907;25.0307;1.0771	15.2483;16.0435;1.37057;9.39843;6.595;1.73128;14.8399;0.292285	74.1398;90.5906;6.57402;25.8984;14.3568;3.80606;27.0261;7.25768	6	2	6	228608;13076;14859;14630;14629;14598	Smox_78867;Cyp1a1_29719;Gsta3_69531;Gclm_29258;Gclc_31268;Ggt1_80192	15.064010000000001	17.084245	12.227598985315145	9.125044166666667	10.71745	7.1708489992178865	36.19617333333333	20.69145	37.00291006852227	25.384;27.3454;9.13779;2.40907;25.0307;1.0771	15.2483;16.0435;6.595;1.73128;14.8399;0.292285	74.1398;90.5906;14.3568;3.80606;27.0261;7.25768	2	108645;232087	Mat2b_58140;Mat2a_78176	8.28802	8.28802	8.015592765903216	5.3845	5.3845	5.676554244416236	16.23621	16.23621	13.66440014022569	2.62014;13.9559	1.37057;9.39843	6.57402;25.8984	0						Exp 2,1(0.13);Exp 4,2(0.25);Hill,1(0.13);Linear,3(0.38);Poly 2,1(0.13)	2.8298529386087434	32.20705485343933	1.670709490776062	16.119047164916992	4.9381037495058475	2.0567787885665894	5.5972749670170305	21.142750032982974	3.5760498746927674	12.803766375307234	8.32726324436884	54.08510175563116	UP	0.75	0.25	0.0	
1492	Botulinum neurotoxicity	11	17	2	2	1	2	2	2	2	1	1	636	16	8334	0.65815	0.71377	1.0	5.88	58244	stx6	Stx6_66202	58244(0.4546)	15.8579	15.8579	15.8579		15.857900000000003		11.0674	11.0674	11.0674		11.0674		27.9074	27.9074	27.9074		27.9074		0.0	15.8579			15.8579	11.0674	27.9074	1	0	1	58244	Stx6_66202	15.8579	15.8579		11.0674	11.0674		27.9074	27.9074		15.8579	11.0674	27.9074	0															0						Exp 2,1(1)	1.8604109287261963	1.8604109287261963	1.8604109287261963	1.8604109287261963	0.0	1.8604109287261963	15.8579	15.8579	11.0674	11.0674	27.9074	27.9074	UP	1.0	0.0	0.0	
1493	CD28-dependent Vav1 pathway	6	10	3	3	0	3	3	3	3	0	0	637	10	8340	0.47924	1.0	1.0	0.0																														0	0	0															0															0																							
1494	CDO in myogenesis	17	28	8	8	5	8	8	8	8	5	5	632	23	8327	0.98784	0.044446	0.044446	17.86	57810;21406;17261;11350;26416	cdon;tcf12;mef2d;abl1;mapk14	Cdon_64083;Tcf12_63525;Mef2d_61011;Abl1_71120;Mapk14_31848	21406(-0.4989);11350(-0.2314)	15.221212000000003	21.7009	1.60487	12.149632444381595	18.30047092768834	9.485606120039446	9.4210458	12.0031	0.946289	7.989875367529722	10.64284933985591	5.944358816110291	29.502096	36.7131	3.36503	23.771351671220334	33.20693316374633	17.85343155975299	0.5	2.0813800000000002	1.5	12.129395	1.60487;2.55789;23.2931;21.7009;26.9493	0.946289;1.18204;14.3503;12.0031;18.6235	3.36503;7.80215;60.5165;36.7131;39.1137	1	4	1	17261	Mef2d_61011	23.2931	23.2931		14.3503	14.3503		60.5165	60.5165		23.2931	14.3503	60.5165	4	57810;21406;11350;26416	Cdon_64083;Tcf12_63525;Abl1_71120;Mapk14_31848	13.203240000000001	12.129395	13.025744435266136	8.188732250000001	6.59257	8.659878749042635	21.748495	22.257624999999997	18.778907243352403	1.60487;2.55789;21.7009;26.9493	0.946289;1.18204;12.0031;18.6235	3.36503;7.80215;36.7131;39.1137	0						Exp 3,1(0.2);Exp 4,2(0.4);Hill,1(0.2);Linear,1(0.2)	2.1986774449747406	12.747720837593079	1.592160940170288	5.768679618835449	1.8179221387315234	1.6024059057235718	4.571589613468518	25.87083438653148	2.417611254209352	16.42448034579065	8.665587564470457	50.33860443552955	DOWN	0.2	0.8	0.0	
1495	CHL1 interactions	6	8	1	1	0	1	1	1	1	0	0	637	8	8342	0.55523	1.0	1.0	0.0																														0	0	0															0															0																							
1496	CREB phosphorylation through the activation of adenylate cyclase	4	5	2	2	2	2	2	2	2	2	2	635	3	8347	0.99682	0.043444	0.043444	40.0	104111;18749	adcy3;prkacb	Adcy3_70392;Prkacb_29599	18749(-0.4368)	5.2797149999999995	5.2797149999999995	5.05873	0.31251998408103626	5.278800385227634	0.3125173073761557	2.31177	2.31177	2.15457	0.22231437200505522	2.312420620821394	0.2223124679029384	16.78955	16.78955	14.4266	3.3417159372095244	16.779770200573065	3.3416873157203737	0.0	5.05873	0.0	5.05873	5.05873;5.5007	2.46897;2.15457	14.4266;19.1525	1	1	1	104111	Adcy3_70392	5.05873	5.05873		2.46897	2.46897		14.4266	14.4266		5.05873	2.46897	14.4266	1	18749	Prkacb_29599	5.5007	5.5007		2.15457	2.15457		19.1525	19.1525		5.5007	2.15457	19.1525	0						Exp 4,2(1)	1.8952404798146896	3.795668840408325	1.798642635345459	1.9970262050628662	0.14027836742317287	1.8978344202041626	4.846584399999999	5.7128456	2.003658	2.619882	12.158168	21.420931999999997	CONFLICT	0.5	0.5	0.0	
1498	Cell surface interactions at the vascular wall	50	91	24	23	5	23	23	22	23	4	4	633	87	8263	0.21769	0.89464	0.41239	4.4	11931;26570;20539;16400	atp1b1;slc7a11;slc7a5;itga3	Atp1b1_31637;Slc7a11_30093;Slc7a5_60630;Itga3_73165	11931(-0.3611)	9.057812250000001	7.8894	0.508449	8.856403784844062	5.820847437208252	7.660415459880821	5.904156	5.37692	0.376984	5.66410959919009	3.88562712362596	5.03981380668865	13.90494325	13.898085000000002	0.745303	12.27327581359634	9.377619902650203	11.539583641937574					3.363;0.508449;19.944;12.4158	2.07368;0.376984;12.4858;8.68016	6.64597;0.745303;27.0783;21.1502	2	2	2	26570;20539	Slc7a11_30093;Slc7a5_60630	10.226224499999999	10.226224499999999	13.743009908196985	6.431392	6.431392	8.562225905740165	13.9118015	13.9118015	18.62024074766501	0.508449;19.944	0.376984;12.4858	0.745303;27.0783	2	11931;16400	Atp1b1_31637;Itga3_73165	7.8894	7.8894	6.401296268725577	5.37692	5.37692	4.671486807773303	13.898085000000002	13.898085000000002	10.256039388889358	3.363;12.4158	2.07368;8.68016	6.64597;21.1502	0						Exp 4,2(0.5);Exp 5,1(0.25);Linear,1(0.25)	5.776593416847675	53.39591348171234	1.8427797555923462	44.14686584472656	20.5510677438335	3.7031339406967163	0.3785365408528172	17.737087959147182	0.3533285927937104	11.454983407206289	1.877132952675586	25.93275354732441	CONFLICT	0.5	0.5	0.0	
1499	Cell-extracellular matrix interactions	14	16	5	5	2	5	5	5	5	2	2	635	14	8336	0.90045	0.31514	0.31514	12.5	110829;192176	lims1;flna	Lims1_72764;Flna_73227	110829(0.09204);192176(-0.8349)	9.91826	9.91826	4.93542	7.046799907135152	13.541665551451187	4.837277472982652	6.466875	6.466875	2.79425	5.193876084510488	9.137522625329813	3.5653374740535413	19.25305	19.25305	11.1585	11.44742239130713	25.139218812664907	7.858085824335462	0.0	4.93542	0.5	9.91826	14.9011;4.93542	10.1395;2.79425	27.3476;11.1585	2	0	2	110829;192176	Lims1_72764;Flna_73227	9.91826	9.91826	7.046799907135152	6.466875	6.466875	5.193876084510488	19.25305	19.25305	11.44742239130713	14.9011;4.93542	10.1395;2.79425	27.3476;11.1585	0															0						Exp 4,1(0.5);Linear,1(0.5)	1.5690598889810987	3.1386220455169678	1.5412369966506958	1.597385048866272	0.03970266847205026	1.5693110227584839	0.15189360000000285	19.6846264	-0.731469999999999	13.665219999999998	3.3877320000000015	35.118368000000004	UP	1.0	0.0	0.0	
15	Induction of apoptosis through DR3 and DR4/5 death receptors	29	32	11	11	5	11	11	11	11	5	5	632	27	8323	0.97699	0.072381	0.072381	15.62	11459;18035;12371;11798;12370	acta1;nfkbia;casp9;xiap;casp8	Acta1_68098;Nfkbia_29762;Casp9_66180;Xiap_78640;Casp8_76424	11459(0.02189);12371(0.103);12370(0.4364)	15.676260000000003	13.0657	4.10922	13.91314747309896	16.752657085748552	13.698826234178025	9.265252	8.32685	1.57946	7.411541914808955	9.916581560563664	7.273074181517519	25.651040000000002	25.7734	11.9736	15.81473704027354	27.612720477713374	14.967790189024804	0.5	5.96795	2.5	13.460249999999998	39.5249;7.82668;13.8548;4.10922;13.0657	21.3953;5.71118;9.31347;1.57946;8.32685	51.1079;11.9736;25.7734;12.8278;26.5725	2	3	2	11459;18035	Acta1_68098;Nfkbia_29762	23.67579	23.67579	22.414026313543054	13.553239999999999	13.553239999999999	11.090347608943558	31.54075	31.54075	27.672128906988707	39.5249;7.82668	21.3953;5.71118	51.1079;11.9736	3	12371;11798;12370	Casp9_66180;Xiap_78640;Casp8_76424	10.34324	13.0657	5.413217501892935	6.406593333333333	8.32685	4.20942596079719	21.724566666666664	25.7734	7.715178743446809	13.8548;4.10922;13.0657	9.31347;1.57946;8.32685	25.7734;12.8278;26.5725	0						Exp 2,2(0.4);Exp 4,1(0.2);Linear,1(0.2);Poly 2,1(0.2)	2.3020240420836133	12.512230634689331	1.5797702074050903	4.388065338134766	1.206444348139428	1.8297795057296753	3.4808485359151486	27.871671464084855	2.7687490764761025	15.761754923523899	11.788811789212494	39.5132682107875	DOWN	0.4	0.6	0.0	
150	Calcineurin in effects in keratinocyte differentiation	11	15	7	7	3	7	7	7	7	2	2	635	13	8337	0.91482	0.28819	0.28819	13.33	20683;12575	sp1;cdkn1a	Sp1_69023;Cdkn1a_30669	20683(0.4994)	11.066894999999999	11.066894999999999	2.61359	11.954778577876297	9.512477743589743	11.750927828558819	6.9227799999999995	6.9227799999999995	1.26016	8.008154002565137	5.88152167032967	7.871600390681956	24.50304	24.50304	6.51398	25.44037262634335	21.19516156776557	25.006567935690747	0.0	2.61359	0.5	11.066894999999999	2.61359;19.5202	1.26016;12.5854	6.51398;42.4921	2	0	2	20683;12575	Sp1_69023;Cdkn1a_30669	11.066894999999999	11.066894999999999	11.954778577876297	6.9227799999999995	6.9227799999999995	8.008154002565137	24.50304	24.50304	25.44037262634335	2.61359;19.5202	1.26016;12.5854	6.51398;42.4921	0															0						Exp 4,1(0.5);Linear,1(0.5)	1.7611354934830454	3.5425068140029907	1.5822020769119263	1.9603047370910645	0.2673589549973414	1.7712534070014954	-5.5015827999999996	27.6353728	-4.1759552	18.0215152	-10.755517600000001	59.7615976	UP	1.0	0.0	0.0	
1500	Cellular response to hypoxia	16	22	6	6	1	6	6	6	6	1	1	636	21	8329	0.53122	0.80197	1.0	4.55	22190	ubc	Ubc_56074		20.1362	20.1362	20.1362		20.1362		13.2308	13.2308	13.2308		13.2308		42.6561	42.6561	42.6561		42.6561						20.1362	13.2308	42.6561	1	0	1	22190	Ubc_56074	20.1362	20.1362		13.2308	13.2308		42.6561	42.6561		20.1362	13.2308	42.6561	0															0						Exp 2,1(1)	1.8567662239074707	1.8567662239074707	1.8567662239074707	1.8567662239074707	0.0	1.8567662239074707	20.1362	20.1362	13.2308	13.2308	42.6561	42.6561	UP	1.0	0.0	0.0	
1501	Circadian rhythm	46	57	20	18	7	19	18	17	20	6	6	631	51	8299	0.89353	0.21491	0.29522	10.53	17261;81004;17978;19883;12952;22190	mef2d;tbl1xr1;ncoa2;rora;cry1;ubc	Mef2d_61011;Tbl1xr1_67830;Ncoa2_65934;Rora_75714;Cry1_64965;Ubc_56074	81004(-0.363);17978(-0.2114);12952(0.4585)	14.88264	12.6219	9.02544	5.55108367539168	13.504688212982416	4.7747324021438295	9.962753333333334	8.74926	6.52035	3.1026974337158064	9.22313093940064	2.7311631150992843	30.07478333333334	21.902549999999998	14.1461	17.827545337529404	25.476146052195066	14.476440143285998	1.5	11.8819	4.5	21.71465	23.2931;12.1665;13.0773;11.5973;9.02544;20.1362	14.3503;8.41974;9.07878;8.17655;6.52035;13.2308	60.5165;21.1071;22.698;19.3249;14.1461;42.6561	4	2	4	17261;19883;12952;22190	Mef2d_61011;Rora_75714;Cry1_64965;Ubc_56074	16.013009999999998	15.86675	6.7903125969575315	10.569500000000001	10.703675	3.807833669117735	34.160900000000005	30.9905	21.50569838779169	23.2931;11.5973;9.02544;20.1362	14.3503;8.17655;6.52035;13.2308	60.5165;19.3249;14.1461;42.6561	2	81004;17978	Tbl1xr1_67830;Ncoa2_65934	12.6219	12.6219	0.6440328563046495	8.74926	8.74926	0.46601165307318887	21.902549999999998	21.902549999999998	1.124936178189705	12.1665;13.0773	8.41974;9.07878	21.1071;22.698	0						Exp 2,2(0.34);Linear,4(0.67)	2.465242397751366	16.354246020317078	1.624958872795105	5.489345073699951	1.485368691858533	2.023989200592041	10.440847975426998	19.324432024573	7.480078323976789	12.445428342689878	15.809776115195076	44.33979055147159	UP	0.6666666666666666	0.3333333333333333	0.0	
1503	Clathrin derived vesicle budding	56	60	22	22	3	21	21	20	22	3	3	634	57	8293	0.37653	0.80815	0.79883	5.0	20661;320634;18704	sort1;ocrl;pik3c2a	Sort1_62170;Ocrl_72161;Pik3c2a_29231	18704(-0.2608)	15.15471	18.3442	7.90913	6.289798966763568	13.766089995547642	6.559481008415397	9.855213333333333	11.4606	5.67324	3.6541049629879745	9.015252822796082	3.7602120971605104	31.834600000000005	41.2838	12.5211	16.72726931360884	28.35579594835263	17.706079314466226	2.0	19.2108			7.90913;18.3442;19.2108	5.67324;11.4606;12.4318	12.5211;41.6989;41.2838	0	3	0															3	20661;320634;18704	Sort1_62170;Ocrl_72161;Pik3c2a_29231	15.15471	18.3442	6.289798966763568	9.855213333333333	11.4606	3.6541049629879745	31.834600000000005	41.2838	16.72726931360884	7.90913;18.3442;19.2108	5.67324;11.4606;12.4318	12.5211;41.6989;41.2838	0						Exp 2,2(0.67);Linear,1(0.34)	2.1243854119068217	6.492948055267334	1.6320886611938477	2.611227035522461	0.4951132672837819	2.2496323585510254	8.037132431845235	22.272287568154766	5.720204304637956	13.99022236202871	12.905912855601908	50.76328714439809	DOWN	0.0	1.0	0.0	
1504	Cleavage of growing transcript in the termination region	35	36	13	12	2	13	11	11	13	2	2	635	34	8316	0.52524	0.73503	1.0	5.56	20638;19826	snrpb;rnps1	Snrpb_66050;Rnps1_64041	19826(-0.6826)	3.4602850000000003	3.4602850000000003	1.62035	2.602061030884941	4.085909914217923	2.4470203394883407	1.8787859999999998	1.8787859999999998	0.878242	1.4149828945510265	2.2189965260083957	1.3306728327647563	6.16214	6.16214	3.91499	3.177950006686703	6.926228419419602	2.9885956601082233	0.5	3.4602850000000003			1.62035;5.30022	0.878242;2.87933	3.91499;8.40929	2	0	2	20638;19826	Snrpb_66050;Rnps1_64041	3.4602850000000003	3.4602850000000003	2.602061030884941	1.8787859999999998	1.8787859999999998	1.4149828945510265	6.16214	6.16214	3.177950006686703	1.62035;5.30022	0.878242;2.87933	3.91499;8.40929	0															0						Exp 4,1(0.5);Exp 5,1(0.5)	1.6531589140541383	3.3155746459960938	1.533995509147644	1.7815791368484497	0.17506806205800524	1.6577873229980469	-0.14598760000000022	7.066557599999999	-0.08228023999999978	3.83985224	1.7577260000000008	10.566554	UP	1.0	0.0	0.0	
1507	Coagulation common pathway	3	13	1	1	0	1	1	1	1	0	0	637	13	8337	0.38428	1.0	1.0	0.0																														0	0	0															0															0																							
1508	Complement cascade	10	29	5	5	2	5	5	5	5	1	1	636	28	8322	0.38055	0.88181	0.71933	3.45	13136	cd55	Cd55_29177	13136(-0.06095)	3.65538	3.65538	3.65538		3.6553800000000005		2.24733	2.24733	2.24733		2.24733		6.354	6.354	6.354		6.354						3.65538	2.24733	6.354	0	1	0															1	13136	Cd55_29177	3.65538	3.65538		2.24733	2.24733		6.354	6.354		3.65538	2.24733	6.354	0						Exp 5,1(1)	7.3884429931640625	7.3884429931640625	7.3884429931640625	7.3884429931640625	0.0	7.3884429931640625	3.65538	3.65538	2.24733	2.24733	6.354	6.354	DOWN	0.0	1.0	0.0	
1509	Cooperation of prefoldin and TriC/CCT  in actin and tubulin folding	24	26	7	7	1	7	7	7	7	1	1	636	25	8325	0.44081	0.85254	1.0	3.85	22151	tubb2a	Tubb2a_29725		25.1828	25.1828	25.1828		25.182799999999997		14.1583	14.1583	14.1583		14.1583		26.8257	26.8257	26.8257		26.825700000000005						25.1828	14.1583	26.8257	0	1	0															1	22151	Tubb2a_29725	25.1828	25.1828		14.1583	14.1583		26.8257	26.8257		25.1828	14.1583	26.8257	0						Hill,1(1)	1.9737390279769897	1.9737390279769897	1.9737390279769897	1.9737390279769897	0.0	1.9737390279769897	25.1828	25.1828	14.1583	14.1583	26.8257	26.8257	DOWN	0.0	1.0	0.0	
