"chemical","sample","dose","row_sum","genecount","nCovN","nSig80"
"BPAF","Pool-ID-2_S2 C06 expression values.csv",1,1064720,19218,12128,1156
"BPAF","Pool-ID-2_S2 C01 expression values.csv",10,1326211,19902,13158,1093
"BPAF","Pool-ID-2_S2 C02 expression values.csv",10,522323,16484,7664,744
"BPAF","Pool-ID-2_S2 C03 expression values.csv",10,920392,18397,10414,604
"BPAF","Pool-ID-2_S2 B10 expression values.csv",100,477635,17124,8480,1486
"BPAF","Pool-ID-2_S2 B11 expression values.csv",100,657668,17682,9416,1009
"BPAF","Pool-ID-2_S2 B12 expression values.csv",100,1068421,19123,11930,989
"BPAF","Pool-ID-2_S2 B07 expression values.csv",1000,868691,18347,10580,908
"BPAF","Pool-ID-2_S2 B08 expression values.csv",1000,709998,17658,9563,927
"BPAF","Pool-ID-2_S2 B09 expression values.csv",1000,1024202,18926,11551,934
"DES","Pool-ID-3_S3 E04 expression values.csv",0,833503,17984,10402,1023
"DES","Pool-ID-3_S3 E05 expression values.csv",0,932492,17790,10235,650
"DES","Pool-ID-3_S3 E06 expression values.csv",0,979803,17570,9781,416
"DES","Pool-ID-3_S3 E01 expression values.csv",0.01,914676,16888,8827,284
"DES","Pool-ID-3_S3 E02 expression values.csv",0.01,537848,16228,7815,791
"DES","Pool-ID-3_S3 E03 expression values.csv",0.01,778193,17205,9152,611
"DES","Pool-ID-3_S3 D10 expression values.csv",0.1,655671,16649,8602,757
"DES","Pool-ID-3_S3 D11 expression values.csv",0.1,644691,16327,8182,640
"DES","Pool-ID-3_S3 D12 expression values.csv",0.1,877068,17272,9200,407
"DES","Pool-ID-3_S3 D07 expression values.csv",1,1001969,18241,11007,963
"DES","Pool-ID-3_S3 D08 expression values.csv",1,1358420,18059,10224,144
"DES","Pool-ID-3_S3 D09 expression values.csv",1,434292,14835,6317,594
"DES","Pool-ID-3_S3 D04 expression values.csv",10,420943,15048,6617,829
"DES","Pool-ID-3_S3 D05 expression values.csv",10,1054110,18421,11277,901
"DES","Pool-ID-3_S3 D06 expression values.csv",10,746912,16982,9157,735
"DES","Pool-ID-3_S3 D01 expression values.csv",100,1090368,18181,10849,585
"DES","Pool-ID-3_S3 D02 expression values.csv",100,1657311,19192,12574,584
"DES","Pool-ID-3_S3 D03 expression values.csv",100,758601,17155,9208,726
"EE2","Pool-ID-4_S4 F10 expression values.csv",0,340705,15322,6261,1092
"EE2","Pool-ID-4_S4 F11 expression values.csv",0,1524033,20291,13725,1001
"EE2","Pool-ID-4_S4 F12 expression values.csv",0,990956,19040,11547,954
"EE2","Pool-ID-4_S4 F07 expression values.csv",0.0001,892717,18458,10611,771
"EE2","Pool-ID-4_S4 F08 expression values.csv",0.0001,1087476,19279,12192,1100
"EE2","Pool-ID-4_S4 F09 expression values.csv",0.0001,1308434,19427,12562,866
"EE2","Pool-ID-4_S4 F04 expression values.csv",0.001,948392,18902,11470,1112
"EE2","Pool-ID-4_S4 F05 expression values.csv",0.001,907356,18788,11238,1119
"EE2","Pool-ID-4_S4 F06 expression values.csv",0.001,1061723,19348,11929,1046
"EE2","Pool-ID-4_S4 F01 expression values.csv",0.01,1209719,19264,12195,919
"EE2","Pool-ID-4_S4 F02 expression values.csv",0.01,736007,17860,9569,783
"EE2","Pool-ID-4_S4 F03 expression values.csv",0.01,1732360,20535,14309,1057
"EE2","Pool-ID-4_S4 E10 expression values.csv",0.1,319502,14907,5768,1004
"EE2","Pool-ID-4_S4 E11 expression values.csv",0.1,1185344,19180,12165,879
"EE2","Pool-ID-4_S4 E12 expression values.csv",0.1,940173,18228,10431,694
"EE2","Pool-ID-4_S4 E07 expression values.csv",1,1068104,18914,11737,1013
"EE2","Pool-ID-4_S4 E08 expression values.csv",1,878424,18369,10937,1146
"EE2","Pool-ID-4_S4 E09 expression values.csv",1,1389342,19424,12611,801
"TGSH","Pool-ID-5_S5 H04 expression values.csv",0,2416520,20215,13332,241
"TGSH","Pool-ID-5_S5 H05 expression values.csv",0,1372594,19866,12901,734
"TGSH","Pool-ID-5_S5 H06 expression values.csv",0,1360041,19609,12524,584
"TGSH","Pool-ID-5_S5 H01 expression values.csv",0.1,2168483,20708,14667,587
"TGSH","Pool-ID-5_S5 H02 expression values.csv",0.1,1095260,18990,11328,582
"TGSH","Pool-ID-5_S5 H03 expression values.csv",0.1,732138,17773,9473,717
"TGSH","Pool-ID-5_S5 G10 expression values.csv",1,2074856,20834,14820,768
"TGSH","Pool-ID-5_S5 G11 expression values.csv",1,1492195,20261,13634,957
"TGSH","Pool-ID-5_S5 G12 expression values.csv",1,1068146,17783,9894,317
"TGSH","Pool-ID-5_S5 G07 expression values.csv",10,877152,18229,10283,714
"TGSH","Pool-ID-5_S5 G08 expression values.csv",10,1913707,20382,13960,499
"TGSH","Pool-ID-5_S5 G09 expression values.csv",10,1731897,20340,13753,597
"TGSH","Pool-ID-5_S5 G04 expression values.csv",100,1062437,19119,11707,873
"TGSH","Pool-ID-5_S5 G05 expression values.csv",100,1150692,18951,11586,694
"TGSH","Pool-ID-5_S5 G06 expression values.csv",100,1701844,20177,13793,693
"TGSH","Pool-ID-5_S5 G01 expression values.csv",1000,1203581,19465,12570,1026
"TGSH","Pool-ID-5_S5 G02 expression values.csv",1000,1201461,19306,12097,771
"TGSH","Pool-ID-5_S5 G03 expression values.csv",1000,624980,17433,8810,818
